start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.699,1.0,0.391,0.619,0.646,0.514,0.439,0.615,0.658,0.527,0.455,0.366
0.17995,0.627,0.747,0.645,0.795,0.849,0.849,1.0,0.99,0.648,0.64,0.417,0.143
0.34358,0.897,1.0,0.692,0.679,0.539,0.559,0.411,0.379,0.167,0.149,0.08,0.419
0.51088,0.67,0.461,0.561,0.797,0.703,0.91,0.712,0.449,0.684,0.617,0.514,1.0
0.73751,1.0,0.376,0.245,0.284,0.233,0.303,0.267,0.178,0.272,0.29,0.22,0.492
1.06689,1.0,0.876,0.114,0.169,0.087,0.152,0.368,0.434,0.738,0.689,0.864,0.146
1.21143,0.58,1.0,0.514,0.324,0.365,0.563,0.497,0.431,0.263,0.192,0.189,0.456
1.42172,0.569,0.742,0.611,0.595,0.883,1.0,0.937,0.912,0.731,0.731,0.424,0.18
1.58939,0.427,0.563,0.335,0.358,0.708,0.752,1.0,0.983,0.858,0.822,0.475,0.055
1.77057,0.556,1.0,0.592,0.663,0.514,0.569,0.18,0.161,0.931,0.935,0.595,0.103
1.93655,0.873,0.775,0.166,0.165,0.347,0.333,0.808,0.831,1.0,0.958,0.676,0.185
2.11397,0.876,0.931,0.723,0.756,0.763,0.807,0.78,0.744,0.92,1.0,0.905,0.152
2.28159,1.0,0.497,0.345,0.509,0.439,0.684,0.969,0.928,0.873,0.868,0.682,0.305
2.43746,0.481,0.342,0.223,0.452,0.499,1.0,0.586,0.299,0.161,0.125,0.119,0.503
2.63138,0.858,0.855,0.541,0.497,0.997,1.0,0.662,0.687,0.144,0.134,0.477,0.157
2.79615,0.516,1.0,0.584,0.779,0.678,0.57,0.409,0.509,0.612,0.507,0.354,0.279
2.93732,0.632,0.752,0.656,0.809,0.854,0.854,1.0,0.988,0.647,0.64,0.42,0.146
3.10222,0.872,1.0,0.686,0.675,0.55,0.573,0.412,0.383,0.162,0.144,0.074,0.408
3.27401,0.664,0.449,0.537,0.786,0.707,0.916,0.721,0.442,0.687,0.622,0.509,1.0
3.49542,1.0,0.378,0.241,0.281,0.245,0.313,0.271,0.172,0.264,0.292,0.227,0.487
3.83683,0.896,0.811,0.157,0.175,0.081,0.159,0.452,0.513,1.0,0.966,0.736,0.138
4.01134,0.596,1.0,0.366,0.362,0.466,0.583,0.539,0.439,0.193,0.175,0.357,0.163
