start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.985,0.455,0.454,0.567,0.557,0.653,0.653,0.72,0.733,0.755,0.08
0.13333,0.459,0.036,0.022,0.017,0.146,1.0,0.024,0.025,0.05,0.128,0.022,0.058
0.92975,0.181,0.134,0.076,0.109,0.229,0.125,0.05,0.096,0.567,0.535,1.0,0.295
1.17819,0.241,0.035,0.068,0.057,0.144,1.0,0.028,0.047,0.105,0.192,0.86,0.135
1.53179,0.364,0.049,0.096,0.068,0.263,1.0,0.094,0.023,0.056,0.145,0.182,0.162
1.66621,0.169,0.165,1.0,0.121,0.081,0.728,0.084,0.031,0.029,0.106,0.195,0.098
1.83537,0.2,0.074,0.733,0.102,0.176,1.0,0.154,0.034,0.036,0.084,0.106,0.113
1.96753,0.157,0.06,1.0,0.103,0.432,0.988,0.175,0.044,0.039,0.062,0.185,0.034
2.14821,0.1,0.059,0.486,0.079,0.171,1.0,0.2,0.023,0.038,0.069,0.115,0.021
2.26993,0.716,1.0,0.473,0.071,0.226,0.849,0.272,0.121,0.24,0.278,0.457,0.137
2.44948,0.637,0.59,0.707,0.209,0.453,1.0,0.423,0.266,0.247,0.325,0.96,0.084
2.56095,0.32,0.204,0.25,0.061,0.388,1.0,0.268,0.121,0.168,0.273,0.578,0.026
2.70063,0.167,0.085,0.318,0.034,0.346,1.0,0.164,0.049,0.021,0.036,0.138,0.03
2.86286,0.108,0.062,0.197,0.113,0.341,1.0,0.084,0.042,0.028,0.067,0.19,0.109
3.13424,0.119,0.022,0.098,0.055,0.204,1.0,0.035,0.026,0.03,0.071,0.066,0.083
3.61583,0.554,0.341,0.296,0.558,0.313,1.0,0.166,0.091,0.169,0.18,0.356,0.409
3.77261,1.0,0.314,0.091,0.406,0.132,0.166,0.168,0.54,0.162,0.134,0.296,0.483
3.89506,1.0,0.213,0.089,0.843,0.13,0.082,0.132,0.667,0.086,0.09,0.272,0.399
4.03918,0.279,0.057,0.134,1.0,0.138,0.053,0.022,0.276,0.03,0.02,0.043,0.084
4.33619,0.348,0.057,0.147,1.0,0.163,0.049,0.158,0.455,0.067,0.1,0.188,0.208
4.46975,0.11,0.017,0.045,0.358,0.032,0.037,0.034,1.0,0.036,0.048,0.081,0.065
4.72512,0.259,0.096,0.159,0.911,0.107,0.054,0.05,1.0,0.073,0.066,0.571,0.14
5.02068,0.209,0.04,0.059,0.223,0.12,1.0,0.174,0.231,0.095,0.218,0.106,0.349
5.69687,0.193,0.068,0.087,0.452,0.196,0.751,0.106,0.273,0.108,1.0,0.102,0.151
6.20063,0.832,0.703,0.73,1.0,0.652,0.987,0.258,0.755,0.086,0.657,0.234,0.544
6.43764,1.0,0.785,0.219,0.063,0.102,0.119,0.157,0.156,0.291,0.597,0.854,0.686
6.56132,0.146,0.042,0.123,0.076,0.12,0.603,0.029,0.036,0.21,0.274,1.0,0.161
6.83855,0.086,0.239,1.0,0.061,0.032,0.18,0.122,0.061,0.146,0.303,0.459,0.124
7.27995,0.051,0.047,0.614,1.0,0.024,0.062,0.143,0.131,0.033,0.25,0.363,0.026
7.64562,0.022,0.06,0.194,0.047,0.01,0.059,0.019,0.034,0.122,0.17,1.0,0.21
8.65478,0.339,0.505,0.565,0.297,0.091,0.198,0.033,0.073,0.151,0.281,1.0,0.169
9.00413,0.356,0.206,0.417,1.0,0.323,0.083,0.05,0.108,0.133,0.128,0.28,0.237
9.29524,0.331,1.0,0.323,0.599,0.268,0.067,0.149,0.235,0.218,0.262,0.401,0.033
9.41129,0.28,0.415,0.282,1.0,0.207,0.04,0.043,0.096,0.02,0.049,0.327,0.037
