start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.719,0.857,0.691,0.682,0.696,0.71,1.0,0.979,0.963,0.861,0.505,0.502
0.08703,0.275,0.08,0.027,0.094,0.009,0.029,0.443,0.029,0.03,0.275,0.018,1.0
0.25447,0.149,0.105,0.009,0.052,0.014,0.039,0.626,0.035,0.013,0.104,0.131,1.0
0.45193,0.177,0.159,0.012,0.059,0.01,0.049,0.854,0.036,0.012,0.065,0.023,1.0
0.62685,0.096,0.198,0.008,0.032,0.022,0.105,1.0,0.073,0.009,0.027,0.1,0.599
0.81905,0.113,0.157,0.009,0.039,0.006,0.079,1.0,0.043,0.007,0.026,0.015,0.709
0.99293,0.176,0.333,0.01,0.024,0.033,0.078,0.877,0.039,0.012,0.012,0.037,1.0
1.16753,0.183,0.222,0.022,0.147,0.02,0.054,0.955,0.038,0.016,0.036,0.039,1.0
1.35234,0.155,0.32,0.013,0.054,0.017,0.067,0.584,0.049,0.007,0.024,0.134,1.0
1.54408,0.113,0.156,0.019,0.143,0.029,0.096,0.992,0.065,0.029,0.108,0.099,1.0
1.75315,0.962,1.0,0.523,0.236,0.229,0.857,0.895,0.392,0.181,0.3,0.276,0.855
1.87546,0.216,0.126,0.056,0.178,0.052,0.066,0.381,0.059,0.061,0.309,0.132,1.0
2.07261,0.283,0.137,0.098,0.078,0.11,0.255,0.464,0.092,0.069,0.213,0.505,1.0
2.28095,0.033,0.231,0.016,0.023,0.244,0.033,0.014,0.079,0.016,1.0,0.176,0.163
2.45633,0.018,0.077,0.023,0.077,1.0,0.047,0.018,0.047,0.162,0.948,0.114,0.338
2.65329,0.019,0.239,0.022,0.086,1.0,0.054,0.021,0.092,0.044,0.574,0.033,0.256
2.83297,0.059,0.141,0.041,0.047,1.0,0.088,0.074,0.073,0.193,0.655,0.305,0.21
3.199,0.069,0.114,0.209,0.47,1.0,0.184,0.074,0.079,0.111,0.16,0.206,0.239
3.39546,0.146,0.061,0.257,0.099,1.0,0.132,0.222,0.032,0.593,0.044,0.09,0.722
3.57057,0.173,0.072,0.072,0.156,0.515,0.15,0.527,0.038,0.142,0.102,0.115,1.0
3.76218,0.129,0.088,0.098,0.106,1.0,0.146,0.485,0.035,0.187,0.046,0.108,0.881
4.12172,0.205,0.073,0.131,0.156,0.518,0.08,0.236,0.026,0.209,0.044,0.055,1.0
4.2961,0.159,0.218,0.098,0.142,0.43,0.094,0.215,0.086,0.107,0.291,0.104,1.0
4.51719,0.272,0.063,0.023,0.098,0.016,0.04,0.449,0.03,0.034,0.27,0.02,1.0
4.67342,0.131,0.103,0.009,0.048,0.016,0.037,0.577,0.031,0.011,0.094,0.111,1.0
4.88204,0.153,0.148,0.009,0.051,0.009,0.051,0.803,0.035,0.01,0.058,0.02,1.0
5.05669,0.147,0.213,0.009,0.042,0.02,0.085,1.0,0.057,0.009,0.026,0.026,0.682
5.21841,0.096,0.159,0.013,0.046,0.009,0.109,1.0,0.067,0.016,0.039,0.083,0.907
5.41619,0.286,0.384,0.019,0.03,0.045,0.166,0.926,0.114,0.016,0.019,0.08,1.0
5.54345,0.058,0.19,0.037,0.093,0.049,0.086,0.563,0.049,0.025,0.04,0.06,1.0
5.96159,0.154,0.201,0.051,0.087,0.032,0.098,0.794,0.05,0.036,0.082,0.117,1.0
6.33356,0.16,0.065,0.017,0.129,0.017,0.03,0.353,0.025,0.026,0.226,0.024,1.0
6.49642,0.311,0.12,0.085,0.071,0.059,0.168,0.451,0.066,0.051,0.125,0.299,1.0
6.68145,0.033,0.17,0.018,0.024,0.213,0.041,0.032,0.069,0.087,1.0,0.202,0.183
6.88422,0.02,0.088,0.023,0.065,1.0,0.045,0.034,0.049,0.105,0.857,0.112,0.465
7.06943,0.023,0.212,0.022,0.109,1.0,0.055,0.029,0.088,0.153,0.742,0.13,0.382
7.25628,0.062,0.146,0.041,0.051,1.0,0.089,0.075,0.074,0.197,0.655,0.312,0.272
7.61796,0.073,0.124,0.225,0.491,1.0,0.188,0.076,0.078,0.111,0.16,0.209,0.215
7.81905,0.145,0.063,0.249,0.1,1.0,0.131,0.214,0.031,0.599,0.044,0.084,0.677
7.99297,0.185,0.069,0.066,0.081,0.331,0.08,0.472,0.033,0.138,0.096,0.063,1.0
8.17855,0.125,0.089,0.1,0.105,1.0,0.145,0.485,0.036,0.193,0.047,0.109,0.94
8.53959,0.219,0.075,0.14,0.164,0.519,0.088,0.236,0.028,0.211,0.047,0.06,1.0
8.70739,0.134,0.193,0.09,0.123,0.379,0.082,0.201,0.075,0.093,0.252,0.096,1.0
8.93379,0.423,0.29,0.586,0.586,0.287,0.196,0.394,0.128,0.123,0.846,0.824,1.0
9.11946,0.042,0.195,0.028,0.06,0.047,0.097,1.0,0.047,0.028,0.035,0.078,0.277
9.88571,0.15,0.114,0.022,0.056,0.323,0.1,0.621,0.082,0.108,1.0,0.177,0.515
10.05415,0.208,0.069,0.035,0.074,0.034,0.088,0.51,0.11,0.04,0.056,0.197,1.0
10.26331,0.394,0.533,0.086,0.283,0.187,0.2,0.969,0.33,0.759,0.702,0.286,1.0
10.36798,0.497,0.339,0.083,0.377,0.224,0.503,0.634,0.092,0.091,0.22,0.145,1.0
10.61696,0.271,0.345,1.0,0.442,0.094,0.114,0.172,0.052,0.113,0.272,0.075,0.512
10.76757,0.097,0.28,0.098,0.167,0.09,0.128,0.608,0.076,0.062,0.078,0.221,1.0
11.13397,0.141,0.135,0.067,0.108,0.394,0.194,0.308,0.379,0.404,1.0,0.741,0.768
11.45356,0.709,0.489,0.098,0.367,0.998,0.74,0.52,0.285,0.274,1.0,0.583,0.576
11.66272,0.193,0.298,0.386,0.366,0.841,0.122,0.129,0.116,0.243,1.0,0.813,0.679
