start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.283,0.284,0.519,0.968,1.0,0.535,0.151,0.125,0.26,0.15,0.169,0.264
0.35388,0.051,0.192,1.0,0.606,0.102,0.038,0.053,0.033,0.034,0.103,0.053,0.044
0.76639,0.06,0.052,0.162,0.145,0.18,0.091,0.117,1.0,0.404,0.038,0.044,0.06
1.16086,0.063,0.082,0.143,0.159,0.279,0.102,0.085,0.149,0.242,1.0,0.187,0.065
1.66014,0.204,0.151,0.339,0.366,0.337,0.424,0.227,0.194,0.269,0.376,1.0,0.511
2.29224,0.058,0.047,0.728,0.372,0.033,0.023,0.025,0.038,0.05,0.127,1.0,0.847
2.58381,0.02,0.014,0.767,0.521,0.014,0.021,0.026,0.012,0.019,0.051,1.0,0.659
3.07751,0.016,0.013,0.264,0.198,0.012,0.016,0.02,0.01,0.019,0.076,1.0,0.535
3.55814,0.058,0.081,1.0,0.631,0.028,0.037,0.064,0.044,0.116,0.551,0.569,0.516
3.65619,0.176,0.133,0.228,0.289,0.106,0.091,0.108,0.101,0.15,0.17,0.789,1.0
4.01098,0.382,0.338,0.276,0.285,0.396,1.0,0.551,0.335,0.333,0.233,0.255,0.395
4.10952,0.025,0.028,0.115,0.097,0.081,0.075,0.12,1.0,0.301,0.046,0.033,0.035
4.59016,0.073,0.222,0.313,0.551,0.299,0.257,0.497,0.751,1.0,0.558,0.685,0.175
4.85701,0.167,0.229,0.828,0.301,0.266,0.315,0.436,1.0,0.465,0.181,0.135,0.145
5.29828,0.107,0.081,0.398,0.653,0.419,0.129,0.204,1.0,0.314,0.047,0.03,0.105
5.57302,0.054,0.083,0.376,1.0,0.427,0.136,0.215,0.893,0.824,0.197,0.09,0.084
5.85184,0.314,1.0,0.598,0.252,0.073,0.081,0.086,0.06,0.029,0.086,0.06,0.072
6.01995,0.163,0.119,0.478,0.77,0.732,0.31,0.571,1.0,0.295,0.138,0.09,0.146
6.32023,0.045,0.079,0.296,1.0,0.663,0.085,0.425,0.574,0.284,0.041,0.048,0.047
6.55293,0.04,0.107,1.0,0.606,0.081,0.063,0.065,0.203,0.191,0.081,0.049,0.03
6.80263,0.465,1.0,0.592,0.391,0.18,0.109,0.095,0.054,0.075,0.178,0.241,0.046
6.90952,0.078,0.377,1.0,0.472,0.219,0.048,0.042,0.095,0.091,0.152,0.041,0.05
7.23488,0.113,0.067,0.208,0.211,0.49,0.154,0.172,1.0,0.261,0.065,0.039,0.125
7.52086,0.145,0.146,0.471,1.0,0.617,0.182,0.415,0.421,0.461,0.442,0.309,0.281
7.75442,0.224,0.855,1.0,0.448,0.2,0.154,0.192,0.127,0.084,0.206,0.079,0.112
7.98744,0.131,0.155,0.125,0.268,0.515,0.186,0.648,1.0,0.279,0.124,0.081,0.143
8.26776,0.063,0.533,1.0,0.275,0.46,0.285,0.533,0.725,0.467,0.178,0.035,0.093
8.4127,0.069,0.103,0.253,0.292,0.143,0.181,0.263,1.0,0.469,0.108,0.377,0.123
8.74231,0.486,1.0,0.575,0.499,0.595,0.329,0.184,0.114,0.075,0.234,0.298,0.104
8.84508,0.13,0.203,0.167,0.118,0.074,0.058,0.123,1.0,0.525,0.082,0.132,0.023
8.99846,0.025,0.028,0.21,0.152,0.022,0.116,0.44,0.837,1.0,0.106,0.019,0.035
9.20599,0.099,0.044,0.103,0.205,0.48,0.168,0.115,1.0,0.525,0.07,0.052,0.102
9.48526,0.055,0.047,0.168,0.13,0.073,0.087,0.206,1.0,0.644,0.118,0.072,0.082
9.67669,0.1,0.256,1.0,0.528,0.243,0.123,0.099,0.355,0.287,0.189,0.047,0.063
9.96744,0.121,0.128,0.125,0.206,0.45,0.169,0.418,1.0,0.37,0.101,0.062,0.104
10.1702,0.033,0.448,0.815,1.0,0.798,0.223,0.24,0.37,0.278,0.121,0.054,0.061
10.31424,0.021,0.17,0.208,0.068,0.091,0.089,0.191,1.0,0.424,0.086,0.032,0.043
10.42961,0.075,0.13,0.513,0.802,0.291,0.101,0.196,1.0,0.573,0.193,0.417,0.157
10.73637,0.128,0.245,1.0,0.424,0.189,0.101,0.055,0.101,0.078,0.155,0.047,0.058
10.96562,0.161,0.332,0.608,0.303,0.06,0.035,0.175,0.467,0.477,1.0,0.864,0.054
11.11265,0.089,0.037,0.177,0.205,0.371,0.145,0.141,1.0,0.296,0.045,0.055,0.118
11.37778,0.073,0.093,0.279,0.425,0.268,0.173,0.234,1.0,0.6,0.161,0.078,0.084
11.65193,0.141,0.48,1.0,0.515,0.142,0.103,0.092,0.058,0.042,0.184,0.15,0.103
11.85955,0.148,0.119,0.443,0.425,0.565,0.213,0.533,1.0,0.265,0.118,0.101,0.15
12.14299,0.018,0.105,1.0,0.497,0.015,0.033,0.418,0.75,0.211,0.027,0.011,0.027
12.35905,0.072,0.189,0.439,0.788,0.372,0.145,0.154,1.0,0.945,0.249,0.773,0.232
12.66218,0.215,0.431,1.0,0.517,0.501,0.239,0.155,0.264,0.196,0.236,0.308,0.263
12.87429,0.015,0.036,1.0,0.611,0.036,0.06,0.235,0.494,0.438,0.099,0.033,0.027
13.11864,0.089,0.048,0.133,0.159,0.261,0.131,0.173,1.0,0.471,0.052,0.028,0.076
13.35483,0.165,0.118,0.187,0.141,0.128,0.16,0.368,0.692,1.0,0.663,0.405,0.221
13.59052,0.067,0.299,1.0,0.52,0.251,0.097,0.1,0.093,0.068,0.135,0.063,0.04
13.84385,0.322,0.207,0.288,0.367,0.737,0.405,0.65,1.0,0.422,0.171,0.122,0.275
14.07832,0.025,0.076,0.261,0.046,0.018,0.028,0.54,1.0,0.24,0.024,0.016,0.041
14.2985,0.167,0.198,0.731,1.0,0.248,0.151,0.16,0.307,0.345,0.547,0.527,0.275
14.57156,0.516,1.0,0.626,0.271,0.079,0.123,0.112,0.142,0.138,0.291,0.201,0.123
14.70163,0.189,0.465,1.0,0.792,0.429,0.128,0.058,0.415,0.398,0.155,0.047,0.116
15.01338,0.146,0.082,0.278,0.479,0.825,0.248,0.198,1.0,0.5,0.118,0.062,0.137
15.26358,0.107,0.112,0.385,0.238,0.175,0.243,0.245,0.623,0.56,1.0,0.385,0.167
15.48689,0.135,0.327,1.0,0.773,0.505,0.089,0.105,0.231,0.272,0.157,0.058,0.115
15.74961,0.19,0.252,0.69,0.485,0.57,0.233,0.939,1.0,0.368,0.195,0.114,0.215
