start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.329,0.29,0.284,0.624,0.342,0.256,0.363,0.314,1.0,0.371,0.353,0.333
1.02136,0.306,0.084,0.093,0.232,0.124,1.0,0.212,0.3,0.528,0.13,0.135,0.076
1.92871,0.399,0.046,0.032,0.034,0.056,1.0,0.111,0.105,0.028,0.102,0.033,0.051
2.18249,0.335,0.024,0.026,0.028,0.046,1.0,0.072,0.073,0.032,0.081,0.026,0.027
2.73379,1.0,0.161,0.197,0.127,0.266,0.328,0.128,0.904,0.112,0.166,0.167,0.34
3.35488,1.0,0.052,0.141,0.027,0.082,0.043,0.028,0.195,0.032,0.033,0.031,0.09
3.7151,1.0,0.055,0.066,0.018,0.077,0.072,0.041,0.416,0.036,0.03,0.034,0.097
4.07506,0.157,0.072,0.768,0.074,0.05,0.058,0.081,1.0,0.078,0.178,0.039,0.083
4.45868,0.055,0.033,0.613,0.024,0.031,0.044,0.047,1.0,0.067,0.082,0.019,0.081
5.49764,0.117,0.085,0.269,1.0,0.131,0.416,0.09,0.173,0.568,0.093,0.165,0.088
5.68902,0.271,0.111,0.212,0.613,0.226,1.0,0.115,0.19,0.95,0.113,0.357,0.229
5.97347,0.119,0.044,0.057,0.312,0.068,0.657,0.079,0.126,1.0,0.053,0.225,0.069
6.22263,0.166,0.045,0.066,0.869,0.062,1.0,0.101,0.115,0.923,0.051,0.119,0.074
6.45583,0.151,0.069,0.095,0.744,0.093,0.405,0.098,0.116,1.0,0.076,0.113,0.038
6.67615,0.057,0.031,0.057,0.325,0.068,0.315,0.07,0.125,1.0,0.051,0.144,0.028
6.9312,0.256,0.022,0.022,0.039,0.039,1.0,0.186,0.095,0.081,0.045,0.036,0.018
7.48336,0.213,0.017,0.019,0.029,0.05,1.0,0.281,0.106,0.013,0.041,0.008,0.012
7.72649,0.141,0.019,0.017,0.041,0.103,1.0,0.211,0.175,0.024,0.099,0.019,0.023
7.94163,0.685,0.047,0.046,0.044,0.096,1.0,0.407,0.477,0.031,0.18,0.065,0.069
8.17374,1.0,0.151,0.264,0.117,0.117,0.343,0.405,0.525,0.135,0.15,0.16,0.202
8.55079,1.0,0.075,0.06,0.048,0.119,0.314,0.156,0.883,0.093,0.063,0.09,0.153
9.02667,1.0,0.111,0.098,0.022,0.093,0.346,0.117,0.654,0.049,0.037,0.038,0.16
9.23007,1.0,0.065,0.133,0.022,0.076,0.237,0.21,0.874,0.064,0.028,0.029,0.138
9.51451,0.224,0.091,0.528,0.14,0.093,0.176,0.165,1.0,0.208,0.126,0.079,0.125
9.80989,0.142,0.094,0.635,0.093,0.039,0.096,0.156,1.0,0.126,0.142,0.03,0.09
9.9961,0.037,0.046,0.38,0.033,0.023,0.082,0.13,1.0,0.076,0.078,0.01,0.057
