start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.33143,0.342,0.048,0.056,0.347,0.028,0.046,0.357,0.314,1.0,0.157,0.509,0.183
0.58712,0.493,0.253,0.133,0.279,0.406,0.436,1.0,0.903,0.917,0.849,0.802,0.163
0.70086,0.768,0.387,0.267,0.438,0.066,0.081,0.17,0.156,0.318,0.166,1.0,0.181
0.83655,1.0,0.276,0.042,0.018,0.027,0.032,0.051,0.131,0.018,0.03,0.051,0.529
1.06286,0.094,0.212,0.424,1.0,0.358,0.094,0.241,0.357,0.32,0.117,0.372,0.103
1.27533,1.0,0.256,0.206,0.52,0.192,0.172,0.223,0.412,0.568,0.142,0.625,0.214
1.55107,0.706,0.147,0.144,0.41,0.121,0.413,0.977,0.827,1.0,0.197,0.41,0.247
1.699,1.0,0.52,0.268,0.764,0.228,0.157,0.161,0.26,0.875,0.29,0.293,0.402
1.80522,0.349,0.27,0.102,0.205,0.375,0.364,0.233,0.419,0.413,0.392,1.0,0.406
2.0381,0.111,0.154,0.058,0.13,0.324,1.0,0.247,0.11,0.164,0.027,0.015,0.035
2.2659,0.155,0.088,0.041,0.035,0.036,0.146,0.055,0.051,0.1,0.23,1.0,0.469
2.53723,1.0,0.747,0.199,0.34,0.24,0.358,0.507,0.582,0.7,0.434,0.784,0.465
2.68676,0.117,0.157,0.203,0.174,0.079,0.297,0.165,0.157,0.109,0.21,1.0,0.184
2.9098,0.133,0.055,0.052,0.022,0.024,0.47,0.06,0.041,0.028,0.127,1.0,0.417
3.04317,0.132,0.048,0.021,0.308,0.064,0.319,0.151,0.324,1.0,0.164,0.266,0.103
3.28989,1.0,0.869,0.134,0.152,0.055,0.106,0.112,0.098,0.297,0.291,0.75,0.036
3.41841,0.53,1.0,0.353,0.155,0.075,0.157,0.096,0.105,0.199,0.062,0.212,0.047
3.52948,0.442,1.0,0.329,0.621,0.337,0.165,0.153,0.155,0.158,0.199,0.288,0.058
3.64222,1.0,0.62,0.09,0.199,0.055,0.065,0.134,0.092,0.27,0.277,0.779,0.035
3.78458,0.135,0.268,0.177,1.0,0.492,0.096,0.069,0.124,0.612,0.096,0.852,0.189
3.98671,0.912,0.356,0.154,0.679,0.082,0.176,0.443,1.0,0.951,0.264,0.677,0.866
4.25637,0.37,0.324,0.251,0.809,0.754,0.568,0.948,1.0,0.851,0.775,0.404,0.301
4.41093,0.307,0.194,0.175,0.319,0.543,0.52,0.901,0.908,1.0,0.998,0.848,0.096
4.50857,0.177,0.14,0.094,0.45,0.395,0.397,1.0,0.894,0.949,0.852,0.65,0.074
4.63147,0.313,0.171,0.148,1.0,0.221,0.165,0.233,0.183,0.413,0.194,0.55,0.145
4.76268,1.0,0.279,0.055,0.027,0.025,0.035,0.046,0.148,0.027,0.031,0.122,0.6
4.96027,0.062,0.133,0.393,1.0,0.276,0.047,0.076,0.068,0.142,0.056,0.201,0.06
5.23918,1.0,0.115,0.059,0.114,0.051,0.07,0.11,0.293,0.218,0.081,0.184,0.142
5.49755,0.697,0.361,0.217,0.503,0.164,0.113,0.352,0.584,1.0,0.3,0.327,0.342
5.60458,1.0,0.417,0.172,0.41,0.17,0.182,0.233,0.22,0.576,0.188,0.209,0.321
5.74689,0.549,0.664,0.3,0.347,0.569,0.441,0.753,1.0,0.341,0.374,0.7,0.682
5.93243,0.198,0.148,0.1,0.151,0.373,1.0,0.17,0.133,0.463,0.087,0.047,0.092
6.22322,0.087,0.079,0.042,0.104,0.045,0.229,0.105,0.061,0.125,0.279,1.0,0.355
6.46204,0.937,0.535,0.192,0.233,0.182,0.302,0.497,0.483,0.765,0.639,1.0,0.43
6.58277,0.489,0.387,0.223,0.335,0.19,0.458,0.271,0.312,0.674,0.34,1.0,0.19
6.72803,0.102,0.068,0.053,0.035,0.079,0.48,0.244,0.18,0.117,0.146,1.0,0.127
6.95986,0.079,0.041,0.027,0.31,0.079,0.54,0.165,0.369,1.0,0.306,0.428,0.066
7.22041,1.0,0.879,0.122,0.051,0.047,0.09,0.115,0.097,0.302,0.257,0.732,0.07
7.36222,0.542,1.0,0.505,0.059,0.042,0.067,0.098,0.089,0.204,0.117,0.203,0.079
7.45646,0.416,1.0,0.643,0.713,0.331,0.193,0.247,0.299,0.321,0.227,0.333,0.108
7.57406,0.84,1.0,0.141,0.164,0.049,0.042,0.104,0.085,0.305,0.246,0.553,0.038
7.7185,0.204,0.243,0.183,1.0,0.484,0.03,0.03,0.055,0.027,0.076,0.699,0.17
7.93147,1.0,0.222,0.147,0.564,0.108,0.144,0.383,0.541,0.534,0.14,0.822,0.721
8.18499,0.072,0.031,0.058,0.312,0.04,0.045,0.131,0.388,1.0,0.122,0.242,0.049
8.43637,0.197,0.211,0.218,0.353,0.476,0.471,0.838,0.851,1.0,0.846,0.612,0.098
8.55079,0.66,0.662,0.441,0.984,0.546,0.638,0.626,0.631,1.0,0.531,0.823,0.334
8.69306,1.0,0.221,0.036,0.014,0.02,0.032,0.063,0.104,0.027,0.029,0.063,0.593
8.89878,0.11,0.085,0.235,1.0,0.299,0.081,0.11,0.132,0.105,0.057,0.352,0.119
9.1663,1.0,0.261,0.181,0.473,0.184,0.124,0.213,0.503,0.465,0.221,0.938,0.353
9.40331,0.457,0.256,0.153,0.172,0.168,0.194,0.517,0.683,1.0,0.285,0.591,0.217
9.5371,1.0,0.51,0.245,0.478,0.182,0.301,0.272,0.308,0.838,0.199,0.232,0.247
9.67651,1.0,0.115,0.062,0.062,0.144,0.272,0.182,0.262,0.112,0.165,0.181,0.303
9.91497,0.116,0.093,0.042,0.207,0.379,1.0,0.135,0.119,0.433,0.065,0.027,0.022
10.15678,0.085,0.05,0.034,0.066,0.036,0.126,0.057,0.122,0.113,0.244,1.0,0.299
10.4054,0.693,0.282,0.076,0.328,0.141,0.25,0.56,0.518,0.759,0.461,1.0,0.421
10.55342,0.663,0.455,0.228,0.28,0.161,0.496,0.714,0.522,0.489,0.481,1.0,0.171
10.6702,0.457,0.297,0.213,0.224,0.148,0.491,0.274,0.235,0.067,0.183,1.0,0.217
10.77964,0.137,0.064,0.055,0.049,0.053,0.463,0.084,0.048,0.045,0.155,1.0,0.278
10.90209,0.064,0.037,0.035,0.25,0.061,0.216,0.106,0.337,1.0,0.233,0.357,0.062
11.14472,1.0,0.996,0.087,0.092,0.046,0.095,0.117,0.114,0.332,0.305,0.675,0.123
11.28413,0.647,1.0,0.416,0.381,0.154,0.233,0.136,0.166,0.525,0.155,0.309,0.09
11.37728,0.341,1.0,0.516,0.744,0.286,0.205,0.181,0.166,0.191,0.253,0.374,0.091
11.53406,1.0,0.176,0.128,0.227,0.089,0.09,0.115,0.113,0.384,0.385,0.997,0.052
11.65596,0.051,0.227,0.154,1.0,0.501,0.032,0.016,0.043,0.177,0.044,0.647,0.114
11.88299,1.0,0.233,0.144,0.588,0.096,0.13,0.316,0.406,0.399,0.098,0.54,0.863
12.12612,0.074,0.052,0.035,0.252,0.071,0.074,0.096,0.15,1.0,0.208,0.226,0.102
12.38209,0.266,0.193,0.141,0.487,0.47,0.402,0.838,0.821,1.0,0.894,0.692,0.071
12.50277,0.792,0.389,0.222,1.0,0.182,0.171,0.261,0.246,0.467,0.332,0.849,0.32
12.62671,1.0,0.273,0.054,0.016,0.022,0.044,0.059,0.135,0.026,0.027,0.105,0.529
12.82975,0.073,0.113,0.28,1.0,0.309,0.067,0.075,0.171,0.183,0.075,0.163,0.056
13.1019,1.0,0.288,0.127,0.452,0.111,0.114,0.26,0.275,0.424,0.184,0.272,0.186
13.34612,1.0,0.277,0.079,0.177,0.087,0.139,0.488,0.436,0.53,0.155,0.202,0.305
13.48499,1.0,0.391,0.092,0.137,0.044,0.077,0.137,0.104,0.323,0.153,0.296,0.322
13.61837,0.457,0.654,0.311,1.0,0.487,0.547,0.208,0.089,0.083,0.153,0.269,0.23
13.79669,0.097,0.206,0.493,1.0,0.321,0.04,0.106,0.197,0.371,0.127,0.114,0.079
14.07193,0.119,0.112,0.039,0.17,0.038,0.191,0.076,0.074,0.141,0.204,1.0,0.363
14.33265,1.0,0.828,0.214,0.159,0.253,0.31,0.396,0.456,0.688,0.408,0.764,0.367
14.46762,0.512,0.76,0.572,0.889,0.414,0.696,0.6,0.409,0.774,0.282,1.0,0.429
14.59401,0.558,1.0,0.24,0.047,0.052,0.049,0.058,0.085,0.162,0.066,0.174,0.033
14.72286,0.817,1.0,0.648,0.645,0.155,0.176,0.134,0.133,0.162,0.162,0.735,0.658
14.80916,0.038,0.045,0.212,1.0,0.283,0.179,0.14,0.279,0.545,0.086,0.11,0.049
15.07184,0.904,0.926,0.247,0.28,0.207,0.387,0.465,1.0,0.842,0.19,0.256,0.868
15.30961,0.369,0.777,0.421,0.54,0.24,0.241,0.379,0.655,1.0,0.247,0.123,0.091
15.42349,0.959,1.0,0.105,0.108,0.059,0.065,0.135,0.131,0.405,0.313,0.601,0.133
15.56435,0.168,0.252,0.116,1.0,0.449,0.01,0.016,0.06,0.037,0.05,0.687,0.103
15.80771,0.901,0.555,0.647,1.0,0.469,0.247,0.195,0.707,0.707,0.271,0.556,0.771
16.06181,0.088,0.038,0.032,0.165,0.038,0.018,0.047,0.478,1.0,0.179,0.199,0.043
16.2932,1.0,0.247,0.075,0.257,0.074,0.098,0.233,0.49,0.438,0.202,0.156,0.359
16.56735,1.0,0.062,0.052,0.048,0.026,0.035,0.078,0.313,0.203,0.03,0.056,0.234
16.79859,0.174,0.124,0.219,1.0,0.08,0.086,0.116,0.119,0.142,0.081,0.328,0.07
17.2571,1.0,0.143,0.052,0.062,0.024,0.024,0.071,0.206,0.104,0.03,0.065,0.185
17.55415,0.475,0.792,0.062,0.061,0.057,0.181,0.211,0.232,1.0,0.132,0.074,0.233
18.0356,0.112,0.173,0.072,0.149,0.056,0.248,0.212,0.238,0.36,0.211,1.0,0.157
18.23333,0.875,0.441,0.279,0.104,0.054,0.404,0.113,0.168,0.197,0.159,1.0,0.345
18.76041,0.409,0.897,0.208,1.0,0.192,0.269,0.24,0.336,0.76,0.16,0.244,0.347
19.2717,1.0,0.935,0.263,0.2,0.144,0.129,0.214,0.251,0.486,0.261,0.387,0.335
19.40059,0.803,1.0,0.335,0.169,0.053,0.071,0.12,0.213,0.203,0.162,0.082,0.286
19.76059,0.513,0.299,0.457,0.488,0.133,0.146,0.85,1.0,0.635,0.222,0.598,0.583
19.95311,0.099,0.072,0.068,0.252,0.07,0.041,0.158,0.708,1.0,0.116,0.197,0.059
20.24866,1.0,0.044,0.036,0.142,0.036,0.025,0.055,0.207,0.439,0.096,0.129,0.332
20.48413,1.0,0.035,0.016,0.049,0.124,0.054,0.156,0.702,0.436,0.149,0.185,0.144
20.70757,0.149,0.073,0.149,1.0,0.067,0.053,0.086,0.314,0.473,0.105,0.216,0.057
21.21846,1.0,0.403,0.07,0.109,0.04,0.039,0.114,0.103,0.188,0.06,0.065,0.158
21.36753,1.0,0.164,0.043,0.067,0.055,0.049,0.081,0.091,0.097,0.078,0.094,0.314
21.44812,0.159,1.0,0.076,0.011,0.029,0.074,0.012,0.051,0.313,0.023,0.036,0.057
21.72798,0.163,0.336,0.151,0.301,0.073,0.044,0.304,1.0,0.924,0.326,0.125,0.07
21.84227,0.101,0.091,0.053,0.071,0.048,0.177,0.077,0.103,0.144,0.218,1.0,0.382
22.22658,0.186,0.118,0.088,0.074,0.038,0.111,0.114,0.078,0.201,0.306,1.0,0.239
22.33107,0.182,0.066,0.059,0.066,0.052,0.157,0.136,0.093,0.153,0.559,1.0,0.304
22.54644,0.152,0.077,0.039,0.023,0.02,0.16,0.063,0.084,0.397,0.828,1.0,0.193
22.67982,0.372,1.0,0.152,0.41,0.259,0.257,0.223,0.282,0.401,0.319,0.382,0.331
23.1849,0.609,1.0,0.208,0.513,0.268,0.116,0.161,0.181,0.298,0.165,0.258,0.101
23.32921,1.0,0.755,0.086,0.076,0.067,0.064,0.164,0.142,0.476,0.428,0.729,0.107
23.42816,0.334,0.154,0.111,0.242,0.035,0.085,0.088,0.627,1.0,0.567,0.818,0.442
23.68322,0.414,0.082,0.062,0.537,0.033,0.031,0.097,0.362,1.0,0.141,0.262,0.299
23.91107,0.097,0.028,0.038,0.159,0.028,0.037,0.129,0.388,1.0,0.174,0.25,0.077
24.15873,1.0,0.095,0.039,0.105,0.022,0.026,0.071,0.253,0.418,0.078,0.071,0.658
24.38698,1.0,0.194,0.012,0.022,0.034,0.039,0.037,0.118,0.064,0.081,0.152,0.263
24.67111,1.0,0.066,0.023,0.281,0.06,0.037,0.053,0.194,0.127,0.052,0.347,0.222
24.89728,1.0,0.082,0.025,0.206,0.033,0.04,0.064,0.094,0.146,0.046,0.246,0.177
25.14104,1.0,0.131,0.049,0.172,0.039,0.032,0.086,0.379,0.147,0.086,0.11,0.192
