start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.768,0.67,0.964,0.732,0.605,0.82,0.965,0.592,0.744,0.602,0.694,1.0
0.38068,0.42,0.55,0.356,0.368,0.291,0.313,0.257,0.924,0.535,1.0,0.399,0.154
1.30304,0.605,0.327,0.229,0.209,0.185,0.153,0.146,1.0,0.436,0.558,0.276,0.118
1.88435,1.0,0.266,0.039,0.009,0.026,0.02,0.017,0.013,0.023,0.062,0.01,0.067
2.25002,1.0,0.118,0.047,0.03,0.047,0.052,0.055,0.078,0.109,0.537,0.081,0.057
3.05057,1.0,0.383,0.037,0.008,0.021,0.008,0.01,0.028,0.021,0.068,0.013,0.373
3.17959,0.628,0.022,0.015,0.013,0.017,0.015,0.013,0.023,0.137,1.0,0.146,0.059
3.66327,1.0,0.046,0.008,0.016,0.022,0.011,0.014,0.025,0.116,0.646,0.046,0.06
4.19279,0.366,0.325,0.498,0.225,0.298,0.233,0.251,1.0,0.305,0.421,0.321,0.455
4.63247,0.134,0.32,0.377,0.38,1.0,0.196,0.189,0.665,0.363,0.233,0.292,0.173
5.09125,0.099,0.115,0.08,0.128,1.0,0.078,0.056,0.297,0.11,0.108,0.061,0.092
6.01229,0.056,0.047,0.05,0.183,1.0,0.087,0.075,0.214,0.103,0.029,0.034,0.058
6.52771,0.065,0.106,0.122,0.293,1.0,0.068,0.053,0.322,0.142,0.031,0.015,0.076
6.98925,0.069,0.107,0.119,0.427,1.0,0.146,0.086,0.779,0.3,0.047,0.13,0.251
7.46549,0.23,0.066,0.105,0.311,0.812,0.099,0.195,1.0,0.249,0.066,0.139,0.803
7.84844,0.119,0.083,0.04,0.043,0.117,0.06,0.162,1.0,0.17,0.058,0.038,0.156
7.98971,0.113,0.124,0.183,0.085,0.115,0.086,0.186,1.0,0.198,0.137,0.126,0.447
8.41841,0.526,0.483,0.184,0.14,0.363,0.337,0.867,1.0,0.979,0.968,0.374,0.309
8.5868,0.123,0.17,0.065,0.078,0.145,0.083,0.168,1.0,0.33,0.164,0.262,0.286
9.33841,0.686,1.0,0.958,0.956,0.716,0.717,0.629,0.628,0.557,0.556,0.185,0.134
9.41701,0.754,0.99,0.877,0.871,0.937,0.931,0.958,1.0,0.242,0.225,0.125,0.561
9.57188,0.394,0.549,0.061,0.023,0.024,0.054,0.414,1.0,0.19,0.011,0.006,0.135
9.8156,0.184,0.122,0.12,0.093,0.114,0.097,0.25,1.0,0.288,0.054,0.105,0.357
10.35043,0.643,0.497,0.148,0.084,0.106,0.07,0.12,0.596,0.025,0.027,0.04,1.0
10.68567,0.051,0.112,0.137,0.076,0.043,0.011,0.05,1.0,0.347,0.043,0.085,0.11
11.33855,0.059,0.036,0.035,0.025,0.02,0.011,0.195,1.0,0.353,0.077,0.038,0.188
11.77011,0.115,0.419,1.0,0.302,0.151,0.162,0.225,0.558,0.281,0.522,0.207,0.12
12.67025,0.081,0.26,1.0,0.123,0.039,0.054,0.155,0.24,0.136,0.293,0.149,0.037
13.17542,0.17,0.505,1.0,0.232,0.122,0.21,0.351,0.761,0.535,0.323,0.137,0.072
13.60567,0.583,0.695,0.636,0.504,0.332,0.128,0.449,0.972,0.713,1.0,0.256,0.211
14.01692,0.146,0.325,0.306,0.295,0.21,0.057,0.344,1.0,0.457,0.283,0.1,0.126
14.58308,0.018,0.25,1.0,0.107,0.025,0.011,0.145,0.236,0.177,0.224,0.039,0.015
15.05401,0.023,0.582,1.0,0.031,0.022,0.016,0.084,0.013,0.037,0.127,0.026,0.005
15.38558,0.107,0.471,0.566,0.235,0.078,0.2,1.0,0.09,0.258,0.647,0.174,0.066
15.61365,0.483,0.319,0.498,0.293,0.199,0.207,0.228,0.819,0.38,1.0,0.376,0.131
16.32222,0.716,0.547,0.088,0.507,0.444,0.269,0.223,0.244,0.189,1.0,0.349,0.115
16.54971,0.646,0.4,0.344,0.306,0.272,0.181,0.204,0.872,0.427,1.0,0.239,0.088
17.49188,0.504,0.203,0.153,0.145,0.188,0.152,0.125,0.689,0.485,1.0,0.23,0.126
18.40703,0.749,0.257,0.275,0.144,0.057,0.018,0.083,1.0,0.629,0.64,0.185,0.058
18.92698,0.639,0.048,0.027,0.034,0.034,0.012,0.061,0.633,0.408,1.0,0.112,0.037
19.43488,1.0,0.136,0.144,0.091,0.063,0.066,0.084,0.348,0.166,0.215,0.124,0.481
20.05424,0.776,0.272,0.136,0.139,0.109,0.085,0.085,1.0,0.205,0.272,0.192,0.23
21.27633,0.691,0.116,0.071,0.025,0.069,0.079,0.135,1.0,0.116,0.088,0.063,0.301
21.96154,1.0,0.432,0.017,0.005,0.016,0.003,0.185,0.458,0.066,0.007,0.004,0.399
22.21855,1.0,0.552,0.165,0.017,0.008,0.016,0.147,0.353,0.109,0.012,0.017,0.685
22.41855,0.27,0.228,0.014,0.009,0.008,0.011,0.133,1.0,0.106,0.006,0.008,0.157
22.73488,1.0,0.079,0.029,0.029,0.014,0.004,0.028,0.253,0.041,0.008,0.012,0.431
23.09234,1.0,0.62,0.09,0.166,0.168,0.199,0.242,0.533,0.198,0.105,0.118,0.599
23.30662,0.699,0.443,0.251,0.25,0.429,0.423,0.96,1.0,0.686,0.681,0.265,0.266
23.48136,0.807,1.0,0.236,0.106,0.038,0.042,0.229,0.678,0.371,0.036,0.049,0.314
23.67628,0.936,0.76,0.117,0.039,0.1,0.246,0.244,1.0,0.306,0.013,0.037,0.51
23.90943,0.496,0.6,0.445,0.44,0.637,0.639,1.0,0.992,0.824,0.824,0.442,0.241
23.981,0.574,0.436,0.04,0.046,0.396,0.379,0.935,1.0,0.82,0.811,0.235,0.329
24.12122,0.584,0.748,0.298,0.148,0.156,0.138,0.392,0.446,0.155,0.026,0.091,1.0
24.42145,0.459,0.297,0.076,0.099,0.107,0.034,0.227,1.0,0.292,0.014,0.039,0.281
24.71261,0.64,0.65,0.115,0.081,0.126,0.102,0.172,1.0,0.233,0.029,0.023,0.703
25.04444,0.648,0.462,0.025,0.078,0.054,0.023,0.251,0.785,0.064,0.039,0.108,1.0
25.37347,0.104,0.143,0.112,0.096,0.113,0.024,0.067,1.0,0.253,0.029,0.06,0.664
26.08082,0.064,0.058,0.048,0.023,0.015,0.011,0.047,1.0,0.324,0.081,0.074,0.344
27.05741,0.085,0.686,1.0,0.226,0.071,0.077,0.166,0.398,0.184,0.659,0.143,0.119
27.48694,0.253,1.0,0.097,0.082,0.065,0.066,0.251,0.239,0.254,0.256,0.055,0.018
27.66512,0.266,0.547,0.7,0.926,0.206,0.097,0.479,0.054,0.138,1.0,0.193,0.331
27.93429,0.082,0.351,1.0,0.091,0.047,0.05,0.121,0.262,0.132,0.222,0.134,0.046
28.43891,0.299,1.0,0.892,0.258,0.033,0.043,0.079,0.058,0.108,0.093,0.025,0.019
28.63161,0.195,1.0,0.888,0.093,0.017,0.039,0.133,0.023,0.036,0.126,0.045,0.056
28.89125,0.148,0.471,1.0,0.221,0.132,0.127,0.291,0.48,0.386,0.607,0.115,0.056
29.40059,0.115,0.367,1.0,0.2,0.11,0.045,0.113,0.407,0.254,0.261,0.044,0.062
29.82626,0.041,0.493,1.0,0.156,0.043,0.023,0.204,0.553,0.315,0.215,0.099,0.021
30.34757,0.043,0.41,1.0,0.183,0.035,0.057,0.332,0.543,0.267,0.135,0.039,0.014
30.79605,0.837,1.0,0.106,0.24,0.25,0.137,0.123,0.093,0.099,0.094,0.043,0.206
31.10494,0.237,0.354,0.167,0.389,0.336,0.318,0.485,1.0,0.476,0.823,0.635,0.251
31.49252,0.775,1.0,0.833,0.834,0.727,0.727,0.337,0.336,0.457,0.459,0.319,0.079
31.56041,0.444,0.296,0.052,0.055,0.135,0.109,0.758,0.757,0.993,1.0,0.49,0.07
31.72136,0.192,0.124,0.046,0.089,0.066,0.071,0.101,0.393,0.214,1.0,0.282,0.048
32.20041,0.7,0.595,0.185,0.184,0.659,0.648,0.998,1.0,0.924,0.928,0.624,0.058
32.30141,0.978,1.0,0.745,0.724,0.683,0.654,0.374,0.392,0.104,0.132,0.118,0.097
32.40054,1.0,0.812,0.068,0.039,0.062,0.075,0.083,0.077,0.109,0.748,0.319,0.182
32.63732,0.532,0.28,0.211,0.183,0.283,0.232,0.171,0.798,0.505,1.0,0.235,0.172
33.65982,0.395,0.28,0.073,0.048,0.053,0.024,0.049,0.091,0.247,1.0,0.373,0.103
33.9005,0.267,0.038,0.074,0.035,0.067,0.04,0.026,1.0,0.33,0.406,0.107,0.041
34.64,0.586,1.0,0.096,0.172,0.512,0.397,0.083,0.143,0.101,0.057,0.07,0.308
34.92408,0.721,1.0,0.285,0.326,0.462,0.169,0.076,0.084,0.036,0.047,0.032,0.124
35.12494,0.566,1.0,0.078,0.166,0.896,0.869,0.105,0.127,0.083,0.177,0.07,0.217
35.38621,0.416,0.666,0.365,0.4,0.689,0.653,0.955,1.0,0.879,0.869,0.413,0.094
35.53156,0.194,0.282,0.182,0.281,1.0,0.502,0.251,0.544,0.199,0.21,0.376,0.253
35.94177,0.885,1.0,0.193,0.067,0.988,0.313,0.08,0.315,0.092,0.049,0.085,0.208
36.25714,0.512,1.0,0.058,0.205,0.337,0.192,0.062,0.084,0.031,0.04,0.012,0.074
36.44821,0.078,0.092,0.07,0.127,1.0,0.082,0.065,0.291,0.125,0.062,0.076,0.08
37.50145,0.643,0.952,0.186,0.636,0.668,0.129,0.089,0.525,0.078,0.036,0.189,1.0
37.72594,0.109,0.129,0.148,0.424,0.785,0.433,0.21,1.0,0.644,0.161,0.141,0.115
38.10866,0.138,0.476,0.45,0.45,0.981,0.959,0.965,1.0,0.44,0.434,0.059,0.029
38.28667,0.381,1.0,0.063,0.649,0.938,0.469,0.046,0.442,0.104,0.025,0.095,0.381
38.48109,0.225,0.324,0.517,0.175,0.147,0.157,0.232,1.0,0.32,0.331,0.281,0.301
38.93456,0.09,0.41,0.436,0.224,0.24,0.13,0.202,1.0,0.542,0.355,0.4,0.373
39.4444,0.435,0.535,0.248,0.113,0.161,0.126,0.558,1.0,0.083,0.022,0.053,0.267
39.77306,1.0,0.85,0.436,0.05,0.107,0.038,0.108,0.435,0.311,0.074,0.059,0.748
39.97991,0.785,1.0,0.189,0.056,0.123,0.121,0.247,0.42,0.023,0.041,0.028,0.338
40.29215,0.532,0.271,0.101,0.074,0.168,0.167,0.742,0.72,1.0,0.999,0.731,0.064
40.43569,0.168,0.195,0.198,0.137,0.25,0.482,0.373,1.0,0.577,0.391,0.293,0.186
40.82535,0.184,0.285,0.259,0.099,0.114,0.052,0.167,1.0,0.217,0.09,0.04,0.202
41.31819,0.086,0.11,0.097,0.042,0.036,0.023,0.048,1.0,0.359,0.113,0.074,0.153
42.25723,0.561,1.0,0.305,0.243,0.205,0.116,0.095,0.056,0.096,0.08,0.104,0.158
42.49587,0.451,1.0,0.298,0.044,0.027,0.028,0.088,0.034,0.053,0.129,0.051,0.028
42.77782,0.277,1.0,0.775,0.187,0.063,0.199,0.278,0.062,0.116,0.088,0.026,0.095
42.97719,0.704,0.791,0.697,0.684,0.574,0.581,0.901,0.804,0.988,1.0,0.561,0.015
43.11941,1.0,0.974,0.911,0.909,0.807,0.808,0.698,0.683,0.683,0.683,0.659,0.58
43.20195,0.216,0.768,1.0,0.265,0.129,0.085,0.297,0.583,0.325,0.538,0.367,0.11
43.6644,0.186,0.336,1.0,0.224,0.173,0.209,0.424,0.653,0.494,0.202,0.114,0.073
44.08512,0.138,0.204,1.0,0.15,0.124,0.147,0.229,0.425,0.258,0.293,0.105,0.075
44.98485,0.903,0.783,0.025,0.025,0.427,0.432,0.931,0.898,0.998,1.0,0.855,0.005
45.08095,0.1,0.43,0.768,0.293,0.081,0.042,0.247,1.0,0.729,0.337,0.229,0.068
45.48308,0.727,1.0,0.312,0.31,0.549,0.554,0.881,0.85,0.66,0.674,0.181,0.016
45.60789,0.111,0.494,1.0,0.195,0.104,0.056,0.227,0.845,0.526,0.269,0.151,0.042
46.08404,0.784,1.0,0.071,0.128,0.141,0.176,0.112,0.162,0.126,0.405,0.116,0.17
46.33642,0.338,0.423,0.307,0.296,0.071,0.062,0.445,0.445,1.0,1.0,0.597,0.01
46.51406,0.375,0.514,0.508,0.217,0.117,0.252,0.358,0.833,0.555,1.0,0.488,0.096
46.94145,0.963,1.0,0.488,0.27,0.442,0.305,0.183,0.176,0.103,0.307,0.063,0.528
47.29252,0.32,0.124,0.062,0.067,0.101,0.093,0.621,0.622,0.998,1.0,0.508,0.028
47.47651,0.976,1.0,0.208,0.157,0.112,0.269,0.145,0.04,0.095,0.267,0.068,0.257
47.73329,0.382,0.244,0.205,0.2,0.334,0.331,0.728,0.73,1.0,1.0,0.679,0.018
47.86612,0.337,0.205,0.135,0.141,0.195,0.134,0.122,0.557,0.301,1.0,0.191,0.104
48.9434,0.227,0.266,0.249,0.104,0.053,0.021,0.072,1.0,0.46,0.522,0.226,0.083
