start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.031,0.084,0.534,1.0,0.062,0.021,0.021,0.02,0.024,0.044,0.103,0.015
0.46984,0.082,0.263,0.086,0.241,0.056,0.398,1.0,0.022,0.019,0.044,0.049,0.013
0.81769,0.053,0.065,0.06,0.111,0.024,0.086,0.231,0.01,0.025,0.143,0.578,1.0
1.31723,0.365,0.916,0.076,0.117,0.037,0.127,0.32,0.062,0.291,0.077,0.457,1.0
1.77016,0.265,0.797,0.432,1.0,0.052,0.06,0.141,0.034,0.086,0.051,0.219,0.283
2.17125,0.243,0.846,0.152,0.325,0.06,0.376,1.0,0.032,0.065,0.039,0.104,0.182
2.58816,0.168,0.476,0.068,0.14,0.026,0.086,0.25,0.01,0.024,0.055,0.402,1.0
2.99592,0.342,1.0,0.05,0.096,0.035,0.093,0.225,0.037,0.165,0.048,0.207,0.459
3.44785,0.328,1.0,0.056,0.033,0.032,0.047,0.031,0.055,0.211,0.016,0.034,0.05
3.86608,0.291,0.694,0.096,0.132,0.048,0.412,1.0,0.071,0.217,0.067,0.185,0.341
4.31841,0.159,0.414,0.024,0.036,0.016,0.075,0.16,0.027,0.104,0.053,0.395,1.0
4.70748,0.351,1.0,0.053,0.074,0.035,0.117,0.247,0.042,0.182,0.056,0.387,0.88
5.17224,0.299,1.0,0.036,0.016,0.038,0.064,0.054,0.017,0.064,0.013,0.057,0.11
5.58939,0.303,0.675,0.071,0.06,0.066,0.482,1.0,0.098,0.323,0.071,0.228,0.461
5.95075,0.116,0.255,0.024,0.034,0.021,0.099,0.249,0.012,0.04,0.061,0.404,1.0
6.38603,0.382,1.0,0.063,0.051,0.05,0.097,0.165,0.089,0.379,0.093,0.343,0.747
6.83791,0.329,0.884,0.04,0.035,0.031,0.125,0.292,0.034,0.143,0.079,0.627,1.0
7.22213,0.347,1.0,0.036,0.05,0.054,0.264,0.609,0.045,0.149,0.073,0.51,0.904
7.6444,0.163,0.398,0.008,0.013,0.018,0.059,0.147,0.015,0.047,0.074,0.49,1.0
8.1278,0.304,0.7,0.03,0.03,0.028,0.085,0.149,0.047,0.202,0.07,0.532,1.0
8.58027,0.106,0.26,0.022,0.02,0.011,0.077,0.197,0.017,0.086,0.044,0.541,1.0
9.02132,0.22,0.629,0.022,0.023,0.024,0.262,0.638,0.029,0.066,0.025,0.529,1.0
9.40367,0.148,0.399,0.011,0.015,0.012,0.067,0.189,0.008,0.037,0.058,0.43,1.0
9.81714,0.387,1.0,0.027,0.027,0.028,0.111,0.279,0.037,0.189,0.068,0.46,0.982
10.26372,0.403,1.0,0.057,0.035,0.099,0.502,0.867,0.112,0.291,0.068,0.143,0.221
11.10503,0.25,0.71,0.017,0.015,0.021,0.109,0.264,0.028,0.108,0.061,0.44,1.0
11.5112,0.365,1.0,0.03,0.033,0.046,0.146,0.27,0.05,0.221,0.072,0.277,0.561
11.98145,0.306,1.0,0.034,0.012,0.032,0.05,0.047,0.028,0.113,0.011,0.029,0.052
12.39937,0.265,0.645,0.039,0.028,0.049,0.388,1.0,0.058,0.178,0.041,0.164,0.319
