start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.993,0.879,0.898,0.909,0.847,0.878,0.977,0.877,0.985,0.903,0.927,1.0
1.09719,0.021,0.017,0.013,0.014,0.013,0.027,1.0,0.022,0.007,0.014,0.013,0.02
1.28853,0.023,0.012,0.086,0.01,0.021,1.0,0.057,0.017,0.041,0.047,0.897,0.025
1.92671,0.016,0.011,0.066,0.01,0.024,1.0,0.188,0.022,0.065,0.071,0.752,0.029
2.47256,0.086,0.057,0.104,0.608,0.111,1.0,0.199,0.07,0.108,0.127,0.82,0.064
3.06989,0.057,0.313,0.098,0.052,0.027,1.0,0.029,0.02,0.039,0.042,0.914,0.042
3.97061,1.0,0.158,0.034,0.045,0.022,0.319,0.029,0.036,0.03,0.028,0.277,0.075
4.24354,0.048,0.019,0.007,0.01,0.005,0.05,0.005,0.006,0.011,0.029,1.0,0.017
4.91615,0.019,0.013,0.009,0.009,0.005,0.162,0.013,0.022,1.0,0.027,0.411,0.015
5.57179,0.129,0.657,0.112,1.0,0.072,0.138,0.049,0.093,0.773,0.055,0.585,0.054
6.99955,0.061,0.153,0.039,0.309,0.037,0.36,0.041,0.064,1.0,0.085,0.978,0.046
8.59061,0.044,0.032,0.021,0.032,0.022,0.06,1.0,0.039,0.184,0.032,0.083,0.031
8.77773,0.026,0.019,0.078,0.012,0.021,1.0,0.035,0.022,0.062,0.126,0.822,0.041
9.05701,0.029,0.017,0.088,0.03,0.022,1.0,0.05,0.027,0.077,0.057,0.823,0.035
9.94508,0.082,0.585,0.052,0.029,0.04,1.0,0.054,0.036,0.088,0.07,0.614,0.052
10.22227,0.098,0.381,0.049,0.084,0.049,1.0,0.104,0.069,0.189,0.105,0.595,0.05
10.61166,0.321,0.048,0.049,0.019,0.021,0.75,0.02,0.038,0.041,0.041,1.0,0.074
11.58249,0.045,0.01,0.006,0.004,0.005,0.079,0.007,0.007,0.008,0.021,1.0,0.025
11.86576,0.019,0.006,0.004,0.014,0.004,0.031,0.012,0.022,1.0,0.017,0.153,0.008
12.56862,0.025,0.015,0.029,0.016,0.013,0.608,1.0,0.047,0.663,0.171,0.996,0.06
12.82254,0.044,0.015,0.03,0.028,0.016,0.732,0.489,0.055,1.0,0.076,0.882,0.048
13.24082,0.032,0.012,0.018,1.0,0.024,0.256,0.094,0.023,0.312,0.03,0.372,0.017
13.89642,1.0,0.033,0.013,0.137,0.019,0.082,0.035,0.027,0.34,0.017,0.073,0.024
14.51315,0.215,0.023,0.022,0.121,0.02,0.23,0.046,0.024,0.102,0.057,1.0,0.039
16.32395,0.033,0.021,0.008,0.014,0.012,0.025,1.0,0.018,0.012,0.008,0.027,0.017
16.57905,0.077,0.19,0.096,0.025,0.024,1.0,0.175,0.03,0.061,0.06,0.84,0.044
17.9088,1.0,0.09,0.038,0.05,0.036,0.436,0.118,0.057,0.072,0.045,0.294,0.127
18.58698,0.011,0.004,0.005,0.004,0.004,0.077,0.007,0.006,0.012,0.035,1.0,0.02
18.91238,0.022,0.007,0.007,0.006,0.006,0.101,0.009,0.021,1.0,0.051,0.718,0.016
19.26603,0.041,0.016,0.015,0.009,0.007,0.127,1.0,0.042,0.593,0.045,0.397,0.018
19.9415,0.022,0.01,0.019,1.0,0.022,0.033,0.077,0.025,0.167,0.021,0.212,0.01
20.5907,0.037,1.0,0.045,0.319,0.019,0.218,0.071,0.028,0.183,0.034,0.482,0.027
21.91361,1.0,0.187,0.017,0.072,0.013,0.056,0.049,0.024,0.044,0.017,0.088,0.025
22.58177,0.336,0.189,0.044,0.103,0.045,0.327,0.101,0.066,0.892,0.099,1.0,0.052
24.3917,0.037,0.026,0.012,0.016,0.013,0.027,1.0,0.024,0.054,0.013,0.026,0.022
24.60689,0.026,0.015,0.084,0.016,0.021,1.0,0.08,0.022,0.058,0.038,0.811,0.028
25.73864,0.067,0.052,0.081,0.347,0.076,1.0,0.174,0.062,0.132,0.11,0.767,0.052
26.32531,0.327,0.024,0.025,0.03,0.02,0.455,0.021,0.017,0.031,0.05,1.0,0.058
27.05719,0.019,0.007,0.006,0.013,0.004,0.05,0.013,0.018,1.0,0.012,0.082,0.008
