start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.696,0.362,0.166,0.111,0.122,0.078,0.027,0.045,0.038,0.05,0.752
0.26571,0.092,0.061,0.042,0.185,0.023,0.061,0.174,0.211,1.0,0.052,0.045,0.035
0.69605,0.151,0.551,0.076,0.257,0.053,1.0,0.923,0.099,0.853,0.052,0.519,0.044
1.38803,0.104,0.205,0.035,0.185,0.034,0.254,0.209,0.155,1.0,0.044,0.171,0.049
1.67098,0.068,0.041,0.013,0.053,0.027,0.158,0.286,0.515,1.0,0.274,0.034,0.031
1.90272,0.064,0.155,0.084,0.105,0.07,0.216,0.441,1.0,0.777,0.044,0.088,0.108
2.28254,0.31,0.46,0.08,0.202,1.0,1.0,0.134,0.321,0.059,0.041,0.039,0.072
3.00032,0.323,0.208,0.035,0.05,0.712,1.0,0.03,0.082,0.041,0.041,0.026,0.049
3.37161,0.275,0.525,0.662,0.096,0.298,1.0,0.073,0.085,0.293,0.113,0.029,0.053
4.11619,0.324,0.216,0.407,0.062,0.155,1.0,0.079,0.056,0.107,0.048,0.022,0.089
4.47501,0.479,0.083,0.089,0.417,0.183,1.0,0.123,0.11,0.174,0.138,0.27,0.325
5.20635,0.622,0.057,0.064,0.133,0.092,1.0,0.125,0.051,0.116,0.126,0.245,0.184
5.60204,0.835,0.137,0.093,0.147,0.141,1.0,0.12,0.064,0.187,0.295,0.541,0.44
5.74168,0.771,0.123,0.105,0.171,0.157,1.0,0.116,0.075,0.191,0.352,0.508,0.417
5.92694,0.237,0.026,0.035,0.073,0.104,1.0,0.111,0.049,0.104,0.179,0.116,0.175
6.22789,0.687,0.474,0.25,0.285,0.148,1.0,0.334,0.263,0.179,0.144,0.164,0.311
6.44444,0.58,0.285,0.301,0.325,0.266,1.0,0.246,0.16,0.417,0.246,0.4,0.529
6.58268,0.71,1.0,0.825,0.823,0.429,0.434,0.37,0.372,0.434,0.434,0.804,0.634
6.66431,0.671,0.417,0.078,0.23,0.801,1.0,0.11,0.334,0.082,0.102,0.1,0.169
7.261,0.814,0.566,0.417,0.421,1.0,0.433,0.247,0.245,0.227,0.261,0.154,0.259
7.35524,0.844,0.224,0.106,0.158,0.932,1.0,0.267,0.177,0.198,0.307,0.141,0.177
7.69365,0.324,0.456,0.507,0.115,0.212,1.0,0.099,0.088,0.208,0.129,0.071,0.106
8.38268,1.0,0.532,0.628,0.238,0.209,0.811,0.251,0.362,0.586,0.706,0.588,0.67
8.73147,0.392,0.069,0.07,0.419,0.261,1.0,0.14,0.123,0.149,0.096,0.397,0.324
9.45583,0.286,0.041,0.061,0.099,0.084,1.0,0.072,0.045,0.072,0.118,0.195,0.178
10.16358,1.0,0.214,0.154,0.271,0.204,0.964,0.202,0.198,0.423,0.388,0.748,0.643
10.34508,0.933,0.937,0.329,0.304,0.378,1.0,0.353,0.247,0.209,0.253,0.312,0.484
10.54254,0.55,0.26,0.19,0.261,0.406,1.0,0.155,0.11,0.299,0.18,0.465,0.488
10.67528,0.688,0.289,0.218,0.358,0.23,0.539,0.302,0.335,0.568,0.578,0.723,1.0
