start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.056,0.042,0.032,0.018,0.057,0.032,0.023,0.032,0.08,1.0,0.185,0.082
0.45256,1.0,0.154,0.084,0.071,0.493,0.111,0.07,0.127,0.063,0.751,0.086,0.409
0.63306,0.146,0.032,0.031,0.016,0.102,0.019,0.028,0.038,0.235,1.0,0.451,0.066
0.84712,0.335,0.125,0.06,0.088,0.545,0.122,0.055,0.151,0.21,1.0,0.155,0.182
1.22422,0.42,0.09,0.074,0.085,1.0,0.262,0.074,0.084,0.075,0.271,0.073,0.187
1.4049,0.524,0.05,0.128,0.089,1.0,0.11,0.067,0.04,0.07,0.188,0.043,0.177
1.64181,0.061,0.043,0.047,0.026,0.052,0.021,0.021,0.022,0.178,1.0,0.339,0.051
1.84662,0.079,0.016,0.01,0.009,0.066,0.013,0.013,0.026,0.125,1.0,0.171,0.05
2.02608,1.0,0.12,0.07,0.144,0.437,0.087,0.13,0.464,0.403,0.772,0.208,0.333
2.2459,0.853,0.23,0.082,0.062,0.345,0.108,0.12,0.297,0.18,1.0,0.148,0.321
2.4156,0.395,0.288,0.241,0.179,1.0,0.192,0.093,0.236,0.255,0.953,0.139,0.198
2.64726,0.091,0.015,0.007,0.015,0.068,0.006,0.01,0.018,0.071,1.0,0.137,0.043
2.83828,0.866,0.08,0.037,0.039,0.376,0.069,0.049,0.077,0.103,1.0,0.117,0.274
3.05247,1.0,0.086,0.102,0.062,0.386,0.042,0.04,0.255,0.124,0.856,0.073,0.178
3.239,0.097,0.177,1.0,0.262,0.083,0.093,0.033,0.026,0.042,0.304,0.099,0.112
3.43705,0.028,0.122,1.0,0.184,0.034,0.082,0.013,0.016,0.018,0.148,0.03,0.05
3.64576,0.26,0.311,0.947,0.158,0.13,1.0,0.092,0.068,0.075,0.5,0.095,0.127
3.83166,0.068,0.146,1.0,0.181,0.068,0.16,0.043,0.028,0.035,0.122,0.044,0.036
4.04095,0.214,0.339,1.0,0.292,0.163,0.072,0.077,0.102,0.064,0.536,0.09,0.174
4.25025,0.058,0.265,1.0,0.204,0.127,0.052,0.021,0.042,0.062,0.21,0.045,0.136
4.43986,0.628,0.199,0.867,0.184,0.201,0.696,0.12,0.354,0.235,1.0,0.183,0.084
4.842,0.129,0.177,0.03,0.051,0.05,0.051,0.241,1.0,0.185,0.067,0.116,0.229
5.02154,0.025,0.047,0.38,0.056,0.023,0.016,0.259,1.0,0.43,0.017,0.01,0.104
5.23737,0.172,0.129,0.392,0.092,0.192,0.138,0.283,0.702,0.201,0.173,0.115,1.0
5.45125,0.036,0.023,0.09,0.044,0.021,0.061,0.366,1.0,0.5,0.069,0.041,0.149
5.64145,0.347,1.0,0.577,0.52,0.612,0.613,0.557,0.593,0.604,0.586,0.529,0.287
5.70753,0.608,0.482,1.0,0.251,0.372,0.085,0.089,0.196,0.077,0.11,0.081,0.212
5.898,1.0,0.473,0.181,0.048,0.071,0.023,0.229,0.55,0.174,0.056,0.065,0.788
6.01447,0.192,0.161,1.0,0.224,0.111,0.045,0.107,0.158,0.061,0.081,0.069,0.336
6.25184,0.143,0.257,1.0,0.198,0.623,0.074,0.113,0.544,0.071,0.094,0.052,0.323
6.44304,0.059,0.063,0.094,0.053,0.106,0.026,0.033,0.04,0.128,1.0,0.456,0.105
6.6532,0.253,0.1,0.073,0.053,0.122,0.038,0.041,0.086,0.189,1.0,0.39,0.177
7.04694,0.182,0.04,0.038,0.018,0.087,0.018,0.019,0.024,0.201,1.0,0.497,0.058
7.24463,0.231,0.151,0.084,0.063,0.34,0.082,0.046,0.088,0.145,1.0,0.156,0.176
7.54063,0.504,0.29,0.183,0.095,0.076,0.033,0.09,0.204,0.519,1.0,0.537,0.245
7.63846,0.492,0.1,0.053,0.085,1.0,0.129,0.028,0.061,0.082,0.168,0.07,0.207
7.84259,0.539,0.13,0.176,0.128,1.0,0.094,0.054,0.1,0.084,0.263,0.075,0.235
