start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.966,1.0,0.965,0.965,0.529,0.529,0.599,0.599,0.588,0.588,0.938,0.877
0.06082,1.0,0.585,0.005,0.002,0.002,0.002,0.003,0.007,0.006,0.006,0.224,0.069
0.22549,1.0,0.463,0.044,0.04,0.024,0.015,0.024,0.059,0.024,0.018,0.03,0.407
0.48381,1.0,0.521,0.105,0.027,0.02,0.017,0.025,0.058,0.018,0.014,0.048,0.339
0.69524,0.965,1.0,0.152,0.154,0.172,0.142,0.241,0.24,0.378,0.359,0.311,0.358
0.82989,1.0,0.23,0.103,0.087,0.049,0.045,0.037,0.048,0.038,0.093,0.084,0.169
1.34662,0.67,1.0,0.181,0.16,0.138,0.152,0.47,0.529,0.948,0.891,0.923,0.193
1.46299,1.0,0.845,0.238,0.163,0.113,0.088,0.084,0.236,0.099,0.126,0.286,0.452
1.89351,1.0,0.369,0.113,0.072,0.03,0.046,0.043,0.111,0.033,0.029,0.046,0.221
2.15302,1.0,0.271,0.117,0.069,0.038,0.024,0.025,0.069,0.036,0.031,0.059,0.184
2.73782,1.0,0.797,0.079,0.061,0.033,0.044,0.068,0.112,0.104,0.093,0.294,0.16
2.90023,1.0,0.666,0.323,0.313,0.07,0.055,0.221,0.21,0.225,0.216,0.665,0.456
2.97723,1.0,0.579,0.224,0.156,0.124,0.168,0.108,0.133,0.176,0.131,0.06,0.461
3.22259,1.0,0.827,0.095,0.073,0.07,0.096,0.128,0.162,0.185,0.163,0.407,0.172
3.36689,1.0,0.604,0.022,0.026,0.033,0.041,0.037,0.051,0.021,0.028,0.209,0.13
3.52345,1.0,0.591,0.049,0.076,0.067,0.089,0.075,0.081,0.057,0.038,0.234,0.119
3.69637,1.0,0.44,0.205,0.244,0.181,0.132,0.153,0.156,0.145,0.21,0.198,0.397
4.16884,1.0,0.296,0.053,0.065,0.074,0.083,0.067,0.095,0.071,0.069,0.074,0.126
4.63955,1.0,0.96,0.117,0.055,0.062,0.088,0.138,0.155,0.167,0.147,0.286,0.052
4.79138,1.0,0.391,0.186,0.164,0.087,0.074,0.069,0.133,0.147,0.166,0.186,0.284
5.63501,1.0,0.152,0.121,0.156,0.033,0.049,0.039,0.086,0.039,0.044,0.038,0.256
5.92372,1.0,0.445,0.336,0.21,0.114,0.043,0.038,0.191,0.084,0.044,0.13,0.358
6.27066,1.0,0.395,0.097,0.112,0.054,0.055,0.057,0.132,0.07,0.074,0.065,0.18
6.96449,1.0,0.271,0.055,0.066,0.023,0.03,0.028,0.066,0.041,0.039,0.048,0.205
7.29234,1.0,0.411,0.094,0.091,0.084,0.057,0.065,0.108,0.077,0.093,0.116,0.254
