start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.141,0.074,0.055,0.352,0.051,0.08,0.297,0.058,0.042,0.108,0.039
3.07333,1.0,0.073,0.036,0.44,0.331,0.045,0.033,0.277,0.064,0.027,0.086,0.036
5.67683,1.0,0.135,0.055,0.994,0.517,0.078,0.053,0.401,0.135,0.042,0.108,0.043
7.01265,0.585,0.339,0.289,1.0,0.343,0.108,0.104,0.116,0.106,0.107,0.443,0.326
7.10422,0.585,0.336,0.064,1.0,0.366,0.069,0.076,0.094,0.038,0.04,0.293,0.047
7.25678,1.0,0.14,0.063,0.243,0.392,0.056,0.058,0.237,0.085,0.039,0.073,0.093
8.64816,1.0,0.268,0.043,0.16,0.772,0.064,0.023,0.305,0.064,0.022,0.023,0.322
8.87819,1.0,0.107,0.038,0.265,0.252,0.026,0.026,0.376,0.09,0.031,0.079,0.022
12.94363,1.0,0.21,0.042,0.044,0.151,0.022,0.027,0.335,0.076,0.013,0.032,0.03
16.23601,0.362,0.195,0.193,1.0,0.166,0.162,0.363,0.175,0.148,0.139,0.341,0.431
17.2229,0.786,0.483,0.286,1.0,0.228,0.145,0.516,0.315,0.331,0.517,0.65,0.729
17.38649,0.274,0.209,0.138,1.0,0.176,0.216,0.575,0.195,0.24,0.294,0.327,0.766
17.68957,0.199,0.256,0.277,0.706,0.223,0.403,1.0,0.306,0.242,0.317,0.507,0.875
18.64594,0.247,0.323,0.512,1.0,0.23,0.191,0.243,0.563,0.268,0.458,0.629,0.305
20.66603,0.647,1.0,0.581,0.185,0.11,0.136,0.209,0.504,0.407,0.315,0.548,0.424
20.85723,0.13,0.386,0.139,0.21,0.124,0.089,0.036,0.109,0.071,0.109,1.0,0.184
21.18245,0.124,0.123,0.097,0.165,0.11,0.084,0.079,0.096,0.115,0.179,1.0,0.272
22.00068,0.111,0.056,0.031,0.097,0.078,0.068,0.057,0.046,0.063,0.05,1.0,0.202
22.50091,0.037,0.035,0.073,1.0,0.11,0.041,0.06,0.04,0.013,0.018,0.633,0.06
24.36249,0.024,0.032,0.035,1.0,0.125,0.034,0.036,0.02,0.005,0.006,0.323,0.03
24.72912,0.009,0.019,0.097,1.0,0.279,0.019,0.053,0.012,0.005,0.004,0.251,0.023
25.02458,0.004,0.008,0.165,1.0,0.148,0.023,0.05,0.016,0.005,0.004,0.081,0.01
25.439,0.052,0.719,0.086,1.0,0.17,0.149,0.172,0.135,0.033,0.037,0.751,0.088
25.60658,0.004,0.006,0.047,1.0,0.053,0.019,0.012,0.02,0.005,0.004,0.096,0.012
26.30921,0.011,0.012,0.072,1.0,0.162,0.071,0.013,0.052,0.013,0.007,0.366,0.029
26.66807,0.016,0.01,0.042,1.0,0.048,0.045,0.011,0.049,0.01,0.006,0.176,0.02
28.15673,0.147,1.0,0.174,0.356,0.142,0.103,0.042,0.115,0.019,0.021,0.607,0.141
28.3219,0.108,0.076,0.079,0.489,0.086,0.083,0.016,0.081,0.022,0.022,1.0,0.176
28.94263,0.039,0.042,0.145,0.535,0.112,0.137,0.203,0.119,0.046,0.077,1.0,0.112
29.47107,0.033,0.035,0.052,1.0,0.082,0.063,0.061,0.047,0.026,0.029,0.382,0.043
30.20367,0.021,0.034,0.017,1.0,0.305,0.012,0.013,0.05,0.017,0.012,0.209,0.046
30.40077,0.045,0.041,0.038,1.0,0.372,0.064,0.086,0.082,0.028,0.037,0.797,0.173
30.92204,0.095,0.063,0.05,1.0,0.387,0.091,0.07,0.105,0.055,0.053,0.889,0.128
31.04531,0.099,0.084,0.084,0.7,0.137,0.095,0.053,0.092,0.077,0.067,1.0,0.134
31.49773,0.129,0.146,0.19,0.479,0.082,0.105,0.064,0.133,0.11,0.104,1.0,0.162
31.70649,0.237,0.229,0.509,0.73,0.183,0.272,0.182,0.437,0.25,0.187,1.0,0.221
31.95732,0.224,0.206,0.478,0.793,0.123,0.26,0.231,0.428,0.171,0.177,1.0,0.173
32.82141,0.215,0.266,0.252,0.616,0.152,0.212,0.12,0.265,0.126,0.209,1.0,0.221
33.01265,0.194,0.251,0.251,0.911,0.16,0.211,0.288,0.36,0.164,0.21,1.0,0.189
37.53515,0.167,0.175,0.084,0.209,0.059,0.08,0.171,1.0,0.134,0.063,0.106,0.06
38.13161,0.089,0.062,0.182,0.093,0.12,0.073,0.165,1.0,0.056,0.048,0.112,0.029
40.67424,0.048,0.096,0.597,0.083,0.018,0.038,0.172,1.0,0.17,0.043,0.292,0.11
40.86145,0.091,0.25,0.566,0.193,0.029,0.044,0.259,1.0,0.2,0.209,0.934,0.2
40.97211,0.016,0.027,0.62,0.043,0.028,0.069,0.068,1.0,0.066,0.087,0.359,0.073
41.53039,0.025,0.041,0.641,0.055,0.017,0.051,0.043,1.0,0.058,0.131,0.336,0.06
42.17179,0.015,0.037,0.312,0.032,0.011,0.022,0.056,1.0,0.06,0.086,0.08,0.09
42.88132,0.038,0.032,0.518,0.087,0.017,0.023,0.134,1.0,0.144,0.101,0.061,0.333
43.32703,0.017,0.021,0.235,0.032,0.01,0.016,0.062,1.0,0.096,0.032,0.021,0.147
43.95955,0.043,0.025,0.172,0.087,0.03,0.02,0.044,1.0,0.093,0.021,0.018,0.107
45.53356,0.055,0.257,0.445,1.0,0.382,0.191,0.233,0.227,0.085,0.058,0.295,0.141
46.16594,0.032,0.052,0.114,0.739,0.159,0.139,0.108,0.097,0.028,0.031,1.0,0.253
46.70608,0.078,0.055,0.044,0.253,0.095,0.063,0.077,0.099,0.03,0.043,1.0,0.119
48.11211,0.117,0.208,0.182,0.446,0.075,0.113,0.151,0.35,0.117,0.097,1.0,0.199
48.64703,0.151,0.27,0.284,0.567,0.13,0.202,0.204,0.315,0.168,0.197,1.0,0.256
50.88721,0.189,0.209,0.186,0.644,0.15,0.066,0.094,0.08,0.075,0.081,1.0,0.178
51.29846,0.297,0.147,0.048,0.397,0.065,0.021,0.066,0.055,0.021,0.083,1.0,0.104
51.57705,0.172,0.102,0.151,1.0,0.125,0.071,0.119,0.129,0.087,0.097,0.756,0.108
51.96571,0.04,0.06,0.056,1.0,0.087,0.03,0.107,0.078,0.041,0.04,0.211,0.034
52.39088,0.03,0.072,0.032,1.0,0.133,0.054,0.096,0.037,0.062,0.053,0.162,0.044
53.22531,0.086,0.048,0.017,1.0,0.101,0.018,0.018,0.021,0.019,0.013,0.088,0.041
53.58027,0.058,0.079,0.038,1.0,0.135,0.068,0.056,0.035,0.046,0.093,0.262,0.147
54.23002,0.252,0.056,0.016,0.677,0.067,0.049,0.225,0.033,0.015,0.025,0.197,1.0
54.56748,0.215,0.031,0.01,0.214,0.024,0.054,0.379,0.027,0.021,0.037,0.135,1.0
54.99651,1.0,0.193,0.105,0.428,0.105,0.07,0.766,0.288,0.364,0.38,0.885,0.893
55.08363,0.143,0.032,0.124,0.826,0.127,0.122,0.291,0.164,0.038,0.037,0.389,1.0
55.61769,0.03,0.024,0.048,1.0,0.099,0.075,0.04,0.045,0.014,0.012,0.148,0.206
56.5941,0.105,0.07,0.232,1.0,0.461,0.139,0.321,0.683,0.134,0.034,0.065,0.07
56.87234,0.113,0.077,0.282,0.401,0.238,0.087,0.285,1.0,0.219,0.064,0.135,0.402
57.28943,0.203,0.133,0.779,0.843,0.325,0.079,0.223,1.0,0.207,0.043,0.08,0.565
57.48766,0.269,0.092,0.48,0.328,0.149,0.042,0.094,1.0,0.205,0.041,0.054,0.821
57.71955,0.191,0.113,0.467,0.537,0.245,0.029,0.089,1.0,0.134,0.017,0.014,0.592
58.01392,0.12,0.04,0.832,0.417,0.134,0.099,0.092,1.0,0.171,0.026,0.038,0.74
58.44444,0.193,0.091,0.818,0.213,0.045,0.015,0.044,1.0,0.123,0.021,0.024,0.731
58.75184,0.16,0.056,1.0,0.295,0.04,0.011,0.023,0.691,0.07,0.015,0.017,0.746
58.93864,0.075,0.039,1.0,0.171,0.019,0.005,0.017,0.903,0.087,0.011,0.008,0.682
59.26249,0.076,0.029,0.643,0.111,0.022,0.024,0.029,1.0,0.084,0.024,0.017,0.614
59.95878,0.155,0.047,0.663,0.17,0.024,0.026,0.044,1.0,0.101,0.034,0.028,0.932
60.42399,0.084,0.029,0.368,0.103,0.005,0.006,0.016,1.0,0.037,0.011,0.008,0.591
60.72626,0.076,0.015,0.389,0.125,0.021,0.019,0.042,1.0,0.068,0.022,0.021,0.632
61.17347,0.032,0.019,0.274,0.077,0.024,0.023,0.031,1.0,0.057,0.011,0.01,0.193
61.61406,0.058,0.045,0.199,0.078,0.038,0.039,0.039,1.0,0.149,0.017,0.01,0.071
61.73673,0.042,0.04,0.241,0.118,0.053,0.072,0.102,1.0,0.104,0.028,0.516,0.215
62.19442,0.079,0.029,0.058,0.095,0.01,0.027,0.019,0.568,0.049,0.016,1.0,0.059
62.37556,0.103,0.024,0.033,0.166,0.019,0.025,0.018,0.195,0.015,0.009,1.0,0.081
62.67673,0.043,0.031,0.031,0.426,0.099,0.075,0.043,0.094,0.016,0.041,1.0,0.055
64.48667,0.016,0.025,0.024,0.565,0.031,0.035,0.047,0.012,0.012,0.006,1.0,0.115
64.84136,0.149,0.118,0.052,0.527,0.032,0.033,0.09,0.023,0.01,0.018,1.0,0.091
