start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.937,1.0,0.845,0.746,0.68,0.514,0.581,0.447,0.385,0.274,0.413,0.541
0.3888,1.0,0.284,0.034,0.029,0.122,0.035,0.045,0.339,0.068,0.085,0.151,0.378
0.58023,1.0,0.038,0.022,0.03,0.135,0.032,0.043,0.433,0.038,0.047,0.063,0.348
0.74331,0.519,0.396,0.446,1.0,0.188,0.057,0.055,0.325,0.177,0.247,0.319,0.14
1.09129,0.484,0.164,0.243,0.151,0.145,1.0,0.209,0.093,0.158,0.258,0.134,0.096
1.45215,1.0,0.083,0.093,0.118,0.419,0.568,0.15,0.109,0.445,0.113,0.107,0.141
1.62531,1.0,0.774,0.67,0.16,0.18,0.905,0.168,0.165,0.585,0.516,0.914,0.179
1.79478,0.762,0.583,0.817,0.149,0.164,0.596,0.203,0.186,0.216,0.283,1.0,0.318
1.96218,0.078,0.032,0.544,0.038,0.051,0.117,0.071,0.063,0.055,0.126,1.0,0.166
2.31002,0.74,1.0,0.636,0.411,0.682,0.939,0.318,0.26,0.481,0.515,0.383,0.444
2.6527,1.0,0.287,0.129,0.17,0.229,0.347,0.533,0.298,0.785,0.152,0.207,0.193
2.95474,0.287,0.79,1.0,0.442,0.297,0.178,0.195,0.406,0.534,0.569,0.571,0.16
3.1522,1.0,0.882,0.55,0.101,0.183,0.47,0.494,0.391,0.344,0.289,0.531,0.216
3.31646,1.0,0.349,0.021,0.01,0.052,0.047,0.068,0.194,0.065,0.05,0.329,0.146
3.48268,0.468,0.645,0.189,1.0,0.24,0.077,0.094,0.285,0.141,0.139,0.278,0.093
3.62322,0.51,0.707,1.0,0.547,0.453,0.268,0.193,0.43,0.357,0.495,0.457,0.303
3.83705,0.622,0.975,0.389,0.123,0.172,1.0,0.137,0.141,0.193,0.172,0.218,0.167
4.01088,0.344,0.055,0.031,0.075,0.077,1.0,0.078,0.081,0.077,0.075,0.037,0.048
4.17959,1.0,0.096,0.046,0.118,0.146,0.6,0.09,0.085,0.542,0.089,0.074,0.136
4.34789,0.224,1.0,0.825,0.158,0.114,0.475,0.155,0.123,0.258,0.204,0.156,0.061
4.5278,0.725,0.556,0.618,0.124,0.113,0.638,0.209,0.136,0.348,0.357,1.0,0.214
4.702,0.087,0.045,0.913,0.06,0.045,0.173,0.095,0.093,0.109,0.169,1.0,0.178
5.03215,0.441,0.563,1.0,0.445,0.299,0.553,0.147,0.197,0.326,0.468,0.633,0.32
5.21991,0.918,1.0,0.558,0.302,0.14,0.75,0.246,0.191,0.139,0.178,0.141,0.162
5.38122,0.91,0.363,0.105,0.183,0.176,0.362,1.0,0.27,0.714,0.148,0.199,0.202
5.54916,1.0,0.12,0.135,0.163,0.219,0.662,0.654,0.39,0.922,0.154,0.133,0.162
