start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.165,0.254,0.338,1.0,0.69,0.217,0.22,0.317,0.298,0.316,0.243,0.229
0.38866,0.094,1.0,0.882,0.033,0.036,0.015,0.014,0.014,0.013,0.014,0.012,0.018
0.63265,0.06,0.922,1.0,0.125,0.085,0.058,0.06,0.048,0.041,0.047,0.03,0.042
0.87651,0.091,0.971,1.0,0.22,0.206,0.115,0.108,0.073,0.081,0.1,0.074,0.067
1.12045,0.26,0.878,1.0,0.381,0.366,0.423,0.384,0.329,0.308,0.301,0.216,0.216
1.36426,0.048,1.0,0.818,0.051,0.03,0.026,0.02,0.019,0.02,0.018,0.015,0.02
1.84562,0.152,1.0,0.976,0.146,0.08,0.236,0.213,0.08,0.09,0.075,0.067,0.045
2.07229,0.211,0.552,0.189,0.251,0.036,0.905,1.0,0.089,0.042,0.03,0.031,0.029
2.22902,0.204,0.374,0.252,0.278,0.026,0.777,1.0,0.028,0.023,0.019,0.037,0.018
2.34531,0.093,1.0,0.901,0.05,0.014,0.009,0.01,0.008,0.008,0.005,0.006,0.01
2.58912,0.017,0.826,1.0,0.044,0.02,0.046,0.039,0.018,0.018,0.014,0.012,0.019
2.92444,0.383,1.0,0.044,0.054,0.034,0.073,0.053,0.052,0.06,0.049,0.04,0.041
3.07079,0.096,0.828,1.0,0.211,0.117,0.3,0.264,0.093,0.111,0.105,0.083,0.061
3.32109,0.056,1.0,0.808,0.032,0.013,0.01,0.007,0.009,0.011,0.007,0.008,0.011
3.69288,0.526,1.0,0.005,0.011,0.008,0.013,0.008,0.006,0.014,0.014,0.08,0.004
3.81723,0.099,1.0,0.964,0.079,0.055,0.08,0.082,0.051,0.048,0.035,0.034,0.03
4.05669,0.129,0.943,1.0,0.138,0.049,0.093,0.076,0.092,0.187,0.129,0.077,0.098
4.299,0.579,1.0,0.007,0.006,0.008,0.015,0.015,0.009,0.012,0.011,0.135,0.006
4.42195,0.574,1.0,0.003,0.003,0.003,0.005,0.005,0.004,0.011,0.011,0.115,0.003
4.54902,0.092,0.897,1.0,0.218,0.045,0.101,0.094,0.04,0.038,0.032,0.02,0.029
4.75891,0.336,1.0,0.075,0.07,0.05,0.096,0.091,0.076,0.068,0.053,0.055,0.057
4.91968,0.534,1.0,0.018,0.026,0.03,0.057,0.052,0.027,0.02,0.02,0.112,0.01
5.03896,0.132,0.832,1.0,0.302,0.123,0.502,0.531,0.134,0.133,0.106,0.119,0.097
5.27664,0.076,1.0,0.906,0.047,0.015,0.012,0.009,0.008,0.006,0.005,0.006,0.014
5.52717,0.512,1.0,0.066,0.093,0.013,0.269,0.286,0.016,0.027,0.025,0.07,0.007
5.65306,0.561,1.0,0.027,0.026,0.008,0.027,0.046,0.013,0.014,0.013,0.112,0.005
5.7712,0.09,1.0,0.957,0.081,0.066,0.112,0.108,0.064,0.066,0.049,0.049,0.038
6.02363,0.533,1.0,0.129,0.064,0.056,0.061,0.096,0.078,0.159,0.085,0.139,0.06
6.14109,0.338,1.0,0.294,0.181,0.117,0.414,0.351,0.268,0.458,0.185,0.085,0.16
6.26277,0.098,1.0,0.864,0.041,0.026,0.024,0.009,0.014,0.014,0.008,0.008,0.018
6.50821,0.074,1.0,0.603,0.13,0.121,0.331,0.252,0.083,0.092,0.084,0.054,0.053
6.99583,0.159,1.0,0.996,0.155,0.08,0.269,0.212,0.074,0.08,0.072,0.036,0.032
7.21605,0.064,1.0,0.909,0.064,0.025,0.028,0.017,0.01,0.01,0.014,0.012,0.027
7.48698,0.516,1.0,0.007,0.007,0.007,0.01,0.017,0.014,0.028,0.027,0.074,0.008
7.61265,0.596,1.0,0.005,0.007,0.004,0.005,0.01,0.011,0.006,0.006,0.149,0.003
7.72458,0.126,1.0,0.932,0.083,0.093,0.188,0.179,0.08,0.08,0.077,0.066,0.046
7.96744,0.264,0.537,0.179,0.256,0.023,0.929,1.0,0.042,0.018,0.012,0.05,0.019
8.10045,0.315,0.555,0.256,0.309,0.06,0.823,1.0,0.076,0.067,0.062,0.098,0.016
8.22132,0.087,1.0,0.907,0.052,0.014,0.011,0.009,0.008,0.005,0.004,0.005,0.011
8.46608,0.013,0.68,1.0,0.062,0.02,0.097,0.061,0.009,0.013,0.013,0.016,0.017
8.83664,0.529,1.0,0.04,0.028,0.021,0.114,0.075,0.014,0.016,0.015,0.114,0.017
8.959,0.173,0.867,1.0,0.262,0.136,0.284,0.248,0.159,0.134,0.123,0.111,0.101
9.20036,0.089,1.0,0.898,0.046,0.015,0.005,0.005,0.007,0.007,0.004,0.005,0.01
9.44481,0.516,1.0,0.017,0.01,0.007,0.027,0.016,0.016,0.031,0.031,0.079,0.014
9.57002,0.587,1.0,0.006,0.005,0.004,0.014,0.014,0.01,0.01,0.009,0.144,0.004
9.68249,0.082,0.997,1.0,0.05,0.043,0.111,0.102,0.039,0.032,0.037,0.029,0.033
9.93483,0.485,1.0,0.074,0.038,0.014,0.062,0.042,0.046,0.103,0.076,0.105,0.041
10.06,0.402,1.0,0.143,0.068,0.028,0.114,0.098,0.097,0.193,0.128,0.085,0.108
10.18336,0.095,1.0,0.892,0.048,0.016,0.01,0.004,0.008,0.006,0.004,0.007,0.009
10.42658,0.018,0.638,1.0,0.043,0.023,0.079,0.046,0.013,0.015,0.019,0.015,0.013
10.91442,0.13,0.882,1.0,0.241,0.133,0.246,0.231,0.106,0.12,0.113,0.105,0.084
11.15048,0.101,1.0,0.917,0.063,0.016,0.011,0.011,0.008,0.006,0.007,0.007,0.014
11.39052,0.091,1.0,0.888,0.104,0.021,0.044,0.052,0.009,0.011,0.013,0.012,0.028
11.65007,0.554,1.0,0.162,0.144,0.082,0.494,0.64,0.089,0.102,0.102,0.174,0.025
11.77016,0.521,1.0,0.034,0.056,0.036,0.155,0.135,0.032,0.032,0.03,0.083,0.019
11.899,0.531,1.0,0.128,0.082,0.057,0.177,0.163,0.072,0.176,0.119,0.136,0.088
12.0171,0.448,0.873,0.317,0.229,0.18,1.0,0.74,0.278,0.314,0.256,0.189,0.132
12.14399,0.545,1.0,0.007,0.003,0.005,0.009,0.007,0.005,0.01,0.008,0.098,0.002
12.27288,0.636,1.0,0.006,0.005,0.004,0.008,0.013,0.01,0.013,0.012,0.18,0.002
12.38617,0.016,0.595,1.0,0.047,0.027,0.094,0.044,0.011,0.013,0.017,0.013,0.015
12.87478,0.111,0.888,1.0,0.23,0.072,0.194,0.159,0.055,0.059,0.052,0.03,0.024
13.08943,0.085,1.0,0.938,0.079,0.032,0.031,0.022,0.012,0.012,0.016,0.014,0.031
13.34975,0.032,0.935,1.0,0.057,0.012,0.021,0.016,0.009,0.01,0.004,0.006,0.023
13.60145,0.048,1.0,0.978,0.049,0.056,0.115,0.085,0.03,0.034,0.027,0.032,0.02
13.97732,0.499,1.0,0.017,0.022,0.025,0.084,0.075,0.029,0.038,0.037,0.072,0.015
14.10204,0.096,1.0,0.898,0.052,0.016,0.009,0.005,0.009,0.007,0.004,0.006,0.011
14.34385,0.455,1.0,0.086,0.057,0.062,0.349,0.276,0.072,0.102,0.098,0.078,0.015
14.47605,0.056,0.838,1.0,0.2,0.047,0.379,0.079,0.017,0.021,0.02,0.149,0.067
14.7088,0.522,1.0,0.014,0.02,0.022,0.074,0.055,0.02,0.021,0.021,0.151,0.027
14.83315,0.222,0.629,0.655,0.279,0.194,1.0,0.5,0.136,0.157,0.142,0.353,0.205
15.07546,0.081,1.0,0.899,0.048,0.014,0.006,0.007,0.007,0.005,0.004,0.007,0.013
15.32299,0.069,0.934,1.0,0.156,0.009,0.148,0.2,0.011,0.01,0.007,0.01,0.021
15.56073,0.086,1.0,0.963,0.075,0.068,0.145,0.135,0.054,0.065,0.052,0.046,0.036
15.81147,0.467,1.0,0.106,0.047,0.044,0.083,0.154,0.075,0.184,0.076,0.077,0.053
15.94612,0.582,1.0,0.081,0.035,0.049,0.212,0.152,0.106,0.183,0.047,0.158,0.031
16.05429,0.077,1.0,0.894,0.042,0.014,0.008,0.007,0.008,0.009,0.004,0.005,0.013
16.30707,0.063,0.873,1.0,0.187,0.038,0.241,0.239,0.04,0.04,0.03,0.023,0.031
16.55338,0.064,0.91,1.0,0.086,0.051,0.146,0.145,0.027,0.037,0.026,0.018,0.018
16.78567,0.099,0.855,1.0,0.332,0.075,0.457,0.847,0.074,0.074,0.066,0.031,0.026
17.03615,0.042,1.0,0.825,0.027,0.017,0.018,0.015,0.01,0.013,0.009,0.009,0.012
17.51941,0.132,1.0,0.983,0.115,0.052,0.153,0.141,0.038,0.041,0.041,0.017,0.018
17.74322,0.376,1.0,0.236,0.112,0.049,0.077,0.06,0.103,0.389,0.229,0.105,0.152
17.89587,0.468,1.0,0.136,0.05,0.045,0.217,0.145,0.096,0.142,0.119,0.118,0.077
18.01628,0.552,1.0,0.008,0.005,0.006,0.011,0.011,0.007,0.013,0.012,0.109,0.005
18.14313,0.605,1.0,0.005,0.004,0.003,0.005,0.011,0.014,0.017,0.013,0.148,0.004
18.26254,0.022,0.687,1.0,0.067,0.037,0.111,0.075,0.027,0.029,0.031,0.021,0.026
18.63383,0.569,1.0,0.035,0.042,0.087,0.204,0.18,0.089,0.088,0.08,0.16,0.048
18.75107,0.13,1.0,1.0,0.172,0.128,0.296,0.241,0.102,0.095,0.09,0.046,0.045
18.99338,0.039,1.0,0.805,0.027,0.016,0.019,0.013,0.011,0.014,0.009,0.009,0.013
19.47896,0.146,1.0,0.964,0.107,0.073,0.21,0.18,0.052,0.062,0.055,0.03,0.027
19.70118,0.36,1.0,0.255,0.122,0.057,0.088,0.073,0.11,0.396,0.239,0.108,0.164
19.85379,0.458,0.469,1.0,0.663,0.348,0.292,0.25,0.161,0.143,0.116,0.096,0.324
20.07719,0.493,1.0,0.02,0.02,0.013,0.041,0.033,0.023,0.028,0.025,0.068,0.014
20.21769,0.089,1.0,0.795,0.09,0.085,0.235,0.181,0.07,0.075,0.064,0.043,0.043
