start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.734,1.0,0.212,0.193,0.19,0.21,0.165,0.175,0.183,0.199,0.185,0.314
0.25778,0.053,0.081,0.008,0.018,0.02,0.031,0.044,0.03,0.038,1.0,0.028,0.024
0.54553,0.115,0.117,0.132,0.117,0.057,0.101,0.083,0.573,0.154,1.0,0.101,0.101
1.15515,0.092,0.194,1.0,0.153,0.036,0.043,0.59,0.139,0.062,0.384,0.024,0.078
1.49279,0.078,0.042,0.282,0.068,0.046,0.028,0.075,0.026,0.049,1.0,0.08,0.102
1.77506,0.082,0.097,1.0,0.112,0.03,0.024,0.065,0.037,0.037,0.732,0.04,0.084
2.06753,0.057,0.048,0.403,0.073,0.047,0.039,0.044,0.07,0.097,1.0,0.079,0.022
2.3395,0.179,0.298,0.682,0.107,0.102,0.129,0.064,0.495,0.193,1.0,0.082,0.09
2.62458,0.276,0.111,0.722,0.147,0.067,0.05,0.55,0.321,0.192,1.0,0.048,0.228
2.97732,0.083,0.109,0.184,0.119,0.638,0.137,0.108,0.076,0.101,1.0,0.065,0.217
3.62567,0.121,1.0,0.116,0.058,0.555,0.05,0.085,0.114,0.184,0.676,0.153,0.372
4.21451,0.09,0.205,0.211,0.042,0.148,0.049,0.029,0.025,0.096,1.0,0.195,0.108
4.49361,0.206,0.381,0.082,0.079,1.0,0.069,0.017,0.021,0.062,0.749,0.123,0.199
4.81778,0.129,0.159,0.102,0.06,0.101,0.06,0.539,0.091,0.058,0.142,0.085,1.0
5.62068,0.116,0.229,0.215,0.044,0.395,0.041,0.667,0.056,0.06,0.036,0.044,1.0
5.93891,0.075,0.062,0.078,0.034,0.038,0.027,0.364,0.078,0.032,0.031,0.065,1.0
6.56481,0.035,0.06,0.244,0.055,0.056,0.034,0.129,1.0,0.186,0.081,0.031,0.056
7.20313,0.112,0.125,1.0,0.083,0.048,0.049,0.078,0.564,0.157,0.119,0.095,0.75
7.79197,0.039,0.041,0.354,0.026,0.018,0.023,0.103,1.0,0.134,0.032,0.014,0.088
8.25946,0.114,0.185,0.436,0.058,0.042,0.04,0.141,1.0,0.16,0.03,0.027,0.557
8.39977,0.028,0.093,1.0,0.169,0.111,0.045,0.12,0.077,0.067,0.628,0.056,0.041
9.24054,0.054,0.138,0.139,0.024,0.134,0.021,0.241,0.044,0.071,1.0,0.102,0.243
9.51456,0.033,0.411,1.0,0.242,0.048,0.014,0.071,0.017,0.032,0.491,0.057,0.071
9.78263,0.039,0.35,1.0,0.184,0.039,0.016,0.1,0.23,0.049,0.42,0.024,0.052
10.09447,0.069,0.083,0.05,0.039,0.033,0.036,0.845,0.07,0.037,0.075,0.042,1.0
10.65107,0.098,0.141,0.457,0.075,0.058,0.039,0.556,0.3,0.057,0.089,0.044,1.0
11.19147,0.096,0.056,0.055,0.023,0.011,0.02,0.129,0.038,0.016,0.038,0.035,1.0
11.48299,0.097,0.079,0.044,0.031,0.019,0.017,0.133,0.059,0.084,0.635,0.036,1.0
11.81791,0.056,0.107,0.375,0.101,0.05,0.04,0.155,1.0,0.135,0.121,0.046,0.222
12.37079,0.029,0.061,0.432,0.047,0.053,0.086,0.127,1.0,0.164,0.066,0.036,0.221
13.57923,0.116,0.447,0.13,0.111,0.516,0.137,0.098,0.149,0.065,1.0,0.117,0.14
14.59519,0.103,0.157,0.051,0.049,0.18,0.016,0.061,0.109,0.102,1.0,0.044,0.135
14.91229,0.1,0.171,0.034,0.031,0.063,0.039,0.029,0.021,0.054,1.0,0.048,0.086
15.20354,0.479,0.75,0.089,0.102,0.333,0.19,0.108,0.975,0.237,1.0,0.077,0.374
15.51048,0.039,0.242,1.0,0.15,0.01,0.01,0.302,0.036,0.022,0.184,0.013,0.008
15.82045,0.043,0.393,1.0,0.165,0.086,0.013,0.202,0.045,0.07,0.893,0.12,0.053
16.09261,0.059,0.361,1.0,0.12,0.124,0.094,0.866,0.07,0.103,0.649,0.188,0.034
16.35356,0.041,0.152,0.388,0.055,0.096,0.032,0.303,0.049,0.064,1.0,0.158,0.056
16.59556,0.04,0.34,1.0,0.203,0.033,0.023,0.363,0.035,0.046,0.381,0.056,0.04
16.8639,0.05,0.241,1.0,0.092,0.055,0.013,0.353,0.048,0.077,0.655,0.051,0.05
17.21125,0.067,0.09,0.299,0.084,0.067,0.04,0.128,1.0,0.164,0.156,0.038,0.122
17.73923,0.103,0.136,1.0,0.16,0.051,0.048,0.093,0.881,0.108,0.217,0.074,0.841
18.30385,0.051,0.07,0.22,0.059,0.027,0.019,0.097,1.0,0.174,0.406,0.023,0.123
18.57592,0.095,0.103,0.645,0.036,0.043,0.027,0.283,1.0,0.145,0.202,0.019,0.23
18.88889,0.056,0.072,0.126,0.077,0.423,0.093,0.071,0.105,0.096,1.0,0.087,0.088
19.33098,0.309,0.202,0.119,0.115,0.521,0.112,1.0,0.194,0.177,0.78,0.211,0.18
19.47664,0.171,1.0,0.133,0.119,0.949,0.176,0.386,0.14,0.211,0.583,0.129,0.383
20.04091,0.007,0.04,0.109,0.023,0.106,0.009,0.025,0.038,0.066,1.0,0.106,0.029
20.3132,0.255,0.14,0.073,0.063,0.906,0.069,0.033,0.054,0.06,1.0,0.139,0.248
20.65442,0.078,0.065,0.04,0.055,0.077,0.063,0.379,0.087,0.046,0.105,0.068,1.0
21.12494,0.414,0.263,0.071,0.07,0.066,0.097,0.586,0.459,0.096,0.107,0.101,1.0
21.2522,0.146,0.16,0.292,0.049,0.07,0.065,0.546,0.107,0.027,0.091,0.048,1.0
21.50685,0.102,0.211,0.168,0.047,0.441,0.078,0.377,0.09,0.032,0.106,0.039,1.0
21.84989,0.077,0.054,0.122,0.036,0.063,0.044,0.352,0.038,0.026,0.034,0.043,1.0
22.48463,0.071,0.094,0.318,0.097,0.063,0.063,0.165,1.0,0.154,0.118,0.055,0.235
23.12698,0.108,0.093,1.0,0.076,0.035,0.022,0.062,0.563,0.074,0.13,0.06,0.524
23.78336,0.034,0.033,0.226,0.03,0.016,0.022,0.087,1.0,0.133,0.225,0.009,0.086
24.11973,0.087,0.077,0.369,0.057,0.04,0.039,0.149,1.0,0.132,0.234,0.023,0.345
24.48567,0.016,0.072,1.0,0.124,0.047,0.029,0.22,0.048,0.059,0.284,0.037,0.015
25.08295,0.051,0.254,0.523,0.093,0.114,0.087,1.0,0.135,0.099,0.619,0.138,0.079
25.38975,0.056,0.272,0.988,0.088,0.116,0.025,0.531,0.109,0.076,1.0,0.126,0.036
25.72095,0.045,0.366,1.0,0.276,0.045,0.015,0.105,0.032,0.02,0.156,0.028,0.03
25.94726,0.043,0.347,0.784,0.215,0.034,0.025,1.0,0.072,0.015,0.097,0.015,0.04
26.14594,0.107,0.209,0.999,0.116,0.054,0.044,0.866,0.058,0.036,1.0,0.055,0.055
