start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.824,0.93,0.412,0.606,0.66,0.88,1.0,0.997,0.833,0.464,0.261,0.129
0.33565,0.069,0.076,0.026,0.528,0.024,0.033,1.0,0.076,0.065,0.061,0.035,0.716
1.40522,0.126,0.165,0.031,0.045,0.01,0.225,1.0,0.388,0.031,0.015,0.057,0.271
1.59592,0.049,0.154,0.043,0.089,0.026,0.065,1.0,0.137,0.02,0.009,0.028,0.201
1.92717,1.0,0.07,0.074,0.028,0.14,0.031,0.462,0.7,0.058,0.018,0.111,0.148
2.96109,0.137,0.09,0.07,0.049,0.207,0.036,0.065,0.432,0.178,1.0,0.176,0.065
3.51814,0.208,0.028,0.082,0.03,0.131,0.059,0.037,1.0,0.12,0.04,0.031,0.019
4.36082,0.24,0.059,0.109,0.041,0.066,0.034,0.056,1.0,0.089,0.017,0.025,0.03
4.95728,0.125,0.052,0.068,1.0,0.132,0.081,0.264,0.064,0.024,0.036,0.056,0.295
5.2088,0.091,0.051,0.063,1.0,0.166,0.032,0.177,0.026,0.016,0.022,0.043,0.265
5.39238,0.038,0.023,0.079,1.0,0.306,0.018,0.089,0.013,0.004,0.006,0.03,0.097
5.54594,0.02,0.012,0.105,1.0,0.201,0.011,0.05,0.007,0.002,0.006,0.028,0.078
5.77002,0.025,0.017,0.092,1.0,0.299,0.01,0.045,0.017,0.005,0.006,0.057,0.134
6.10662,0.034,0.013,0.01,1.0,0.35,0.013,0.028,0.009,0.006,0.008,0.031,0.071
6.28862,0.683,0.262,0.17,0.548,1.0,0.33,0.772,0.112,0.07,0.099,0.566,0.433
6.59438,0.761,0.108,0.185,0.189,1.0,0.072,0.219,0.463,0.172,0.045,0.12,0.147
7.27855,0.48,0.133,0.16,0.159,0.474,0.107,0.444,0.783,0.221,1.0,0.181,0.119
8.0639,0.374,0.329,0.298,0.055,0.146,0.131,1.0,0.383,0.087,0.196,0.182,0.084
8.202,0.297,0.419,0.264,0.096,0.141,0.203,1.0,0.128,0.078,0.077,0.165,0.084
8.30694,0.239,0.135,0.188,0.021,0.083,0.05,0.873,1.0,0.108,0.044,0.035,0.118
8.57968,0.186,0.102,0.173,0.036,0.063,0.037,0.077,1.0,0.188,0.015,0.011,0.125
8.77043,0.101,0.077,0.12,0.037,0.022,0.025,0.084,1.0,0.425,0.036,0.053,0.083
8.87687,0.095,0.103,0.103,0.378,0.156,0.14,0.595,0.576,1.0,0.105,0.076,0.134
9.57878,0.042,0.177,0.04,0.266,0.062,0.061,1.0,0.23,0.931,0.26,0.101,0.102
10.49605,0.361,0.183,0.203,0.392,1.0,0.295,0.302,0.157,0.676,0.128,0.166,0.959
10.72712,0.144,0.053,0.055,0.159,1.0,0.164,0.194,0.035,0.41,0.016,0.068,0.773
11.01143,0.352,0.04,0.015,0.074,0.151,0.042,0.204,0.037,0.364,0.017,0.031,1.0
11.15166,0.362,0.052,0.015,0.042,0.081,0.044,0.202,0.036,0.11,0.016,0.05,1.0
11.27837,0.194,0.095,0.013,0.161,0.282,0.206,0.432,0.078,0.053,0.013,0.099,1.0
11.48785,0.093,0.07,0.016,0.072,0.337,0.078,0.413,0.035,0.064,0.018,0.058,1.0
11.87673,0.127,0.309,0.076,0.085,0.19,0.059,0.198,0.056,0.806,0.066,0.041,1.0
12.61515,0.164,1.0,0.614,0.033,0.027,0.038,0.058,0.073,0.377,0.043,0.032,0.25
12.76476,0.335,0.431,0.18,1.0,0.634,0.093,0.062,0.122,0.607,0.075,0.139,0.549
12.91483,0.043,0.157,0.055,1.0,0.251,0.017,0.021,0.034,0.095,0.015,0.05,0.113
13.24721,0.08,1.0,0.057,0.104,0.049,0.611,0.099,0.069,0.829,0.048,0.036,0.677
13.86322,0.043,1.0,0.145,0.038,0.016,0.127,0.044,0.019,0.31,0.019,0.02,0.244
14.62703,0.057,1.0,0.232,0.06,0.113,0.065,0.073,0.604,0.278,0.047,0.022,0.084
15.58712,0.053,1.0,0.237,0.024,0.142,0.062,0.039,0.24,0.135,0.027,0.017,0.074
15.96372,0.15,1.0,0.324,0.046,0.122,0.06,0.084,0.277,0.223,0.049,0.017,0.068
16.12454,0.175,1.0,0.297,0.074,0.097,0.338,0.736,0.391,0.263,0.176,0.966,0.138
16.33501,0.075,1.0,0.445,0.064,0.048,0.095,0.44,0.073,0.302,0.089,0.573,0.072
16.51442,0.213,1.0,0.337,0.025,0.019,0.184,0.579,0.08,0.183,0.065,0.257,0.06
16.72399,0.078,1.0,0.484,0.057,0.057,0.114,0.315,0.082,0.247,0.064,0.211,0.036
16.87048,0.14,1.0,0.21,0.074,0.066,0.115,0.415,0.104,0.427,0.064,0.371,0.066
17.07932,0.142,1.0,0.281,0.069,0.057,0.086,0.201,0.074,0.237,0.124,0.265,0.027
17.25819,0.114,1.0,0.221,0.063,0.055,0.074,0.251,0.038,0.156,0.038,0.233,0.052
17.63347,0.154,1.0,0.19,0.085,0.031,0.031,0.096,0.028,0.098,0.032,0.186,0.052
