start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.872,0.74,0.909,1.0,0.732,0.733,0.567,0.383,0.208,0.247,0.404,0.652
0.23152,1.0,0.607,0.615,0.556,0.948,0.569,0.695,0.451,0.322,0.41,0.749,0.705
0.39447,0.835,0.544,1.0,0.638,0.489,0.602,0.654,0.417,0.344,0.3,0.657,0.603
0.53946,0.466,0.403,0.735,0.363,0.387,0.464,0.612,0.466,0.251,0.402,1.0,0.331
0.63383,0.865,0.838,0.562,0.628,1.0,0.743,0.473,0.367,0.468,0.442,0.661,0.843
0.73778,1.0,0.761,0.736,0.547,0.568,0.745,0.682,0.498,0.48,0.609,0.61,0.512
1.47995,0.541,0.975,1.0,0.549,0.464,0.436,0.622,0.981,0.582,0.65,0.451,0.409
1.61383,0.647,0.804,0.653,1.0,0.577,0.562,0.622,0.586,0.592,0.802,0.879,0.821
1.80531,1.0,0.653,0.956,0.726,0.539,0.441,0.439,0.529,0.628,0.569,0.404,0.626
1.9971,0.482,1.0,0.666,0.313,0.359,0.536,0.335,0.323,0.26,0.283,0.217,0.211
3.42934,0.495,0.778,0.735,0.534,0.633,1.0,0.68,0.638,0.786,0.279,0.205,0.26
3.72054,0.596,0.449,0.109,0.119,0.411,1.0,0.172,0.179,0.16,0.286,0.269,0.172
3.95329,1.0,0.671,0.225,0.201,0.423,0.948,0.473,0.318,0.517,0.334,0.436,0.749
4.1741,0.97,1.0,0.9,0.816,0.563,0.714,0.456,0.378,0.514,0.54,0.63,0.534
4.35379,1.0,0.314,0.185,0.178,0.216,0.407,0.189,0.164,0.13,0.175,0.269,0.739
4.70222,0.966,1.0,0.266,0.28,0.393,0.425,0.363,0.364,0.356,0.308,0.36,0.291
4.80045,0.399,0.453,0.264,0.291,0.359,1.0,0.225,0.18,0.117,0.435,0.202,0.301
5.73515,0.71,0.315,0.261,0.281,0.402,1.0,0.169,0.1,0.087,0.105,0.096,0.358
5.90943,0.931,0.645,0.451,0.488,0.668,0.758,0.43,0.438,0.217,0.303,0.37,1.0
6.07778,0.387,0.28,0.225,0.245,0.568,1.0,0.23,0.171,0.108,0.139,0.092,0.071
6.18213,0.563,0.539,0.551,0.629,0.59,1.0,0.685,0.742,0.872,0.437,0.23,0.425
6.58866,0.119,0.274,0.205,0.209,0.656,1.0,0.175,0.158,0.661,0.681,0.292,0.041
6.76916,0.351,0.456,0.362,0.36,0.907,1.0,0.941,0.932,0.6,0.613,0.215,0.217
6.94327,0.474,0.707,0.649,0.669,0.778,1.0,0.626,0.55,0.581,0.651,0.349,0.642
7.11007,0.804,0.627,0.549,0.57,0.465,0.948,0.525,0.376,0.583,0.697,0.405,1.0
7.28499,0.556,0.702,0.529,0.639,0.638,1.0,0.485,0.295,0.259,0.398,0.359,0.538
7.45351,1.0,0.375,0.161,0.15,0.136,0.364,0.156,0.119,0.127,0.153,0.226,0.213
7.62363,1.0,0.849,0.331,0.575,0.673,0.45,0.217,0.179,0.106,0.219,0.08,0.647
7.81002,1.0,0.703,0.327,0.346,0.638,0.761,0.478,0.479,0.418,0.433,0.857,0.038
7.94363,0.682,1.0,0.778,0.312,0.176,0.443,0.293,0.259,0.282,0.301,0.101,0.373
8.14467,0.915,1.0,0.309,0.339,0.683,0.822,0.332,0.342,0.105,0.178,0.342,0.049
8.31823,0.737,0.603,0.391,0.441,0.566,1.0,0.279,0.276,0.077,0.305,0.26,0.089
8.4922,0.938,0.448,0.283,0.315,0.427,1.0,0.193,0.129,0.07,0.089,0.132,0.45
8.66195,0.978,0.848,0.546,0.614,0.779,1.0,0.496,0.512,0.254,0.38,0.368,0.836
8.83556,0.231,0.201,0.189,0.2,0.44,1.0,0.225,0.127,0.035,0.05,0.041,0.046
8.96304,0.588,0.782,0.856,0.782,0.833,0.916,0.766,1.0,0.934,0.469,0.275,0.336
9.18345,0.3,0.146,0.089,0.097,0.643,1.0,0.945,0.924,0.584,0.595,0.314,0.085
9.34635,0.14,0.309,0.231,0.238,0.743,1.0,0.209,0.205,0.768,0.779,0.335,0.048
9.52726,0.204,0.379,0.331,0.329,0.826,1.0,0.873,0.856,0.545,0.537,0.183,0.153
9.69406,0.513,0.763,0.692,0.715,0.791,1.0,0.517,0.467,0.632,0.682,0.253,0.508
9.86866,0.814,0.523,0.421,0.446,0.359,0.502,0.35,0.291,0.446,0.546,0.397,1.0
10.04277,0.717,0.736,0.536,0.613,0.56,1.0,0.438,0.281,0.256,0.391,0.453,0.801
10.21156,1.0,0.464,0.207,0.212,0.156,0.491,0.256,0.15,0.149,0.167,0.262,0.234
10.37905,1.0,0.913,0.066,0.069,0.055,0.183,0.087,0.093,0.552,0.58,0.462,0.045
10.56281,1.0,0.79,0.262,0.284,0.662,0.846,0.313,0.306,0.39,0.414,0.803,0.061
10.73351,0.823,0.722,0.266,0.282,0.776,1.0,0.648,0.637,0.212,0.277,0.447,0.05
10.90821,0.454,0.629,0.393,0.429,0.794,1.0,0.433,0.434,0.152,0.227,0.149,0.1
11.07605,0.549,0.577,0.472,0.506,0.649,1.0,0.273,0.295,0.185,0.444,0.192,0.067
11.24989,1.0,0.497,0.363,0.348,0.52,0.974,0.16,0.11,0.115,0.168,0.151,0.439
11.42422,1.0,0.747,0.657,0.691,0.86,0.995,0.543,0.527,0.338,0.421,0.245,0.887
11.59215,0.293,0.345,0.267,0.265,0.419,1.0,0.187,0.092,0.083,0.096,0.039,0.046
11.76036,0.44,0.32,0.261,0.391,0.19,1.0,0.398,0.15,0.254,0.146,0.062,0.315
12.12068,0.143,0.387,0.336,0.316,0.673,1.0,0.083,0.067,0.626,0.614,0.341,0.047
12.28367,0.264,0.447,0.363,0.346,0.871,1.0,0.889,0.876,0.613,0.632,0.185,0.157
12.4629,1.0,0.288,0.311,0.14,0.292,0.609,0.16,0.306,0.517,0.338,0.319,0.767
12.80571,1.0,0.445,0.265,0.166,0.29,0.401,0.167,0.212,0.327,0.29,0.349,0.847
13.07873,0.692,1.0,0.728,0.76,0.595,0.275,0.105,0.16,0.119,0.137,0.051,0.19
13.32834,1.0,0.77,0.248,0.261,0.575,0.769,0.285,0.272,0.263,0.28,0.702,0.079
13.48943,0.908,1.0,0.218,0.22,0.559,0.696,0.433,0.434,0.041,0.063,0.328,0.112
13.65297,0.796,0.476,0.196,0.461,0.525,1.0,0.26,0.212,0.178,0.32,0.095,0.571
13.83887,0.484,0.549,0.327,0.368,0.482,1.0,0.271,0.285,0.142,0.334,0.142,0.232
14.01338,1.0,0.395,0.297,0.325,0.4,0.88,0.167,0.129,0.109,0.131,0.146,0.555
14.17016,0.729,0.635,0.476,0.481,0.644,1.0,0.418,0.411,0.237,0.298,0.351,0.78
14.35556,0.272,0.302,0.211,0.221,0.384,1.0,0.196,0.116,0.035,0.065,0.037,0.181
14.51764,0.455,0.348,0.278,0.403,0.189,1.0,0.407,0.156,0.266,0.144,0.064,0.356
14.87383,0.129,0.327,0.266,0.253,0.655,1.0,0.071,0.061,0.623,0.635,0.307,0.085
15.04635,0.211,0.411,0.363,0.399,0.866,1.0,0.987,0.931,0.59,0.603,0.203,0.168
15.2146,0.262,0.539,0.513,0.548,0.679,1.0,0.555,0.473,0.475,0.484,0.182,0.536
15.39478,0.633,0.594,0.57,0.546,0.44,0.8,0.494,0.328,0.555,0.586,0.343,1.0
15.56336,0.59,0.443,0.42,0.408,0.603,1.0,0.424,0.345,0.211,0.245,0.152,0.275
15.68449,1.0,0.67,0.432,0.44,0.351,0.794,0.359,0.21,0.279,0.232,0.222,0.463
15.82993,1.0,0.948,0.524,0.821,0.854,0.767,0.331,0.304,0.272,0.976,0.713,0.518
16.25383,0.536,0.935,0.248,0.249,0.699,1.0,0.615,0.597,0.095,0.138,0.353,0.151
16.42222,0.46,0.497,0.191,0.584,0.326,1.0,0.218,0.202,0.206,0.449,0.088,0.549
16.76957,0.719,0.343,0.178,0.646,0.749,1.0,0.48,0.256,0.178,0.258,0.266,0.757
17.28195,0.268,0.158,0.122,0.257,0.209,1.0,0.801,0.558,0.568,0.35,0.162,0.231
17.80399,0.313,0.517,0.443,0.444,0.78,1.0,0.866,0.8,0.626,0.637,0.375,0.218
17.91977,0.509,0.176,0.152,0.394,0.949,1.0,0.355,0.418,0.764,0.261,0.32,0.917
18.59361,0.481,0.268,0.234,0.27,0.407,1.0,0.238,0.162,0.136,0.55,0.309,0.298
19.35429,0.461,0.159,0.076,0.128,0.241,1.0,0.093,0.07,0.059,0.179,0.073,0.365
19.70249,0.483,0.28,0.101,0.129,0.314,1.0,0.264,0.109,0.068,0.186,0.187,0.67
19.98054,0.542,0.487,0.498,0.582,0.535,1.0,0.662,0.718,0.833,0.417,0.209,0.427
20.39243,0.421,0.244,0.141,0.124,0.227,1.0,0.276,0.123,0.249,0.167,0.162,0.382
20.73569,0.648,0.204,0.21,0.656,0.905,0.896,0.365,0.412,0.576,0.296,0.429,1.0
21.41451,1.0,0.884,0.155,0.15,0.231,0.21,0.255,0.261,0.777,0.777,0.422,0.023
21.58512,1.0,0.781,0.244,0.241,0.128,0.124,0.037,0.046,0.157,0.16,0.526,0.013
21.76875,1.0,0.797,0.045,0.04,0.075,0.073,0.23,0.245,0.26,0.26,0.386,0.026
21.93705,1.0,0.533,0.162,0.178,0.048,0.057,0.486,0.414,0.875,0.904,0.997,0.342
22.1166,1.0,0.797,0.143,0.107,0.134,0.126,0.04,0.099,0.076,0.09,0.427,0.038
22.26218,0.637,0.174,0.066,0.11,0.049,0.086,0.159,0.073,0.05,0.114,0.157,1.0
22.45968,0.904,0.2,0.079,0.122,0.068,0.085,0.115,0.048,0.21,0.243,1.0,0.237
