start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.847,0.856,0.564,0.31,0.293,0.109,0.265,0.118,0.31,0.174,0.266,1.0
0.33057,0.829,1.0,0.366,0.228,0.374,0.138,0.405,0.191,0.517,0.364,0.207,0.949
0.69719,0.583,1.0,0.494,0.235,0.317,0.139,0.467,0.183,0.357,0.181,0.137,0.801
0.99946,0.583,1.0,0.271,0.156,0.303,0.154,0.54,0.172,0.463,0.282,0.116,0.639
1.26408,0.311,1.0,0.413,0.157,0.406,0.514,0.476,0.47,0.638,0.214,0.139,0.513
1.80503,0.403,1.0,0.223,0.169,0.347,0.253,0.458,0.289,0.403,0.27,0.181,0.223
1.90889,0.3,1.0,0.089,0.08,0.124,0.053,0.186,0.136,0.118,0.118,0.138,0.476
2.03832,0.532,1.0,0.286,0.202,0.548,0.368,0.646,0.473,0.684,0.306,0.105,0.261
2.17129,0.387,1.0,0.184,0.104,0.417,0.222,0.413,0.246,0.294,0.156,0.081,0.427
2.31601,0.323,1.0,0.237,0.104,0.181,0.151,0.137,0.135,0.086,0.059,0.077,0.121
2.4795,0.371,1.0,0.161,0.23,0.339,0.228,0.289,0.275,0.154,0.129,0.127,0.123
2.62245,0.568,1.0,0.467,0.28,0.309,0.199,0.431,0.311,0.326,0.141,0.133,0.382
3.40635,0.456,1.0,0.344,0.116,0.118,0.093,0.296,0.336,0.376,0.046,0.103,0.223
3.51256,0.533,1.0,0.532,0.32,0.177,0.168,0.305,0.169,0.224,0.088,0.108,0.225
3.79129,1.0,0.781,0.407,0.333,0.276,0.165,0.297,0.256,0.355,0.137,0.276,0.428
3.94014,0.425,1.0,0.437,0.254,0.243,0.107,0.427,0.253,0.322,0.086,0.099,0.305
4.42807,0.514,1.0,0.393,0.151,0.169,0.062,0.198,0.13,0.204,0.076,0.12,0.266
4.66807,0.358,1.0,0.284,0.142,0.064,0.025,0.183,0.138,0.056,0.023,0.031,0.151
4.77029,0.494,1.0,0.34,0.276,0.197,0.145,0.414,0.291,0.318,0.097,0.08,0.25
5.30585,0.293,1.0,0.271,0.176,0.13,0.088,0.191,0.14,0.382,0.06,0.064,0.276
5.92735,0.451,1.0,0.596,0.396,0.207,0.259,0.437,0.531,0.818,0.119,0.076,0.448
6.23959,0.238,1.0,0.331,0.151,0.138,0.087,0.189,0.185,0.309,0.071,0.059,0.207
6.57592,0.322,1.0,0.403,0.237,0.152,0.14,0.154,0.126,0.282,0.07,0.055,0.269
6.73424,0.351,1.0,0.259,0.119,0.128,0.041,0.272,0.179,0.567,0.082,0.058,0.257
6.97796,0.322,1.0,0.439,0.164,0.132,0.092,0.286,0.15,0.36,0.055,0.055,0.209
7.23324,0.365,1.0,0.209,0.143,0.136,0.057,0.249,0.189,0.493,0.078,0.053,0.366
7.518,0.291,1.0,0.327,0.147,0.182,0.076,0.26,0.298,0.335,0.055,0.05,0.322
7.81973,0.537,1.0,0.656,0.224,0.185,0.08,0.602,0.367,0.564,0.117,0.065,0.597
8.01732,0.202,1.0,0.32,0.083,0.072,0.045,0.231,0.172,0.244,0.05,0.038,0.218
