start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.904,1.0,0.909,0.767,0.672,0.591,0.55,0.579,0.633,0.594,0.626,0.787
0.23683,0.038,0.036,0.019,0.039,0.204,1.0,0.177,0.036,0.009,0.11,0.043,0.05
0.68172,0.22,0.028,0.017,0.091,0.402,1.0,0.163,0.026,0.012,0.118,0.02,0.09
0.88844,0.047,0.12,0.137,0.247,0.574,1.0,0.569,0.136,0.042,0.063,0.028,0.033
1.09361,0.116,0.153,0.135,0.227,0.518,1.0,0.73,0.192,0.025,0.064,0.01,0.097
1.31311,0.067,0.04,0.022,0.059,0.392,1.0,0.247,0.011,0.005,0.019,0.006,0.032
1.5098,0.087,0.036,0.038,0.152,0.315,1.0,0.178,0.074,0.04,0.074,0.038,0.065
1.75755,0.031,0.124,0.136,0.29,0.615,1.0,0.533,0.111,0.025,0.028,0.009,0.031
1.95596,0.275,0.244,0.364,0.627,0.789,1.0,0.753,0.119,0.049,0.12,0.038,0.186
2.16907,0.098,0.082,0.041,0.11,0.488,1.0,0.309,0.016,0.007,0.034,0.008,0.069
2.36576,0.053,0.072,0.088,0.109,0.416,1.0,0.405,0.056,0.01,0.013,0.023,0.061
2.61592,0.899,0.365,0.014,0.059,0.143,1.0,0.04,0.038,0.029,0.062,0.295,0.053
2.80127,0.22,0.027,0.021,0.071,0.303,1.0,0.108,0.02,0.026,0.027,0.016,0.113
3.03678,0.045,0.083,0.091,0.23,0.559,1.0,0.58,0.127,0.018,0.007,0.01,0.031
3.22399,0.072,0.113,0.099,0.107,0.428,1.0,0.473,0.049,0.01,0.017,0.005,0.022
3.4381,0.069,0.125,0.14,0.305,0.633,1.0,0.841,0.283,0.033,0.01,0.008,0.087
3.63542,0.036,0.06,0.042,0.316,1.0,0.074,0.052,0.021,0.068,0.018,0.059,0.132
4.04649,0.114,0.067,0.03,0.582,1.0,0.193,0.024,0.013,0.1,0.026,0.018,0.158
4.26712,0.127,0.28,0.453,0.826,1.0,0.767,0.34,0.074,0.069,0.018,0.015,0.131
4.46313,0.05,0.247,0.392,0.766,1.0,0.597,0.407,0.176,0.064,0.035,0.027,0.088
4.68304,0.16,0.118,0.054,0.521,1.0,0.42,0.019,0.006,0.004,0.004,0.006,0.146
4.89687,0.228,0.084,0.012,0.605,1.0,0.256,0.015,0.012,0.019,0.016,0.017,0.209
5.11556,0.211,0.901,1.0,0.632,0.382,0.046,0.128,0.168,0.055,0.04,0.042,0.146
5.32045,0.847,1.0,0.102,0.033,0.233,0.246,0.558,0.118,0.091,0.106,0.577,0.942
5.74277,1.0,0.466,0.023,0.01,0.054,0.022,0.196,0.043,0.044,0.023,0.122,0.363
6.54154,1.0,0.543,0.034,0.031,0.073,0.031,0.013,0.023,0.012,0.008,0.01,0.186
6.8415,0.825,0.422,0.235,0.094,0.18,1.0,0.679,0.517,0.085,0.017,0.011,0.465
7.04698,1.0,0.644,0.559,0.556,0.268,0.282,0.356,0.357,0.286,0.298,0.641,0.734
7.12943,0.666,0.843,0.058,0.168,0.266,0.435,0.052,0.058,0.481,0.528,1.0,0.039
7.30254,0.109,0.04,0.018,0.026,0.22,1.0,0.303,0.022,0.002,0.011,0.004,0.086
7.51914,0.135,0.058,0.028,0.081,0.336,1.0,0.482,0.077,0.022,0.027,0.021,0.247
