start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.946,0.449,0.401,0.338,0.302,0.269,0.24,0.212,0.169,0.166,0.406
0.20834,1.0,0.606,0.188,0.172,0.139,0.144,0.269,0.271,0.538,0.544,0.753,0.119
0.30726,1.0,0.273,0.042,0.046,0.052,0.052,0.048,0.067,0.093,0.075,0.115,0.113
0.43528,0.445,0.089,0.02,0.023,0.024,1.0,0.098,0.109,0.016,0.03,0.023,0.07
0.71501,0.471,0.12,0.043,0.043,0.117,0.701,0.211,0.185,0.093,1.0,0.171,0.189
1.02707,1.0,0.584,0.149,0.08,0.154,0.758,0.55,0.562,0.619,0.671,0.704,0.177
1.12544,1.0,0.138,0.017,0.014,0.027,0.149,0.069,0.051,0.021,0.025,0.073,0.085
1.49796,1.0,0.152,0.024,0.024,0.032,0.095,0.067,0.084,0.039,0.031,0.038,0.208
1.70104,0.215,0.052,0.056,0.563,0.083,0.069,0.076,0.077,1.0,0.142,0.147,0.19
2.05474,1.0,0.092,0.026,0.123,0.037,0.034,0.03,0.051,0.309,0.056,0.103,0.123
2.43832,0.474,0.219,0.138,0.562,0.246,0.081,0.13,0.165,1.0,0.466,0.392,0.067
2.55429,1.0,0.119,0.012,0.054,0.016,0.013,0.019,0.027,0.101,0.031,0.018,0.054
2.78086,1.0,0.172,0.024,0.05,0.047,0.014,0.023,0.019,0.102,0.063,0.093,0.028
2.90884,1.0,0.235,0.038,0.25,0.09,0.081,0.057,0.068,0.549,0.163,0.075,0.235
3.26766,1.0,0.513,0.073,0.042,0.041,0.239,0.048,0.042,0.218,0.044,0.02,0.092
3.6288,0.138,0.442,0.081,1.0,0.132,0.181,0.043,0.02,0.144,0.041,0.031,0.099
3.83079,0.543,1.0,0.321,0.254,0.276,0.296,0.157,0.151,0.444,0.25,0.462,0.263
3.97705,0.353,1.0,0.209,0.161,0.224,0.263,0.174,0.166,0.479,0.216,0.177,0.561
4.33601,0.399,1.0,0.147,0.115,0.1,0.223,0.14,0.1,0.323,0.105,0.127,0.793
4.67914,0.214,0.204,0.116,0.074,0.111,0.222,0.141,0.132,0.176,0.127,0.166,1.0
5.039,1.0,0.194,0.046,0.032,0.042,0.064,0.051,0.083,0.086,0.045,0.066,0.189
5.3058,1.0,0.325,0.074,0.031,0.284,0.101,0.523,0.14,0.055,0.044,0.386,0.159
5.61338,0.258,0.742,1.0,0.622,0.617,0.446,0.479,0.293,0.374,0.131,0.217,0.308
6.02331,0.215,0.144,0.12,0.129,0.105,1.0,0.168,0.071,0.074,0.071,0.051,0.072
6.54132,0.563,0.192,0.03,0.022,0.091,0.053,0.271,1.0,0.522,0.024,0.033,0.063
6.88916,0.212,0.181,0.225,0.379,1.0,0.365,0.134,0.204,0.183,0.497,0.285,0.386
7.2912,0.719,0.242,0.064,0.038,0.233,1.0,0.471,0.199,0.087,0.025,0.044,0.087
7.51234,0.998,0.78,0.344,0.254,0.183,0.2,0.164,0.163,0.243,0.294,1.0,0.169
7.63605,0.06,0.036,1.0,0.302,0.506,0.249,0.068,0.041,0.041,0.186,0.049,0.035
7.86005,0.452,0.203,0.329,0.166,1.0,0.545,0.097,0.102,0.04,0.073,0.052,0.331
8.21429,0.135,0.222,1.0,0.096,0.042,0.039,0.072,0.036,0.042,0.28,0.079,0.043
8.39424,0.11,1.0,0.493,0.022,0.022,0.075,0.029,0.032,0.135,0.149,0.091,0.036
8.57401,0.355,0.703,0.464,0.339,0.352,0.235,0.214,1.0,0.468,0.972,0.638,0.266
8.94435,0.184,0.129,0.581,0.188,0.151,0.096,0.049,0.108,0.174,1.0,0.137,0.154
9.34585,0.18,0.289,0.056,0.049,0.19,0.056,0.04,0.049,0.126,1.0,0.223,0.026
9.46748,0.151,0.382,1.0,0.444,0.105,0.762,0.31,0.508,0.202,0.138,0.034,0.082
9.75333,0.412,1.0,0.788,0.139,0.031,0.074,0.047,0.94,0.467,0.035,0.017,0.252
10.03011,0.264,0.116,0.106,0.043,0.19,0.067,0.073,0.111,0.098,1.0,0.203,0.039
10.20549,0.714,1.0,0.71,0.181,0.073,0.873,0.434,0.075,0.096,0.217,0.045,0.237
10.39669,0.82,0.282,0.17,0.1,1.0,0.111,0.097,0.057,0.169,0.147,0.573,0.218
10.57079,1.0,0.921,0.071,0.285,0.283,0.057,0.06,0.072,0.255,0.252,0.702,0.034
10.67528,1.0,0.741,0.116,0.179,0.071,0.095,0.054,0.328,0.449,0.107,0.465,0.056
10.8263,0.094,0.163,1.0,0.177,0.036,0.035,0.172,0.989,0.269,0.075,0.066,0.083
11.14023,0.287,0.472,0.41,0.104,0.106,1.0,0.24,0.21,0.142,0.067,0.038,0.208
11.44136,0.176,0.313,0.095,0.118,0.093,1.0,0.363,0.282,0.158,0.456,0.186,0.089
11.96413,0.567,0.143,0.117,0.034,0.098,0.197,0.216,1.0,0.431,0.094,0.418,0.333
12.69247,0.184,0.036,0.02,0.185,0.156,0.638,0.198,0.114,1.0,0.443,0.048,0.048
12.96712,0.495,0.092,0.067,0.042,0.054,0.053,0.062,0.051,0.182,0.077,0.601,1.0
13.29061,0.192,0.276,0.13,0.085,0.033,0.069,0.07,0.958,1.0,0.135,0.05,0.089
13.4459,0.084,0.138,0.069,1.0,0.077,0.121,0.053,0.158,0.102,0.035,0.217,0.264
13.66463,0.288,0.615,0.229,0.095,0.165,1.0,0.236,0.116,0.212,0.08,0.568,0.309
14.02508,0.248,0.384,0.094,0.088,0.056,0.081,0.097,0.292,1.0,0.107,0.13,0.288
14.15243,1.0,0.189,0.044,0.027,0.063,0.051,0.042,0.336,0.124,0.043,0.198,0.085
14.38485,0.465,0.426,0.13,0.134,0.081,0.888,1.0,0.244,0.206,0.134,0.166,0.076
14.50703,0.149,0.091,0.197,0.645,0.539,0.089,0.053,1.0,0.598,0.049,0.047,0.11
14.75601,0.359,0.255,0.146,0.042,0.38,0.341,0.048,0.171,0.102,1.0,0.133,0.119
15.1156,0.23,0.493,0.19,0.132,0.35,0.244,0.107,0.143,0.102,1.0,0.329,0.082
15.25542,0.044,0.072,0.103,0.12,1.0,0.294,0.023,0.034,0.06,0.082,0.033,0.08
15.52281,0.401,0.681,0.466,0.434,0.497,0.473,0.878,0.867,0.993,1.0,0.557,0.213
15.61501,0.067,0.068,1.0,0.173,0.067,0.052,0.134,0.052,0.073,0.843,0.346,0.036
15.90612,0.806,0.346,0.161,0.075,0.06,0.457,0.176,0.432,0.237,1.0,0.601,0.276
16.16766,0.151,1.0,0.197,0.075,0.078,0.085,0.043,0.138,0.754,0.145,0.043,0.15
16.71864,0.153,0.187,0.099,0.157,0.083,0.034,0.201,0.373,0.568,0.105,0.092,1.0
17.03651,0.442,0.986,0.361,0.27,0.214,0.379,0.246,0.199,0.19,0.1,1.0,0.587
17.33433,0.319,0.229,1.0,0.498,0.099,0.276,0.098,0.063,0.087,0.063,0.046,0.682
17.58925,0.082,0.099,0.111,0.106,0.03,0.064,0.086,1.0,0.68,0.091,0.061,0.091
18.01782,0.559,0.248,0.143,0.231,0.365,1.0,0.308,0.519,0.509,0.477,0.248,0.259
18.29093,0.447,0.259,0.17,0.07,0.137,1.0,0.439,0.219,0.19,0.204,0.101,0.199
18.52395,0.321,0.197,0.626,0.18,0.074,0.259,0.138,0.144,0.1,0.142,0.636,1.0
19.21533,1.0,0.125,0.094,0.048,0.109,0.115,0.034,0.312,0.267,0.598,0.24,0.387
19.56884,1.0,0.51,0.91,0.405,0.085,0.018,0.031,0.227,0.066,0.056,0.034,0.153
19.80059,0.43,0.435,1.0,0.364,0.217,0.488,0.275,0.084,0.118,0.094,0.862,0.903
19.92349,0.348,0.747,0.501,0.927,0.72,0.667,0.462,1.0,0.796,0.266,0.379,0.487
20.47247,1.0,0.355,0.088,0.076,0.073,0.068,0.051,0.43,0.148,0.431,0.144,0.135
21.02009,0.16,0.101,0.035,0.036,0.127,0.062,0.046,0.047,0.081,1.0,0.116,0.056
21.36853,0.197,0.358,1.0,0.592,0.328,0.364,0.246,0.628,0.443,0.417,0.213,0.222
21.8888,0.129,0.292,1.0,0.106,0.061,0.062,0.109,0.578,0.301,0.223,0.059,0.042
22.42485,0.139,0.098,0.167,0.072,0.103,0.891,0.173,0.066,0.073,0.063,1.0,0.223
22.78807,0.371,0.555,0.737,0.906,1.0,0.819,0.637,0.689,0.534,0.986,0.374,0.332
23.23134,0.376,1.0,0.625,0.663,0.464,0.616,0.518,0.573,0.581,0.256,0.126,0.222
23.33478,1.0,0.337,0.457,0.789,0.537,0.566,0.595,0.4,0.575,0.253,0.196,0.28
23.57465,0.791,0.716,0.194,0.384,1.0,0.219,0.121,0.209,0.468,0.311,0.334,0.232
23.6902,0.529,0.612,0.181,0.062,0.059,0.048,0.073,1.0,0.388,0.083,0.197,0.14
23.85374,0.178,0.082,0.063,0.061,0.026,1.0,0.293,0.065,0.033,0.256,0.141,0.025
24.0922,0.796,1.0,0.355,0.204,0.187,0.268,0.222,0.548,0.433,0.209,0.401,0.133
24.21878,0.107,0.095,0.266,0.115,1.0,0.562,0.291,0.695,0.745,0.094,0.02,0.049
24.42295,0.224,0.081,0.069,0.045,0.232,1.0,0.324,0.084,0.025,0.031,0.042,0.119
24.68844,0.205,0.118,0.045,0.04,0.056,0.166,0.047,0.028,0.064,0.174,1.0,0.506
24.81832,1.0,0.982,0.782,0.314,0.357,0.238,0.123,0.219,0.191,0.226,0.448,0.788
24.95546,0.173,0.215,1.0,0.113,0.312,0.268,0.168,0.074,0.084,0.078,0.043,0.183
25.27546,0.143,1.0,0.445,0.042,0.031,0.059,0.03,0.033,0.067,0.065,0.147,0.138
25.39655,0.22,0.181,0.126,0.126,1.0,0.182,0.065,0.057,0.129,0.091,0.193,0.208
25.50181,0.115,0.145,0.144,0.161,0.127,0.147,0.248,0.869,1.0,0.469,0.33,0.125
25.69868,0.054,0.051,0.138,0.056,0.056,0.226,0.082,0.041,0.069,0.039,1.0,0.254
25.85569,0.116,0.272,0.114,0.09,0.261,0.191,0.135,1.0,0.474,0.867,0.472,0.116
26.28508,0.153,0.102,0.18,0.168,0.036,0.918,0.242,1.0,0.644,0.091,0.068,0.131
26.64921,0.145,0.053,1.0,0.262,0.767,0.362,0.207,0.044,0.069,0.061,0.029,0.097
26.96408,0.089,0.084,1.0,0.409,0.091,0.143,0.066,0.067,0.029,0.067,0.067,0.054
27.47048,0.171,1.0,0.985,0.16,0.075,0.033,0.043,0.027,0.061,0.039,0.02,0.173
27.71828,1.0,0.597,0.102,0.031,0.017,0.024,0.034,0.048,0.051,0.018,0.015,0.368
27.98354,0.07,0.068,0.072,0.058,0.046,0.073,0.141,1.0,0.324,0.021,0.05,0.063
28.34698,0.257,0.122,0.43,0.157,0.137,1.0,0.924,0.282,0.12,0.082,0.066,0.13
28.69342,0.141,0.388,0.081,0.103,0.239,1.0,0.269,0.071,0.028,0.071,0.061,0.079
28.83388,0.214,0.198,0.037,0.044,0.08,1.0,0.406,0.042,0.021,0.046,0.019,0.048
29.06494,0.324,0.07,0.132,0.067,0.04,0.108,0.206,0.082,0.039,0.07,0.367,1.0
29.46041,0.204,0.108,0.107,0.043,0.053,0.199,0.124,0.065,0.062,0.034,1.0,0.457
29.96517,0.04,0.094,0.068,0.063,0.02,0.038,0.354,0.048,0.032,0.053,0.26,1.0
30.23224,0.134,0.112,0.172,0.052,0.035,0.406,0.213,0.066,0.088,0.054,1.0,0.504
30.60653,0.718,0.283,0.234,0.247,0.212,0.347,0.854,0.59,0.586,0.575,1.0,0.482
30.69687,0.088,0.046,0.088,0.11,0.011,0.058,0.062,0.862,1.0,0.036,0.108,0.173
30.91134,0.283,0.35,0.137,0.228,0.115,0.377,0.262,0.197,1.0,0.181,0.083,0.096
31.14939,0.451,0.308,0.052,0.068,0.051,1.0,0.569,0.065,0.129,0.073,0.095,0.037
31.24259,0.499,0.596,0.278,0.658,0.622,1.0,0.753,0.473,0.374,0.164,0.115,0.199
31.44549,0.228,0.55,0.288,1.0,0.791,0.558,0.322,0.168,0.142,0.114,0.259,0.217
31.63696,1.0,0.399,0.088,0.064,0.084,0.141,0.072,0.262,0.137,0.074,0.277,0.039
31.79959,0.071,0.099,0.104,0.043,0.045,0.16,0.097,0.306,0.349,0.161,1.0,0.21
32.01497,0.428,0.115,0.197,0.162,0.538,1.0,0.144,0.139,0.083,0.096,0.051,0.127
32.28875,0.249,0.102,0.055,0.093,0.155,0.152,0.076,0.19,0.481,1.0,0.059,0.346
32.62376,0.193,0.337,0.258,0.388,0.43,0.192,0.237,1.0,0.446,0.212,0.199,0.159
32.87932,0.138,0.082,0.056,0.04,0.047,1.0,0.094,0.084,0.039,0.065,0.011,0.025
33.12902,0.773,0.823,1.0,0.827,0.932,0.612,0.181,0.101,0.098,0.045,0.067,0.27
33.32104,0.147,0.104,1.0,0.426,0.063,0.036,0.094,0.019,0.055,0.049,0.091,0.02
33.43678,0.085,0.155,0.155,1.0,0.479,0.162,0.097,0.198,0.147,0.118,0.202,0.109
33.94653,0.597,0.459,0.339,1.0,0.83,0.078,0.101,0.097,0.295,0.191,0.513,0.394
34.05868,0.263,0.178,0.122,0.103,0.087,0.345,0.2,0.434,1.0,0.241,0.044,0.592
34.40023,0.539,1.0,0.413,0.744,0.429,0.587,0.211,0.158,0.66,0.408,0.697,0.33
34.58444,0.268,1.0,0.827,0.125,0.054,0.099,0.067,0.054,0.126,0.071,0.056,0.305
34.99206,0.239,0.748,0.243,0.074,0.016,0.129,0.114,0.049,0.081,0.053,1.0,0.689
35.16104,0.108,0.092,0.171,0.079,0.121,0.12,0.071,0.105,0.065,1.0,0.712,0.232
35.53764,0.425,0.552,0.082,0.142,0.104,0.043,0.149,0.442,1.0,0.298,0.308,0.115
35.64254,1.0,0.235,0.033,0.035,0.026,0.025,0.16,0.561,0.392,0.031,0.021,0.059
35.88771,0.132,0.07,0.051,0.037,0.078,1.0,0.243,0.508,0.304,0.024,0.065,0.076
36.27669,0.09,0.119,0.494,0.386,1.0,0.677,0.091,0.042,0.071,0.043,0.128,0.057
36.54195,0.303,0.476,0.238,0.395,1.0,0.166,0.148,0.081,0.193,0.18,0.352,0.124
36.71646,0.142,1.0,0.259,0.105,0.088,0.04,0.379,0.598,0.813,0.113,0.087,0.017
36.89624,1.0,0.901,0.553,0.543,0.412,0.516,0.365,0.331,0.264,0.186,0.466,0.85
36.98404,1.0,0.254,0.211,0.168,0.19,0.63,0.107,0.067,0.041,0.067,0.05,0.529
