start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.871,0.318,0.305,0.497,0.431,0.632,0.417,0.279,0.309,0.948,1.0,0.695
2.40522,0.393,0.342,0.983,0.425,1.0,0.671,0.556,0.333,0.259,0.227,0.096,0.022
2.60018,0.069,0.77,1.0,0.355,0.544,0.21,0.46,0.063,0.05,0.328,0.043,0.019
3.16844,0.02,0.602,1.0,0.263,0.963,0.383,0.936,0.135,0.047,0.44,0.037,0.021
3.47116,0.36,0.971,1.0,0.405,0.626,0.158,0.136,0.047,0.041,0.147,0.058,0.011
3.57478,0.496,1.0,0.356,0.352,0.944,0.826,0.589,0.571,0.179,0.19,0.019,0.008
3.64667,0.053,0.43,0.955,0.128,0.767,0.556,1.0,0.05,0.023,0.317,0.065,0.043
4.57383,0.076,0.383,0.852,0.093,0.669,0.351,1.0,0.056,0.023,0.311,0.052,0.099
4.89968,0.478,0.732,1.0,0.429,0.684,0.251,0.449,0.114,0.078,0.273,0.104,0.083
5.00358,0.214,0.526,0.697,0.166,1.0,0.143,0.33,0.048,0.043,0.205,0.069,0.057
5.14313,0.356,0.764,1.0,0.417,0.987,0.15,0.282,0.124,0.194,0.362,0.245,0.183
5.24281,0.065,0.286,0.771,0.123,1.0,0.476,0.862,0.027,0.042,0.225,0.085,0.117
6.21229,0.061,0.142,0.262,0.211,1.0,0.415,0.684,0.157,0.084,0.386,0.192,0.041
8.15569,0.068,0.222,0.305,0.078,1.0,0.345,0.211,0.04,0.098,0.101,0.024,0.011
8.44757,0.084,0.234,0.341,0.106,1.0,0.299,0.668,0.13,0.054,0.095,0.018,0.019
8.63565,0.237,1.0,0.744,0.336,0.28,0.318,0.478,0.167,0.282,0.503,0.123,0.014
8.72993,0.101,0.277,0.271,0.065,1.0,0.37,0.334,0.055,0.04,0.202,0.027,0.021
9.01497,0.388,0.771,1.0,0.411,0.316,0.378,0.15,0.035,0.191,0.28,0.092,0.04
9.11465,0.322,0.484,0.733,0.192,0.42,1.0,0.464,0.075,0.049,0.231,0.084,0.036
9.24703,0.13,0.2,0.416,0.038,0.262,1.0,0.758,0.026,0.048,0.168,0.05,0.022
9.52694,0.23,0.267,0.287,0.047,0.167,0.96,1.0,0.021,0.036,0.186,0.041,0.04
9.87451,0.377,0.432,0.36,0.13,0.205,1.0,0.449,0.064,0.104,0.282,0.072,0.05
9.97324,0.41,0.684,0.766,0.205,0.444,1.0,0.343,0.051,0.152,0.41,0.171,0.047
10.08358,0.163,0.394,0.85,0.037,0.141,1.0,0.256,0.019,0.049,0.16,0.02,0.022
10.32163,0.114,0.346,0.546,0.061,0.132,1.0,0.77,0.077,0.049,0.127,0.049,0.04
10.58163,0.143,0.227,0.491,0.245,0.836,0.522,1.0,0.117,0.097,0.482,0.203,0.053
13.74717,0.328,0.892,0.664,0.587,1.0,0.539,0.51,0.117,0.143,0.244,0.192,0.163
13.95392,0.062,0.723,0.603,0.076,1.0,0.11,0.58,0.068,0.171,0.469,0.078,0.035
14.32649,0.057,0.252,0.347,0.146,0.71,0.196,1.0,0.075,0.026,0.203,0.021,0.01
14.74966,0.065,0.445,1.0,0.148,0.675,0.099,0.744,0.071,0.048,0.307,0.019,0.011
15.11655,0.07,0.165,0.203,0.076,0.493,0.403,1.0,0.188,0.033,0.094,0.066,0.031
15.32685,0.118,0.668,1.0,0.097,0.49,0.099,0.308,0.056,0.135,0.298,0.135,0.043
