start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.089,0.547,0.539,0.546,0.992,1.0,0.468,0.476,0.075,0.08,0.072,0.07
0.16839,0.411,1.0,0.233,0.12,0.047,0.084,0.123,0.071,0.052,0.091,0.066,0.171
0.47605,0.284,1.0,0.635,0.299,0.391,0.859,0.772,0.217,0.372,0.737,0.434,0.184
0.86825,1.0,0.701,0.036,0.045,0.042,0.057,0.045,0.028,0.043,0.04,0.019,0.136
1.19583,0.705,1.0,0.17,0.205,0.171,0.073,0.287,0.076,0.123,0.262,0.082,0.315
1.48027,0.934,1.0,0.243,0.143,0.178,0.169,0.328,0.248,0.242,0.377,0.158,0.212
1.75229,0.474,1.0,0.546,0.526,0.707,0.708,0.621,0.548,0.215,0.337,0.107,0.033
1.89955,0.309,0.345,0.806,0.932,0.78,1.0,0.569,0.366,0.262,0.278,0.281,0.41
2.57705,0.231,1.0,0.192,0.165,0.226,0.172,0.961,0.153,0.195,0.747,0.18,0.233
2.8561,0.633,0.788,0.582,0.658,0.935,1.0,0.826,0.576,0.531,0.629,0.498,0.446
3.26249,0.38,1.0,0.168,0.059,0.185,0.197,0.756,0.16,0.153,0.535,0.158,0.167
3.55283,0.417,1.0,0.579,0.538,0.502,0.563,0.505,0.273,0.293,0.581,0.252,0.084
3.62227,0.627,1.0,0.236,0.343,0.19,0.211,0.506,0.221,0.198,0.563,0.169,0.208
3.96399,0.417,1.0,0.14,0.056,0.123,0.113,0.509,0.13,0.19,0.618,0.154,0.218
4.238,0.436,1.0,0.296,0.27,0.224,0.434,0.474,0.23,0.275,0.553,0.206,0.154
4.56975,0.78,1.0,0.721,0.678,0.493,0.489,0.497,0.441,0.413,0.581,0.676,0.51
4.65551,0.36,0.851,0.396,0.481,1.0,0.525,0.252,0.412,0.601,0.532,0.458,0.659
5.28272,0.203,1.0,0.161,0.1,0.224,0.169,0.572,0.183,0.237,0.913,0.175,0.167
5.61379,0.5,0.95,0.439,0.794,0.949,0.891,1.0,0.621,0.823,0.809,0.453,0.391
6.00785,0.325,1.0,0.214,0.073,0.13,0.171,0.418,0.212,0.188,0.694,0.144,0.116
6.30467,0.351,1.0,0.737,0.72,0.678,0.751,0.76,0.493,0.453,0.648,0.296,0.183
6.38549,1.0,0.88,0.197,0.305,0.219,0.221,0.546,0.228,0.329,0.657,0.119,0.529
6.64594,0.458,0.888,0.749,0.721,0.722,0.728,0.817,0.741,0.762,1.0,0.357,0.243
6.72807,0.554,0.686,0.12,0.171,0.182,0.175,0.884,0.198,0.201,1.0,0.145,0.203
7.00073,0.62,0.954,0.327,0.577,0.773,1.0,0.718,0.3,0.404,0.588,0.289,0.651
7.40095,0.42,0.389,0.659,0.51,0.45,0.562,1.0,0.883,0.426,0.221,0.26,0.795
8.09814,0.142,0.87,0.163,0.067,0.151,0.175,0.575,0.151,0.203,1.0,0.132,0.146
8.37624,0.298,1.0,0.604,0.399,0.42,0.444,0.563,0.337,0.331,0.835,0.33,0.284
8.79442,0.269,0.897,0.181,0.202,0.214,0.328,0.714,0.301,0.381,1.0,0.177,0.14
9.14299,0.318,0.986,0.416,0.373,0.571,0.602,0.956,0.485,0.314,1.0,0.206,0.06
9.31143,0.44,1.0,0.631,0.602,0.752,0.747,0.601,0.406,0.343,0.456,0.237,0.041
9.47356,0.094,0.485,0.081,0.054,0.073,0.105,0.322,0.08,0.148,1.0,0.083,0.073
9.75828,0.378,1.0,0.463,0.415,0.411,0.438,0.553,0.376,0.506,0.716,0.242,0.167
9.83374,0.497,1.0,0.588,0.116,0.236,0.108,0.155,0.082,0.08,0.168,0.064,0.504
10.16916,0.22,0.387,0.17,0.195,0.313,1.0,0.448,0.489,0.594,0.225,0.257,0.311
10.85111,0.401,1.0,0.176,0.108,0.117,0.131,0.447,0.112,0.133,0.56,0.131,0.435
11.2093,0.223,1.0,0.429,0.106,0.18,0.09,0.186,0.116,0.097,0.228,0.094,0.343
11.53587,0.229,1.0,0.176,0.07,0.156,0.164,0.708,0.132,0.117,0.419,0.125,0.177
11.78413,0.135,1.0,0.194,0.13,0.277,0.538,0.951,0.348,0.322,0.79,0.162,0.036
11.90009,0.243,1.0,0.203,0.166,0.161,0.2,0.91,0.167,0.199,0.508,0.155,0.16
12.16204,0.221,1.0,0.138,0.065,0.203,0.364,0.856,0.193,0.27,0.444,0.15,0.109
12.50975,0.38,1.0,0.528,0.298,0.363,0.492,0.854,0.303,0.313,0.614,0.462,0.889
12.91592,0.34,0.327,1.0,0.231,0.118,0.179,0.678,0.141,0.089,0.232,0.27,0.878
