start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.19,0.182,0.166,0.373,1.0,0.627,0.241,0.178,0.528,0.072,0.061,0.247
0.19256,0.111,0.118,0.151,0.227,1.0,0.141,0.075,0.1,0.445,0.077,0.108,0.367
0.35932,0.153,0.221,0.29,0.165,0.407,0.135,1.0,0.098,0.988,0.437,0.154,0.307
0.53392,0.131,0.162,0.191,0.329,1.0,0.095,0.133,0.146,0.535,0.121,0.099,0.461
0.70299,0.084,0.153,0.245,0.114,1.0,0.187,0.14,0.09,0.297,0.105,0.077,0.332
0.87655,0.092,0.098,0.128,0.244,1.0,0.117,0.134,0.102,0.66,0.099,0.054,0.174
1.04426,0.089,0.069,0.281,0.373,1.0,0.13,0.919,0.128,0.383,0.37,0.133,0.211
1.20803,0.016,0.023,0.04,0.156,1.0,0.204,0.021,0.012,0.031,0.014,0.013,0.044
1.55964,0.057,0.109,0.189,0.23,1.0,0.132,0.114,0.122,0.192,0.081,0.061,0.116
1.72948,0.08,0.105,0.247,0.112,0.544,0.08,1.0,0.048,0.133,0.395,0.08,0.057
1.90422,0.131,0.188,0.175,0.326,1.0,0.16,0.193,0.245,0.228,0.106,0.078,0.224
2.07061,0.005,0.011,0.035,0.103,1.0,0.192,0.023,0.01,0.013,0.009,0.004,0.023
2.42018,0.105,0.206,0.33,0.288,0.912,0.161,1.0,0.095,0.11,0.44,0.099,0.179
2.59039,0.017,0.016,0.038,0.143,1.0,0.203,0.024,0.014,0.018,0.014,0.01,0.104
2.92571,0.247,0.336,0.388,0.375,0.788,0.364,0.275,0.431,0.898,0.106,0.073,1.0
3.09973,0.036,0.098,0.128,0.106,0.471,0.14,0.202,0.26,1.0,0.07,0.02,0.222
3.27365,0.33,0.073,0.102,0.121,0.557,0.119,0.106,0.323,1.0,0.062,0.03,0.79
3.44218,0.178,0.024,0.055,0.175,0.677,0.254,0.029,0.035,0.069,0.021,0.07,1.0
3.70177,0.168,0.049,0.087,0.1,0.269,0.078,0.028,0.049,0.249,0.019,0.076,1.0
3.95905,0.194,0.524,0.528,0.198,0.995,0.204,0.069,0.06,0.065,0.031,0.07,1.0
4.29909,0.056,0.027,0.288,0.101,0.264,0.025,0.215,0.116,0.019,0.301,0.04,1.0
4.63773,0.252,0.029,0.126,0.032,0.063,0.034,0.268,0.165,0.018,0.325,0.042,1.0
4.81229,0.179,0.124,0.828,0.195,0.795,0.309,0.537,0.477,0.114,0.996,0.154,1.0
5.16109,0.126,0.588,1.0,0.412,0.566,0.575,0.563,0.431,0.063,0.408,0.155,0.216
5.2478,0.286,0.634,1.0,0.48,0.561,0.58,0.494,0.404,0.104,0.432,0.336,0.263
5.32984,0.205,0.163,0.847,0.318,0.935,0.155,0.373,0.271,0.248,0.757,0.314,1.0
5.67211,0.142,0.144,1.0,0.116,0.4,0.093,0.328,0.286,0.618,0.84,0.132,0.483
5.84544,0.071,0.056,0.477,0.07,0.361,0.095,1.0,0.173,0.391,0.743,0.084,0.175
6.01896,0.075,0.074,0.653,0.175,0.812,0.095,0.151,0.153,0.241,1.0,0.124,0.184
6.18866,0.024,0.029,0.14,0.167,1.0,0.129,0.125,0.07,0.153,0.165,0.039,0.156
6.53052,0.054,0.095,0.196,0.193,1.0,0.094,0.646,0.063,0.237,0.327,0.064,0.101
6.70526,0.15,0.183,0.348,0.299,1.0,0.091,0.328,0.165,0.265,0.487,0.158,0.266
6.87274,0.191,0.254,0.276,0.322,1.0,0.109,0.175,0.077,0.196,0.169,0.072,0.539
7.04866,0.163,0.101,0.191,0.236,1.0,0.164,0.158,0.062,0.138,0.178,0.066,0.338
7.21469,0.085,0.071,0.226,0.159,0.59,0.082,1.0,0.038,0.082,0.403,0.055,0.159
7.38989,0.272,0.292,0.354,0.287,1.0,0.272,0.259,0.263,0.184,0.221,0.092,0.477
7.55973,0.014,0.027,0.054,0.053,1.0,0.24,0.049,0.013,0.03,0.038,0.011,0.116
7.90145,0.095,0.233,0.38,0.175,0.698,0.208,1.0,0.113,0.234,0.416,0.07,0.226
8.07465,0.019,0.035,0.056,0.099,1.0,0.289,0.037,0.02,0.056,0.035,0.02,0.152
8.41723,0.264,0.311,0.461,0.27,0.753,0.305,0.363,0.345,1.0,0.297,0.095,0.726
8.59079,0.086,0.08,0.121,0.06,0.107,0.068,0.19,0.247,1.0,0.072,0.013,0.352
8.75977,0.39,0.061,0.09,0.043,0.215,0.051,0.085,0.275,0.912,0.134,0.038,1.0
8.92798,0.165,0.028,0.053,0.199,0.639,0.217,0.025,0.023,0.072,0.027,0.071,1.0
9.18898,0.173,0.031,0.072,0.355,0.998,0.343,0.028,0.037,0.275,0.044,0.078,1.0
9.44467,0.584,0.169,0.235,0.103,0.255,0.114,0.103,0.138,0.46,0.174,0.042,1.0
9.61923,0.436,0.063,0.081,0.042,0.164,0.047,0.083,0.045,0.141,0.087,0.026,1.0
9.78975,0.057,0.023,0.31,0.066,0.332,0.062,0.236,0.126,0.016,0.353,0.04,1.0
10.1307,0.243,0.048,0.322,0.033,0.132,0.036,0.288,0.194,0.035,0.379,0.051,1.0
10.30395,0.227,0.093,0.685,0.069,0.135,0.053,0.451,0.25,0.068,0.641,0.069,1.0
10.4781,0.046,0.077,0.918,0.179,1.0,0.179,0.543,0.365,0.085,0.88,0.051,0.51
10.81533,0.174,0.133,0.653,0.284,1.0,0.103,0.303,0.214,0.145,0.615,0.273,0.827
11.16313,0.091,0.147,0.815,0.213,0.656,0.129,0.412,0.307,0.617,1.0,0.139,0.299
11.33184,0.045,0.064,0.428,0.098,0.378,0.067,1.0,0.226,0.369,0.72,0.078,0.129
11.50454,0.068,0.103,0.674,0.156,0.754,0.107,0.316,0.191,0.293,1.0,0.145,0.221
11.6756,0.007,0.011,0.051,0.12,1.0,0.188,0.059,0.026,0.058,0.06,0.015,0.036
12.01615,0.057,0.103,0.295,0.21,1.0,0.125,0.875,0.095,0.366,0.448,0.079,0.321
12.1912,0.013,0.021,0.044,0.276,1.0,0.119,0.033,0.017,0.022,0.04,0.016,0.035
12.5215,0.045,0.069,0.129,0.219,1.0,0.067,0.132,0.125,0.155,0.14,0.043,0.171
12.69633,0.051,0.034,0.233,0.142,0.756,0.069,1.0,0.049,0.074,0.404,0.047,0.091
12.87533,0.13,0.143,0.242,0.285,1.0,0.186,0.193,0.298,0.218,0.22,0.083,0.226
13.04381,0.093,0.127,0.439,0.17,1.0,0.249,0.638,0.139,0.233,0.369,0.065,0.408
13.3858,0.064,0.107,0.345,0.165,1.0,0.141,0.941,0.098,0.104,0.584,0.061,0.162
13.56023,0.057,0.064,0.14,0.202,1.0,0.177,0.13,0.055,0.103,0.121,0.036,0.46
13.89846,0.219,0.229,0.293,0.329,1.0,0.36,0.258,0.423,0.928,0.242,0.049,0.628
14.0702,0.042,0.103,0.118,0.124,0.331,0.117,0.207,0.256,1.0,0.095,0.021,0.27
14.24544,0.34,0.076,0.096,0.079,0.296,0.093,0.123,0.316,1.0,0.178,0.029,0.853
14.41392,0.103,0.012,0.027,0.341,1.0,0.361,0.028,0.03,0.041,0.02,0.041,0.592
14.67447,0.124,0.02,0.056,0.405,1.0,0.291,0.045,0.075,0.182,0.02,0.058,0.729
14.93129,0.079,0.046,0.078,0.123,1.0,0.143,0.056,0.089,0.039,0.017,0.026,0.457
15.27537,0.054,0.022,0.283,0.071,0.428,0.076,0.207,0.105,0.017,0.293,0.054,1.0
15.61542,0.245,0.036,0.256,0.029,0.112,0.025,0.213,0.183,0.026,0.36,0.05,1.0
15.79007,0.172,0.131,0.928,0.151,0.765,0.212,0.564,0.427,0.127,0.941,0.148,1.0
16.1259,0.115,0.096,1.0,0.046,0.142,0.083,0.649,0.476,0.164,0.86,0.065,0.408
16.2995,0.211,0.145,0.595,0.333,0.589,0.17,0.359,0.294,0.194,0.852,0.358,1.0
16.64336,0.191,0.174,0.869,0.161,0.596,0.166,0.711,0.491,0.856,1.0,0.205,0.672
16.81093,0.072,0.063,0.585,0.081,0.376,0.078,1.0,0.173,0.443,0.794,0.091,0.262
16.99188,0.108,0.093,0.491,0.214,1.0,0.107,0.25,0.238,0.288,0.97,0.158,0.316
17.16036,0.014,0.012,0.059,0.159,1.0,0.094,0.051,0.034,0.058,0.081,0.022,0.084
17.50259,0.106,0.17,0.47,0.354,0.962,0.074,1.0,0.212,0.341,0.601,0.086,0.4
17.6761,0.036,0.072,0.321,0.29,1.0,0.104,0.079,0.044,0.056,0.347,0.098,0.09
18.01905,0.157,0.112,0.244,0.292,1.0,0.141,0.112,0.074,0.171,0.457,0.103,0.401
18.18644,0.078,0.089,0.32,0.203,0.782,0.106,1.0,0.049,0.096,0.522,0.059,0.228
18.36113,0.127,0.188,0.814,0.233,0.7,0.152,0.183,0.203,0.163,1.0,0.184,0.278
18.52957,0.024,0.05,0.102,0.156,1.0,0.124,0.108,0.028,0.048,0.085,0.035,0.207
18.87238,0.132,0.158,0.385,0.185,0.573,0.151,1.0,0.09,0.205,0.549,0.057,0.307
19.04721,0.029,0.031,0.071,0.083,1.0,0.253,0.038,0.101,0.063,0.066,0.028,0.273
19.38875,0.229,0.257,0.387,0.25,1.0,0.324,0.264,0.332,0.759,0.395,0.13,0.787
19.55574,0.084,0.075,0.361,0.056,0.183,0.071,1.0,0.193,0.813,0.47,0.056,0.344
19.73156,0.302,0.054,0.12,0.036,0.514,0.04,0.116,0.467,0.66,0.168,0.051,1.0
19.89927,0.085,0.025,0.066,0.154,1.0,0.172,0.029,0.021,0.085,0.035,0.027,0.935
20.24213,0.464,0.08,0.287,0.051,0.143,0.046,0.47,0.132,0.445,0.328,0.032,1.0
20.41642,0.057,0.028,0.056,0.08,1.0,0.156,0.026,0.101,0.08,0.053,0.028,0.473
20.75841,0.056,0.029,0.335,0.031,0.276,0.082,0.221,0.123,0.021,0.392,0.04,1.0
21.10095,0.239,0.062,0.422,0.044,0.385,0.051,0.294,0.261,0.054,0.422,0.052,1.0
21.27624,0.273,0.137,0.989,0.101,0.183,0.077,0.494,0.325,0.066,0.747,0.085,1.0
21.45052,0.167,0.107,1.0,0.1,0.259,0.08,0.536,0.348,0.097,0.719,0.064,0.403
21.60739,0.21,0.149,1.0,0.103,0.252,0.156,0.776,0.48,0.148,0.878,0.137,0.657
21.78522,0.223,0.083,0.377,0.058,0.25,0.077,0.267,0.174,0.055,1.0,0.099,0.705
21.95551,0.72,1.0,0.385,0.285,0.243,0.144,0.162,0.108,0.208,0.186,0.127,0.527
22.12281,0.419,0.382,0.39,0.23,0.723,0.373,0.837,0.784,0.888,1.0,0.522,0.225
22.30254,0.068,0.093,0.243,0.216,1.0,0.165,0.281,0.181,0.2,0.426,0.112,0.193
22.72658,0.2,0.651,0.76,0.638,1.0,0.864,0.639,0.281,0.117,0.209,0.201,0.284
22.81356,0.651,1.0,0.316,0.24,0.267,0.135,0.092,0.079,0.2,0.146,0.139,0.342
22.98798,0.302,0.374,0.536,0.454,0.749,0.528,0.901,0.94,1.0,0.774,0.482,0.202
23.14984,0.074,0.119,0.844,0.197,0.604,0.166,0.195,0.123,0.15,1.0,0.202,0.159
23.32989,0.678,1.0,0.317,0.234,0.253,0.139,0.092,0.065,0.166,0.133,0.132,0.348
23.4985,0.439,0.446,0.302,0.293,0.834,0.521,0.908,0.907,1.0,0.995,0.7,0.12
23.67261,0.213,0.222,0.523,0.461,0.764,0.371,1.0,0.704,0.765,0.536,0.24,0.264
23.84077,0.03,0.05,0.163,0.386,1.0,0.323,0.102,0.058,0.049,0.237,0.067,0.064
24.10272,0.149,0.783,0.786,0.813,1.0,0.964,0.344,0.313,0.045,0.074,0.157,0.169
24.18331,0.673,1.0,0.336,0.296,0.191,0.147,0.093,0.077,0.173,0.145,0.136,0.341
24.35778,0.316,0.373,0.42,0.396,0.653,0.524,0.918,0.962,1.0,0.778,0.479,0.239
24.52612,0.14,0.194,0.208,0.288,0.928,0.26,0.288,0.7,0.23,0.273,0.176,1.0
24.7005,0.672,1.0,0.333,0.286,0.218,0.126,0.084,0.065,0.187,0.162,0.136,0.338
24.86816,0.418,0.382,0.189,0.184,0.52,0.408,0.743,0.773,1.0,0.88,0.599,0.276
25.04231,0.147,0.127,0.196,0.219,1.0,0.251,0.446,0.445,0.579,0.296,0.191,0.769
25.46639,0.827,0.449,0.18,0.3,0.5,0.248,0.292,0.26,0.213,0.126,0.15,1.0
25.55946,0.589,1.0,0.289,0.25,0.163,0.151,0.074,0.077,0.203,0.141,0.129,0.513
25.7288,0.494,0.351,0.441,0.44,0.575,0.529,0.874,1.0,0.831,0.722,0.464,0.575
25.90195,0.234,0.133,0.257,0.245,0.984,0.192,0.265,0.521,0.225,0.184,0.148,1.0
26.07583,0.617,1.0,0.318,0.258,0.187,0.141,0.085,0.052,0.158,0.146,0.131,0.291
26.23819,0.538,0.306,0.52,0.167,0.445,0.356,0.822,0.685,0.54,0.879,0.422,1.0
26.41302,0.369,0.154,0.534,0.349,0.328,0.284,0.562,0.573,0.456,0.348,0.158,1.0
26.58104,0.129,0.073,0.407,0.103,0.365,0.12,0.338,0.263,0.076,0.414,0.095,1.0
26.92803,0.713,1.0,0.535,0.297,0.2,0.151,0.178,0.14,0.159,0.237,0.115,0.429
27.09796,0.347,0.318,0.644,0.402,0.502,0.436,0.873,1.0,0.905,0.825,0.406,0.292
27.25973,0.191,0.105,0.87,0.448,0.654,0.335,0.31,0.251,0.16,1.0,0.324,0.754
27.44594,0.668,1.0,0.388,0.235,0.149,0.123,0.138,0.079,0.189,0.21,0.143,0.406
27.61429,0.36,0.4,0.535,0.211,0.508,0.392,0.802,0.774,0.902,1.0,0.543,0.277
27.78853,0.096,0.121,0.474,0.24,1.0,0.23,0.502,0.341,0.355,0.887,0.196,0.365
28.2063,0.249,0.35,0.501,0.563,1.0,0.456,0.484,0.281,0.344,0.293,0.272,0.538
28.29932,0.72,1.0,0.384,0.302,0.332,0.157,0.108,0.089,0.198,0.137,0.113,0.4
28.46517,0.315,0.304,0.401,0.46,0.797,0.433,0.842,0.883,1.0,0.702,0.461,0.216
28.64145,0.1,0.156,1.0,0.25,0.688,0.178,0.213,0.161,0.14,0.987,0.216,0.113
28.81605,0.683,1.0,0.313,0.25,0.226,0.153,0.087,0.067,0.145,0.149,0.139,0.313
28.98376,0.461,0.41,0.254,0.246,0.797,0.462,0.859,0.848,0.942,1.0,0.693,0.145
29.15791,0.032,0.049,0.178,0.143,1.0,0.128,0.154,0.093,0.081,0.281,0.075,0.096
29.58803,0.179,0.718,0.722,0.739,1.0,0.912,0.29,0.234,0.064,0.136,0.204,0.146
29.67519,0.647,1.0,0.277,0.21,0.185,0.12,0.077,0.055,0.154,0.154,0.133,0.316
29.84354,0.336,0.357,0.43,0.429,0.672,0.534,0.926,0.991,1.0,0.81,0.476,0.189
30.01175,0.134,0.19,0.169,0.276,1.0,0.24,0.237,0.566,0.244,0.168,0.149,0.816
30.18612,0.693,1.0,0.329,0.288,0.167,0.156,0.085,0.068,0.177,0.153,0.14,0.324
30.35333,0.438,0.425,0.212,0.181,0.483,0.427,0.765,0.771,1.0,0.918,0.622,0.174
30.52825,0.156,0.181,0.381,0.407,0.398,0.321,0.784,0.471,1.0,0.316,0.169,0.297
30.69678,0.177,0.09,0.139,0.346,0.939,0.193,0.179,0.232,0.47,0.142,0.177,1.0
30.95202,0.896,0.514,0.158,0.208,0.489,0.2,0.275,0.139,0.193,0.283,0.113,1.0
31.04522,0.631,1.0,0.37,0.315,0.225,0.176,0.086,0.063,0.233,0.161,0.117,0.594
31.20531,0.464,0.317,0.441,0.519,0.553,0.476,0.819,1.0,0.901,0.784,0.507,0.481
31.38753,0.209,0.127,0.215,0.217,1.0,0.179,0.223,0.436,0.231,0.195,0.133,0.806
31.56181,0.612,1.0,0.259,0.224,0.161,0.125,0.075,0.054,0.152,0.165,0.143,0.22
31.73007,0.535,0.362,0.606,0.191,0.507,0.41,0.868,0.709,0.507,0.905,0.396,1.0
31.8985,0.385,0.194,0.664,0.43,0.394,0.337,0.619,0.649,0.533,0.417,0.175,1.0
32.06667,0.115,0.079,0.404,0.149,0.821,0.214,0.353,0.283,0.088,0.487,0.1,1.0
32.41442,0.701,1.0,0.516,0.284,0.182,0.157,0.173,0.124,0.165,0.244,0.115,0.474
32.58358,0.33,0.328,0.656,0.407,0.488,0.429,0.858,1.0,0.84,0.826,0.402,0.313
32.75175,0.204,0.095,0.933,0.185,0.494,0.189,0.287,0.22,0.115,1.0,0.126,0.626
32.93175,0.648,1.0,0.364,0.238,0.126,0.118,0.126,0.082,0.174,0.193,0.139,0.353
