start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.878,0.356,0.213,0.149,0.137,1.0,0.961,0.105,0.152,0.116,0.069,0.907
0.20381,0.488,1.0,0.76,0.391,0.752,0.654,0.519,0.322,0.193,0.319,0.261,0.379
0.38395,0.079,0.268,1.0,0.138,0.033,0.016,0.034,0.016,0.019,0.069,0.029,0.023
0.75456,0.122,0.037,0.058,0.041,0.156,1.0,0.147,0.03,0.015,0.044,0.015,0.02
1.08594,0.481,0.436,0.4,0.378,0.393,0.376,0.386,1.0,0.468,0.237,0.236,0.432
1.35868,0.017,0.017,0.125,0.014,0.02,0.065,0.052,1.0,0.053,0.024,0.006,0.016
1.51519,0.013,0.011,0.215,0.025,0.018,0.026,0.091,1.0,0.046,0.03,0.047,0.019
1.85202,0.252,0.06,0.185,0.036,0.027,0.032,0.229,1.0,0.194,0.077,0.207,0.063
2.04345,0.031,0.017,0.134,0.009,0.019,0.031,0.172,1.0,0.094,0.036,0.174,0.03
2.28644,0.044,0.056,0.161,0.041,0.055,0.087,0.124,1.0,0.063,0.04,0.29,0.047
2.52644,0.096,0.025,0.052,0.046,0.109,1.0,0.105,0.253,0.026,0.045,0.014,0.027
2.89592,0.421,0.447,1.0,0.167,0.085,0.106,0.061,0.18,0.069,0.153,0.339,0.371
3.22816,1.0,0.331,0.142,0.085,0.097,0.085,0.108,0.157,0.063,0.042,0.044,0.277
3.54712,1.0,0.249,0.239,0.049,0.048,0.019,0.034,0.156,0.016,0.062,0.048,0.276
3.84245,1.0,0.309,0.163,0.022,0.035,0.023,0.02,0.126,0.029,0.075,0.229,0.093
4.00023,1.0,0.128,0.024,0.025,0.051,0.178,0.045,0.17,0.028,0.046,0.07,0.263
4.30127,1.0,0.215,0.249,0.025,0.062,0.169,0.103,0.123,0.034,0.079,0.024,0.146
4.63905,0.24,0.28,1.0,0.361,0.153,0.169,0.224,0.206,0.114,0.251,0.186,0.138
5.01488,0.394,0.246,0.139,0.035,0.193,1.0,0.263,0.083,0.062,0.058,0.016,0.142
5.20122,0.517,0.096,0.102,0.178,0.232,1.0,0.288,0.098,0.043,0.091,0.034,0.046
5.33506,0.243,0.139,0.182,0.083,0.092,0.093,0.16,1.0,0.144,0.086,0.123,0.166
5.74626,0.155,0.112,0.498,0.093,0.078,0.109,0.204,1.0,0.098,0.137,0.18,0.035
5.89705,0.227,0.05,0.285,0.057,0.12,1.0,0.177,0.906,0.174,0.211,0.103,0.066
6.06667,0.547,0.284,0.267,0.177,0.064,0.148,0.358,1.0,0.196,0.175,0.148,0.059
6.25152,0.535,0.666,0.684,0.284,0.356,0.362,0.519,1.0,0.417,0.423,0.276,0.105
6.3854,0.348,0.168,0.418,0.054,0.056,0.204,0.187,1.0,0.089,0.095,0.037,0.058
6.74463,0.168,0.092,0.12,0.121,0.17,1.0,0.083,0.091,0.045,0.081,0.029,0.095
7.09977,1.0,0.799,0.598,0.404,0.261,0.286,0.112,0.28,0.127,0.219,0.069,0.443
7.30141,1.0,0.685,0.222,0.15,0.203,0.297,0.225,0.317,0.122,0.123,0.215,0.565
7.45274,0.042,0.05,0.055,0.031,0.049,0.191,0.053,0.064,0.041,0.149,1.0,0.164
7.82512,0.072,0.018,0.032,0.011,0.021,0.163,0.026,0.037,0.033,0.109,1.0,0.106
8.5863,0.055,0.097,0.131,0.043,0.117,0.369,0.112,0.092,0.035,0.084,1.0,0.078
8.85837,0.189,0.394,1.0,0.141,0.079,0.143,0.123,0.08,0.073,0.124,0.067,0.09
9.2298,0.274,0.136,0.088,0.081,0.144,1.0,0.31,0.068,0.045,0.065,0.027,0.093
9.56104,0.488,0.306,0.267,0.153,0.182,0.218,0.139,1.0,0.151,0.095,0.043,0.317
9.86286,0.065,0.056,0.14,0.037,0.05,0.166,0.215,1.0,0.159,0.051,0.157,0.09
10.13519,0.056,0.028,0.097,0.023,0.034,0.064,0.094,1.0,0.07,0.027,0.022,0.026
10.52467,0.088,0.031,0.12,0.018,0.026,0.07,0.157,1.0,0.082,0.022,0.008,0.031
10.7912,0.057,0.053,0.275,0.064,0.044,0.251,0.149,1.0,0.081,0.039,0.025,0.026
10.98313,0.144,0.197,0.49,0.095,0.144,1.0,0.158,0.176,0.042,0.1,0.053,0.066
11.26186,0.364,0.273,1.0,0.133,0.132,0.193,0.086,0.189,0.065,0.181,0.199,0.276
11.62231,1.0,0.355,0.214,0.198,0.082,0.11,0.296,0.291,0.278,0.273,0.635,0.469
11.71406,0.911,1.0,0.469,0.308,0.276,0.262,0.331,0.445,0.212,0.123,0.097,0.306
11.91769,1.0,0.28,0.065,0.027,0.074,0.024,0.028,0.169,0.027,0.036,0.238,0.38
12.1381,1.0,0.069,0.031,0.025,0.045,0.038,0.038,0.105,0.025,0.031,0.133,0.082
12.7942,1.0,0.343,0.159,0.057,0.044,0.05,0.08,0.631,0.098,0.113,0.897,0.351
13.01447,0.819,1.0,0.785,0.765,0.258,0.237,0.042,0.124,0.083,0.074,0.649,0.522
