start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.738,0.038,0.075,0.032,0.085,0.037,0.103,0.054,0.075,0.064,0.26
0.26785,0.119,0.3,0.728,0.335,0.288,0.496,0.786,1.0,0.339,0.153,0.076,0.096
0.56254,0.14,0.244,0.402,0.144,0.239,0.191,0.355,1.0,0.301,0.161,0.088,0.051
0.72036,0.15,0.292,0.753,0.41,0.333,0.169,0.248,1.0,0.31,0.232,0.141,0.053
0.84612,0.3,0.773,0.584,0.11,0.533,0.185,0.274,1.0,0.294,0.271,0.156,0.098
0.98122,0.296,0.892,0.614,0.183,1.0,0.337,0.256,0.716,0.143,0.469,0.334,0.102
1.13728,0.332,1.0,0.635,0.222,0.959,0.222,0.188,0.44,0.17,0.412,0.322,0.142
1.25982,0.199,0.801,0.172,0.05,1.0,0.204,0.095,0.412,0.119,0.305,0.245,0.106
1.41605,0.32,0.597,0.258,0.116,1.0,0.207,0.081,0.285,0.098,0.311,0.299,0.104
1.54376,0.176,0.313,0.092,0.034,1.0,0.202,0.047,0.158,0.055,0.325,0.341,0.15
1.66621,0.27,0.462,0.239,0.102,1.0,0.21,0.032,0.105,0.054,0.393,0.37,0.128
1.80553,0.181,0.272,0.108,0.056,1.0,0.211,0.019,0.035,0.053,0.282,0.309,0.118
1.92122,0.082,0.213,0.335,0.148,0.774,0.287,0.2,1.0,0.311,0.175,0.212,0.068
2.49633,0.225,0.28,0.873,0.388,0.596,0.593,0.877,0.954,0.737,1.0,0.586,0.239
2.76186,0.021,0.043,0.253,0.052,0.206,0.106,0.212,0.642,0.213,1.0,0.221,0.035
3.22884,0.327,0.787,1.0,0.255,0.349,0.181,0.206,0.189,0.258,0.578,0.26,0.146
3.32649,0.069,0.053,0.251,0.033,0.186,0.087,0.221,1.0,0.122,0.082,0.211,0.301
3.95383,0.43,0.173,0.332,0.044,0.436,0.108,0.229,1.0,0.08,0.051,0.029,0.081
5.2941,0.142,0.346,1.0,0.118,0.06,0.057,0.208,0.136,0.08,0.309,0.124,0.267
5.53202,0.186,0.528,1.0,0.272,0.821,0.177,0.163,0.085,0.15,0.498,0.256,0.351
5.83361,0.155,0.329,1.0,0.19,0.184,0.073,0.238,0.337,0.076,0.254,0.077,0.225
6.09601,0.116,0.386,1.0,0.211,0.099,0.057,0.273,0.326,0.123,0.239,0.064,0.151
6.35673,0.096,0.238,1.0,0.192,0.12,0.077,0.347,0.115,0.084,0.363,0.063,0.267
6.6073,0.22,0.395,1.0,0.19,0.118,0.09,0.237,0.093,0.083,0.482,0.188,0.286
6.87946,0.144,0.464,1.0,0.105,0.076,0.064,0.183,0.145,0.058,0.305,0.237,0.224
7.14005,0.213,0.724,0.893,0.236,1.0,0.177,0.193,0.214,0.155,0.312,0.194,0.367
7.42381,0.105,0.33,1.0,0.123,0.139,0.054,0.21,0.088,0.08,0.261,0.064,0.172
