start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.881,1.0,0.592,0.547,0.449,0.671,0.297,0.224,0.257,0.294,0.245,0.233
1.35061,1.0,0.175,0.021,0.025,0.03,0.624,0.051,0.115,0.032,0.031,0.016,0.047
1.70313,0.602,0.054,0.018,0.056,0.055,0.109,0.032,0.083,1.0,0.113,0.018,0.035
2.09138,1.0,0.091,0.059,0.079,0.081,0.955,0.077,0.099,0.535,0.059,0.032,0.041
2.52073,1.0,0.128,0.215,0.162,0.173,0.751,0.102,0.161,0.635,0.123,0.075,0.07
4.64576,0.369,1.0,0.068,0.025,0.027,0.605,0.056,0.019,0.08,0.025,0.01,0.018
5.00998,0.1,0.596,0.104,0.076,0.133,0.621,0.11,0.117,1.0,0.152,0.045,0.034
5.77633,0.6,0.589,0.226,0.277,0.205,0.698,0.215,0.223,1.0,0.182,0.17,0.151
7.7522,1.0,0.219,0.031,0.016,0.022,0.565,0.037,0.089,0.144,0.02,0.014,0.047
8.11342,1.0,0.103,0.063,0.136,0.118,0.388,0.111,0.127,0.823,0.109,0.053,0.05
8.84327,1.0,0.277,0.417,0.19,0.268,0.455,0.183,0.155,0.9,0.149,0.11,0.134
10.77592,0.254,0.052,0.035,0.056,0.496,0.121,0.084,0.027,0.076,0.031,0.063,1.0
11.15515,0.155,0.107,0.09,0.158,0.822,0.135,0.109,0.114,1.0,0.163,0.074,0.643
11.98685,0.375,0.317,0.237,0.212,1.0,0.258,0.172,0.179,0.729,0.147,0.116,0.659
13.91773,1.0,0.142,0.074,0.031,0.069,0.605,0.053,0.169,0.073,0.042,0.026,0.063
14.302,1.0,0.137,0.081,0.077,0.101,0.471,0.171,0.167,0.798,0.132,0.058,0.044
15.07696,1.0,0.292,0.231,0.2,0.196,0.479,0.093,0.145,0.901,0.147,0.075,0.084
17.22399,1.0,0.149,0.095,0.06,0.681,0.164,0.048,0.146,0.098,0.043,0.022,0.074
17.60118,0.943,0.093,0.139,0.063,0.714,0.087,0.068,1.0,0.14,0.047,0.045,0.063
18.44018,1.0,0.281,0.296,0.279,0.455,0.125,0.141,0.774,0.224,0.157,0.114,0.142
20.31878,1.0,0.166,0.074,0.038,0.054,0.447,0.066,0.162,0.028,0.028,0.019,0.045
20.72834,0.912,0.089,0.082,0.074,0.112,0.488,0.139,0.167,1.0,0.141,0.054,0.06
21.45342,0.678,0.153,0.175,0.127,0.147,0.367,0.103,0.128,1.0,0.121,0.069,0.098
23.5058,0.108,1.0,0.119,0.046,0.476,0.057,0.011,0.016,0.093,0.014,0.007,0.041
23.9405,0.11,0.546,0.059,0.052,1.0,0.085,0.036,0.07,0.622,0.095,0.038,0.051
24.71129,0.351,0.715,0.214,0.304,1.0,0.157,0.123,0.174,0.922,0.197,0.144,0.143
26.9732,1.0,0.191,0.035,0.036,0.103,0.684,0.051,0.13,0.064,0.027,0.014,0.041
27.33728,0.744,0.095,0.047,0.077,0.092,0.607,0.138,0.138,1.0,0.123,0.044,0.041
28.04853,0.497,0.153,0.163,0.13,0.212,0.557,0.101,0.134,1.0,0.084,0.062,0.081
30.13043,1.0,0.189,0.053,0.045,0.714,0.148,0.041,0.141,0.08,0.029,0.023,0.079
30.49324,0.566,0.062,0.125,0.037,1.0,0.074,0.063,0.978,0.117,0.036,0.032,0.056
31.32862,0.6,0.192,0.194,0.094,1.0,0.094,0.132,0.849,0.136,0.082,0.065,0.104
33.2902,1.0,0.151,0.076,0.021,0.108,0.606,0.069,0.148,0.041,0.031,0.022,0.053
33.67297,0.852,0.091,0.11,0.107,0.109,0.762,0.138,0.177,1.0,0.161,0.086,0.064
34.44163,0.812,0.155,0.138,0.172,0.103,0.676,0.119,0.213,1.0,0.146,0.076,0.089
36.47669,0.109,1.0,0.12,0.031,0.568,0.092,0.031,0.024,0.097,0.026,0.018,0.053
36.91279,0.107,0.53,0.04,0.033,1.0,0.126,0.03,0.027,0.082,0.101,0.363,0.077
37.30671,0.103,0.288,0.019,0.036,1.0,0.078,0.017,0.018,0.031,0.018,0.267,0.068
37.74249,0.353,0.522,0.225,0.131,1.0,0.234,0.115,0.119,0.142,0.105,0.567,0.099
