start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.636,0.908,0.774,1.0,0.502,0.472,0.596,0.407,0.244,0.302,0.482,0.434
0.55156,0.037,0.235,0.053,0.108,1.0,0.115,0.022,0.053,0.06,0.862,0.406,0.066
0.95161,0.051,0.32,0.145,0.138,1.0,0.057,0.028,0.046,0.037,0.45,0.575,0.046
1.12027,0.123,0.705,0.207,0.223,1.0,0.087,0.041,0.085,0.053,0.892,0.467,0.064
1.2712,0.114,0.853,0.318,0.316,1.0,0.106,0.048,0.089,0.077,0.889,0.457,0.041
1.42853,0.227,0.914,0.227,0.267,0.996,0.07,0.05,0.092,0.124,1.0,0.231,0.049
1.56159,0.096,0.876,0.207,0.281,0.978,0.058,0.042,0.1,0.064,1.0,0.159,0.064
1.71229,0.092,0.55,0.188,0.255,1.0,0.103,0.036,0.073,0.06,0.925,0.204,0.049
1.85147,0.049,0.418,0.118,0.236,1.0,0.133,0.025,0.057,0.046,0.76,0.178,0.044
2.13633,0.05,0.444,0.16,0.217,1.0,0.098,0.038,0.066,0.039,0.596,0.103,0.019
2.28712,0.036,0.35,0.097,0.146,1.0,0.086,0.024,0.043,0.034,0.519,0.117,0.022
2.40345,0.019,0.266,0.06,0.115,1.0,0.084,0.015,0.03,0.025,0.484,0.098,0.017
2.54272,0.036,0.317,0.069,0.144,1.0,0.116,0.017,0.038,0.024,0.593,0.142,0.022
2.87941,0.027,0.349,0.089,0.131,1.0,0.057,0.02,0.044,0.028,0.422,0.121,0.031
2.96621,0.055,0.389,0.099,0.13,1.0,0.102,0.019,0.042,0.03,0.721,0.189,0.049
3.15719,0.062,0.363,0.155,0.157,1.0,0.081,0.032,0.057,0.107,0.717,0.257,0.082
3.25084,0.044,0.414,0.128,0.151,0.946,0.092,0.036,0.052,0.051,1.0,0.347,0.098
3.43098,0.34,0.322,0.239,0.195,0.575,0.305,0.141,0.173,0.144,1.0,0.223,0.094
7.34966,1.0,0.683,0.311,0.092,0.118,0.043,0.12,0.24,0.168,0.089,0.096,0.055
7.79469,0.561,0.964,0.897,0.895,1.0,0.999,0.593,0.588,0.171,0.176,0.041,0.026
7.95986,1.0,0.967,0.894,0.887,0.807,0.806,0.463,0.464,0.436,0.43,0.358,0.01
8.08707,0.201,0.462,0.451,0.444,0.987,1.0,0.877,0.876,0.529,0.539,0.269,0.019
8.19451,0.907,0.885,0.585,0.56,0.866,0.865,1.0,0.996,0.576,0.557,0.643,0.045
8.3683,0.67,1.0,0.427,0.043,0.173,0.182,0.438,0.259,0.076,0.121,0.096,0.035
8.89179,1.0,0.938,0.886,0.882,0.633,0.636,0.452,0.448,0.256,0.262,0.075,0.003
9.01215,1.0,0.934,0.881,0.873,0.308,0.302,0.123,0.122,0.199,0.192,0.126,0.008
9.14345,0.653,1.0,0.02,0.009,0.017,0.009,0.013,0.018,0.012,0.01,0.013,0.038
9.41719,0.948,1.0,0.03,0.017,0.015,0.02,0.015,0.018,0.018,0.019,0.013,0.054
9.71202,1.0,0.791,0.435,0.423,0.339,0.219,0.398,0.379,0.304,0.109,0.095,0.1
10.81764,0.818,1.0,0.949,0.938,0.506,0.506,0.106,0.104,0.165,0.169,0.074,0.018
10.96268,1.0,0.79,0.697,0.555,0.307,0.269,0.521,0.211,0.399,0.103,0.109,0.058
11.36077,0.224,1.0,0.076,0.064,0.048,0.021,0.021,0.022,0.054,0.036,0.027,0.206
11.65147,1.0,0.938,0.881,0.879,0.626,0.629,0.447,0.442,0.256,0.262,0.079,0.003
11.77179,0.943,1.0,0.014,0.012,0.01,0.011,0.01,0.008,0.015,0.011,0.011,0.009
11.96757,1.0,0.986,0.02,0.013,0.007,0.008,0.011,0.016,0.015,0.009,0.012,0.053
12.17692,0.947,1.0,0.03,0.017,0.015,0.022,0.016,0.018,0.018,0.018,0.013,0.055
12.47175,0.318,1.0,0.026,0.031,0.026,0.013,0.019,0.019,0.035,0.036,0.015,0.052
12.83211,1.0,0.695,0.023,0.042,0.029,0.026,0.027,0.025,0.024,0.036,0.028,0.077
13.02367,1.0,0.53,0.517,0.511,0.334,0.332,0.447,0.448,0.167,0.167,0.01,0.009
13.17152,1.0,0.602,0.389,0.321,0.283,0.098,0.129,0.395,0.101,0.434,0.229,0.072
13.72617,1.0,0.578,0.176,0.256,0.651,0.294,0.174,0.097,0.21,0.863,0.061,0.111
14.20168,0.684,0.221,0.09,0.075,0.182,0.085,0.178,0.096,0.138,1.0,0.06,0.045
14.74884,0.218,0.234,0.053,0.247,1.0,0.126,0.276,0.111,0.2,0.734,0.063,0.068
15.31778,0.573,0.091,0.032,0.022,0.08,0.021,0.046,0.105,0.093,1.0,0.062,0.081
15.85868,0.072,0.024,0.026,0.421,1.0,0.026,0.033,0.04,0.045,0.299,0.024,0.051
16.38857,0.688,0.066,0.196,0.287,1.0,0.048,0.038,0.138,0.109,0.765,0.121,0.308
16.90816,0.437,0.194,0.125,0.328,0.503,0.13,0.088,0.095,0.283,1.0,0.211,0.329
17.05483,0.486,0.492,0.078,0.687,0.801,0.068,0.085,0.102,0.257,1.0,0.45,0.306
17.19488,0.101,0.032,0.068,0.782,1.0,0.214,0.012,0.011,0.03,0.204,0.019,0.071
17.38585,0.793,0.679,0.29,0.622,0.613,0.202,0.079,0.083,0.187,1.0,0.162,0.372
17.48998,0.128,0.183,0.056,0.208,0.663,0.103,0.065,0.083,0.385,1.0,0.316,0.134
17.68812,0.285,0.138,0.092,0.403,0.558,0.179,0.424,0.425,0.805,1.0,0.663,0.135
17.80753,0.706,0.965,0.288,0.476,1.0,0.578,0.426,0.406,0.289,0.677,0.295,0.148
17.91424,0.382,0.192,0.097,0.142,0.127,0.105,0.224,0.236,0.312,1.0,0.282,0.049
18.04812,0.168,0.063,0.02,0.186,0.74,0.071,0.024,0.05,0.242,1.0,0.379,0.348
18.26966,1.0,0.108,0.016,0.018,0.114,0.014,0.012,0.049,0.126,0.411,0.061,0.101
18.57624,0.149,0.095,0.032,0.113,0.621,0.029,0.044,0.034,0.295,1.0,0.259,0.106
18.80757,0.188,0.101,0.075,0.07,0.517,0.086,0.084,0.068,0.666,1.0,0.107,0.077
19.20014,0.089,0.062,0.01,0.014,0.184,0.017,0.005,0.012,0.241,1.0,0.181,0.043
19.48694,0.883,0.608,0.46,0.603,0.711,0.614,0.638,0.628,0.79,1.0,0.698,0.032
19.59234,1.0,0.348,0.134,0.242,0.597,0.185,0.065,0.178,0.24,0.273,0.239,0.694
19.70816,0.47,0.176,0.05,0.122,0.489,0.113,0.125,0.096,0.27,1.0,0.255,0.336
19.91215,0.577,0.214,0.144,0.276,1.0,0.182,0.114,0.148,0.204,0.213,0.115,0.267
20.05714,0.498,0.148,0.049,0.134,0.471,0.116,0.222,0.319,0.188,1.0,0.108,0.403
20.24712,0.285,0.121,0.041,0.051,0.17,0.057,0.111,0.115,0.254,1.0,0.243,0.118
20.42249,1.0,0.299,0.021,0.104,0.63,0.078,0.063,0.205,0.119,0.761,0.181,0.251
20.76417,0.292,0.058,0.03,0.054,0.323,0.045,0.036,0.098,0.211,1.0,0.254,0.139
21.13615,0.362,0.093,0.019,0.065,0.341,0.024,0.041,0.058,0.298,1.0,0.1,0.164
21.44912,1.0,0.231,0.075,0.097,0.238,0.086,0.181,0.245,0.436,0.734,0.201,0.301
21.6342,1.0,0.357,0.068,0.068,0.195,0.064,0.168,0.225,0.237,0.393,0.04,0.378
21.80322,0.191,0.062,0.022,0.027,0.21,0.04,0.048,0.055,0.165,1.0,0.158,0.091
22.34376,0.849,0.417,0.225,0.304,0.436,0.273,0.328,0.338,0.371,1.0,0.309,0.356
22.47959,0.237,0.052,0.008,0.025,0.236,0.041,0.039,0.076,0.399,1.0,0.26,0.076
22.72245,1.0,0.102,0.043,0.106,0.238,0.108,0.191,0.258,0.381,0.43,0.358,0.177
22.85955,1.0,0.234,0.09,0.125,0.811,0.338,0.315,0.318,0.365,0.976,0.317,0.651
22.99469,0.323,0.189,0.106,0.423,1.0,0.187,0.045,0.051,0.149,0.427,0.121,0.21
23.11873,0.263,0.286,0.22,0.46,1.0,0.388,0.135,0.135,0.193,0.54,0.144,0.079
23.23202,0.143,0.236,0.122,0.305,1.0,0.141,0.042,0.042,0.258,0.95,0.197,0.175
23.4083,1.0,0.318,0.111,0.235,0.537,0.078,0.064,0.132,0.276,0.706,0.195,0.197
23.54322,0.793,0.296,0.129,0.196,0.365,0.159,0.074,0.145,0.218,1.0,0.144,0.591
23.65578,0.252,0.126,0.053,0.012,0.047,0.018,0.011,0.036,0.151,1.0,0.225,0.078
23.96281,0.098,0.108,0.048,0.156,1.0,0.055,0.027,0.122,0.375,0.582,0.199,0.075
24.20308,0.145,0.158,0.025,0.031,0.275,0.022,0.021,0.091,0.185,1.0,0.336,0.044
24.42735,0.24,0.177,0.158,0.401,1.0,0.264,0.077,0.091,0.126,0.42,0.103,0.106
24.5317,0.121,0.032,0.015,0.026,0.083,0.007,0.012,0.058,0.166,1.0,0.291,0.027
24.79329,0.54,0.137,0.103,0.132,0.201,0.051,0.151,0.165,0.712,1.0,0.783,0.15
24.87492,0.64,0.252,0.128,0.136,0.29,0.101,0.048,0.085,0.058,1.0,0.096,0.088
25.03102,0.129,0.102,0.042,0.056,0.547,0.046,0.041,0.054,0.13,1.0,0.102,0.087
25.52454,0.59,0.175,0.077,0.139,0.398,0.133,0.285,0.259,0.142,1.0,0.131,0.218
26.0761,0.173,0.219,0.115,0.065,0.204,0.06,0.235,0.26,0.118,1.0,0.606,0.098
26.52707,0.126,0.112,0.02,0.014,0.036,0.015,0.069,0.03,0.064,1.0,0.71,0.044
26.74349,0.139,0.071,0.012,0.011,0.022,0.026,0.041,0.027,0.038,1.0,0.54,0.027
26.98762,0.071,0.064,0.046,0.047,0.031,0.026,0.051,0.047,0.055,1.0,0.474,0.019
27.1034,0.3,0.243,1.0,0.877,0.125,0.093,0.197,0.126,0.105,0.712,0.647,0.143
27.49764,0.455,0.381,0.522,0.384,0.172,0.113,0.069,0.08,0.135,1.0,0.562,0.033
27.68181,0.553,0.447,0.711,0.391,0.442,0.354,0.284,0.282,0.28,1.0,0.614,0.105
27.78735,0.319,0.355,0.406,0.251,0.083,0.054,0.077,0.027,0.081,1.0,0.259,0.06
28.09011,0.299,0.842,0.406,0.115,0.099,0.052,0.028,0.061,0.097,1.0,0.445,0.105
28.37501,0.332,0.264,0.331,0.247,0.211,0.184,0.283,0.288,0.235,1.0,0.275,0.016
28.51324,0.518,0.39,0.423,0.384,0.381,0.309,0.244,0.248,0.136,1.0,0.316,0.039
28.6312,0.179,0.189,0.217,0.194,0.078,0.038,0.109,0.114,0.04,1.0,0.282,0.035
28.77243,0.184,0.229,0.071,0.037,0.024,0.042,0.052,0.035,0.051,1.0,0.545,0.021
28.96658,0.22,0.179,0.094,0.045,0.019,0.044,0.112,0.076,0.109,1.0,0.852,0.043
29.18245,0.029,0.034,0.028,0.028,0.036,0.028,0.035,0.037,0.038,0.936,1.0,0.019
29.35029,0.183,0.241,0.055,0.087,0.053,0.036,0.142,0.13,0.185,1.0,0.765,0.035
29.94626,0.193,0.185,0.148,0.155,0.095,0.081,0.131,0.133,0.143,1.0,0.926,0.047
30.08159,0.411,0.304,0.031,0.03,0.03,0.029,0.013,0.027,0.051,1.0,0.822,0.073
30.40626,0.342,0.348,0.947,1.0,0.348,0.046,0.03,0.029,0.024,0.587,0.523,0.102
30.51692,0.292,0.477,0.749,0.346,0.182,0.039,0.062,0.111,0.204,1.0,0.965,0.174
30.8883,0.146,0.232,0.713,0.371,0.298,0.046,0.035,0.051,0.018,1.0,0.906,0.041
31.04984,0.225,0.417,1.0,0.802,0.332,0.098,0.048,0.051,0.109,0.923,0.915,0.063
31.20762,0.309,0.295,0.852,0.424,0.243,0.097,0.077,0.084,0.092,1.0,0.974,0.096
31.36426,0.114,0.224,0.595,0.175,0.102,0.036,0.071,0.044,0.191,0.927,1.0,0.126
31.65506,0.462,0.532,0.696,0.387,0.442,0.241,0.198,0.182,0.204,0.638,1.0,0.501
39.3493,0.537,1.0,0.217,0.112,0.079,0.068,0.053,0.038,0.055,0.072,0.081,0.414
39.69184,1.0,0.643,0.532,0.529,0.398,0.394,0.47,0.464,0.346,0.353,0.269,0.018
39.84898,0.749,1.0,0.63,0.417,0.622,0.177,0.895,0.918,0.485,0.342,0.099,0.163
40.31596,0.221,0.299,0.157,0.364,1.0,0.119,0.351,0.167,0.256,0.509,0.143,0.101
40.89864,0.858,0.448,0.264,0.097,0.121,0.035,0.166,0.136,0.095,1.0,0.065,0.527
