start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.944,0.896,0.772,0.743,0.879,1.0,0.82,0.805,0.756,0.91,0.998,0.932
0.39478,0.469,0.924,1.0,0.636,0.842,0.826,0.522,0.499,0.421,0.586,0.552,0.385
0.92875,0.369,0.738,1.0,0.854,0.498,0.57,0.318,0.28,0.197,0.211,0.267,0.293
1.32921,0.848,0.996,0.908,1.0,0.634,0.661,0.497,0.338,0.258,0.487,0.806,0.589
1.50299,0.825,0.784,0.794,0.813,0.66,0.729,0.637,0.338,0.481,1.0,0.765,0.846
1.77655,1.0,0.795,0.789,0.555,0.501,0.795,0.43,0.319,0.571,0.653,0.716,0.752
2.14789,1.0,0.814,0.739,0.538,0.523,0.547,0.579,0.572,0.569,0.324,0.492,0.372
2.3283,0.514,0.524,0.914,1.0,0.6,0.825,0.743,0.535,0.512,0.844,0.724,0.341
2.47891,0.867,0.597,0.709,0.87,0.804,0.991,0.679,0.512,0.559,0.761,1.0,0.785
2.92009,0.782,0.819,1.0,0.941,0.847,0.754,0.746,0.788,0.744,0.816,0.914,0.704
3.19855,0.353,0.341,0.55,0.563,0.746,1.0,0.385,0.296,0.402,0.385,0.412,0.292
3.59315,0.442,0.688,1.0,0.744,0.876,0.665,0.842,0.801,0.579,0.454,0.454,0.249
3.73837,0.497,0.635,1.0,0.767,0.89,0.717,0.977,0.771,0.615,0.574,0.413,0.332
3.90091,0.496,0.667,0.995,0.727,0.981,0.686,1.0,0.672,0.563,0.62,0.468,0.295
4.04635,0.486,0.66,0.961,0.712,1.0,0.675,0.977,0.641,0.552,0.624,0.462,0.274
4.1849,0.49,0.653,0.973,0.723,1.0,0.674,0.976,0.648,0.543,0.612,0.461,0.284
4.32481,0.707,0.988,0.973,0.941,0.815,0.669,0.957,0.796,1.0,0.937,0.807,0.784
4.45238,0.566,0.725,1.0,0.948,0.814,0.553,0.693,0.556,0.649,0.697,0.855,0.642
4.58041,0.661,1.0,0.919,0.736,0.736,0.667,0.681,0.426,0.433,0.724,0.989,0.715
4.71351,0.383,0.486,0.69,0.409,0.492,0.509,1.0,0.97,0.816,0.51,0.54,0.437
4.87646,0.137,1.0,0.26,0.626,0.146,0.172,0.123,0.107,0.113,0.121,0.742,0.117
5.28803,0.087,1.0,0.091,0.159,0.061,0.065,0.037,0.031,0.018,0.028,0.656,0.037
5.42794,0.129,1.0,0.21,0.709,0.113,0.122,0.175,0.062,0.042,0.052,0.707,0.081
5.8576,0.154,1.0,0.158,0.249,0.113,0.117,0.121,0.085,0.066,0.107,0.493,0.133
5.9385,0.131,1.0,0.108,0.153,0.086,0.069,0.06,0.041,0.039,0.087,0.493,0.135
6.12408,0.086,1.0,0.052,0.085,0.054,0.065,0.094,0.045,0.045,0.081,0.222,0.075
6.42621,0.028,1.0,0.035,0.033,0.02,0.027,0.054,0.014,0.01,0.018,0.103,0.026
6.69878,0.03,1.0,0.042,0.015,0.013,0.03,0.054,0.015,0.014,0.014,0.203,0.019
6.81519,0.122,1.0,0.136,0.124,0.068,0.556,0.089,0.057,0.06,0.087,0.302,0.072
6.96544,0.124,0.698,0.181,0.796,0.154,0.53,0.237,0.06,0.086,0.116,1.0,0.09
7.3902,0.472,0.719,0.458,1.0,0.322,0.358,0.1,0.086,0.175,0.204,0.367,0.078
7.52898,0.218,1.0,0.2,0.716,0.163,0.196,0.096,0.083,0.084,0.1,0.574,0.032
7.69143,0.095,1.0,0.165,0.283,0.115,0.427,0.063,0.039,0.056,0.053,0.191,0.061
8.08032,0.117,0.332,0.163,1.0,0.132,0.117,0.095,0.085,0.076,0.085,0.752,0.056
8.23138,0.111,0.349,0.133,0.741,0.13,0.156,0.124,0.137,0.142,0.134,1.0,0.122
