start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.024,0.016,0.015,0.007,0.012,1.0,0.02,0.009,0.009,0.027,0.715,0.021
0.42961,0.041,0.034,0.02,0.015,0.02,0.593,0.068,0.793,0.027,0.063,1.0,0.033
0.8366,0.046,0.022,0.016,0.011,0.018,1.0,0.031,0.141,0.014,0.544,0.359,0.021
1.24735,1.0,0.01,0.004,0.003,0.005,0.104,0.006,0.02,0.005,0.019,0.041,0.008
1.64222,0.161,0.027,0.014,0.009,0.015,1.0,0.024,0.04,0.009,0.026,0.157,0.016
2.06113,0.026,0.01,0.006,0.005,0.014,1.0,0.017,0.014,0.006,0.011,0.077,0.007
2.46707,0.032,0.025,0.011,0.007,0.033,0.869,0.028,0.324,0.033,1.0,0.029,0.011
2.87959,0.023,0.014,0.006,0.012,0.024,0.39,0.018,0.091,0.023,1.0,0.037,0.01
3.28667,1.0,0.016,0.008,0.007,0.011,0.653,0.024,0.03,0.011,0.214,0.008,0.012
3.69261,0.899,0.051,0.033,0.028,0.059,1.0,0.071,0.108,0.055,0.757,0.065,0.035
4.10435,0.083,0.021,0.018,0.013,0.024,1.0,0.026,0.02,0.015,0.167,0.565,0.017
4.51646,0.126,0.017,0.01,0.01,0.027,0.428,0.018,0.026,0.027,1.0,0.086,0.012
4.89937,0.584,0.014,0.013,0.011,0.021,1.0,0.021,0.092,0.012,0.051,0.024,0.009
5.33474,0.718,0.026,0.022,0.019,0.026,0.577,0.033,1.0,0.035,0.097,0.038,0.023
5.74712,0.162,0.016,0.014,0.013,0.023,1.0,0.034,0.145,0.011,0.372,0.015,0.012
6.14753,1.0,0.011,0.003,0.003,0.005,0.167,0.007,0.021,0.005,0.019,0.006,0.007
6.57188,0.332,0.024,0.015,0.01,0.02,1.0,0.023,0.034,0.011,0.027,0.009,0.013
6.97193,0.083,0.01,0.006,0.006,0.014,1.0,0.023,0.033,0.008,0.012,0.006,0.011
7.38435,0.186,0.024,0.022,0.014,0.023,1.0,0.038,0.625,0.021,0.057,0.019,0.013
7.77392,0.217,0.022,0.015,0.015,0.021,0.628,0.022,0.207,0.031,1.0,0.037,0.014
8.20186,1.0,0.014,0.006,0.008,0.288,0.134,0.01,0.027,0.008,0.036,0.008,0.016
8.5737,0.318,0.036,0.029,0.043,1.0,0.145,0.028,0.053,0.046,0.11,0.04,0.072
