start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.759,0.281,0.263,0.282,0.306,0.257,0.348,0.314,1.0,0.242,0.074,0.158
1.34259,0.073,0.162,0.287,0.249,0.168,0.11,0.075,1.0,0.371,0.305,0.168,0.05
1.7302,0.117,0.087,0.181,0.058,0.028,0.03,0.024,1.0,0.097,0.018,0.014,0.065
1.96231,0.179,0.219,0.345,0.133,0.083,0.091,0.085,1.0,0.322,0.251,0.309,0.037
2.14245,0.085,0.065,0.203,0.069,0.042,0.048,0.032,1.0,0.385,0.068,0.083,0.036
2.28671,0.059,0.061,0.288,0.057,0.027,0.202,0.24,1.0,0.196,0.052,0.029,0.052
2.95469,0.225,0.087,0.13,0.067,0.328,1.0,0.147,0.389,0.081,0.063,0.028,0.048
3.06494,0.132,0.134,0.833,0.647,1.0,0.585,0.151,0.434,0.251,0.321,0.213,0.387
3.59256,0.087,0.197,0.687,0.54,1.0,0.279,0.106,0.221,0.096,0.32,0.092,0.338
3.72662,0.11,0.156,0.374,0.24,0.331,1.0,0.14,0.214,0.11,0.184,0.05,0.09
3.85955,0.294,0.205,0.475,0.128,0.419,0.613,0.392,1.0,0.138,0.163,0.121,0.082
4.01769,0.1,0.102,0.367,0.074,0.193,0.15,0.188,1.0,0.121,0.026,0.019,0.075
4.23764,0.063,0.08,0.321,0.067,0.139,0.138,0.109,1.0,0.098,0.075,0.047,0.03
4.40086,0.054,0.058,0.289,0.153,0.085,0.069,0.093,1.0,0.313,0.052,0.036,0.022
4.55714,0.03,0.047,0.093,0.064,0.426,0.098,0.083,0.234,0.177,1.0,0.224,0.183
4.98036,0.042,0.038,0.053,0.036,0.066,0.064,0.076,0.104,0.058,0.109,0.257,1.0
5.10898,1.0,0.11,0.084,0.054,0.104,0.087,0.095,0.236,0.075,0.502,0.645,1.0
5.22449,0.551,0.704,1.0,0.059,0.028,0.025,0.029,0.062,0.067,0.155,0.155,0.376
5.36966,0.07,0.144,0.103,0.107,1.0,0.051,0.006,0.011,0.014,0.024,0.038,0.07
5.57256,0.134,0.165,0.605,0.392,1.0,0.037,0.012,0.035,0.025,0.052,0.04,0.118
5.86313,0.581,0.364,0.477,0.227,1.0,0.029,0.016,0.058,0.02,0.039,0.039,0.129
6.26889,1.0,0.213,0.392,0.064,0.284,0.023,0.126,0.242,0.037,0.028,0.021,0.078
6.69311,0.16,0.098,0.439,0.028,0.029,0.004,0.175,1.0,0.012,0.01,0.004,0.02
6.91297,0.105,0.043,0.417,0.01,0.008,0.002,0.117,1.0,0.005,0.012,0.002,0.006
7.13478,0.054,0.031,0.481,0.019,0.011,0.007,0.25,1.0,0.018,0.013,0.002,0.007
7.22753,0.024,0.009,0.154,0.01,0.004,0.001,0.077,1.0,0.004,0.009,0.001,0.002
7.51093,0.05,0.074,0.195,0.013,0.004,0.006,0.33,1.0,0.025,0.007,0.014,0.089
7.96522,0.047,0.067,0.198,0.019,0.172,0.675,0.556,1.0,0.029,0.013,0.029,0.44
8.33002,0.059,0.108,0.396,0.334,1.0,0.301,0.243,0.464,0.083,0.091,0.341,0.398
8.47964,0.129,0.556,0.716,0.463,1.0,0.332,0.297,0.725,0.158,0.222,0.189,0.236
8.80041,0.082,0.456,1.0,0.299,0.753,0.477,0.229,0.525,0.224,0.693,0.133,0.173
8.95084,0.042,0.185,0.237,0.276,0.405,1.0,0.267,0.275,0.19,0.575,0.06,0.087
9.31147,0.017,0.034,0.075,0.148,0.179,0.075,0.077,1.0,0.162,0.036,0.028,0.015
9.43959,0.042,0.047,0.121,0.042,0.08,0.158,0.208,0.864,0.311,1.0,0.082,0.034
10.13628,0.046,0.01,0.013,0.042,0.083,0.034,0.03,0.098,0.06,0.344,0.082,1.0
10.25819,0.829,0.061,0.049,0.078,0.245,0.084,0.064,0.173,0.082,0.07,0.239,1.0
