start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.835,0.637,0.464,0.398,0.402,0.5,0.478,0.438,0.511,0.773,0.978,1.0
1.07896,0.409,0.328,0.07,0.041,0.075,1.0,0.392,0.042,0.033,0.049,0.02,0.105
1.29356,0.547,0.324,0.044,0.182,0.049,1.0,0.233,0.06,0.054,0.116,0.067,0.087
1.53773,0.468,0.275,0.37,0.154,0.06,0.851,0.198,1.0,0.194,0.08,0.048,0.239
1.87524,0.258,0.136,0.169,0.214,0.307,1.0,0.585,0.635,0.187,0.179,0.038,0.108
2.04916,0.194,0.098,0.252,0.179,0.171,1.0,0.507,0.97,0.201,0.163,0.077,0.129
2.87909,0.128,0.188,0.18,0.22,0.474,1.0,0.876,0.487,0.273,0.299,0.131,0.063
2.98921,0.194,0.181,0.209,0.233,0.269,1.0,0.849,0.644,0.189,0.163,0.094,0.145
3.41896,0.23,0.132,0.326,0.233,0.48,0.632,1.0,0.929,0.338,0.299,0.069,0.166
3.54685,0.476,0.421,0.787,0.472,0.568,1.0,0.819,0.743,0.442,0.463,0.277,0.22
3.6571,0.195,0.14,0.492,0.188,0.268,1.0,0.794,0.802,0.204,0.203,0.1,0.168
4.17995,0.139,0.094,0.193,0.107,0.18,1.0,0.634,0.333,0.117,0.087,0.037,0.111
4.40689,0.551,0.238,0.342,0.18,0.143,1.0,0.509,0.615,0.2,0.137,0.089,0.168
4.67828,0.316,0.418,0.342,0.486,0.453,1.0,0.41,0.523,0.25,0.208,0.195,0.185
4.83528,0.654,0.427,0.446,0.371,0.333,0.887,0.264,1.0,0.35,0.651,0.602,0.38
5.11955,0.971,0.551,0.899,1.0,0.369,0.3,0.184,0.417,0.171,0.471,0.609,0.194
5.47397,0.407,0.244,0.115,0.156,0.106,1.0,0.254,0.053,0.047,0.109,0.076,0.079
5.70639,0.509,0.196,0.299,0.154,0.117,0.266,0.474,1.0,0.058,0.078,0.063,0.068
6.07787,0.197,0.113,0.254,0.431,0.217,0.26,0.428,1.0,0.936,0.146,0.098,0.041
6.21147,0.215,0.128,0.108,0.246,0.089,0.114,0.266,0.412,1.0,0.167,0.085,0.014
6.36268,0.09,0.157,0.14,0.357,0.39,0.246,0.261,0.348,1.0,0.376,0.066,0.016
6.49569,0.409,0.292,0.051,0.213,0.484,0.041,0.069,0.119,0.726,1.0,0.035,0.065
6.73973,0.12,0.117,0.047,0.048,0.23,0.156,0.021,0.036,0.127,1.0,0.803,0.019
7.07628,0.107,0.1,0.096,0.092,0.098,0.268,0.063,0.062,0.074,0.331,1.0,0.006
7.20395,0.402,0.135,0.268,0.12,0.055,0.641,0.393,0.344,0.368,0.253,1.0,0.727
7.70862,0.149,0.074,0.469,0.044,0.023,0.486,0.232,0.084,0.133,0.131,1.0,0.583
7.94721,0.171,0.078,0.552,0.062,0.026,0.646,0.377,0.077,0.104,0.148,1.0,0.371
8.13311,0.232,0.139,0.731,0.115,0.157,1.0,0.654,0.233,0.288,0.336,0.746,0.264
8.26626,0.154,0.057,0.947,0.134,0.062,0.636,0.309,0.193,0.043,0.135,1.0,0.21
8.75401,0.22,0.411,1.0,0.334,0.083,0.917,0.283,0.035,0.392,0.233,0.935,0.186
8.9566,0.212,0.722,0.266,0.39,0.081,0.206,0.1,0.072,1.0,0.609,0.718,0.142
9.31696,0.093,1.0,0.107,0.329,0.083,0.073,0.692,0.102,0.325,0.445,0.196,0.049
9.56694,0.142,1.0,0.074,0.406,0.127,0.04,0.232,0.107,0.666,0.64,0.155,0.038
9.83315,0.196,0.993,0.111,0.435,0.133,0.033,0.87,0.161,0.295,1.0,0.16,0.047
10.06014,0.115,1.0,0.075,0.405,0.114,0.038,0.23,0.075,0.916,0.945,0.164,0.067
10.35039,0.283,1.0,0.166,0.474,0.163,0.046,0.645,0.118,0.323,0.86,0.105,0.045
10.59342,0.493,0.186,0.12,0.126,0.082,0.602,0.361,0.505,0.528,0.427,1.0,0.58
11.12807,0.425,0.069,0.284,0.39,0.037,0.329,0.225,0.219,0.239,0.282,1.0,0.493
11.5117,0.575,0.142,0.729,0.677,0.074,0.601,0.581,0.186,0.59,0.56,0.63,1.0
11.6561,0.153,0.055,0.585,0.109,0.026,0.175,0.154,0.04,0.18,0.141,0.151,1.0
12.01098,0.171,0.768,0.519,0.469,0.118,0.235,0.284,1.0,0.445,0.23,0.847,0.776
13.02744,0.265,0.342,0.175,1.0,0.544,0.524,0.455,0.862,0.239,0.207,0.855,0.062
13.17147,0.199,0.12,0.067,0.956,0.159,0.2,0.077,0.64,0.064,0.048,1.0,0.126
13.49678,0.08,0.073,0.09,0.591,0.434,0.186,0.524,0.568,0.266,0.077,1.0,0.166
13.98376,0.068,0.034,0.039,0.271,0.273,1.0,0.582,0.29,0.119,0.145,0.357,0.059
