start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.724,0.851,0.713,0.645,0.962,1.0,0.816,0.745,0.816,0.749,0.815,0.892
0.51288,0.981,0.155,0.032,0.049,0.07,0.278,0.159,0.086,0.03,0.049,0.093,1.0
1.03905,1.0,0.474,0.015,0.016,0.023,0.014,0.027,0.054,0.104,0.107,0.58,0.028
1.20966,0.324,0.054,0.055,0.418,1.0,0.202,0.074,0.042,0.034,0.009,0.012,0.565
1.50875,0.511,0.245,0.135,0.334,0.173,0.154,0.437,0.454,1.0,0.834,0.816,0.1
1.68898,0.076,0.141,1.0,0.331,0.014,0.016,0.071,0.02,0.013,0.047,0.007,0.086
2.04172,1.0,0.718,0.071,0.048,0.103,0.01,0.034,0.141,0.134,0.157,0.406,0.067
2.20404,0.041,0.026,0.089,1.0,0.257,0.007,0.045,0.03,0.007,0.004,0.025,0.061
2.54154,0.058,0.142,0.317,0.087,0.123,0.025,0.058,0.068,0.168,1.0,0.406,0.138
2.96027,1.0,0.914,0.507,0.481,0.203,0.166,0.6,0.616,0.647,0.645,0.715,0.663
3.04535,0.319,1.0,0.524,0.07,0.026,0.009,0.031,0.012,0.061,0.126,0.252,0.018
3.21342,0.235,1.0,0.459,0.049,0.022,0.043,0.019,0.02,0.06,0.016,0.008,0.128
3.44966,1.0,0.842,0.747,0.749,0.051,0.12,0.339,0.34,0.343,0.287,0.983,0.966
3.53578,0.062,0.094,0.237,0.043,0.062,0.089,0.264,1.0,0.565,0.064,0.18,0.166
3.93515,1.0,0.545,0.246,0.06,0.091,0.047,0.061,0.107,0.037,0.027,0.022,0.638
4.18585,0.98,0.214,0.054,0.077,0.052,0.029,0.085,0.05,0.009,0.015,0.019,1.0
4.40812,0.762,0.34,0.339,0.967,0.989,0.485,0.249,0.098,0.072,0.077,0.13,1.0
4.65433,0.195,0.611,0.292,0.245,0.494,0.348,0.826,1.0,0.854,0.879,0.449,0.123
4.78757,0.837,0.877,0.518,0.324,0.385,0.561,1.0,0.952,0.679,0.588,0.863,0.41
4.9458,0.085,0.396,0.231,0.071,0.173,0.294,0.793,1.0,0.901,0.149,0.097,0.108
5.43537,0.646,0.238,0.136,0.376,0.824,0.123,0.133,0.38,0.411,0.197,0.17,1.0
5.93764,0.863,1.0,0.393,0.268,0.403,0.629,0.734,0.643,0.327,0.287,0.331,0.105
6.12,0.167,1.0,0.604,0.089,0.151,0.398,0.882,0.125,0.057,0.069,0.132,0.347
6.46902,0.801,1.0,0.263,0.077,0.102,0.102,0.22,0.398,0.374,0.362,0.606,0.039
6.619,0.033,0.065,0.088,1.0,0.344,0.018,0.023,0.047,0.018,0.017,0.053,0.08
7.06771,0.144,0.339,1.0,0.425,0.071,0.034,0.111,0.041,0.019,0.081,0.014,0.146
7.42712,0.111,0.146,0.148,0.205,0.063,0.038,0.084,0.451,1.0,0.07,0.203,0.298
8.06277,0.2,0.229,0.348,0.14,0.124,0.284,0.743,1.0,0.634,0.068,0.035,0.536
8.32263,0.708,0.735,0.694,0.383,0.419,0.426,0.207,0.623,0.931,0.762,1.0,0.231
8.43229,1.0,0.234,0.042,0.063,0.039,0.046,0.324,0.302,0.454,0.456,0.939,0.235
8.60222,0.202,0.109,0.062,0.056,0.119,1.0,0.441,0.074,0.013,0.044,0.019,0.031
8.90544,0.242,0.144,0.294,1.0,0.482,0.222,0.12,0.117,0.034,0.036,0.177,0.248
9.09673,0.101,0.285,1.0,0.448,0.06,0.015,0.036,0.036,0.011,0.031,0.009,0.123
9.35859,0.622,1.0,0.565,0.18,0.084,0.15,0.121,0.089,0.219,0.028,0.014,0.393
9.58449,1.0,0.312,0.045,0.02,0.047,0.017,0.014,0.056,0.013,0.006,0.007,0.497
9.85175,0.621,0.111,0.069,0.271,0.172,0.084,0.199,0.327,0.42,0.099,0.046,1.0
10.06141,0.047,0.067,0.178,0.134,0.272,0.123,0.343,1.0,0.087,0.057,0.045,0.262
10.36526,0.307,0.048,0.056,0.16,0.548,1.0,0.147,0.196,0.042,0.099,0.354,0.355
10.86871,0.35,0.129,0.109,0.378,0.585,1.0,0.325,0.209,0.111,0.123,0.047,0.169
11.0688,0.43,1.0,0.202,0.047,0.069,0.109,0.059,0.373,0.308,0.06,0.055,0.45
11.58558,0.031,0.085,1.0,0.161,0.024,0.012,0.048,0.016,0.03,0.098,0.028,0.041
12.05293,0.035,0.035,0.134,1.0,0.196,0.011,0.036,0.086,0.047,0.008,0.041,0.063
12.47714,0.458,0.032,0.007,0.112,0.025,0.021,0.037,0.005,0.012,0.026,0.015,1.0
12.79506,0.067,0.03,0.041,0.831,1.0,0.062,0.056,0.046,0.032,0.008,0.011,0.245
13.07406,0.675,1.0,0.722,0.167,0.169,0.129,0.087,0.099,0.196,0.027,0.013,0.407
13.26961,1.0,0.246,0.028,0.017,0.023,0.008,0.007,0.025,0.012,0.006,0.007,0.673
13.51474,0.516,0.28,0.038,0.041,0.287,0.167,0.551,0.67,0.838,1.0,0.775,0.054
13.63719,0.112,0.108,0.075,0.159,0.058,0.035,0.07,0.378,1.0,0.045,0.045,0.14
14.1712,0.096,0.341,0.165,1.0,0.178,0.078,0.055,0.11,0.454,0.033,0.03,0.018
