start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.15098,0.381,0.534,0.791,0.708,0.512,0.5,1.0,0.65,0.22,0.292,0.595,0.334
0.67977,0.507,1.0,0.462,0.637,0.352,0.589,0.309,0.164,0.105,0.226,0.348,0.3
0.95882,0.556,1.0,0.209,0.528,0.393,0.277,0.265,0.202,0.127,0.3,0.642,0.731
1.21116,0.536,0.957,0.8,0.654,0.672,0.437,0.45,0.303,0.386,0.603,0.896,1.0
1.46884,1.0,0.997,0.32,0.194,0.244,0.27,0.355,0.363,0.257,0.437,0.957,0.479
1.56449,0.855,0.548,0.596,1.0,0.635,0.477,0.176,0.189,0.177,0.36,0.747,0.758
1.82059,0.987,0.399,0.213,0.207,0.477,0.469,0.998,1.0,0.979,0.89,0.739,0.466
1.90435,0.453,1.0,0.592,0.306,0.229,0.245,0.087,0.185,0.612,0.151,0.19,0.535
2.25909,0.614,0.917,0.719,0.871,0.543,0.563,0.568,0.657,1.0,0.325,0.584,0.491
2.51243,0.963,1.0,0.61,0.582,0.651,0.714,0.534,0.405,0.542,0.716,0.619,0.276
2.60821,1.0,0.936,0.589,0.661,0.59,0.307,0.339,0.541,0.858,0.452,0.458,0.649
2.86141,0.906,1.0,0.688,0.185,0.391,0.465,0.33,0.589,0.921,0.63,0.481,0.526
3.11791,0.932,1.0,0.312,0.314,0.435,0.44,0.548,0.586,0.819,0.705,0.755,0.09
3.21129,0.421,1.0,0.677,0.636,0.671,0.459,0.316,0.293,0.26,0.144,0.167,0.298
3.55701,0.814,1.0,0.9,0.863,0.776,0.793,0.644,0.619,0.457,0.446,0.578,0.671
3.62726,1.0,0.738,0.597,0.457,0.432,0.219,0.36,0.218,0.276,0.176,0.269,0.406
3.90617,1.0,0.44,0.422,0.513,0.352,0.756,0.586,0.303,0.278,0.215,0.226,0.265
4.16345,1.0,0.685,0.228,0.182,0.195,0.198,0.208,0.154,0.182,0.212,0.32,0.568
4.41805,1.0,0.62,0.447,0.618,0.834,0.838,0.865,0.863,0.709,0.659,0.725,0.722
4.50993,0.845,1.0,0.334,0.522,0.578,0.679,0.65,0.591,0.556,0.444,0.398,0.445
4.76676,1.0,0.952,0.453,0.282,0.276,0.275,0.269,0.199,0.197,0.171,0.307,0.239
4.93474,0.769,1.0,0.246,0.177,0.155,0.194,0.302,0.233,0.081,0.084,0.263,0.118
5.11365,0.767,1.0,0.755,0.475,0.419,0.598,0.586,0.666,0.567,0.588,0.41,0.571
5.36957,0.674,1.0,0.397,0.352,0.291,0.128,0.078,0.1,0.147,0.123,0.061,0.11
5.53696,0.491,1.0,0.951,0.878,0.642,0.645,0.25,0.254,0.299,0.281,0.466,0.353
5.62594,0.675,1.0,0.858,0.853,0.587,0.554,0.729,0.772,0.872,0.844,0.611,0.458
5.71873,0.932,1.0,0.403,0.407,0.41,0.205,0.283,0.293,0.167,0.352,0.64,0.622
6.0658,0.97,0.39,0.241,0.348,0.303,0.457,0.514,0.359,0.359,0.493,1.0,0.944
6.56544,0.93,1.0,0.386,0.34,0.766,0.831,0.512,0.305,0.274,0.363,0.928,0.402
6.68721,0.282,0.262,0.112,0.072,0.084,0.085,0.086,0.072,0.084,0.248,1.0,0.214
7.04789,0.542,1.0,0.279,0.277,0.228,0.232,0.122,0.119,0.098,0.15,0.569,0.138
7.12902,0.627,0.621,0.287,0.376,0.213,0.34,0.428,0.695,0.715,0.378,1.0,0.502
7.35977,0.586,0.588,0.214,0.34,0.249,0.116,0.134,0.628,0.601,0.331,1.0,0.622
7.62145,0.139,0.423,0.271,0.104,0.206,0.183,0.214,0.496,1.0,0.244,0.57,0.192
7.99229,1.0,0.56,0.373,0.283,0.464,0.459,0.535,0.658,0.843,0.609,0.537,0.263
8.14989,0.201,0.22,0.109,0.341,0.43,0.684,0.815,0.601,1.0,0.384,0.171,0.18
8.36517,0.217,0.16,0.144,0.167,0.186,0.429,0.502,0.404,1.0,0.181,0.194,0.059
8.48649,0.381,0.382,0.351,0.148,0.262,0.182,0.126,0.2,1.0,0.323,0.194,0.242
8.83492,0.626,0.335,0.143,0.235,0.4,0.353,0.338,0.686,1.0,0.256,0.336,0.242
9.07329,0.863,0.645,0.379,0.878,1.0,0.431,0.451,0.466,0.514,0.343,0.21,0.192
9.2244,1.0,0.595,0.533,0.63,0.49,0.565,0.569,0.323,0.545,0.38,0.133,0.214
9.47429,1.0,0.723,0.941,0.641,0.433,0.219,0.077,0.121,0.128,0.1,0.077,0.441
9.62463,1.0,0.658,0.419,0.579,0.557,0.349,0.428,0.461,0.332,0.306,0.367,0.621
9.71057,1.0,0.956,0.392,0.255,0.195,0.376,0.338,0.488,0.543,0.435,0.364,0.293
9.9668,0.705,1.0,0.433,0.12,0.057,0.198,0.259,0.177,0.148,0.158,0.135,0.341
10.15923,1.0,0.836,0.374,0.203,0.21,0.293,0.226,0.156,0.177,0.341,0.351,0.675
