start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.077,0.076,0.078,0.117,0.454,1.0,0.269,0.084,0.063,0.068,0.075,0.077
0.4298,0.06,0.083,0.046,0.064,0.137,0.36,1.0,0.565,0.052,0.016,0.014,0.04
0.75519,0.015,0.015,0.046,1.0,0.809,0.055,0.069,0.029,0.011,0.011,0.022,0.02
1.18336,0.024,0.028,0.035,0.348,1.0,0.111,0.031,0.026,0.025,0.013,0.017,0.029
1.92812,0.015,0.009,0.009,0.017,0.034,0.016,0.1,1.0,0.199,0.02,0.007,0.011
2.15995,0.04,0.015,0.025,0.079,1.0,0.867,0.133,0.053,0.048,0.014,0.007,0.018
2.24825,0.117,0.129,0.144,0.537,1.0,0.087,0.105,0.071,0.08,0.048,0.072,0.121
2.47764,0.151,0.239,0.251,1.0,0.851,0.112,0.113,0.11,0.095,0.094,0.088,0.025
2.59029,0.16,0.212,0.083,0.149,1.0,0.039,0.023,0.033,0.039,0.022,0.018,0.06
2.84934,0.09,0.106,0.08,0.267,1.0,0.078,0.075,0.056,0.046,0.062,0.061,0.09
3.05297,0.132,1.0,0.272,0.071,0.058,0.063,0.113,0.142,0.163,0.053,0.044,0.042
3.31451,0.176,0.266,0.19,0.194,0.3,0.886,1.0,0.128,0.087,0.097,0.102,0.087
4.05769,1.0,0.851,0.764,0.795,0.43,0.562,0.208,0.216,0.724,0.251,0.207,0.064
4.15633,1.0,0.44,0.286,0.213,0.117,0.079,0.204,0.217,0.633,0.572,0.651,0.343
4.29569,0.143,0.163,0.073,0.084,0.37,1.0,0.476,0.069,0.073,0.099,0.083,0.079
4.79011,0.068,0.071,0.04,0.172,1.0,0.118,0.053,0.018,0.016,0.03,0.061,0.073
4.98077,1.0,0.603,0.529,0.458,0.361,0.359,0.383,0.28,0.192,0.201,0.29,0.392
5.1615,1.0,0.454,0.16,0.211,0.163,0.095,0.25,0.266,0.543,0.488,0.548,0.473
5.29628,0.096,0.134,0.206,0.395,0.579,0.293,0.298,0.423,1.0,0.187,0.05,0.055
5.66095,0.311,0.1,0.095,0.32,1.0,0.062,0.071,0.056,0.064,0.034,0.03,0.074
5.78186,0.194,0.283,0.551,0.462,1.0,0.162,0.075,0.468,0.239,0.157,0.059,0.271
6.10113,0.354,0.33,0.302,0.479,1.0,0.346,0.141,0.105,0.039,0.034,0.091,0.059
6.1985,0.229,0.183,0.1,0.095,1.0,0.759,0.201,0.125,0.077,0.139,0.19,0.166
6.54181,0.942,1.0,0.095,0.116,0.291,0.176,0.197,0.74,0.079,0.093,0.115,0.214
6.74272,0.091,0.3,0.243,0.123,0.12,0.354,0.517,1.0,0.853,0.434,0.103,0.049
7.1522,0.963,0.71,0.582,0.389,1.0,0.406,0.285,0.381,0.359,0.312,0.392,0.86
7.48893,0.793,0.577,0.502,0.356,1.0,0.357,0.136,0.234,0.32,0.253,0.238,0.267
7.92943,0.731,0.738,1.0,0.873,0.236,0.194,0.256,0.184,0.293,0.225,0.197,0.077
8.07637,0.484,1.0,0.709,0.499,0.533,0.411,0.408,0.475,0.64,0.515,0.615,0.287
8.25982,0.7,0.451,0.307,0.174,0.458,1.0,0.448,0.215,0.175,0.219,0.387,0.915
8.60857,0.299,0.315,0.214,0.155,0.276,1.0,0.292,0.249,0.119,0.111,0.146,0.037
8.73746,0.188,0.135,0.101,0.225,1.0,0.184,0.17,0.108,0.123,0.149,0.097,0.16
8.82449,0.077,0.067,0.082,0.337,1.0,0.041,0.01,0.027,0.033,0.018,0.039,0.059
8.96871,1.0,0.732,0.503,0.258,0.203,0.19,0.384,0.382,0.413,0.425,0.723,0.31
9.04916,0.276,1.0,0.235,0.359,0.233,0.161,0.243,0.109,0.072,0.123,0.081,0.106
9.16018,0.169,0.149,0.247,1.0,0.782,0.221,0.055,0.071,0.034,0.03,0.04,0.088
9.38068,0.347,0.405,0.072,0.094,0.094,0.467,0.57,0.18,0.207,1.0,0.883,0.791
9.642,0.284,0.271,0.192,0.201,0.553,0.297,0.351,1.0,0.392,0.461,0.353,0.275
9.86209,1.0,0.637,0.35,0.442,0.203,0.241,0.627,0.969,0.302,0.337,0.368,0.426
10.08313,0.231,0.308,0.504,0.414,0.511,0.588,0.512,1.0,0.548,0.356,0.218,0.203
10.53619,1.0,0.605,0.441,0.191,0.78,0.309,0.461,0.454,0.82,0.828,0.808,0.67
10.68762,0.137,0.148,0.092,0.128,1.0,0.281,0.083,0.092,0.247,0.382,0.347,0.107
10.91315,0.491,0.708,0.619,0.156,0.844,0.19,0.149,0.33,0.313,1.0,0.688,0.255
11.12821,0.461,0.317,0.333,0.363,1.0,0.311,0.427,0.666,0.513,0.372,0.476,0.669
11.54041,0.822,0.164,0.12,0.146,0.172,0.12,0.125,0.146,0.14,0.323,0.179,1.0
11.77841,0.094,0.056,0.07,0.042,0.046,0.187,0.302,1.0,0.212,0.139,0.121,0.091
12.04594,0.729,0.392,0.373,1.0,0.282,0.147,0.139,0.096,0.048,0.064,0.059,0.038
12.15551,0.96,0.314,0.179,0.213,0.679,0.29,0.648,0.631,0.987,1.0,0.725,0.739
