start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.847,0.956,0.726,0.731,0.538,0.752,0.984,0.651,1.0,0.886,0.907,0.782
0.27859,0.564,1.0,0.587,0.457,0.321,0.338,0.749,0.494,0.661,0.933,0.513,0.558
0.5854,0.746,1.0,0.748,0.394,0.288,0.403,0.266,0.264,0.371,0.456,0.527,0.355
0.73161,1.0,0.768,0.314,0.527,0.433,0.401,0.679,0.558,0.959,0.606,0.728,0.922
0.96281,0.576,0.867,0.52,0.484,0.278,0.349,0.306,0.278,0.344,0.361,0.567,1.0
1.10317,0.879,1.0,0.31,0.383,0.471,0.337,0.373,0.361,0.328,0.493,0.71,0.453
1.26485,0.617,1.0,0.625,0.451,0.45,0.523,0.239,0.251,0.266,0.361,0.543,0.216
1.35247,1.0,0.695,0.5,0.587,0.513,0.646,0.431,0.558,0.553,0.686,0.624,0.877
1.66,0.478,0.45,0.223,0.393,0.341,0.385,0.654,1.0,0.383,0.317,0.253,0.188
1.81134,0.398,0.627,1.0,0.606,0.967,0.599,0.54,0.293,0.314,0.433,0.321,0.361
2.02617,1.0,0.694,0.53,0.459,0.52,0.583,0.394,0.304,0.153,0.301,0.52,0.4
2.19492,0.748,1.0,0.883,0.483,0.468,0.456,0.49,0.469,0.89,0.917,0.516,0.511
2.45542,1.0,0.901,0.531,0.506,0.572,0.582,0.273,0.243,0.266,0.476,0.554,0.46
2.62299,1.0,0.765,0.291,0.256,0.374,0.54,0.398,0.361,0.735,0.754,0.439,0.151
2.74576,0.461,1.0,0.447,0.339,0.494,0.618,0.576,0.397,0.262,0.259,0.276,0.227
2.87347,0.296,0.595,0.464,0.364,0.254,0.603,1.0,0.418,0.204,0.19,0.188,0.332
3.14726,0.986,0.86,0.483,0.547,0.671,0.636,0.346,0.28,0.325,0.592,0.666,1.0
3.26785,0.381,0.461,0.355,0.731,0.655,0.55,0.611,0.525,0.343,1.0,0.656,0.242
3.45397,0.404,0.777,0.595,0.416,1.0,0.78,0.919,0.618,0.571,0.819,0.394,0.339
3.55256,0.43,0.723,0.401,0.32,0.686,1.0,0.677,0.479,0.318,0.515,0.701,0.563
3.80848,0.779,1.0,0.39,0.316,0.637,0.643,0.529,0.463,0.337,0.258,0.29,0.362
3.96458,0.991,1.0,0.351,0.323,0.631,0.732,0.811,0.39,0.28,0.431,0.42,0.476
4.08041,0.814,0.777,0.351,0.643,1.0,0.795,0.569,0.755,0.692,0.751,0.464,0.628
4.20281,1.0,0.82,0.47,0.468,0.49,0.723,0.673,0.64,0.871,0.848,0.881,0.781
4.34181,0.399,0.478,0.4,0.368,0.491,0.473,0.684,0.662,0.784,0.654,1.0,0.402
4.63197,0.634,0.721,0.41,0.345,0.397,0.464,0.524,0.435,0.725,1.0,0.411,0.375
4.77184,0.926,0.932,0.301,0.351,0.349,0.419,0.614,1.0,0.646,0.527,0.311,0.777
4.91075,0.816,1.0,0.637,0.515,0.493,0.463,0.64,0.58,0.545,0.655,0.816,0.312
5.03311,0.833,1.0,0.574,0.489,0.523,0.769,0.769,0.571,0.482,0.605,0.633,0.804
5.218,0.801,0.576,0.438,0.494,0.461,0.704,1.0,0.314,0.34,0.517,0.621,0.523
5.2824,0.542,0.731,0.6,0.597,0.453,0.377,0.55,0.564,0.965,1.0,0.429,0.283
5.41578,0.353,0.521,0.718,0.731,1.0,0.605,0.543,0.659,0.557,0.614,0.404,0.221
5.55551,0.435,1.0,0.401,0.269,0.468,0.455,0.791,0.345,0.442,0.515,0.489,0.252
5.71193,0.465,0.607,0.579,0.522,0.366,0.31,0.519,0.792,1.0,0.319,0.188,0.162
5.8815,0.546,1.0,0.488,0.37,0.457,0.917,0.835,0.711,0.722,0.721,0.368,0.257
5.99052,0.569,0.559,0.4,0.882,1.0,0.325,0.306,0.291,0.628,0.689,0.638,0.432
6.11243,0.669,1.0,0.742,0.425,0.899,0.391,0.488,0.677,0.28,0.298,0.289,0.317
6.33855,0.898,1.0,0.506,0.695,0.827,0.754,0.719,0.616,0.66,0.698,0.693,0.337
6.49546,0.328,0.445,1.0,0.397,0.281,0.189,0.266,0.617,0.178,0.247,0.267,0.407
6.7917,0.244,0.43,1.0,0.277,0.248,0.212,0.165,0.251,0.236,0.313,0.263,0.173
7.07057,0.382,0.573,1.0,0.319,0.214,0.247,0.278,0.32,0.153,0.242,0.255,0.155
7.21025,0.212,0.326,1.0,0.261,0.159,0.139,0.118,0.138,0.117,0.23,0.176,0.204
7.42444,0.467,0.691,1.0,0.336,0.333,0.348,0.301,0.308,0.244,0.342,0.396,0.366
7.61043,0.36,0.418,0.614,0.778,1.0,0.716,0.468,0.721,0.658,0.337,0.169,0.194
7.88658,0.283,0.469,0.141,0.17,0.171,0.091,0.318,1.0,0.168,0.099,0.162,0.212
8.01615,0.465,0.333,0.383,0.21,0.227,0.087,0.096,0.078,0.206,0.836,1.0,0.778
8.29506,0.284,0.348,0.423,0.254,0.147,0.176,0.291,0.741,1.0,0.636,0.154,0.173
8.53964,0.42,0.257,0.159,0.244,0.243,0.252,0.248,0.288,0.219,0.164,0.125,1.0
8.70113,0.579,0.819,0.519,0.237,0.257,0.482,0.426,1.0,0.617,0.342,0.455,0.633
8.83528,0.211,0.586,0.467,0.39,0.233,0.247,0.345,1.0,0.303,0.119,0.122,0.111
8.95079,0.321,0.962,0.79,0.242,0.157,0.482,0.964,1.0,0.357,0.185,0.18,0.256
9.19533,0.528,1.0,0.922,0.219,0.229,0.329,0.348,0.191,0.134,0.133,0.124,0.166
9.35211,0.273,0.601,0.692,0.406,0.349,0.27,0.227,1.0,0.242,0.152,0.17,0.264
9.61923,0.809,0.54,0.231,0.246,0.288,0.288,0.671,0.337,0.255,0.267,0.353,1.0
9.75197,0.149,0.175,0.245,1.0,0.99,0.697,0.473,0.45,0.334,0.14,0.189,0.246
9.99533,0.495,0.922,1.0,0.299,0.398,0.126,0.14,0.37,0.403,0.728,0.203,0.16
10.19986,0.237,0.242,0.186,0.205,0.355,0.162,0.111,0.067,0.305,0.935,1.0,0.563
10.45478,0.284,0.304,0.384,0.456,0.436,0.172,0.152,0.219,0.892,1.0,0.387,0.474
10.68599,1.0,0.446,0.202,0.171,0.222,0.115,0.139,0.208,0.205,0.214,0.252,0.171
10.85524,0.405,1.0,0.429,0.245,0.714,0.355,0.406,0.777,0.818,0.416,0.306,0.396
10.99977,0.548,1.0,0.26,0.118,0.217,0.132,0.095,0.146,0.204,0.346,0.15,0.195
11.13429,0.273,1.0,0.124,0.063,0.145,0.08,0.084,0.105,0.102,0.353,0.098,0.095
11.31324,0.378,0.644,0.489,0.396,1.0,0.339,0.189,0.374,0.393,0.444,0.392,0.505
11.69039,0.654,0.776,0.542,0.437,1.0,0.61,0.389,0.2,0.463,0.823,0.583,0.32
11.80168,1.0,0.387,0.259,0.228,0.175,0.133,0.096,0.138,0.122,0.164,0.145,0.362
11.89515,0.41,0.378,0.309,0.58,1.0,0.758,0.631,0.59,0.602,0.436,0.262,0.153
12.21261,0.639,1.0,0.188,0.194,0.213,0.163,0.214,0.151,0.211,0.876,0.39,0.222
12.36372,0.421,0.341,0.572,0.309,0.281,0.305,0.148,0.228,0.271,0.742,0.973,1.0
12.5849,0.653,1.0,0.541,0.281,0.237,0.369,0.633,0.625,0.34,0.919,0.31,0.4
12.88127,1.0,0.502,0.311,0.21,0.212,0.261,0.286,0.327,0.178,0.21,0.231,0.35
13.03224,0.445,0.765,0.251,0.347,0.389,0.335,0.398,0.718,0.635,1.0,0.558,0.382
13.1429,0.389,0.623,1.0,0.384,0.199,0.174,0.235,0.296,0.449,0.94,0.389,0.272
13.54898,0.585,0.947,0.85,0.295,0.523,0.51,0.685,1.0,0.391,0.448,0.287,0.593
13.81578,0.49,0.762,0.925,0.581,0.428,0.361,0.699,1.0,0.382,0.483,0.36,0.484
14.0712,0.155,0.332,0.566,1.0,0.642,0.324,0.283,0.434,0.188,0.177,0.216,0.129
14.36739,0.541,0.985,0.235,0.083,0.069,0.134,0.329,1.0,0.223,0.159,0.134,0.117
14.51832,0.795,0.307,0.148,0.092,0.224,0.258,0.154,0.312,0.124,0.077,0.328,1.0
14.63392,0.318,0.573,1.0,0.362,0.204,0.192,0.187,0.222,0.276,0.336,0.171,0.163
14.74476,0.212,0.47,0.783,0.448,0.2,0.354,0.466,1.0,0.29,0.207,0.161,0.153
14.99383,0.46,0.286,0.169,0.222,0.129,0.208,1.0,0.246,0.192,0.135,0.215,0.954
15.15628,0.162,0.273,0.168,0.204,0.171,0.15,0.576,1.0,0.64,0.228,0.143,0.12
15.31283,0.366,0.774,0.465,0.549,0.268,0.162,0.233,1.0,0.297,0.096,0.139,0.143
15.40603,0.233,0.589,1.0,0.228,0.165,0.148,0.259,0.988,0.197,0.143,0.135,0.193
15.69701,0.309,0.562,1.0,0.338,0.268,0.139,0.159,0.182,0.108,0.249,0.17,0.156
15.84757,0.266,0.616,1.0,0.271,0.191,0.182,0.131,0.859,0.237,0.161,0.129,0.185
16.00422,0.259,0.28,0.152,0.136,0.186,0.212,1.0,0.559,0.215,0.179,0.25,0.241
16.12494,0.606,0.349,0.204,0.181,0.171,0.205,0.624,0.24,0.409,0.209,0.175,1.0
16.27692,0.507,0.462,0.292,0.522,0.324,0.411,1.0,0.791,0.269,0.161,0.348,0.311
16.41116,0.554,1.0,0.694,0.693,0.392,0.384,0.228,0.262,0.328,0.307,0.605,0.387
16.49179,0.617,1.0,0.282,0.344,0.242,0.298,0.306,0.64,0.399,0.232,0.378,0.519
16.62567,0.695,0.991,1.0,0.612,0.291,0.282,0.179,0.126,0.058,0.102,0.085,0.451
16.79252,0.427,0.267,1.0,0.86,0.712,0.328,0.457,0.287,0.283,0.393,0.472,0.267
16.94499,0.287,0.441,1.0,0.481,0.178,0.227,0.492,0.978,0.349,0.25,0.215,0.12
17.06136,0.344,0.509,0.352,0.17,0.185,0.422,1.0,0.649,0.353,0.249,0.335,0.085
17.1776,0.326,0.161,0.104,0.095,0.081,0.089,0.277,0.145,0.117,0.084,0.095,1.0
17.35723,0.143,0.377,0.18,0.165,0.281,0.275,0.47,1.0,0.547,0.182,0.255,0.295
17.48385,0.509,0.733,0.452,0.152,0.359,0.272,0.269,1.0,0.226,0.124,0.138,0.353
17.61692,0.587,0.881,0.334,0.215,0.124,0.183,0.274,1.0,0.263,0.164,0.105,0.294
17.74558,0.347,0.464,1.0,0.247,0.082,0.123,0.176,0.462,0.162,0.146,0.075,0.147
17.87946,0.21,0.154,1.0,0.134,0.177,0.203,0.166,0.156,0.105,0.107,0.108,0.174
18.03605,0.382,0.15,0.315,0.228,0.42,0.619,0.268,1.0,0.386,0.297,0.253,0.413
18.29147,0.473,0.165,0.079,0.128,0.13,0.093,0.188,0.205,0.229,0.127,0.156,1.0
18.41819,0.362,0.419,0.252,0.521,0.314,0.577,0.393,1.0,0.492,0.21,0.382,0.257
18.57551,0.205,0.715,0.406,0.179,0.158,0.172,0.38,1.0,0.273,0.104,0.151,0.087
18.70825,0.537,0.673,0.169,0.108,0.299,0.205,0.112,0.282,0.11,1.0,0.343,0.106
