start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.762,1.0,0.191,0.306,0.588,0.37,0.69,0.687,0.807,0.804,0.56,0.224
0.17456,1.0,0.877,0.26,0.335,0.504,0.314,0.342,0.334,0.369,0.365,0.653,0.257
0.34857,0.123,0.154,0.102,0.464,1.0,0.201,0.205,0.147,0.186,0.196,0.286,0.729
0.47029,0.881,1.0,0.636,0.387,0.38,0.368,0.474,0.414,0.251,0.235,0.256,0.622
0.69664,1.0,0.913,0.227,0.242,0.38,0.305,0.405,0.406,0.535,0.535,0.742,0.119
0.87098,0.838,1.0,0.742,0.747,0.652,0.619,0.546,0.548,0.374,0.381,0.729,0.575
0.95882,0.582,0.968,0.582,0.338,0.401,0.243,0.382,0.328,0.32,0.392,0.392,1.0
1.20658,0.414,0.213,0.03,0.21,0.225,0.049,0.043,0.057,0.078,0.021,0.09,1.0
1.39333,0.776,1.0,0.182,0.186,0.392,0.358,0.667,0.668,0.79,0.791,0.567,0.05
1.56735,1.0,0.872,0.247,0.252,0.32,0.3,0.326,0.326,0.364,0.363,0.603,0.034
1.7415,0.309,0.264,0.166,0.317,0.606,0.202,0.214,0.221,0.24,0.304,0.323,1.0
1.91528,0.81,1.0,0.194,0.2,0.377,0.363,0.663,0.665,0.772,0.773,0.565,0.057
2.0902,1.0,0.911,0.22,0.221,0.301,0.299,0.398,0.402,0.519,0.52,0.701,0.038
2.26422,0.823,1.0,0.722,0.713,0.624,0.618,0.542,0.546,0.369,0.38,0.688,0.544
2.35329,0.575,1.0,0.586,0.313,0.259,0.252,0.369,0.34,0.331,0.412,0.318,0.78
2.61365,0.273,0.208,0.268,0.064,0.081,0.062,0.248,0.242,0.86,1.0,0.831,0.01
2.77447,0.747,1.0,0.354,0.167,0.288,0.299,0.541,0.54,0.617,0.686,0.508,0.049
2.95973,1.0,0.912,0.371,0.236,0.289,0.295,0.321,0.321,0.377,0.437,0.584,0.032
3.1337,0.121,0.512,1.0,0.086,0.167,0.1,0.102,0.103,0.325,0.935,0.105,0.091
3.31488,0.941,1.0,0.247,0.187,0.31,0.326,0.475,0.474,0.565,0.601,0.665,0.04
3.44803,0.965,1.0,0.786,0.374,0.266,0.334,0.436,0.377,0.227,0.272,0.195,0.655
3.65664,0.792,1.0,0.634,0.574,0.569,0.569,0.518,0.519,0.373,0.404,0.626,0.44
3.74231,0.527,1.0,0.774,0.278,0.213,0.215,0.325,0.295,0.297,0.522,0.258,0.627
4.01084,0.275,0.135,0.104,0.067,0.076,0.067,0.292,0.291,0.98,1.0,0.945,0.005
4.17392,0.74,1.0,0.442,0.208,0.131,0.132,0.208,0.345,0.104,0.096,0.093,0.314
4.35977,1.0,0.955,0.263,0.24,0.28,0.291,0.324,0.417,0.354,0.36,0.582,0.027
4.53351,0.465,1.0,0.387,0.061,0.102,0.111,0.222,0.634,0.24,0.253,0.135,0.15
4.64966,0.783,1.0,0.527,0.308,0.25,0.305,0.402,0.431,0.214,0.193,0.208,0.454
4.88172,1.0,0.935,0.221,0.21,0.278,0.292,0.389,0.438,0.501,0.504,0.677,0.028
5.04476,0.838,1.0,0.241,0.157,0.199,0.237,0.235,0.263,0.178,0.17,0.377,0.278
5.1434,0.574,1.0,0.436,0.325,0.202,0.228,0.353,0.713,0.326,0.375,0.269,0.62
5.49134,0.816,1.0,0.691,0.678,0.656,0.655,0.598,0.609,0.422,0.435,0.697,0.5
5.57846,0.755,1.0,0.193,0.294,0.536,0.338,0.626,0.639,0.752,0.75,0.572,0.213
5.75288,1.0,0.899,0.261,0.328,0.49,0.313,0.348,0.351,0.379,0.375,0.656,0.256
5.92685,0.184,0.28,0.115,0.453,1.0,0.201,0.243,0.27,0.23,0.237,0.31,0.756
6.04916,0.884,1.0,0.629,0.389,0.387,0.377,0.48,0.417,0.254,0.243,0.261,0.624
6.27565,1.0,0.923,0.218,0.231,0.366,0.297,0.403,0.411,0.521,0.52,0.729,0.119
6.44825,0.868,1.0,0.684,0.688,0.66,0.629,0.556,0.564,0.397,0.404,0.734,0.539
6.53719,0.623,1.0,0.597,0.348,0.411,0.251,0.407,0.309,0.324,0.397,0.397,0.991
6.7941,0.254,0.11,0.049,0.092,0.121,0.067,0.255,0.256,1.0,0.999,0.998,0.089
6.97224,0.769,1.0,0.178,0.18,0.381,0.347,0.656,0.658,0.781,0.782,0.553,0.049
7.15175,1.0,0.865,0.253,0.262,0.327,0.302,0.322,0.323,0.353,0.352,0.602,0.032
7.32599,0.312,0.328,0.155,0.308,0.587,0.186,0.21,0.256,0.203,0.257,0.298,1.0
7.49959,0.794,1.0,0.195,0.202,0.386,0.37,0.688,0.691,0.813,0.813,0.553,0.054
7.67447,1.0,0.908,0.219,0.22,0.305,0.303,0.407,0.412,0.536,0.537,0.715,0.036
7.8429,0.839,1.0,0.711,0.702,0.622,0.616,0.546,0.549,0.369,0.381,0.699,0.55
7.93537,0.569,1.0,0.585,0.314,0.261,0.254,0.364,0.338,0.333,0.42,0.328,0.782
8.19678,0.312,0.113,0.048,0.066,0.077,0.12,0.436,0.27,0.896,1.0,0.883,0.011
8.35302,0.826,1.0,0.6,0.328,0.222,0.273,0.565,0.271,0.364,0.533,0.139,0.459
8.54526,1.0,0.868,0.249,0.246,0.304,0.335,0.419,0.325,0.379,0.451,0.594,0.027
8.71923,0.128,0.154,0.041,0.066,0.165,0.382,1.0,0.067,0.155,0.515,0.085,0.071
8.89342,0.793,1.0,0.193,0.198,0.354,0.406,0.772,0.659,0.786,0.837,0.559,0.029
9.06721,1.0,0.95,0.203,0.204,0.273,0.299,0.495,0.395,0.496,0.532,0.673,0.037
9.21814,0.922,1.0,0.287,0.219,0.267,0.277,0.271,0.317,0.219,0.247,0.434,0.354
9.33052,0.342,0.329,0.267,0.229,0.199,0.211,0.304,0.175,0.374,1.0,0.941,0.458
9.76395,0.917,1.0,0.43,0.4,0.258,0.292,0.322,0.352,0.256,0.253,0.186,0.044
9.93828,1.0,0.868,0.247,0.245,0.283,0.296,0.34,0.32,0.36,0.363,0.586,0.029
10.11202,0.53,1.0,0.253,0.326,0.328,0.189,0.212,0.415,0.138,0.15,0.129,0.239
10.29247,0.774,1.0,0.202,0.194,0.329,0.348,0.637,0.731,0.73,0.728,0.522,0.029
10.461,0.99,1.0,0.47,0.401,0.156,0.206,0.233,0.331,0.135,0.142,0.321,0.101
10.58168,0.923,1.0,0.368,0.235,0.225,0.205,0.35,0.287,0.153,0.114,0.161,0.307
10.81465,0.624,0.372,0.172,0.262,0.242,0.12,0.316,0.359,0.893,0.9,1.0,0.174
10.97125,0.578,1.0,0.403,0.494,0.694,0.506,0.784,0.57,0.477,0.342,0.411,0.363
11.1224,0.674,0.888,0.539,0.516,0.587,0.531,0.621,0.522,0.687,0.448,0.705,1.0
11.62163,0.952,1.0,0.745,0.625,0.579,0.602,0.733,0.727,0.491,0.409,0.43,0.802
11.81324,0.952,1.0,0.621,0.434,0.387,0.348,0.501,0.475,0.261,0.242,0.262,0.743
12.03365,0.626,1.0,0.477,0.373,0.383,0.309,0.454,0.353,0.246,0.249,0.283,0.428
12.37583,0.294,0.126,0.052,0.089,0.142,0.089,0.261,0.297,1.0,0.993,0.986,0.131
12.5561,0.934,1.0,0.43,0.403,0.297,0.295,0.314,0.36,0.264,0.248,0.185,0.061
12.73011,1.0,0.871,0.257,0.264,0.323,0.303,0.329,0.327,0.36,0.359,0.597,0.044
