start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.802,0.113,0.05,0.027,0.094,0.133,0.105,0.081,0.141,0.257,0.486
0.29615,0.073,0.081,0.013,0.022,0.052,0.031,0.018,0.029,0.05,1.0,0.251,0.025
0.53864,0.656,0.081,0.046,0.071,0.584,0.077,0.071,0.248,0.052,0.423,0.064,1.0
1.21293,0.49,0.198,0.038,0.05,1.0,0.192,0.068,0.298,0.044,0.327,0.165,0.464
1.46308,0.118,0.141,0.029,0.036,0.128,0.053,0.026,0.085,0.095,1.0,0.463,0.155
1.66512,0.121,0.077,0.056,0.176,1.0,0.264,0.04,0.026,0.269,0.223,0.161,0.341
1.88054,0.082,0.072,0.785,0.132,0.838,0.094,1.0,0.112,0.169,0.504,0.136,0.578
2.40254,0.205,0.146,0.2,0.179,1.0,0.25,0.461,0.056,0.267,0.265,0.134,0.436
2.54186,0.199,0.101,0.723,0.457,0.953,0.307,1.0,0.201,0.241,0.524,0.259,0.838
3.00009,0.041,0.051,0.04,0.041,0.155,0.049,0.032,0.031,0.076,1.0,0.214,0.123
3.24313,0.438,0.046,0.035,0.044,0.447,0.059,0.061,0.312,0.054,0.36,0.079,1.0
3.91465,0.725,0.255,0.118,0.124,0.611,0.244,0.128,0.373,0.257,1.0,0.428,0.887
4.38209,0.102,0.07,0.066,0.222,1.0,0.274,0.036,0.033,0.266,0.1,0.141,0.349
4.5854,0.148,0.066,1.0,0.233,0.686,0.207,0.899,0.124,0.204,0.461,0.189,0.782
5.23646,0.248,0.439,0.973,0.383,0.254,0.374,1.0,0.626,0.265,0.14,0.212,0.484
5.29946,0.321,0.346,0.856,0.166,1.0,0.697,0.525,0.107,0.208,0.389,0.096,0.574
5.75302,0.075,0.031,0.041,0.041,0.05,0.081,0.2,0.194,0.262,1.0,0.732,0.122
5.979,0.122,0.061,0.045,0.046,0.226,0.187,0.18,0.484,0.471,1.0,0.346,0.225
6.9093,0.723,0.276,0.06,0.06,0.67,0.234,0.195,0.611,0.267,0.726,0.254,1.0
