start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
0.37832,26.88,85.12,65.872,-164.066,16.936,183.763,56.672,-58.897,-50.223,85.421,14.396,7.779
0.67424,37.08,-51.47,14.044,-71.149,7.519,-15.088,-2.083,9.171,15.65,25.692,-11.661,-20.973
1.04426,39.749,-49.778,37.135,-8.039,24.051,-26.418,-12.601,3.805,18.482,-1.417,-9.562,-17.174
1.79365,38.392,-65.985,46.155,2.619,30.43,-33.26,-10.556,-18.411,-8.604,0.834,2.692,-8.127
1.92712,38.581,-39.247,29.246,35.557,26.972,-15.664,-11.089,2.839,10.732,-6.291,-39.789,7.332
2.05311,42.111,13.567,83.14,2.059,17.933,28.374,31.188,-4.332,11.202,-19.677,-10.838,0.095
2.25637,43.771,-21.973,43.506,15.613,15.705,-5.668,-2.105,5.801,3.823,1.554,-20.978,-1.744
2.42712,46.007,36.371,66.439,-8.434,-8.933,-4.383,22.267,19.049,-0.518,-11.277,8.485,4.004
3.00168,43.162,-0.534,77.183,-8.394,19.513,-3.212,3.298,8.669,6.85,-23.524,-16.406,2.619
3.66177,39.295,2.256,33.494,-1.628,-10.854,-21.655,-7.556,-15.435,-8.753,-6.782,-0.621,2.504
3.75583,41.11,-31.755,50.979,-5.676,8.109,-11.473,-17.768,15.72,-16.738,-11.942,1.968,8.259
3.90685,41.878,-13.129,83.014,3.385,25.713,-22.219,16.83,12.772,3.702,7.929,-7.495,6.167
4.15066,40.139,-20.303,62.221,23.764,39.2,-13.115,-19.372,9.669,9.654,7.203,-23.11,-6.9
4.5454,39.895,-3.787,59.73,27.937,30.143,38.665,13.051,9.485,0.315,-15.689,-15.161,-2.282
4.76494,37.256,-32.49,46.963,2.373,30.396,-15.166,-9.702,12.295,5.862,10.8,4.12,8.556
5.02667,37.143,-9.539,27.063,-26.587,25.193,-33.81,-16.357,-0.881,10.658,10.223,7.948,29.774
5.10671,38.43,-13.448,28.912,-31.937,8.611,-34.968,-1.086,7.835,9.809,7.316,-6.031,15.538
5.28308,38.634,-48.848,-6.705,5.923,18.484,-30.753,-7.562,-5.364,7.804,2.163,-3.175,2.351
5.88703,40.055,-25.638,57.868,-11.253,22.811,4.85,13.259,0.882,-3.055,-0.482,-18.761,-0.074
6.119,40.287,-24.088,77.573,-2.915,21.937,-8.199,10.465,-7.646,-3.425,-12.504,8.73,12.726
6.29823,44.202,12.972,36.28,56.936,28.38,-0.715,-21.376,-16.814,9.036,-1.393,-6.294,-4.017
6.48989,39.923,-30.035,47.087,2.069,41.174,-39.949,-33.895,-0.713,6.313,0.163,-10.326,-1.49
6.85592,40.037,-37.207,31.818,-29.001,2.346,-28.89,9.324,-3.225,5.739,7.004,0.463,-15.479
7.04753,40.412,-23.357,63.098,-11.332,27.42,-38.481,22.738,2.112,0.108,18.605,-5.303,-8.184
7.31392,42.798,-23.699,41.735,27.271,18.698,0.919,-0.615,-5.086,15.644,-16.933,-31.115,-10.03
7.52803,40.29,-42.994,28.164,-22.331,17.35,-25.26,15.323,33.326,13.224,4.041,1.035,0.28
7.68608,43.733,-2.478,26.776,39.387,-1.292,-38.718,11.895,-37.651,14.026,4.46,-9.241,-8.613
7.9585,41.418,-44.565,34.954,-4.427,12.486,-39.201,7.643,12.002,23.73,-3.035,-1.661,-6.057
8.40576,40.201,-33.586,47.989,-11.661,8.974,-38.215,36.749,4.279,26.793,11.362,-9.457,-15.134
8.60862,40.73,-43.713,52.101,-16.124,12.684,-36.097,25.482,3.304,22.332,8.803,-6.687,-12.153
8.74172,41.622,-47.823,55.005,4.708,31.783,-34.424,21.948,-6.741,12.322,12.316,-10.698,-9.908
10.18195,39.66,-56.654,64.859,2.789,42.398,-25.125,-1.344,8.979,8.33,-6.264,-0.828,8.943
10.64676,38.599,-42.47,71.438,8.588,47.421,-3.29,-22.435,-28.87,-6.159,-13.135,-10.763,12.45
10.79787,41.743,-18.428,67.662,48.362,41.242,-11.36,-8.299,-34.766,-6.116,10.985,-25.978,9.238
11.00036,41.04,-56.0,47.667,-5.901,26.037,-34.939,18.286,14.762,9.878,4.487,-0.267,-8.802
11.14005,45.596,-15.894,49.135,57.178,18.09,-15.422,5.953,-18.562,5.338,17.252,-15.556,-4.482
11.67456,40.866,-68.423,45.478,2.85,21.672,-36.31,23.964,6.291,13.972,-3.329,3.745,-6.71
12.13846,40.346,-37.247,53.909,0.656,17.354,-47.398,14.404,18.544,12.084,2.962,-0.401,3.565
12.48136,40.292,-30.786,38.914,9.695,37.804,-40.188,17.612,9.882,27.914,3.981,-9.735,-1.01
13.00354,36.519,-35.472,67.306,17.273,8.536,-28.421,44.662,-13.935,-9.331,14.169,-24.807,5.383
13.2415,34.357,-64.167,27.992,-2.81,31.641,-30.692,41.813,6.471,-2.352,-3.024,-29.597,0.2
13.62399,31.497,-65.069,21.194,6.693,22.681,-50.376,22.487,0.13,-3.781,1.681,0.34,9.446
13.80576,33.785,-5.383,-46.215,22.835,25.187,-50.164,5.018,9.224,6.609,-12.695,-0.763,20.453
14.05995,31.346,-36.709,72.207,30.54,60.145,-38.903,49.207,12.109,27.524,24.796,1.986,-0.016
14.21605,29.636,-92.558,-14.77,0.582,32.268,-63.21,51.686,18.027,18.164,5.496,-12.675,10.908
14.38966,34.667,-80.555,11.773,-69.307,13.083,13.902,28.255,26.177,14.649,12.617,-9.312,-3.637
14.58113,38.843,-39.723,29.497,-67.763,34.862,-18.794,25.722,3.502,9.742,12.756,-6.024,-0.623
14.95492,38.846,-45.098,24.204,-7.436,15.365,-35.089,-13.058,12.408,17.82,10.663,-10.51,-20.048
