start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,34.866,-211.538,-17.838,-1.832,-4.604,-1.347,19.367,16.216,-12.522,5.082,-0.561,-4.967
0.48603,30.574,-205.201,-26.999,-46.524,-15.954,-42.627,4.992,20.959,-12.092,-5.997,-3.66,-14.736
0.6419,31.061,-197.346,-15.707,-38.745,-12.45,-26.889,18.055,3.981,-21.158,10.872,-6.338,-2.117
1.46975,29.62,-191.071,-12.719,-31.324,-7.616,-30.397,16.473,9.983,-25.046,-5.945,-5.039,-15.313
1.85061,30.364,-204.422,-4.189,-64.943,3.097,-17.297,6.038,0.99,-26.404,-10.801,-7.271,-10.661
1.98503,32.174,-222.584,-12.506,-15.603,19.548,-22.608,-1.561,5.868,-15.136,-11.553,-10.343,-12.028
2.221,32.042,-223.323,3.071,-28.743,20.506,-34.287,-3.1,1.709,-13.214,-4.193,8.04,-18.83
2.67959,35.882,-233.947,-15.523,23.478,11.838,-41.088,14.352,20.883,2.039,-5.949,-28.053,-10.015
3.21007,29.14,-196.539,-42.416,-63.869,-22.828,-37.038,3.284,12.855,-6.857,-7.559,2.662,-21.125
3.33741,31.188,-202.58,-27.302,-19.413,-12.399,-41.741,20.416,11.613,-4.454,-0.55,-3.153,-4.141
3.96549,31.069,-219.137,-27.171,-59.873,4.131,-1.994,4.539,28.607,-12.064,-9.27,-13.197,-10.711
4.58794,30.439,-193.021,-20.471,-48.96,-10.287,-36.309,-7.822,7.971,-5.464,-7.547,8.538,-15.802
4.65474,31.011,-185.574,-23.061,-15.488,-13.846,-32.051,-5.542,17.243,-7.735,-5.197,-6.743,-11.989
5.34277,33.62,-221.043,-51.663,34.839,6.245,-53.691,-14.099,13.323,2.446,4.323,-16.798,-18.13
6.0,29.319,-222.774,-44.509,-44.756,-1.899,-50.012,19.571,28.209,-3.131,1.497,5.654,-14.537
6.66712,31.949,-206.485,-41.675,-11.053,1.04,-31.75,20.786,4.585,4.677,6.833,-6.561,5.189
6.94104,28.493,-199.898,-64.989,-45.676,-8.757,-37.654,4.335,13.013,3.184,-19.39,-4.124,2.252
7.32694,29.731,-193.785,-34.175,-8.633,-5.745,-6.902,30.682,7.944,-9.846,-6.872,-9.201,-5.454
8.00649,28.199,-216.677,-79.57,-9.5,-7.59,-40.609,6.17,28.104,-9.388,-11.407,-10.689,-12.131
9.33905,32.919,-162.95,-66.649,47.863,-7.164,-38.892,-12.577,0.003,4.185,5.264,-24.708,6.985
10.0063,29.996,-191.739,-52.379,-18.834,-24.391,-42.24,-0.819,8.894,-7.44,1.236,-7.58,-6.495
10.65655,35.344,-210.783,-22.425,4.311,4.753,25.648,35.903,10.84,-6.883,9.245,-0.396,-11.601
11.21057,29.571,-204.587,-33.292,-63.288,-12.392,-38.042,-2.499,12.08,-11.351,-10.804,3.541,-17.272
11.5493,30.554,-196.724,-12.017,-31.117,-10.679,-29.407,4.697,-6.444,-31.738,-0.14,-6.358,-2.605
11.82703,29.377,-222.918,-24.595,-48.65,8.923,-34.338,13.256,0.481,-27.679,-4.498,-6.495,-2.53
11.96889,31.401,-223.053,-37.8,-20.132,16.962,-13.565,-10.715,17.922,-7.408,-22.114,-15.288,-4.693
13.09651,27.064,-217.503,-50.977,-29.034,32.381,-68.006,0.018,10.591,-22.344,-17.239,1.235,-8.974
13.17728,27.394,-240.838,-47.438,-54.461,58.215,-43.702,7.891,-7.0,-21.281,-2.316,-0.711,-11.483
13.27438,29.919,-244.64,-40.124,-70.846,31.625,-31.028,9.781,27.018,-20.628,-5.456,-5.158,-10.08
13.87746,28.693,-178.71,-45.123,-61.022,-42.164,-43.464,4.402,29.368,-17.328,-12.271,11.359,-17.497
14.12975,29.628,-181.284,-44.81,-28.953,-38.102,-40.455,2.349,9.073,-25.79,0.207,2.584,-7.703
14.60971,30.341,-191.502,-41.947,-23.2,-17.596,-28.53,-2.558,9.282,-15.76,-12.773,-24.1,-6.067
15.34331,31.261,-223.381,-47.776,-2.862,14.61,-38.535,-2.872,-8.775,-7.026,-4.762,-15.814,11.577
15.75891,26.889,-206.037,-57.641,-18.135,-1.503,-67.264,18.692,17.992,-22.339,-13.61,3.044,-8.582
15.99011,30.783,-202.175,-62.097,-8.271,-17.29,-22.255,-3.276,25.905,-3.732,8.109,19.565,-17.639
16.68331,28.765,-212.709,-77.269,-27.02,-2.754,-42.619,0.642,-7.162,-0.475,-1.668,-8.691,-5.619
16.92921,27.944,-226.192,-71.453,-47.814,2.79,-43.549,3.889,9.989,-5.869,-7.14,-1.593,-7.093
