start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.162,167.372,6.508,-33.225,55.798,-50.795,14.996,0.325,-27.704,0.728,-9.962,-6.124
0.43619,16.757,-48.736,15.816,-15.237,61.486,61.248,-1.254,25.315,-35.704,47.558,12.855,-15.454
0.68481,14.58,-91.4,-20.503,5.647,123.682,-52.072,-24.529,43.846,-25.774,-7.953,-13.584,-3.716
0.91134,17.962,-109.514,15.692,9.051,92.276,-52.728,19.542,18.735,-31.875,-4.782,-22.735,0.322
1.14531,19.234,-58.96,-83.963,67.333,42.711,-45.539,-26.474,37.002,17.921,16.195,-35.717,0.605
1.7746,19.61,-54.082,-24.787,-72.198,61.522,33.603,1.095,19.755,20.109,-13.599,-36.036,-0.08
2.37946,20.711,-55.045,-50.306,-29.714,84.374,7.491,5.848,-28.212,-5.181,42.274,-22.222,-1.99
2.84517,20.353,-111.542,5.998,-85.114,59.17,-2.504,44.139,-6.647,-7.098,17.217,-18.32,3.98
3.04707,20.631,-52.817,-75.299,48.803,74.493,-24.223,-2.626,7.931,9.636,-50.433,-8.875,-12.195
3.51234,13.889,-29.082,-52.823,-48.227,82.031,-57.773,-7.915,-16.052,0.841,11.492,-9.221,-9.473
3.70517,21.968,-9.504,-73.457,-82.869,75.597,5.562,0.907,-23.084,17.519,28.365,-24.752,4.888
4.03438,23.186,-103.132,9.689,-6.263,97.972,-73.181,43.944,14.856,15.078,12.099,-3.859,-17.025
4.15673,28.407,-99.1,77.161,100.786,73.786,-54.07,52.147,43.186,25.413,12.598,-41.838,-16.834
4.33224,20.718,-18.938,-19.604,4.735,55.284,-12.785,51.302,-6.899,-3.038,27.163,-39.55,-2.522
4.75188,21.841,-51.286,-23.097,-96.958,84.95,28.044,18.357,-18.399,-20.923,66.946,-38.5,17.076
5.382,20.013,-9.962,-38.33,17.001,97.985,-64.152,8.421,-25.226,17.191,10.53,-28.057,16.982
5.59361,19.643,-45.21,-65.931,-64.589,43.493,-20.064,-3.889,-57.608,-21.967,11.704,-15.844,-5.092
5.86304,19.049,-115.277,13.736,18.37,89.82,-61.107,18.364,32.389,-25.867,-10.697,-12.191,2.19
