start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
0.2439,33.168,75.355,-16.828,-41.903,57.705,118.286,18.957,24.484,19.991,35.214,35.046,-12.386
0.55696,34.138,16.803,-31.369,33.478,30.555,29.589,-23.28,0.283,-0.258,29.735,-25.845,16.703
0.87116,33.558,80.202,-10.066,-25.038,31.519,14.33,5.179,15.251,12.219,14.208,-0.305,-1.136
1.16136,33.687,36.971,-25.429,14.788,40.071,29.383,-18.749,-8.974,12.214,19.649,-31.151,22.414
1.4927,34.942,73.157,-25.005,-11.47,22.268,9.797,-1.239,30.867,9.268,8.238,-0.397,5.477
1.7761,34.529,29.088,-27.755,29.894,37.277,29.085,-20.885,24.384,5.418,13.05,-17.246,22.577
2.09533,34.999,60.548,7.438,-58.143,39.14,42.794,11.434,45.79,20.609,14.505,3.625,0.445
2.39746,34.028,42.827,-40.082,22.657,27.719,29.437,-43.036,12.988,8.084,2.619,-49.364,18.927
2.72349,35.015,72.249,-20.26,-32.919,24.468,13.118,-16.075,7.292,-12.721,29.542,21.969,12.593
2.93782,36.968,-51.59,-44.77,45.549,33.844,-0.043,-39.029,33.334,-7.611,3.61,-44.134,13.309
3.26785,30.828,38.512,25.673,-150.79,37.998,31.782,-16.026,-32.054,-1.874,33.703,-33.379,13.462
3.65746,34.884,15.332,-56.744,92.069,34.009,-12.21,-32.418,-8.817,6.893,33.275,-32.627,26.352
3.89143,32.021,6.069,27.691,-139.571,55.252,44.31,-8.254,-6.951,-1.22,32.271,-44.285,15.522
4.25048,35.926,32.904,-33.786,17.619,33.021,33.701,-29.344,-6.623,20.74,-26.976,-37.772,17.628
4.45224,37.822,-72.537,13.244,-21.567,33.148,28.06,-25.251,67.746,-12.94,44.349,33.281,3.424
4.77823,37.842,-50.816,38.286,-16.107,70.017,-56.178,-19.312,-6.561,-14.363,13.059,0.385,18.178
4.90503,37.979,35.43,-34.373,55.868,39.238,-43.347,-42.975,-6.638,11.884,-7.191,-19.973,2.241
5.19655,33.582,45.843,-3.402,-31.547,32.966,5.639,-8.79,12.923,7.931,-3.109,-1.781,-6.86
5.51429,36.049,-12.915,-66.384,77.302,22.908,-23.109,-39.111,-6.639,10.463,13.074,-26.014,24.157
5.76345,29.679,47.342,44.136,-144.425,36.435,-4.853,6.073,-14.535,18.175,21.38,-8.673,-2.958
6.12617,36.571,16.463,-44.192,53.787,36.913,5.932,-40.208,17.739,17.939,-14.377,-21.618,20.713
6.44349,35.091,60.298,-15.303,-23.731,15.181,-2.25,0.204,7.549,13.008,-7.448,3.09,-6.448
6.74499,35.933,3.843,-32.524,44.116,36.001,6.466,-30.797,27.286,13.654,-20.406,-20.114,22.773
7.06458,35.298,41.437,-8.525,-18.256,42.374,-16.212,8.411,19.441,20.169,9.901,-6.647,6.173
7.36054,35.696,32.255,-25.828,26.914,37.594,31.105,-37.673,5.645,17.067,3.958,-14.639,11.715
7.60531,30.187,47.876,32.971,-161.617,43.502,-4.748,-17.134,-25.829,3.531,19.888,-5.786,20.439
7.89519,38.952,-58.507,-42.972,72.89,25.948,-8.799,-48.298,52.027,-2.597,-1.1,-57.298,16.363
8.23161,30.926,34.351,38.264,-148.383,36.625,21.239,-8.323,-12.719,-6.05,33.228,-40.869,18.915
8.62032,34.527,24.266,-44.195,82.098,18.12,-9.159,-31.861,-12.334,-4.257,24.033,-42.003,23.983
8.83537,30.445,24.715,29.748,-149.699,46.862,11.368,-13.27,-7.668,-8.504,28.099,-26.91,20.834
9.25918,36.839,64.365,-24.122,5.341,19.61,-24.189,-40.464,-15.25,0.978,11.805,-7.429,20.476
9.40998,37.435,-20.282,-2.926,-26.024,36.941,9.605,-26.61,30.729,-15.869,59.055,-6.519,11.03
9.74626,36.387,-0.902,-13.955,66.219,42.742,-8.2,-28.692,4.383,11.542,-5.749,-30.234,16.398
10.1702,34.892,35.828,21.018,-45.547,17.563,86.23,18.941,0.881,9.919,-6.894,-10.182,3.343
10.42005,37.057,77.582,-23.146,115.2,16.23,34.442,-45.973,-38.933,2.939,-16.336,-42.829,-6.844
10.80249,36.122,76.77,5.532,-1.554,22.289,143.603,-18.17,5.274,34.693,-62.751,-66.277,-14.366
11.12172,36.041,68.466,18.453,34.851,42.62,86.019,-13.315,-2.654,8.917,-4.592,-61.754,3.127
11.42268,35.386,28.004,74.905,-153.752,45.245,119.644,-0.473,18.042,28.239,-28.217,-82.19,-16.348
11.73705,32.78,56.518,16.668,-52.858,37.175,59.085,-24.296,-4.809,9.123,-17.512,-66.19,5.691
12.05184,36.151,64.61,84.435,-165.315,40.127,81.636,4.317,-15.621,15.583,-13.071,-33.131,-15.632
12.37624,38.824,64.276,69.221,-86.364,57.516,61.186,-26.231,2.974,11.437,-0.006,-75.406,-0.438
12.65601,38.827,89.674,3.583,86.966,18.152,64.778,-40.381,-31.663,8.894,-28.74,-76.902,-10.675
12.92172,40.997,126.956,49.867,55.62,25.755,88.531,6.347,-32.056,32.994,-28.395,-0.612,-11.575
13.06662,37.437,11.105,6.371,116.946,39.53,5.81,-27.655,-20.347,26.654,5.092,-57.701,-20.389
13.29923,34.851,-16.919,30.675,-58.931,33.537,42.283,-9.193,-18.152,11.179,6.429,-23.599,-14.078
13.91655,36.148,26.124,58.117,-116.731,28.986,32.355,-0.13,3.745,23.288,-10.166,-13.951,-8.561
14.19946,38.421,41.623,3.499,78.918,33.996,27.587,-33.782,-58.652,23.335,-6.322,-62.964,-2.097
14.47714,38.63,-1.075,29.294,85.208,56.544,0.885,-17.515,-38.889,27.915,13.076,-39.665,-28.396
14.8541,30.77,-13.87,-36.355,49.556,42.015,-28.138,-31.992,-20.951,23.637,13.517,-31.946,-4.68
15.13882,25.449,-45.252,-29.68,-43.17,6.297,-7.257,-3.531,-10.874,16.182,-5.348,-23.322,5.757
15.42458,27.497,-32.848,-2.378,-60.087,29.124,5.646,-13.388,10.475,16.016,-32.948,-28.431,18.179
