start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.246,168.197,27.615,-61.669,54.397,-67.208,22.363,-11.992,-27.126,-0.089,22.147,-11.241
0.12263,50.119,55.558,-46.711,20.488,-40.783,-50.392,-14.333,16.935,-5.127,24.166,26.387,-1.713
0.20875,51.582,81.416,-9.542,-49.571,-47.226,-20.072,-0.763,3.724,-13.143,17.28,-3.894,-9.337
0.41034,53.645,86.113,9.747,-17.262,-28.703,-14.505,-3.581,2.789,-12.934,2.412,-9.828,-9.775
0.78966,54.431,109.112,11.421,-24.189,-8.37,-6.607,-5.363,3.436,6.222,-10.21,-24.929,-13.395
1.22857,51.472,91.101,-1.334,-60.698,-21.186,-22.297,1.56,8.904,1.482,-7.696,-9.449,-9.011
1.35329,52.827,104.526,-4.927,-14.325,-43.531,-5.137,-24.841,7.68,-13.801,-3.217,-39.857,-10.291
1.71252,51.712,112.869,-5.195,-63.005,-24.904,-7.788,-19.468,-1.949,-10.275,-2.529,-9.289,-11.197
2.04925,52.724,108.463,-4.702,-26.514,11.868,-38.913,-40.67,-18.344,8.997,13.752,-4.578,-7.74
2.15927,53.413,121.616,-0.152,-35.791,-20.394,-13.782,-24.529,13.829,-13.08,3.477,-22.884,-8.336
2.51342,51.504,99.725,-50.16,-14.783,-16.632,-29.091,-24.82,-17.522,0.56,26.695,-28.94,-3.525
2.74921,51.192,69.726,-34.863,-46.131,7.568,-45.081,-5.095,29.348,28.933,-0.898,-7.505,-5.797
2.89678,51.403,69.521,-53.812,-6.918,-36.133,-13.828,-9.224,-6.847,-11.023,43.939,-18.742,8.573
2.99542,50.514,81.299,-37.458,-51.915,-27.066,-25.036,-15.617,-2.492,-5.78,17.892,-10.831,6.749
3.12902,51.938,103.956,2.49,-27.229,-15.607,-21.989,-0.19,-11.332,-10.132,7.186,-1.996,6.013
3.24626,52.578,83.384,-18.101,-22.384,-7.512,-32.329,-2.888,4.195,-2.268,17.723,-18.713,12.511
3.54571,52.425,119.586,5.66,-70.114,-16.379,-16.024,8.652,21.24,-7.92,12.945,-13.949,14.381
3.83125,52.126,71.141,-25.74,-4.725,-4.341,-69.173,7.383,24.835,13.442,23.865,-20.686,10.06
4.03011,50.438,100.023,-36.569,-64.019,-13.146,-28.336,-1.418,-9.743,-3.494,-1.242,-4.672,25.07
4.23288,52.128,120.312,-45.152,-47.695,-8.566,-49.673,-28.725,-5.997,8.528,9.72,2.261,20.529
4.32395,51.178,72.068,-36.768,-18.043,-32.152,-99.31,-14.204,11.719,4.658,15.272,-12.653,7.312
4.50971,49.971,120.928,-31.836,-49.207,-5.755,-22.799,-22.134,-13.294,0.216,1.713,-9.499,18.189
4.63551,51.604,99.749,-37.784,-40.728,1.894,-30.037,-32.607,15.66,-0.148,13.243,-1.56,18.33
4.89433,50.118,70.178,-60.501,-28.758,-14.739,-66.391,-29.353,23.469,12.996,25.817,-5.364,9.081
5.01501,53.967,89.45,-49.688,9.502,-22.537,-32.882,-13.246,27.91,6.953,13.755,-16.447,14.468
5.35946,49.819,70.534,-52.587,-51.645,-13.335,-36.916,-19.498,11.904,6.341,34.123,-10.103,9.116
5.50172,51.981,75.032,11.68,-27.382,-16.071,-41.067,41.722,13.399,-12.252,8.591,-3.353,41.708
5.61918,53.436,106.243,11.302,3.685,-28.292,-25.211,18.195,-15.867,-19.437,-0.558,-36.808,24.811
5.78834,51.578,87.574,-6.488,-56.469,-45.538,-23.276,-3.25,6.956,-11.285,17.961,-2.001,-9.768
5.99651,53.708,87.587,7.941,-19.259,-25.844,-18.299,-4.162,0.531,-15.934,2.42,-16.036,-11.765
6.33914,53.168,86.38,13.169,-44.619,-11.65,-12.869,0.786,10.802,3.728,-0.156,-26.727,-18.194
6.82009,51.374,91.854,-0.447,-54.155,-20.782,-20.305,-0.934,-2.103,-1.164,-2.976,-15.043,-11.048
6.9366,52.613,100.035,-9.022,-7.319,-45.168,-4.596,-23.562,1.991,-17.183,-8.279,-38.566,-10.295
7.32077,52.247,112.96,-0.997,-36.162,-34.295,-14.369,-29.702,-4.015,-18.862,6.573,-6.163,-15.294
7.62213,52.197,99.7,-4.562,-32.53,15.093,-37.953,-39.921,-15.56,7.662,12.088,-4.608,-11.612
7.74966,53.057,117.658,-2.109,-32.483,-21.117,-12.221,-25.744,13.816,-10.52,1.739,-24.499,-11.458
8.09293,51.106,95.77,-52.363,-18.419,-15.116,-32.383,-24.406,-22.545,2.894,28.32,-28.976,-5.085
8.32916,50.807,66.046,-44.501,-42.175,11.384,-47.345,-7.174,28.523,35.772,1.913,-4.716,-0.342
8.47542,51.32,80.084,-59.206,-6.155,-30.812,-7.278,-3.623,-7.623,-8.189,41.031,-19.283,10.86
