start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
0.40385,3.419,101.623,-55.556,-65.156,28.948,-46.564,4.912,-3.069,-27.374,6.249,-5.358,-10.718
0.5927,27.401,-47.563,34.57,-101.167,10.996,84.918,-1.391,4.893,-23.579,25.276,47.612,-6.56
0.87084,35.495,-59.637,43.515,-60.949,-11.043,-10.314,-28.372,-16.008,-23.928,-1.209,15.49,2.666
1.10966,37.945,-107.91,37.926,-31.156,0.146,-26.938,-11.908,15.093,-18.523,-11.835,1.878,7.678
1.49719,37.875,-108.963,19.28,-25.628,-2.402,-24.817,-21.926,-12.507,-11.783,-7.703,14.007,0.449
1.85333,37.892,-139.503,14.889,-5.036,-4.757,-29.927,-15.658,-27.294,-29.327,-12.07,4.517,14.031
1.97347,37.736,-145.29,19.966,-27.713,-1.055,-21.072,-26.778,-8.091,-25.826,-27.627,2.898,8.293
2.15841,37.327,-157.603,22.758,-36.547,0.413,-26.741,-22.693,-8.132,-28.889,-17.327,12.492,7.353
2.2971,39.324,-117.399,-27.873,-24.829,54.779,-26.137,-10.851,2.279,-39.989,-33.676,-10.355,-0.002
2.6005,41.211,-40.921,-38.24,-9.787,32.663,-29.07,-38.291,-37.149,-30.837,-2.65,-14.855,-3.125
2.80435,40.443,-57.229,-71.911,-21.053,88.517,-15.296,-11.888,-37.332,-34.294,-27.995,-31.688,-2.518
3.0298,38.253,-120.238,-53.469,-59.819,71.895,-20.908,-16.303,-5.626,-7.604,-40.098,-23.22,-1.332
3.3366,35.247,-180.199,-37.447,-1.437,26.616,-26.211,-3.322,-19.333,20.629,-8.773,9.064,8.348
3.50091,34.197,-183.647,-16.881,-51.222,25.982,-23.569,-34.347,3.9,18.456,-2.067,4.474,6.624
3.68054,34.511,-172.765,-29.463,-50.302,7.208,-37.192,-44.946,-6.961,7.268,0.491,12.123,2.04
3.93615,34.582,-181.818,-39.507,-25.374,4.132,-33.419,-40.54,-19.48,2.729,-9.466,10.686,-0.525
4.07551,34.087,-189.079,-23.656,-39.793,14.095,-22.672,-36.371,-19.033,0.672,-2.818,9.626,3.367
4.60277,32.181,-243.185,-44.802,-9.367,23.517,-26.985,-29.158,-16.879,-17.758,-8.914,-6.823,3.282
6.54213,27.631,-279.679,-73.858,-34.985,64.511,-51.493,-13.707,17.804,-27.285,-16.07,-1.202,0.051
7.65029,24.968,-183.267,-68.166,-35.382,38.423,-11.271,-40.82,-0.352,-1.851,-24.219,-10.278,-8.232
7.91265,27.639,-71.715,24.052,-39.37,-6.651,-22.052,-43.899,-9.218,-11.857,-7.584,5.666,-2.812
8.09306,30.288,-61.766,26.175,-65.431,3.089,-26.294,-46.619,-22.714,-9.215,0.078,6.559,4.391
8.26599,35.084,-94.764,20.434,-30.679,14.41,-21.056,-34.061,-29.013,-6.739,-2.163,16.268,10.744
8.38231,37.085,-124.318,27.26,-22.913,24.215,-29.874,-20.533,-27.085,-7.443,-2.296,15.289,20.359
8.51438,38.744,-149.256,24.971,-13.952,25.73,-31.559,-23.241,-22.441,-11.512,-7.402,9.531,14.287
8.82921,37.875,-163.39,37.271,-2.681,40.692,-38.429,-15.954,-3.744,-2.872,-13.655,6.027,13.687
9.02122,36.165,-194.107,36.1,-9.236,45.236,-12.638,-8.131,-2.348,-3.091,-17.426,1.053,7.28
9.21333,35.479,-192.767,33.096,8.284,40.237,-23.497,-12.006,3.497,-6.852,-11.459,-5.296,5.196
9.39243,37.208,-163.845,17.979,-67.244,43.045,-24.317,-5.864,17.082,-10.847,-9.016,15.245,-9.119
9.55565,40.033,-100.188,-9.982,-33.144,83.894,-43.416,11.152,7.332,-19.901,-17.413,-7.304,1.293
9.71107,41.871,-27.176,-12.72,4.681,70.137,-9.745,-7.492,-25.985,-6.689,-13.488,-6.169,-2.75
