start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
1.09719,32.589,-38.291,35.588,35.749,70.666,107.163,-23.813,-15.074,-18.093,60.304,27.657,-20.549
1.25456,36.584,-28.529,4.84,51.503,67.941,7.087,-10.788,-12.973,8.54,10.913,14.535,4.115
1.49161,32.659,5.911,25.756,58.649,48.281,-53.136,-28.937,6.582,12.838,-9.495,-13.853,4.875
1.64871,33.542,-41.674,35.608,-7.448,73.763,64.428,13.834,-5.774,21.209,2.817,-16.178,8.754
1.86317,32.574,-30.092,22.935,40.802,43.422,-43.101,1.937,-14.047,6.619,3.275,4.008,2.924
2.0254,31.733,-112.522,28.267,75.516,27.303,-57.075,-14.963,-0.982,-27.565,1.647,-9.221,9.344
2.18653,26.375,-100.978,9.834,29.166,36.15,-21.06,3.446,6.876,-2.292,-18.326,8.297,13.762
2.3688,30.358,-35.557,32.071,-46.978,61.247,47.217,1.803,21.578,19.51,-31.086,-27.853,-13.021
2.56649,38.702,-14.512,25.387,71.357,72.009,-21.075,-4.052,-19.976,17.878,13.843,20.013,11.496
2.76862,34.305,0.272,37.031,39.919,27.578,-51.327,-7.822,-3.909,11.155,-6.681,-9.736,8.367
2.9195,41.602,-6.194,21.757,72.788,79.308,11.761,-12.245,-2.431,19.881,11.248,49.105,3.139
3.26299,42.162,-16.619,9.989,66.06,67.621,43.681,7.226,-2.314,25.678,2.441,19.334,9.799
3.58848,41.736,15.764,64.986,33.885,60.131,-20.484,-23.316,-11.893,8.747,-11.718,6.824,20.249
3.72689,40.95,-15.396,36.18,46.957,50.6,-69.272,-27.522,-26.609,27.546,0.128,-13.983,17.089
3.86553,35.618,-36.783,8.035,59.304,48.685,-69.881,-33.835,-22.992,13.584,4.359,-17.37,20.037
4.00544,41.678,53.066,77.355,56.016,64.482,-10.757,-37.114,8.241,15.073,-2.936,18.591,16.258
