start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,16.744,30.015,65.262,-26.488,25.031,-6.331,-14.369,7.214,-26.398,-4.743,12.002,2.607
0.17964,19.469,42.409,87.314,-18.189,15.766,-29.475,-14.87,-1.239,-38.445,-9.457,13.903,13.322
0.5976,22.597,45.247,74.474,11.422,22.623,-31.972,-24.572,2.344,-22.199,4.854,6.988,6.36
0.93447,22.62,72.192,107.222,6.5,45.349,-30.089,-31.007,-10.898,-26.474,-4.346,8.041,5.456
1.13243,29.042,112.122,96.151,-68.26,37.257,20.275,-17.691,-28.227,-15.31,-5.136,-4.723,11.942
1.38735,32.112,58.698,55.659,1.175,40.125,-32.411,-23.295,-8.407,-13.201,6.092,9.569,-1.62
1.51501,33.836,63.533,44.716,-1.464,37.017,-24.704,-35.361,-24.328,-21.627,9.151,2.332,-4.562
1.81687,34.349,41.75,53.707,-24.181,40.978,-27.246,-33.878,-5.826,-15.371,-4.805,5.249,-0.661
1.97361,35.838,41.277,42.545,-29.903,25.904,-28.02,-20.756,-4.173,-13.625,-1.182,1.728,0.838
2.21088,36.979,32.144,52.831,-7.236,37.85,-34.003,-36.141,-8.907,-21.007,-6.594,-8.871,6.557
2.47837,36.669,14.169,54.619,-8.516,35.291,-29.055,-20.551,-0.752,-30.582,-4.328,8.146,6.894
3.25147,37.274,26.308,61.517,-21.047,33.046,-35.397,-30.273,-13.437,-22.051,-3.44,1.664,11.206
3.91841,39.166,26.734,59.886,-9.161,36.961,-26.926,-33.425,-4.012,-30.128,-13.687,4.294,6.456
4.19093,38.917,28.466,65.97,-3.323,37.144,-20.024,-33.16,-8.936,-37.325,-12.541,-6.077,4.194
4.73664,37.674,-27.318,-0.359,-16.501,24.72,-8.711,-30.345,-37.813,-24.527,4.85,-38.895,18.221
6.17837,33.942,-190.37,-68.322,-54.779,26.87,-46.244,-40.011,-0.59,-0.221,-1.586,-10.138,5.153
7.52776,31.231,-203.273,-96.768,-74.959,13.401,-39.56,-16.51,-2.296,-3.143,16.634,9.895,-2.479
7.59401,32.183,-210.812,-97.632,-68.526,9.979,-45.437,-21.655,8.641,4.485,1.403,-4.31,-1.846
8.25243,32.201,-120.029,-67.422,-24.895,-20.859,-29.281,-23.163,5.44,-1.112,-9.492,-5.133,7.652
8.86,30.133,-110.154,-48.067,-21.878,-19.669,-35.817,-9.106,9.2,-8.584,-10.274,-0.619,15.867
9.26345,30.325,-93.605,-62.999,-54.664,-5.508,-43.901,-13.648,-4.811,-13.259,-0.943,-1.272,7.719
9.67093,29.547,-104.465,-73.459,-54.494,-6.987,-34.776,-18.217,-1.97,-17.19,-6.12,-0.676,-0.698
9.99787,29.002,-103.709,-52.176,-36.636,-12.668,-26.734,-6.088,-0.234,-18.443,-12.204,-9.139,8.066
10.27297,31.7,-232.721,-78.321,-67.946,35.948,-44.523,-24.61,-2.563,5.795,-2.89,7.552,6.837
10.49574,31.664,-222.631,-70.314,-79.175,34.608,-47.015,-30.054,1.279,12.301,-11.008,5.007,8.823
10.60113,32.783,-216.618,-69.105,-61.246,25.316,-33.191,-33.717,-5.858,16.915,-14.243,-6.329,11.801
10.96558,32.132,-213.467,-66.136,-64.538,25.366,-42.174,-37.578,6.888,14.041,-12.387,5.132,6.886
11.23719,32.673,-148.365,-57.844,-17.567,8.831,-65.606,-47.311,-12.049,-2.096,12.08,-2.695,18.969
11.49565,30.915,-160.054,-46.748,-43.761,-0.69,-34.962,-41.812,-17.534,-1.791,-2.705,-0.109,4.657
11.59696,32.851,-193.479,-47.62,-84.074,13.958,-25.832,-30.914,-27.84,1.953,11.24,7.724,5.457
11.83497,36.025,-174.515,-53.712,-31.799,4.818,-46.55,-44.617,-12.931,4.32,1.143,3.804,9.088
12.45773,36.119,-136.052,-36.282,-46.288,-1.307,-46.917,-44.695,3.048,-1.527,-5.893,13.098,8.426
13.01333,39.717,-85.308,-51.142,-48.243,-19.214,-25.468,-14.879,-4.97,-11.694,-10.382,3.564,7.613
13.25823,39.48,-71.864,-46.071,-60.2,-16.206,-36.038,-16.122,9.397,-8.668,-3.475,2.298,10.553
14.40689,39.248,-23.448,-6.402,-17.306,-10.223,-38.103,-20.448,-2.913,-5.869,-0.889,-4.124,3.486
14.84966,38.621,-19.977,10.447,-17.912,3.404,-38.977,-6.583,7.534,-14.411,2.393,-1.417,9.259
15.12204,39.464,23.27,2.347,-5.335,-16.096,12.328,-4.205,-2.977,4.322,-32.32,-30.228,12.351
15.52943,37.44,-33.946,4.749,-35.997,-19.076,-37.281,-3.292,-8.078,-11.323,2.01,6.464,12.246
15.74961,39.451,-124.539,-43.839,-53.406,-3.412,-38.991,-38.88,-16.686,-11.425,-6.401,-1.066,1.413
16.15084,39.125,-106.681,-47.353,-27.919,-5.801,-16.159,-46.815,-2.689,3.679,-18.837,-4.721,4.899
16.46317,37.133,-95.694,-45.892,-12.595,1.533,-3.746,-35.468,-23.496,-3.704,-27.49,-17.599,16.048
17.09483,34.171,-181.607,-59.653,-45.843,15.167,-28.89,-36.873,-6.1,-4.259,4.409,0.668,3.056
