start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
0.67982,28.136,-86.568,11.432,-112.369,26.948,150.747,12.487,-6.154,-37.372,85.544,65.319,-19.255
0.88821,40.868,-64.532,52.577,22.337,43.054,-6.158,-57.647,-35.625,-11.322,-16.72,8.93,7.113
1.20816,38.899,-84.704,38.461,12.25,49.196,-10.623,-76.631,-14.268,-1.745,-13.687,11.504,-0.188
1.42231,39.68,-103.896,30.127,25.755,28.879,-20.024,-47.15,-28.935,-9.393,-9.675,-9.382,-2.115
1.78689,40.571,-105.839,21.832,-4.496,6.332,-13.017,-48.738,-7.079,-22.859,-21.345,19.898,-0.252
1.96912,39.78,-120.473,27.862,-15.836,29.55,-30.284,-38.848,-3.25,-14.432,-1.937,6.241,14.113
2.14776,42.4,-115.107,65.768,56.887,66.274,-11.196,-61.009,-21.974,-19.378,1.239,2.433,-4.599
2.4951,40.94,-57.175,34.52,46.95,45.744,-3.361,-76.406,-21.865,-5.768,-21.054,-2.011,8.876
2.85569,39.714,-85.84,59.722,11.102,46.069,-17.321,-49.292,-3.62,-11.777,-14.745,16.183,17.843
3.05918,37.224,-46.761,83.669,35.65,48.986,-16.791,-72.39,0.143,-14.74,-9.413,-19.091,-12.851
3.41288,37.206,-9.007,117.598,-3.371,62.013,2.144,-66.332,-44.107,-9.908,9.611,2.743,-39.284
3.93642,36.878,-49.899,121.962,6.134,73.791,-29.739,-60.947,-12.893,2.696,7.21,-6.29,-39.184
4.12812,39.832,-58.063,100.738,37.927,79.789,-17.338,-62.25,-14.879,-5.918,-10.733,0.224,-9.952
4.65633,35.891,-102.098,88.142,-3.89,72.764,-42.659,-45.29,-11.026,-2.441,2.336,9.575,11.102
4.80181,38.832,-89.54,80.622,11.916,76.021,-13.963,-59.792,-8.451,3.455,-19.05,10.798,-11.409
4.98576,38.993,-46.491,118.475,15.586,73.91,-29.668,-56.606,-19.162,-8.766,0.682,-14.389,-22.895
5.31741,37.016,-59.194,104.246,29.489,78.076,-12.397,-55.403,-12.203,5.616,10.486,-26.688,-35.855
5.67751,37.361,-76.884,98.317,12.032,87.15,-2.348,-60.779,-9.015,-0.981,-9.258,11.292,-12.616
5.85764,37.088,-83.234,53.085,0.285,42.867,-35.106,-63.592,-19.85,-9.956,-12.03,10.469,13.43
6.01927,36.818,-98.367,61.944,3.488,70.462,-19.714,-64.854,-13.321,6.073,-13.826,1.898,1.463
6.24104,38.83,-57.693,117.88,33.238,73.328,-17.857,-43.582,-10.355,-11.964,-24.839,8.52,-11.997
6.58249,37.998,-54.052,116.754,30.032,80.803,-20.731,-40.895,1.433,-2.804,-17.561,3.519,-2.432
