start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,45.922,83.338,-92.049,91.449,0.508,-107.132,-42.359,66.552,6.816,-14.52,-19.72,4.97
0.16839,37.099,243.261,11.301,-1.947,70.397,-60.391,-31.839,-23.381,2.442,0.368,-1.816,3.611
0.3424,51.5,147.304,-18.469,93.804,43.059,-47.962,-36.265,44.195,-6.387,-15.194,-17.255,11.234
0.59773,43.171,209.183,1.627,60.671,57.972,-64.497,-30.812,53.443,2.435,-3.51,-3.924,1.69
0.77211,45.103,162.652,19.769,5.607,44.933,-92.25,-19.283,-12.875,-2.928,-3.23,29.69,-0.774
0.85923,46.627,75.772,-83.034,81.031,3.708,-115.998,-38.784,46.15,7.795,-14.248,-18.089,-0.063
1.02753,51.471,148.85,-19.253,95.926,44.167,-47.815,-36.152,45.733,-4.58,-12.478,-17.421,11.587
1.28862,42.327,196.879,46.376,27.856,70.63,-88.56,-38.799,-11.966,-7.076,-11.423,15.216,5.521
1.36984,46.451,83.366,-88.073,92.514,1.444,-105.859,-39.155,61.106,3.482,-9.872,-16.407,-0.678
1.53823,37.581,238.707,16.553,1.64,74.374,-53.185,-26.046,-18.647,1.362,2.325,1.142,6.12
1.71252,51.384,149.865,-15.521,95.682,41.976,-44.989,-29.034,47.509,-6.933,-14.424,-14.273,13.06
1.97361,42.95,216.86,7.19,56.051,56.42,-80.033,-32.484,51.948,5.712,-13.538,-7.624,5.913
2.14195,44.813,164.333,16.86,17.665,48.325,-83.491,-20.883,-4.791,-6.504,-1.37,24.24,0.744
2.22907,46.679,78.092,-84.022,81.675,5.565,-111.833,-38.588,47.733,6.109,-12.405,-19.163,0.206
2.39755,51.498,151.195,-12.745,93.959,40.739,-45.251,-30.755,48.237,-4.725,-11.14,-11.67,10.883
2.65873,41.841,204.132,42.799,46.361,71.833,-77.644,-36.733,-0.336,-8.311,-6.786,0.334,2.358
2.73995,46.412,88.809,-87.88,100.76,-2.758,-100.056,-42.307,64.828,1.619,-5.439,-13.056,-0.913
2.91401,37.556,237.517,24.744,-1.373,73.004,-63.64,-25.07,-21.974,-2.23,2.944,-4.46,10.652
3.08231,51.337,145.848,-21.801,96.494,42.985,-35.155,-47.322,47.881,-12.193,-11.355,-11.87,12.864
3.34376,43.009,214.921,4.599,60.223,56.45,-75.379,-36.233,59.101,0.458,-12.226,-4.457,11.906
3.51206,44.308,170.132,11.928,27.603,47.305,-71.972,-24.53,-1.432,-9.923,2.068,18.137,3.268
3.59909,46.857,76.218,-85.893,84.531,4.171,-105.929,-36.627,49.914,7.676,-8.479,-18.806,1.653
3.76762,51.475,145.232,-21.642,93.762,43.549,-34.522,-44.765,48.844,-11.115,-8.294,-9.708,12.348
4.02866,43.283,192.484,55.58,13.507,70.727,-87.701,-30.91,-20.935,-6.981,-7.204,31.056,0.605
4.1156,45.85,89.394,-93.14,91.083,-6.003,-114.924,-47.053,61.515,5.884,-17.325,-21.477,-1.409
4.28404,37.746,241.008,25.141,-1.524,62.477,-62.639,-27.934,-21.036,-10.629,-2.862,-2.897,0.298
4.45234,51.247,150.102,-13.573,94.331,42.323,-31.852,-26.217,49.289,-7.805,-5.039,-5.744,11.789
4.71361,43.055,212.341,7.423,60.871,57.673,-69.944,-34.174,54.729,4.476,-7.543,-4.392,8.454
4.88789,43.821,173.176,2.443,33.695,39.681,-85.56,-24.629,5.872,-5.258,-5.172,1.094,1.775
4.96907,47.073,76.79,-85.049,88.85,6.523,-101.283,-36.012,50.068,4.677,-4.99,-13.671,-1.397
5.13746,51.27,151.62,-28.859,91.66,27.283,-30.336,-30.133,53.182,-13.008,-7.418,-7.687,17.6
