start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.328,165.437,23.538,-64.523,54.505,-67.164,21.066,-14.682,-27.311,0.328,20.95,-10.202
0.13383,45.589,27.663,-42.073,121.352,41.192,-59.833,-38.693,27.75,1.598,-34.171,-30.131,15.787
0.48798,40.442,-20.319,-87.013,18.569,16.241,-50.806,-26.35,11.797,-1.144,-2.931,-27.565,9.691
0.82413,41.822,-31.724,-95.453,34.51,-16.013,-77.87,-26.38,24.561,-1.162,-12.89,-14.337,9.692
1.16748,48.802,20.396,-50.301,82.197,13.581,-62.065,-30.851,10.637,-9.99,-29.455,-32.948,9.716
1.48086,35.925,8.278,-78.833,27.201,12.32,-20.296,-22.083,-9.2,7.688,-13.502,-19.843,-8.605
1.71252,44.71,-24.183,-66.3,-14.069,9.636,-58.346,-18.533,8.843,-8.61,-6.871,-15.898,10.81
1.92222,41.013,-13.279,-96.322,-9.236,8.926,-12.189,-27.13,13.39,5.771,-27.905,-4.235,-2.443
2.08526,37.575,-54.142,-68.802,-57.835,-8.993,-34.428,1.286,-4.062,-6.65,9.168,0.542,13.432
2.1683,41.802,-6.752,-50.14,-88.768,-15.92,-19.945,1.721,70.919,17.077,-2.562,14.511,2.432
2.45356,44.633,64.984,-58.724,-47.289,-3.976,-34.952,-10.596,-6.392,20.842,23.469,-18.108,16.665
2.84961,45.677,17.355,-69.481,-18.428,7.662,-53.771,-24.228,-13.219,3.616,-4.789,-3.88,16.969
3.15161,41.835,-17.57,-57.892,-52.887,-3.247,-34.246,-19.313,-0.69,2.673,-0.268,-5.014,18.677
3.5415,43.143,-41.011,-51.342,-5.052,17.743,-11.744,2.835,8.297,14.93,-15.904,-2.858,-7.172
3.91224,40.08,-36.702,-69.45,-43.402,-3.503,-44.486,18.02,-4.88,-3.464,12.374,11.624,11.843
4.01211,43.054,-55.875,-35.448,-11.063,21.828,-39.364,11.498,-1.455,4.191,-4.636,-1.964,-11.614
4.27828,41.204,-28.824,-54.517,-3.286,-29.754,-21.002,3.267,-11.34,-10.666,-15.924,-12.919,3.324
4.59982,44.037,-12.444,-44.61,-38.819,16.334,36.584,6.647,40.238,12.046,-24.515,3.702,-12.783
5.10268,44.166,-32.936,-17.911,-16.185,23.43,-41.401,4.038,-2.596,13.131,11.256,-7.737,1.06
5.37578,42.519,-35.82,-42.873,-28.264,-9.367,-36.069,-1.373,15.96,6.453,-3.447,-16.239,-8.414
5.7059,42.517,-37.995,-39.241,-12.678,3.025,-20.784,-9.985,4.534,-2.898,-15.896,0.255,-7.386
6.07025,41.172,-45.542,-37.97,-42.317,-9.362,-41.756,24.824,-6.017,-22.284,11.39,0.048,-3.401
6.18236,43.967,-59.172,-30.793,-15.011,17.024,-27.306,14.503,-6.012,-23.277,-4.841,5.524,-4.287
6.43701,42.096,-59.484,-46.776,-7.472,-15.737,-47.059,17.073,8.121,-21.36,-3.982,-18.168,1.595
6.7342,43.054,-20.45,-7.657,-90.037,0.252,14.452,23.364,31.608,2.743,-15.375,-27.98,-5.715
7.20875,43.719,-22.132,-7.373,-32.759,-2.145,-22.111,17.001,6.146,10.622,13.206,-31.912,-1.58
7.84639,44.595,-45.52,-38.824,-10.945,26.11,-8.963,-8.21,11.477,9.592,-21.847,-3.053,-18.221
8.23755,41.179,-49.936,-51.807,-44.41,5.608,-47.108,3.8,-9.947,-11.837,16.169,-5.895,-7.981
8.34259,44.414,-72.705,-42.445,-20.144,36.914,-51.927,-16.306,-3.339,-5.987,5.675,1.76,-27.907
8.57891,42.83,-53.949,-27.871,-23.749,26.765,-39.086,-2.248,-19.201,-4.501,-8.39,2.763,-20.039
8.70122,42.117,-46.201,-37.903,-13.267,-9.633,-47.832,5.854,11.397,6.745,6.839,-16.605,0.034
8.91447,48.394,6.351,-34.862,31.307,22.373,-35.584,-27.424,6.485,4.136,-8.364,-2.529,-13.593
