start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.843,146.127,36.734,-72.849,62.781,-66.674,30.994,-47.324,-24.867,-4.858,28.227,-14.595
0.09347,35.489,-132.567,44.775,76.644,75.912,-30.944,-20.719,51.135,5.264,3.31,-8.29,-11.069
0.44249,28.167,-41.053,29.399,-71.18,45.146,4.258,2.696,3.829,-7.829,3.038,-36.26,14.799
0.74871,32.254,-27.779,54.103,126.215,55.881,-35.002,20.332,51.996,22.627,10.792,-51.191,-4.88
1.1371,33.121,-68.828,45.157,80.931,49.866,-9.846,-38.936,50.59,-13.257,15.323,-19.533,-30.32
1.39338,27.414,-50.878,-30.894,-8.686,43.329,-24.564,-43.15,32.886,-18.179,25.873,5.099,16.509
2.06027,36.666,-45.709,50.126,153.798,67.79,-22.567,-44.95,72.432,10.739,26.125,-53.217,-38.033
2.44517,37.242,-86.636,99.43,72.491,76.892,-9.744,-4.459,22.88,-8.635,30.891,-3.756,-21.466
2.71637,34.188,-92.399,5.997,107.126,62.976,-42.476,-53.824,72.62,3.24,6.79,-31.309,-2.6
3.12771,37.29,-74.2,102.428,83.695,90.667,-15.722,18.008,14.147,19.405,7.285,-30.821,-28.59
3.39642,35.163,-96.596,68.769,87.545,83.529,-38.333,-33.049,37.701,-8.96,8.544,-15.186,-7.631
3.80209,26.769,-58.251,-29.401,-3.923,43.176,-38.803,-45.885,22.413,-20.638,-0.636,1.936,14.988
4.01143,32.37,-68.051,14.283,56.158,49.511,70.006,-32.806,45.09,-23.93,30.366,-4.533,-15.886
4.34794,31.461,-19.298,60.141,-62.548,54.162,87.003,-5.927,-2.236,-26.512,16.084,-56.501,6.238
4.66177,30.227,-70.082,52.981,30.492,39.93,-36.886,-3.125,32.373,-46.045,-14.373,-9.296,26.773
4.85297,29.563,-88.329,-7.89,-5.803,33.14,-48.315,-39.573,31.666,-32.34,-13.578,5.803,10.213
5.00467,31.551,-103.386,-20.415,-2.723,45.53,-31.378,-46.321,29.536,-19.948,-7.922,7.145,7.076
5.28327,27.324,-59.573,-47.299,-37.484,55.757,-37.741,-36.833,9.195,-10.153,7.212,-2.746,8.145
5.48,31.433,-101.33,4.281,2.288,31.985,-11.254,-23.505,24.709,-33.102,13.183,18.336,12.475
5.78807,29.32,-79.029,67.894,-11.295,76.973,-43.85,-29.077,7.871,-10.137,-9.494,11.574,-37.05
5.90934,35.399,-97.051,79.365,85.432,86.607,-42.611,-31.711,36.993,13.672,12.512,-45.91,-34.787
6.17615,38.941,-90.262,122.37,60.576,77.116,-16.322,-7.97,5.217,-11.386,16.261,-3.636,-19.549
6.37406,36.169,-126.397,87.975,54.542,96.648,-47.359,-28.336,4.845,1.47,6.635,-23.681,-16.284
6.54744,34.146,-87.501,37.804,82.365,37.523,-37.747,-47.464,45.004,-21.959,-2.013,-41.504,-17.288
6.79927,34.084,-73.968,122.594,100.733,92.705,-46.103,48.081,41.172,37.51,8.684,-25.734,-35.431
6.99497,34.508,-87.259,120.028,75.597,95.0,-40.662,23.755,21.373,20.954,10.223,-34.953,-41.536
7.16358,31.121,-116.841,18.91,23.001,69.27,-48.257,-28.263,26.491,0.53,-5.9,-2.151,-9.173
7.35506,33.195,-124.788,75.399,31.642,94.589,-38.749,4.309,31.917,8.537,3.734,-12.684,-10.676
7.51175,32.031,-72.653,101.834,35.987,70.38,-35.366,50.501,31.257,10.149,-0.685,-6.582,1.223
7.76095,31.352,-62.526,56.701,72.493,56.637,35.761,50.056,50.886,-22.496,31.231,-29.495,30.713
8.20213,25.69,-54.366,-4.796,6.668,76.932,-66.46,-10.298,33.124,32.811,-5.14,-8.032,-14.356
8.42317,30.275,-70.491,71.208,70.711,57.102,-24.46,35.244,47.054,7.209,17.877,-1.645,-37.953
8.65506,27.056,-59.391,52.676,22.784,63.548,-61.88,48.385,31.346,31.438,5.861,-8.47,-10.734
8.80558,24.969,-6.176,27.132,46.395,32.004,-71.244,43.432,57.715,31.737,-21.403,-4.72,14.005
9.04993,25.597,-57.276,-8.482,10.761,66.245,15.721,3.864,47.014,2.626,53.19,-27.333,-9.935
