start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.148,168.35,3.583,-32.092,52.4,-50.521,19.779,3.686,-26.232,3.339,-12.91,-8.118
0.36558,8.619,71.445,-32.272,-115.462,58.495,-8.827,-20.016,-9.343,-20.891,20.443,-0.378,1.957
0.5107,16.243,66.696,-63.198,23.703,-1.368,-34.337,-52.542,-2.86,-36.42,-5.112,-23.644,-3.355
0.9288,10.839,61.795,-68.421,-51.384,39.163,-42.016,-53.508,-10.597,7.915,4.32,-8.647,-1.225
1.16585,11.89,105.285,-74.105,-50.399,48.231,-37.545,-37.671,-8.095,-2.265,-7.087,-3.053,-0.477
1.28272,12.035,93.535,-33.252,-61.436,32.928,-34.949,-33.796,4.531,-16.612,-2.783,4.128,5.404
1.42812,22.488,69.577,-41.755,-129.663,40.297,60.693,8.424,-49.588,-33.888,24.189,-37.281,11.778
1.87483,34.978,77.998,-113.253,6.783,-9.868,51.742,-22.26,-36.983,7.306,11.831,-17.121,14.883
2.17193,40.327,-24.007,-27.271,-98.615,13.567,80.833,13.88,-71.805,-26.131,27.643,-49.608,-2.268
2.40259,44.912,-51.747,-63.276,6.414,41.367,-38.495,-29.482,-39.443,-8.547,6.927,-21.93,11.293
2.64862,38.108,-93.597,-92.809,39.306,0.176,-60.13,-35.625,-32.76,15.957,0.212,-20.729,3.905
3.04195,41.167,-7.07,-93.191,74.495,4.155,76.12,-21.134,4.604,-1.562,-16.442,-68.831,30.235
3.51515,41.629,23.462,43.06,-214.791,37.548,67.452,17.098,-28.447,-0.229,-15.516,-42.945,22.181
3.95746,39.017,-186.713,-31.112,-3.28,81.516,-29.48,-3.964,-59.555,8.371,4.461,6.699,0.535
4.20902,38.905,-115.045,-51.908,39.944,76.805,49.158,-7.881,12.906,16.454,-67.859,-76.115,9.424
4.94576,34.707,1.409,-77.564,-20.328,24.421,19.64,-12.071,-22.619,11.012,-14.837,-32.866,21.838
5.4137,37.53,-7.577,-90.014,-11.314,8.513,50.423,2.059,-40.514,-8.373,-1.549,-48.137,28.573
5.83723,40.997,-58.306,4.274,-145.214,7.644,48.148,40.962,-43.316,-11.529,-13.914,-17.87,16.394
6.05497,49.608,-26.512,-5.803,53.341,8.701,16.835,-9.763,-26.283,1.588,-22.836,-3.596,-1.173
6.48984,42.927,-117.043,-81.178,115.003,9.841,-80.45,-23.475,-71.476,-16.383,5.989,-63.129,22.533
7.08594,37.534,-39.846,-111.098,-15.659,24.97,11.212,-18.571,-35.897,41.141,-31.7,-23.715,4.452
7.4263,36.886,-82.754,-71.481,-44.78,37.665,36.278,0.684,-26.361,11.944,-1.332,-48.9,15.179
7.70349,35.555,-31.109,-92.168,-83.933,12.47,27.104,-11.338,-10.304,27.311,-43.652,-28.949,18.567
7.95528,43.466,-26.284,-13.565,-119.781,13.05,81.329,30.12,-20.519,-24.765,-7.078,-46.118,16.767
8.21805,41.837,-10.873,-68.801,12.549,-8.353,-45.437,-37.156,-23.371,-20.068,-0.997,-12.548,18.828
8.46331,41.522,-27.474,4.387,-57.157,5.817,-4.185,7.523,-51.717,-5.414,6.193,-45.582,14.235
8.9849,38.998,-63.388,-66.662,50.299,58.375,3.934,7.663,-46.444,32.792,-53.143,-41.828,10.07
9.51029,35.357,-33.015,-66.994,26.642,49.542,19.372,16.397,-53.228,17.044,-26.248,-51.244,13.127
10.12426,35.884,27.497,-67.619,-39.007,14.54,19.06,-2.486,-18.299,10.828,-19.34,-13.848,25.008
10.43814,39.98,-85.36,-91.255,-14.318,42.825,-47.572,-30.109,-27.06,8.869,3.038,3.577,21.683
10.58349,40.511,7.924,-97.265,2.898,32.505,-21.622,-29.513,13.073,14.317,-37.424,-33.386,11.214
10.84871,49.735,100.909,-31.714,-7.875,20.418,-7.561,-54.574,-21.112,9.324,7.627,-0.277,17.639
11.08181,52.103,39.573,-10.453,41.806,32.593,-33.839,-14.167,-19.909,-1.746,1.076,-45.262,57.751
11.5098,43.842,-44.36,-107.251,6.893,47.633,-51.849,-46.278,-49.262,19.429,9.455,-9.532,27.507
11.77252,44.253,18.043,-58.661,1.685,9.012,-55.088,15.187,-33.27,-14.735,18.004,-15.242,32.915
11.92336,47.433,18.151,-60.123,5.25,37.034,-11.043,-6.434,-49.345,-11.479,19.512,10.854,42.134
12.13764,42.544,-74.189,-61.726,17.72,26.77,-62.178,-14.761,-46.138,-13.597,6.845,-26.479,36.02
12.37075,47.375,12.842,-36.737,-44.171,37.995,35.39,20.625,-19.847,-13.565,-11.745,-0.394,14.118
12.57859,45.819,-5.383,-41.179,22.314,12.515,-59.16,-29.421,-30.097,-31.665,2.204,-21.023,21.728
12.7898,42.753,-22.88,-85.283,9.459,8.745,-43.014,-40.248,-52.341,-7.198,22.306,-9.774,11.173
12.97166,44.59,-0.771,-29.216,-130.21,13.036,37.364,-33.441,36.558,26.472,-54.207,-9.181,10.566
13.1898,44.925,-15.383,-83.198,34.2,31.017,-60.863,-34.27,-13.673,6.179,15.668,-31.547,5.736
13.37628,46.722,46.5,-59.159,-43.394,11.673,48.896,-10.123,-9.78,9.524,-17.925,-7.368,-10.265
13.6185,46.881,-109.083,-35.129,20.199,30.243,-60.054,-23.91,-10.134,-5.059,31.065,-22.272,-4.31
13.78,42.546,-42.723,-88.741,9.642,41.921,-64.2,-46.429,-29.465,12.018,3.495,-11.174,3.381
