start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.068,169.856,6.736,-29.884,55.214,-50.242,16.908,4.93,-26.772,1.895,-11.374,-7.664
0.37737,16.535,-50.388,1.569,-107.831,36.155,65.574,21.747,-16.4,-57.338,65.586,-46.144,1.998
0.59732,12.95,26.879,-9.885,115.573,19.855,-42.231,-5.194,97.245,-22.879,-17.2,-8.353,-15.562
1.17488,11.146,23.871,9.929,33.3,38.407,-43.495,28.773,45.167,-46.151,-0.694,5.245,9.321
1.36426,18.148,-55.703,-57.948,19.979,19.584,80.383,3.522,94.486,-32.155,40.232,-53.538,9.284
1.63696,5.689,80.512,-45.073,-59.512,16.886,-33.881,4.999,-1.653,-43.595,9.875,-14.082,0.457
1.93782,13.479,-29.037,-41.347,-12.221,15.037,-61.218,17.093,27.695,-41.58,-11.051,-7.657,-8.531
2.17215,23.737,-63.906,12.453,-51.527,-33.037,26.239,20.837,-20.481,-53.954,7.164,-20.162,12.833
2.4493,24.739,-142.551,-90.819,-2.638,-15.616,14.803,-1.377,3.729,-24.651,-9.329,-40.763,0.881
3.58757,27.21,-135.93,-66.251,22.461,-19.44,16.718,8.711,7.43,-18.471,-24.609,-49.011,-4.188
4.70889,32.351,-35.113,-37.747,-163.762,13.365,50.041,1.635,-38.173,0.109,-17.203,-21.613,-7.397
5.3288,34.823,-99.729,-68.483,-20.494,12.801,-26.491,-10.145,-6.338,-31.866,-16.794,-12.618,7.358
5.80308,33.149,-6.302,-86.395,-52.543,7.525,-34.004,-41.429,0.666,2.249,-22.5,1.427,3.03
5.92,39.179,-53.322,-48.689,-35.843,19.41,18.636,-0.889,9.164,-36.473,-11.134,10.692,-1.041
6.4858,37.542,-67.356,-19.087,-20.053,22.18,-33.513,13.655,-1.345,-31.779,-11.087,-1.733,-3.113
7.05147,34.939,-87.611,-32.738,-19.145,-4.272,-37.876,4.045,21.662,-7.62,1.966,-11.884,-11.126
8.16209,33.446,-71.576,-53.285,-60.007,-37.489,-10.609,-30.253,14.152,-7.408,11.612,-11.427,-10.569
8.74853,32.681,-10.753,-76.703,-61.487,-36.851,-30.292,-35.017,-32.536,-0.982,20.363,-22.663,-12.202
9.37483,30.488,-92.944,-70.343,-18.348,-18.738,-29.358,-4.89,-2.516,-16.863,7.709,-16.08,5.781
9.73633,25.699,-142.319,-116.629,-1.772,-12.346,-31.757,-15.234,11.38,-20.325,-12.992,-33.836,-11.995
10.31288,23.142,-69.925,-90.625,-173.268,1.514,-9.356,4.094,48.07,19.533,-27.628,-14.086,-1.993
10.45855,29.702,-132.409,-42.951,-7.029,-46.845,-27.263,2.094,1.567,-37.119,7.268,-12.846,6.875
10.91356,27.221,-131.483,-78.427,-53.904,-36.334,-25.144,-19.887,5.609,-11.233,-18.109,-4.307,-13.124
11.02821,29.473,-101.924,-40.713,-24.874,-14.467,12.209,39.207,3.763,-11.326,-6.905,-52.364,8.222
11.56227,35.346,-116.878,-27.44,-89.116,-0.351,80.367,23.903,-6.142,-25.309,-0.91,-13.269,-2.439
12.29206,33.964,-157.864,-47.456,-33.21,-30.684,-30.011,-29.591,-11.73,-14.815,-11.238,1.961,-11.274
12.70327,32.312,-196.909,-62.55,-41.081,-17.158,-27.6,-25.258,-9.23,-7.252,-9.116,-16.849,-4.395
13.27728,36.684,19.46,-124.602,-90.771,9.399,-7.282,-37.441,-0.684,60.03,-59.006,-13.438,6.835
13.43342,36.436,-97.029,-72.393,-20.456,4.394,-24.672,-20.867,-8.892,-3.662,14.279,-9.575,-2.588
13.97166,34.972,-133.587,-60.284,-45.425,-14.079,-46.248,16.395,18.315,-28.633,-13.962,-11.534,11.219
14.29152,38.536,69.755,-92.58,-117.549,6.729,33.801,-17.915,42.306,41.961,-90.513,-25.498,16.312
14.52916,35.961,17.859,-75.872,-34.939,-26.927,-52.91,-54.24,-22.292,-15.911,17.793,-26.273,-18.253
14.8341,34.451,-12.305,-52.682,-67.053,-39.752,-25.42,-35.106,1.508,-42.142,-7.603,-4.984,-27.794
15.06635,34.665,-49.736,-62.502,-22.598,-20.726,-36.406,-6.561,14.515,-27.02,-8.838,-11.684,8.88
15.73832,31.478,-44.443,-75.274,-25.687,15.089,-54.526,-4.751,-7.391,-43.086,-14.874,-10.93,11.738
15.91488,35.8,-102.392,-29.777,16.213,-16.53,-21.71,-6.29,-2.413,-30.978,0.719,-17.341,17.632
16.59524,27.983,-153.372,-114.697,-21.79,13.724,-50.98,-17.521,1.817,-4.948,-14.109,-19.866,-2.51
17.34014,28.349,-152.452,-44.925,-2.124,-41.631,-19.562,10.146,0.419,-32.794,-11.766,-26.816,1.535
18.21283,31.485,-134.531,-15.444,-58.088,-0.61,38.068,-11.903,-3.55,-12.421,-1.747,15.052,-14.114
18.51873,31.577,-144.128,-39.722,-13.656,-23.319,-19.086,-24.92,8.042,0.118,-22.457,-12.099,-0.062
19.01914,27.303,-187.008,-87.39,-21.545,-26.043,-11.582,-2.554,6.779,-24.948,-6.521,-29.39,-7.451
19.59537,31.692,-155.215,-36.335,-32.27,-28.367,48.649,25.736,-1.65,-29.452,-23.558,-8.663,2.365
20.14603,28.427,-187.73,-46.583,-60.54,-14.806,-17.371,3.711,17.639,-20.465,-10.71,-28.988,0.03
20.45633,31.649,-125.454,-20.053,-17.62,-54.802,-3.456,23.859,6.776,-43.497,-8.656,16.706,9.042
20.74658,29.241,-181.099,-84.5,5.099,-31.676,0.984,9.909,4.04,-27.391,-19.212,-43.451,1.712
21.90503,24.614,-207.678,-98.621,-117.799,5.757,-11.638,21.435,6.981,-16.472,-6.934,-28.365,-9.328
22.81905,31.56,-137.378,-58.718,-25.862,-58.834,-1.182,4.43,4.143,-18.063,-15.269,16.794,-13.249
23.12776,40.747,2.207,-92.537,-0.546,-30.806,-29.063,-57.032,-17.298,-1.734,15.708,-18.145,-19.665
23.39193,36.532,-2.525,-100.36,-61.96,-26.332,-27.733,-29.824,-1.252,-14.622,-15.383,-5.134,-26.979
23.49088,36.912,-17.563,-83.995,-74.547,-13.923,-37.5,-10.698,-9.016,-23.478,-1.599,-6.606,-10.139
24.27075,40.015,-73.117,-69.022,-37.488,22.259,-31.754,-12.288,6.226,-7.759,-12.108,-3.891,0.427
24.82249,40.165,-49.667,-63.754,-72.383,23.074,-41.657,-22.087,9.968,7.88,-1.928,10.236,-10.972
25.43982,37.348,-52.546,-109.88,-17.81,-1.988,-21.679,-39.406,-21.514,-2.322,-1.591,-53.694,-4.057
26.00834,35.393,-86.695,-54.06,-113.498,10.674,-43.854,3.718,28.364,-11.871,-1.022,7.184,1.428
26.34984,37.65,-46.561,-61.116,-63.245,-14.513,-25.127,-38.403,-8.113,-2.479,7.482,-16.296,-24.856
