start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,4.936,62.201,-83.21,-116.108,25.882,-31.412,22.415,-56.443,-33.442,40.29,-15.958,0.053
0.51007,12.571,-85.761,-144.315,-74.956,51.851,-65.577,16.318,20.104,10.793,6.907,-10.567,-1.281
0.64603,12.527,-81.692,-122.774,-72.607,63.1,-58.679,22.643,12.815,6.392,12.756,-11.177,-0.902
0.7629,14.581,-122.228,-134.588,-94.811,65.709,-50.98,23.485,-3.955,-0.091,19.388,-6.701,4.614
1.12921,17.687,-181.882,-168.087,-106.716,57.308,-64.459,17.953,-0.069,1.755,6.439,-5.551,1.623
1.24322,20.321,-205.542,-133.819,-104.992,49.811,-51.486,36.221,4.606,-17.595,3.311,-8.747,-1.776
1.49401,20.214,-200.275,-133.869,-62.616,54.207,-43.443,23.526,27.637,-22.574,5.836,-16.894,3.448
1.89633,19.398,-194.557,-120.019,-100.628,69.497,-40.447,21.576,-7.73,-27.759,18.76,-14.054,8.935
2.30413,17.149,-170.009,-144.46,-102.21,71.107,-53.647,9.523,-3.862,-8.236,9.782,-10.437,7.471
2.76399,19.104,-201.831,-156.496,-88.384,65.024,-70.401,10.108,7.59,-6.059,-2.974,2.865,2.833
3.49819,23.4,-235.185,-124.494,-45.478,51.667,-23.964,39.91,40.755,-8.677,19.483,-19.412,-21.584
3.76821,21.827,-224.125,-134.305,-72.284,51.158,-46.05,39.643,27.028,-11.527,9.091,-20.845,-16.311
3.94358,20.823,-213.914,-128.121,-75.964,62.76,-56.332,31.995,11.965,-11.886,3.322,-11.329,-9.342
4.24286,24.185,-247.508,-124.891,-62.821,43.578,-33.996,33.676,20.061,-19.775,9.864,-0.424,-9.151
4.39211,25.154,-265.943,-134.034,-73.668,34.553,-69.836,24.793,10.192,-17.396,-8.549,3.433,-11.986
4.47315,25.182,-274.982,-142.722,-82.702,40.122,-61.555,24.29,14.276,-18.526,-7.189,-9.631,-11.041
4.73651,26.279,-286.502,-133.623,-81.359,41.935,-54.729,18.626,15.063,-20.439,-5.286,-15.626,-9.427
5.24286,23.459,-254.424,-152.783,-54.208,51.943,-50.73,7.897,44.811,-16.977,-2.337,-22.885,-5.661
5.63438,19.133,-203.037,-169.429,-99.5,55.634,-52.344,19.07,12.04,-6.637,11.979,-21.041,1.312
6.67161,17.762,-183.45,-169.184,-118.164,56.435,-47.833,23.314,-7.486,-3.532,23.492,-4.41,1.146
6.75447,21.017,-230.205,-162.69,-111.414,51.223,-62.212,29.759,-3.323,-10.852,4.503,-5.944,-3.853
7.25279,22.922,-228.212,-126.43,-49.961,40.787,-49.042,39.504,32.328,-13.879,4.508,-8.676,-13.435
7.39542,21.848,-217.922,-131.273,-53.636,45.176,-61.919,38.704,27.92,-7.586,-0.558,-10.167,-11.263
7.5195,22.643,-233.824,-129.036,-68.54,48.474,-56.901,37.819,15.702,-16.49,-0.556,-5.6,-9.501
7.97134,26.849,-229.403,-95.712,-95.186,50.962,-6.448,37.191,-8.782,-1.168,-22.883,-14.302,3.511
8.27333,26.272,-257.67,-89.399,-52.842,41.134,-39.178,31.213,14.947,-22.697,-0.089,-13.307,-0.711
8.41646,24.375,-250.71,-129.94,-28.499,45.513,-59.311,9.302,52.779,-17.179,-15.551,-12.42,-5.463
8.70703,22.31,-224.962,-109.029,-83.728,54.615,-46.514,42.839,2.437,-24.571,11.34,-14.425,-5.893
9.33029,22.26,-245.553,-161.123,-102.443,46.75,-62.517,31.338,4.836,-13.407,1.39,-7.241,-7.759
9.54408,23.721,-244.794,-143.938,-49.536,32.134,-78.964,28.713,32.049,-8.147,-13.075,-15.724,-13.129
9.68077,22.281,-234.823,-151.139,-69.953,42.178,-67.714,31.677,21.077,-10.472,-3.668,-3.074,-12.91
9.81705,22.804,-239.8,-137.868,-65.828,48.415,-64.022,32.07,19.141,-14.061,-4.636,-3.498,-11.629
10.19229,24.09,-256.821,-127.205,-101.575,50.551,-55.457,23.125,-0.279,-21.165,-6.668,-7.675,-4.612
10.62141,25.658,-280.438,-130.314,-82.814,48.433,-56.353,16.265,12.212,-22.294,-7.206,-7.743,-8.331
11.02395,25.785,-257.2,-98.214,-34.229,49.321,-43.792,5.29,34.898,-25.027,-14.026,-7.844,0.9
11.65664,23.133,-245.89,-113.834,-98.405,64.69,-48.035,11.856,-5.844,-28.562,3.201,-9.879,0.653
12.06649,22.699,-242.264,-138.87,-98.111,49.142,-47.322,29.382,3.4,-23.195,6.979,-11.074,-4.882
12.46431,23.721,-255.435,-134.351,-74.087,58.611,-33.942,16.523,25.718,-23.424,7.322,-9.311,-5.396
13.0263,22.361,-246.134,-158.811,-87.327,50.884,-62.859,22.875,14.82,-14.351,-2.521,-6.381,-6.34
13.25451,25.655,-228.976,-90.571,-71.615,26.567,-19.9,52.806,12.337,-17.991,6.321,-6.551,3.792
13.50576,24.616,-220.792,-81.091,-37.433,27.157,-52.489,40.189,20.555,-23.384,-6.905,-10.043,3.432
13.6263,23.411,-231.581,-116.964,-20.191,49.903,-54.698,5.584,50.915,-24.666,-11.689,-8.115,1.482
13.88395,21.266,-208.115,-95.322,-78.775,63.692,-43.832,26.572,-0.151,-36.381,5.845,1.131,6.726
13.96154,23.616,-253.617,-120.715,-74.645,67.401,-43.219,3.242,19.225,-26.825,-0.402,-14.063,-0.36
14.34018,18.612,-188.048,-138.905,-83.468,70.607,-49.121,10.362,11.322,-17.406,11.373,-6.096,5.526
14.7458,18.873,-196.25,-146.459,-78.381,73.729,-58.517,1.059,18.603,-10.925,0.816,-4.605,4.402
15.20426,16.595,-164.78,-175.211,-113.016,51.114,-61.969,19.123,-4.346,5.755,13.009,-8.478,-0.648
15.51152,22.744,-233.659,-134.266,-36.275,53.43,-66.529,20.923,40.455,-6.401,-3.122,-18.005,-19.949
15.71696,21.544,-229.407,-150.492,-85.017,53.067,-49.855,33.479,19.526,-11.405,8.995,-17.756,-11.753
15.939,20.757,-220.206,-151.453,-89.994,54.738,-59.685,34.498,11.688,-8.798,5.093,-11.194,-10.525
16.11011,21.322,-234.065,-168.229,-101.014,47.924,-63.085,29.423,6.805,-9.642,2.932,-3.898,-6.686
16.21261,23.367,-251.063,-140.079,-95.386,48.159,-43.294,35.045,12.067,-16.749,5.784,-26.894,-9.202
16.5293,22.78,-244.564,-145.612,-70.487,51.413,-58.446,24.825,25.708,-14.866,-4.641,-4.963,-10.561
16.95787,24.053,-264.02,-143.863,-98.299,46.254,-56.634,27.139,4.996,-18.818,-1.442,-13.681,-8.577
17.24844,23.378,-256.471,-160.331,-61.312,45.742,-74.246,15.051,33.647,-11.802,-14.458,-4.037,-10.014
17.55574,21.996,-242.102,-159.231,-91.494,51.958,-64.782,22.892,11.812,-13.696,-2.87,-5.003,-5.422
17.71959,22.733,-249.898,-160.102,-81.899,47.622,-67.28,20.777,18.305,-12.466,-6.399,-3.869,-8.153
