start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,16.261,90.068,118.67,-367.099,53.139,-11.253,60.28,-123.529,-42.397,67.898,50.57,-10.819
0.27832,45.573,6.522,28.771,-23.68,3.79,-28.82,-67.578,-5.935,-2.917,0.266,-2.278,-36.897
0.38961,45.265,-22.325,16.233,12.06,3.839,-15.012,-30.25,-7.883,-40.869,-11.957,-13.216,-33.297
0.49392,43.122,-14.805,-0.127,40.578,14.521,4.79,-36.802,16.929,-35.705,-20.378,-45.142,-14.478
0.71392,35.177,70.928,-121.956,-12.003,132.269,-40.704,-41.068,-58.48,-15.764,-35.122,-19.836,4.317
0.86073,35.048,0.259,-7.283,-59.137,72.222,11.019,-10.453,-34.577,-43.98,10.606,-49.907,8.335
1.48535,31.175,100.58,-55.504,-27.355,118.028,-10.596,-44.978,-31.907,17.757,-51.151,-16.18,18.392
1.66689,33.648,-1.144,-33.349,45.026,101.91,37.86,14.873,9.36,-12.646,8.621,-44.644,6.148
2.06748,26.909,-24.849,-39.992,-79.761,62.568,-34.652,-55.451,66.417,16.235,3.606,31.324,-4.577
2.21737,28.317,114.875,-19.143,-31.998,50.386,-3.119,-94.925,-44.073,45.298,-17.205,-13.582,11.198
2.46712,28.646,-87.942,-24.445,61.48,66.715,7.958,-32.165,40.872,3.203,28.957,-62.774,12.226
3.25592,26.581,-207.85,-79.476,-1.788,22.318,-35.5,-16.826,27.597,-8.894,-15.466,0.924,-6.655
4.72404,17.321,-137.836,-36.757,-27.813,107.486,-52.816,0.301,22.381,-26.331,-7.512,-8.08,1.116
5.53683,14.922,-104.506,-58.901,-52.986,93.965,-54.915,-1.168,15.422,-19.831,-2.067,2.662,1.147
6.27524,34.969,57.055,46.172,-132.344,61.049,59.128,10.293,-57.33,-34.84,46.965,-23.313,3.698
6.73388,39.209,-93.758,-13.796,4.305,39.222,32.097,-19.226,25.463,-6.032,-28.349,-35.431,24.408
7.10059,38.568,-43.504,33.233,-128.165,74.095,-32.773,16.932,-19.668,-44.707,-14.286,30.545,5.102
7.29646,41.796,-31.476,35.303,86.501,42.198,-12.777,-4.69,24.601,-28.811,-25.715,-60.061,11.714
7.90739,31.308,-29.911,-22.622,-43.246,29.068,-9.832,-30.932,-6.9,0.694,-21.168,-19.293,2.056
8.06957,29.928,32.638,-85.136,-40.56,99.047,-32.987,-36.8,-35.597,11.348,-33.775,-24.416,0.03
8.28399,30.148,-25.086,-36.569,-43.784,67.228,28.136,-35.826,62.467,16.95,-20.575,-36.757,3.946
8.88739,31.802,-76.101,13.076,-6.533,100.38,-51.115,-12.627,-13.772,6.858,42.429,2.761,-1.942
8.9576,28.582,-69.309,-52.213,66.835,86.473,-40.188,-36.089,27.342,12.913,-19.246,-51.688,-3.402
9.47968,26.705,-190.052,-68.969,5.429,33.762,4.089,-14.484,36.491,-10.406,25.386,11.428,-4.498
11.0702,18.239,-144.235,-32.035,-33.942,98.992,-57.885,16.652,11.461,-19.193,-5.729,-1.686,0.018
12.03447,18.175,-114.263,-29.482,-25.536,123.646,-66.416,10.332,-9.691,-29.067,-2.264,-4.272,11.105
