start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,31.459,-6.31,-64.004,20.03,59.552,90.687,12.115,-87.268,-38.18,93.084,68.854,-9.5
0.15615,32.184,-101.782,-42.478,31.567,36.246,38.785,-9.196,-5.602,13.117,-55.013,-23.401,-3.223
0.28898,31.017,-125.499,-15.565,-76.057,58.179,11.767,-24.951,56.377,19.943,-29.976,-39.743,-9.699
0.48871,30.744,-127.401,-35.939,-26.765,47.15,45.697,-18.392,-2.272,26.409,-45.276,-38.206,-11.967
0.67256,33.756,-69.317,-72.391,33.71,80.413,53.549,-6.754,-53.225,24.662,-35.766,11.022,-15.931
0.87152,32.691,-111.679,-39.813,62.993,24.96,-65.92,-37.516,-30.722,-8.308,34.818,-14.398,-6.163
1.04091,34.771,-49.521,-50.655,56.856,42.777,-71.57,-11.195,-78.76,-32.932,38.714,-26.497,5.651
1.21247,31.924,-97.757,-28.718,43.524,10.045,-64.52,-0.053,-76.157,-20.125,29.76,-9.957,12.614
1.37497,33.438,-41.435,-79.646,55.973,48.755,-53.484,-0.798,-92.704,-28.51,8.124,1.925,4.905
1.53932,30.968,-101.937,-65.804,58.413,31.015,16.888,-4.096,-19.316,4.701,-40.315,0.729,1.966
1.6658,27.733,-115.077,-45.292,-72.407,49.773,32.14,11.253,52.602,-3.493,-48.692,-73.578,13.13
1.88739,33.347,-78.436,-17.77,19.302,16.463,22.295,11.428,-28.447,-4.961,23.037,46.252,1.52
2.07302,33.792,-36.631,-41.567,28.748,18.114,-92.125,-2.463,-97.897,-37.918,36.399,-14.484,1.718
2.24689,31.621,-63.691,-51.999,43.663,-0.802,-76.845,-42.895,-3.19,5.026,22.325,-27.603,9.601
2.39755,34.094,-38.581,-70.548,33.48,71.239,17.427,6.51,-71.006,-10.484,-0.945,30.931,-17.477
2.53415,30.944,-120.551,-14.789,-22.139,29.058,-0.89,-30.448,18.536,20.009,-34.968,-43.471,-18.293
2.68667,29.999,-144.3,-3.652,-79.037,54.081,-6.636,-14.641,77.797,10.721,-31.948,-35.214,-14.291
2.9142,32.338,-94.82,-35.865,42.751,24.628,13.171,4.916,-44.288,-6.394,16.474,14.439,-0.356
3.1005,34.064,-47.151,-43.127,51.533,30.799,-74.741,-6.252,-81.456,-42.162,43.357,-31.891,7.982
3.2746,31.665,-97.302,-20.318,26.793,14.162,-80.901,-7.199,-78.232,-23.206,29.933,-9.002,2.627
3.4419,33.256,-53.242,-58.921,62.698,34.19,-102.007,-8.107,-79.563,-35.068,22.783,-21.594,3.6
3.61646,31.454,-82.276,-62.439,78.353,7.239,-82.91,-28.04,-36.079,-15.219,19.427,-32.254,6.944
3.72041,30.437,-107.178,-9.404,-62.49,42.619,23.785,12.326,71.152,1.728,-29.133,-51.641,5.195
3.91361,29.605,-126.702,-22.335,-22.045,49.682,58.328,13.919,29.184,15.426,-37.031,-72.494,-1.937
4.08227,29.084,-90.833,-66.824,-42.819,67.665,87.235,9.19,23.25,20.031,-65.928,-73.568,-5.612
4.2907,31.523,-85.664,-50.341,55.642,23.129,-5.768,-0.703,-58.333,-9.508,25.263,10.429,-3.397
4.46993,32.806,-36.334,-58.119,66.874,24.832,-86.036,0.756,-79.36,-42.089,25.893,-26.334,6.949
4.63161,30.293,-66.626,-74.699,90.535,18.718,-22.619,-3.686,-39.373,-8.641,-6.75,-15.073,1.343
4.76553,28.599,-86.231,-64.31,-47.136,55.892,79.142,8.027,17.189,8.789,-75.934,-74.247,-10.851
4.98444,30.462,-94.126,-51.561,74.609,3.894,-72.717,0.506,-50.836,-35.612,19.958,-20.098,12.699
5.14449,32.125,-25.101,-103.096,93.78,48.692,0.023,-2.349,-45.715,-12.286,3.432,-6.901,-3.587
5.29515,27.641,-101.194,-64.004,0.545,31.97,78.133,11.678,-0.611,1.917,-49.625,-47.827,-12.343
5.49859,35.02,-49.332,-43.571,49.391,38.387,-66.689,7.247,-89.414,-24.704,41.568,-39.427,0.797
5.65528,31.739,-90.614,-55.295,51.435,25.763,17.141,-11.895,-38.784,4.727,-29.128,-2.809,-9.533
5.77719,30.62,-128.597,-18.418,-73.169,62.176,14.276,-8.689,67.48,16.421,-28.036,-42.754,-9.643
5.97429,30.126,-117.301,-38.64,-10.587,36.557,44.894,-13.669,6.087,31.455,-34.674,-46.291,-10.194
6.16639,32.642,-48.951,-94.501,69.347,63.119,41.928,-4.467,-54.109,6.882,-15.359,15.626,-16.314
6.35506,32.029,-103.659,-41.712,59.991,27.187,-70.492,-21.536,-47.117,-9.311,42.137,-14.644,-7.374
6.52662,34.52,-46.439,-47.286,50.679,49.4,-60.397,-4.804,-84.748,-28.352,55.125,-29.932,-3.493
6.69751,31.655,-106.532,-34.967,54.769,29.494,-60.211,3.324,-70.108,-16.352,39.4,-34.975,1.673
6.86227,34.004,-43.051,-65.757,59.17,61.874,-38.523,12.182,-99.657,-23.884,23.754,-12.942,1.691
7.01601,30.968,-103.701,-50.188,29.837,35.995,38.606,6.509,-14.397,16.112,-52.284,-9.19,-3.953
7.1541,30.497,-110.302,5.996,-98.803,48.645,21.674,12.717,68.494,12.664,-40.464,-46.983,-4.182
7.36834,32.475,-102.663,-22.726,38.279,30.752,30.767,24.404,-45.219,-4.246,-11.086,4.706,-0.543
7.5181,31.981,-52.052,-48.738,-17.432,42.372,39.145,12.667,-39.034,17.952,-82.558,-28.981,-4.139
7.70966,32.995,-98.958,-32.433,53.289,30.151,28.639,9.598,-19.45,18.226,-25.186,-3.479,-2.155
7.86399,32.686,-82.254,-52.568,-11.213,73.28,59.286,6.414,-43.822,27.195,-68.555,-9.808,-26.039
8.07506,30.726,-116.535,-30.02,22.726,23.192,-90.287,-23.192,-70.33,-13.46,28.702,-15.089,-11.641
8.23773,34.736,-13.097,-56.818,77.988,35.347,-62.293,-24.548,-32.086,-10.584,37.499,-31.983,-2.741
8.38376,30.915,-84.703,-24.076,-14.617,22.123,52.687,3.998,-35.978,7.927,-9.433,-21.173,-6.689
8.5873,33.89,-48.935,-44.925,46.443,37.874,-78.937,7.289,-91.12,-39.062,39.785,-34.228,9.879
8.74186,32.036,-91.819,-35.027,51.068,19.447,-13.227,12.939,-75.181,4.266,-16.855,25.985,-2.743
8.9278,33.388,-44.228,-55.984,71.576,32.416,-97.743,-3.914,-83.164,-28.074,26.893,-25.336,9.836
9.1024,31.065,-91.872,-52.379,64.523,25.122,-89.515,-21.307,-36.371,-12.079,14.806,-25.328,5.859
9.20639,30.83,-110.939,-6.79,-79.176,54.1,20.932,4.355,68.799,5.221,-30.652,-59.999,-2.96
9.38785,29.08,-125.549,-17.848,-52.886,30.772,32.146,-0.779,31.862,16.945,-10.997,-58.949,-4.861
9.57088,32.412,-64.737,-24.559,-46.035,60.442,87.192,20.196,19.195,26.544,-60.57,-42.954,-14.194
