start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.991,158.704,1.552,-52.723,43.675,-56.217,27.001,-10.038,-25.386,5.72,-1.205,-9.074
0.13723,38.726,52.389,51.646,-89.358,27.878,0.534,-8.159,10.147,-5.981,14.62,6.818,-0.876
0.29615,47.406,45.679,1.924,135.617,21.167,-85.839,-32.649,26.894,16.214,-17.165,-43.027,-3.736
0.43546,38.773,25.096,19.866,163.196,50.189,-86.136,-41.223,14.414,12.835,9.237,-40.298,13.532
0.58626,41.1,40.901,-9.958,146.017,36.157,-71.923,-33.551,41.157,10.462,-7.163,-36.124,2.211
0.75406,42.604,51.948,-26.95,138.397,13.514,-54.328,-26.997,39.374,8.36,-16.427,-30.019,8.729
0.92313,44.377,-65.672,-29.506,56.357,21.764,-59.499,-19.879,7.704,8.876,-12.155,-23.158,5.87
1.10268,39.835,-59.99,-40.853,14.985,32.723,-52.889,-23.675,10.449,22.319,-18.065,-13.882,-5.833
1.24798,37.99,-60.142,-47.833,33.777,23.522,-46.383,-22.584,6.998,16.326,-7.81,-23.121,-8.051
1.422,40.466,-49.474,-40.313,31.976,25.139,-35.574,-16.427,17.437,13.269,-13.181,-14.65,-2.552
1.59569,39.56,-121.799,-76.713,21.645,-10.156,-70.918,-27.184,-8.988,-6.728,11.461,-25.5,19.545
1.76907,35.335,-115.723,-70.66,-22.837,-7.333,-63.45,-24.569,20.977,9.217,6.516,6.675,3.417
1.86367,37.105,-97.765,-71.963,-49.817,2.459,40.377,-7.157,6.289,7.064,-22.61,-45.724,12.743
2.08308,41.796,-51.258,-89.427,158.332,43.507,116.658,-16.392,12.252,20.764,-15.837,-4.792,-16.003
2.39061,40.469,-33.438,12.721,-109.101,72.929,201.699,17.556,61.534,22.717,-28.133,-17.167,-19.931
2.55973,45.116,35.151,-37.963,126.343,16.933,-65.67,-28.635,20.222,22.425,-24.428,-57.713,-5.932
2.74122,37.837,-31.161,-108.615,22.178,-38.715,-23.563,-27.449,17.757,14.057,0.632,3.115,-7.751
2.86639,42.393,14.18,-140.477,75.682,-6.197,-8.577,-8.548,1.529,17.046,-39.286,-16.85,12.439
3.07696,31.542,26.904,-42.147,75.237,-8.306,-51.511,-17.532,19.879,22.209,-15.618,-10.693,-12.492
3.21029,28.265,136.619,-94.747,137.231,39.101,-53.426,-43.218,-13.427,-1.789,-14.111,-58.86,6.564
3.41429,40.527,-70.203,-88.854,-18.928,-14.596,-47.058,-0.79,19.799,26.138,-7.726,23.382,2.773
3.54766,45.665,51.786,-53.866,150.475,23.347,-66.089,-26.605,19.248,18.509,-28.866,-65.556,-3.476
3.74907,28.702,33.8,-19.016,50.728,3.87,-53.212,-21.827,9.745,5.16,-5.581,-10.501,1.345
3.87828,30.28,136.684,-75.563,147.61,42.224,-48.842,-52.948,-8.023,-0.585,-9.806,-52.809,4.881
4.07075,40.552,51.376,-93.944,255.96,22.192,-52.198,-65.351,64.455,22.188,-55.51,-102.571,9.78
4.51497,34.801,-35.662,-162.348,128.001,9.382,80.433,1.242,36.006,6.438,14.534,22.419,-3.828
4.85324,45.608,53.686,-47.77,138.566,26.971,-60.512,-28.425,28.883,20.027,-23.66,-55.085,-3.991
5.06721,30.44,61.812,-5.702,48.472,10.948,-56.331,-29.794,7.515,-3.244,-4.998,-9.951,-2.033
5.16644,30.977,149.242,-46.802,73.847,63.446,54.433,-36.398,18.469,2.921,-31.36,-69.007,18.578
5.36458,39.23,-45.675,-100.746,-6.963,-20.478,-2.298,-4.117,29.688,31.385,-31.072,13.069,-8.405
5.49524,40.381,-11.459,-143.616,100.025,-10.231,-51.77,-12.714,-12.027,6.386,-16.624,-42.801,16.334
5.70127,35.355,33.699,-43.506,71.067,6.566,-31.58,-17.398,21.419,18.346,-29.88,-0.463,-8.788
5.82821,36.658,32.8,-131.159,97.305,-15.827,-31.195,-26.737,-8.312,-2.313,13.051,-51.967,0.098
6.021,41.4,-63.399,-95.768,-22.119,-9.556,-47.87,-6.335,19.254,18.628,-11.798,21.935,-3.151
6.14703,44.644,47.621,-64.03,141.407,10.081,-64.592,-29.102,17.576,18.057,-34.634,-60.979,-0.2
6.35048,32.188,48.139,-21.072,65.196,8.451,-46.905,-22.973,8.814,8.002,-13.234,-3.401,-11.343
6.47878,29.744,57.712,-127.067,135.632,11.308,-76.357,-53.775,-6.05,7.349,16.962,-41.622,5.944
6.65905,49.162,45.799,-19.224,65.382,3.254,-67.346,-30.579,12.726,11.392,-18.528,-16.935,-0.858
6.78608,44.179,-67.647,-75.757,24.669,-15.726,-49.019,-20.444,-46.675,-22.623,1.498,-15.661,-9.626
6.95197,41.395,-34.0,-44.903,-0.415,2.464,29.334,-10.93,40.614,12.941,-48.372,-25.971,-2.113
7.11011,44.254,-23.273,-99.97,15.627,-34.809,-33.248,-1.121,-61.53,-33.528,-3.859,-7.069,-19.167
7.28844,41.812,-99.663,-78.072,-42.368,-38.67,-30.62,-6.081,2.114,1.324,-20.346,2.15,-4.749
7.42739,46.507,4.749,-87.431,110.139,-2.826,-1.442,-20.695,2.831,8.849,-20.061,-23.573,2.743
7.65388,32.977,-64.236,-111.548,-17.108,-31.762,-71.364,-35.552,-33.027,4.923,22.149,-9.722,4.377
7.77401,36.854,28.162,-162.696,76.089,5.447,-63.633,-37.228,-54.044,-5.059,7.706,-66.014,21.714
7.96961,33.073,-58.367,-102.933,-6.602,-25.246,-33.431,-13.83,-40.589,-2.439,6.909,-0.387,2.687
8.07678,42.425,7.992,-141.319,53.932,-0.779,-16.654,-9.877,-2.646,21.945,-37.514,-8.655,10.531
8.28395,38.5,1.672,-71.706,31.692,-19.894,-38.268,-11.707,-10.656,10.969,-10.159,-15.482,2.772
8.39819,35.429,19.31,-164.529,66.833,24.168,0.065,-16.959,-48.651,20.278,-4.925,-28.6,2.852
8.59995,40.518,-75.003,-105.415,3.005,-10.286,-35.551,-7.39,34.392,17.183,-12.933,-0.573,9.359
8.73392,45.886,19.27,-82.404,136.884,4.358,-31.044,-28.658,3.525,13.172,-22.963,-49.511,3.611
8.95982,30.994,-29.636,-96.9,18.226,-27.65,-47.677,-16.358,-21.926,-0.447,-0.922,-13.525,3.871
9.08181,34.213,60.544,-151.658,62.61,12.05,-3.938,-18.752,-36.512,9.891,-7.468,-16.726,11.877
9.26036,45.745,41.597,-34.464,71.913,0.102,-64.286,-16.946,21.565,8.751,-19.197,-23.578,6.401
9.4044,37.778,100.066,-123.609,87.356,0.904,-56.396,-31.293,-32.518,9.385,-0.984,-55.772,22.853
9.58667,37.118,18.574,-53.66,57.307,-13.703,-7.399,-13.758,0.824,4.97,-12.152,-15.857,4.206
9.72444,40.504,-55.238,-135.058,53.149,-9.646,-32.895,-8.866,-2.297,9.837,-4.211,-15.346,7.006
9.93324,29.11,-8.628,-115.705,15.376,8.049,-91.38,-17.953,-40.494,6.572,26.586,-12.258,1.641
10.0571,45.169,38.915,-66.938,132.656,14.42,-51.428,-23.296,8.396,10.521,-25.818,-54.659,1.297
10.26213,35.348,16.946,-45.629,46.705,-1.799,-39.934,-5.239,1.599,11.122,-4.297,-26.504,-4.933
10.38127,33.384,72.126,-127.466,74.36,26.302,39.861,-18.952,-23.831,24.009,-10.754,-37.208,-3.167
10.56585,37.445,-66.052,-105.609,-21.971,-22.871,-16.521,-7.894,26.039,20.53,-28.544,18.018,-4.199
10.69601,42.088,-11.658,-156.934,55.539,2.082,-34.356,-14.007,-18.364,15.027,-37.985,-25.706,7.541
10.87152,37.791,36.358,-53.161,79.099,-2.852,-54.071,-15.66,1.315,9.27,-25.038,-34.337,-1.686
11.00807,38.718,36.857,-134.687,70.012,-2.652,35.535,-5.54,-16.426,-3.062,13.538,-11.757,4.773
11.20376,39.738,-77.963,-105.07,-13.092,-23.619,-50.892,-16.836,16.704,10.529,-15.512,2.276,-5.92
11.34562,44.743,39.143,-56.372,136.131,11.531,-47.381,-23.551,18.309,19.931,-33.328,-50.953,3.058
11.54612,30.652,45.799,-9.398,65.859,14.499,-56.473,-26.646,11.594,-0.076,-15.337,-8.968,8.831
11.67379,30.487,129.557,-71.632,149.968,32.801,-73.835,-59.449,-20.839,-11.837,-5.747,-44.353,14.025
11.84109,45.281,75.048,-60.48,153.084,19.786,-46.642,-52.222,75.244,13.254,-23.12,-39.878,-6.714
12.16145,38.082,48.283,-13.764,89.612,7.812,-53.091,-26.521,9.656,8.55,-25.815,-20.068,4.259
12.29465,39.375,-40.286,-154.315,81.591,-10.354,-32.149,-21.511,-11.814,13.515,-11.845,-16.396,4.308
12.48181,39.166,-70.51,-104.409,-12.363,-17.865,-36.763,-11.423,19.737,22.966,-19.237,24.937,-4.328
12.6181,45.821,47.827,-59.983,132.387,7.757,-60.687,-36.229,14.179,15.984,-28.689,-60.248,-1.607
12.82327,32.593,53.054,-23.044,60.078,4.999,-52.566,-28.758,10.158,2.457,-9.43,-12.358,11.518
12.93959,31.72,146.43,-62.724,109.546,36.117,-36.403,-29.777,-34.741,-13.998,4.324,-15.025,4.385
13.12041,41.084,-26.582,-97.002,20.241,-23.606,-11.991,-3.745,23.205,16.896,-15.695,8.198,-6.469
13.25261,51.08,27.55,-27.841,0.173,-10.724,15.695,-16.043,-1.374,-1.193,-15.207,35.127,-8.754
13.57188,47.462,-0.65,-29.406,40.691,-13.097,-26.049,-26.945,-32.775,-28.14,-17.937,-40.314,7.538
13.9093,52.876,36.716,-16.849,15.843,-9.733,-45.799,-20.533,1.537,-3.657,-15.139,-9.235,9.629
14.09488,49.082,13.25,10.525,41.68,-1.475,-14.093,-36.767,-5.736,-25.126,1.303,-13.577,8.622
14.24517,51.208,50.196,-4.167,-9.662,-9.617,-21.464,-30.804,-2.778,-3.492,4.402,8.447,2.614
