start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
0.36816,36.903,29.951,-22.679,-150.256,53.572,306.375,65.721,16.115,-28.243,66.006,20.33,0.196
1.12268,33.911,-22.333,-132.171,-36.429,18.911,-6.499,-25.855,2.984,8.307,-27.454,-16.24,-17.321
1.49982,32.226,20.228,-117.315,-22.422,20.254,-49.658,-41.041,-2.684,-9.135,2.789,-1.713,-3.642
1.6893,30.622,-31.597,-151.357,-91.469,19.605,-43.016,-15.142,-20.888,-1.285,38.456,-22.039,-6.592
1.86771,33.599,25.887,-126.508,3.818,-3.612,-78.372,-22.925,-7.086,-4.745,16.506,-19.905,-10.666
2.22104,35.216,39.408,-138.204,1.958,4.753,-14.364,-10.672,-3.904,-2.742,25.959,13.261,-7.23
2.58921,34.488,19.704,-125.008,-8.25,1.492,-42.718,-8.1,-15.464,-18.15,2.363,-4.417,-11.925
2.96367,35.159,33.481,-127.447,1.513,-12.881,-86.842,-21.97,-0.59,-10.09,12.363,-26.845,-9.058
3.16726,30.947,-24.055,-144.095,-72.071,6.781,-51.794,-25.091,2.765,2.394,18.263,-10.157,-14.808
3.33234,33.944,50.922,-117.408,19.45,17.678,-18.865,-36.816,-1.264,0.565,10.379,11.347,-16.283
3.70535,32.914,77.959,-108.164,17.773,7.46,-37.062,-22.464,12.235,-12.021,21.525,2.991,-18.913
3.88476,34.385,45.694,-126.064,-73.959,2.364,-37.219,-25.976,-13.912,-9.151,36.923,-7.823,-9.449
4.06925,36.656,22.991,-123.1,15.266,-22.421,-54.04,-25.622,-10.998,-5.138,22.849,2.258,-10.725
4.2458,33.341,25.83,-114.391,-58.641,-26.596,-50.339,-16.23,-7.62,-16.916,1.975,-9.284,-16.24
4.4395,38.733,86.472,-91.677,-14.379,-9.661,-70.63,-20.404,-2.587,-12.676,11.523,-12.803,-6.101
4.7615,37.217,70.189,-80.227,-71.898,-24.838,-7.194,-24.294,10.515,-22.235,6.477,-30.793,-12.06
5.18644,37.902,70.172,-89.258,-14.297,-28.867,-71.599,-25.738,-12.905,0.369,0.37,-19.594,-8.356
5.5444,35.816,71.291,-89.077,1.161,-8.047,-69.732,-43.609,-7.665,-13.222,18.008,-9.948,-6.465
5.90522,34.608,80.467,-84.749,10.468,-2.569,-17.21,-26.493,-3.701,-7.35,18.698,1.737,-16.572
6.0624,33.732,16.419,-127.243,-63.673,-12.781,-22.423,-21.675,3.553,-7.635,19.387,-3.442,-18.979
6.27066,36.788,73.86,-99.379,-3.778,-21.726,-82.295,-28.263,-0.015,-16.017,11.744,-20.056,-11.877
6.5922,35.061,75.32,-106.182,-93.804,-15.586,-14.662,-23.512,17.244,-5.215,1.47,-13.773,-13.833
6.99034,39.651,94.74,-101.038,3.761,-23.01,-22.535,-23.944,-22.048,-7.076,41.084,-6.952,-8.946
7.37102,37.53,57.355,-110.296,-7.12,-12.762,-93.983,-22.789,-4.712,-19.642,3.273,-24.571,-12.369
7.70698,35.373,74.808,-99.634,10.098,5.002,-15.925,-28.166,-9.772,-15.401,15.067,3.488,-13.377
7.90168,35.675,39.967,-62.364,-66.165,-13.356,-43.684,-17.7,15.973,4.171,-2.583,6.957,4.964
8.00317,36.581,124.396,-57.391,-47.114,-14.172,-48.139,-5.06,-10.044,9.573,9.475,-0.221,7.621
8.06689,37.204,113.411,-63.043,0.67,-10.986,-27.394,-19.449,14.817,7.895,17.355,1.169,0.805
8.25832,36.433,17.923,-111.877,-58.092,-27.568,-48.144,-38.778,-3.562,5.18,17.528,-8.106,-6.713
8.39243,36.493,39.85,-122.111,-50.773,-19.221,-7.086,-29.011,-6.965,4.803,-14.496,-31.476,-16.844
8.79787,37.872,89.948,-104.83,2.248,-4.446,-81.236,-23.431,-0.24,-2.011,19.953,-20.199,5.068
8.98023,33.808,24.312,-102.955,-41.164,-23.348,-47.722,-24.109,2.809,-0.412,12.254,-3.031,-4.8
9.13197,43.018,-60.639,-17.585,-31.66,14.048,49.594,-0.49,0.511,-1.4,25.635,8.794,2.054
9.3566,43.023,-103.694,2.299,-19.486,-10.182,-26.409,-12.363,-7.896,-17.334,-1.608,5.856,7.911
9.49764,43.075,-44.719,-58.519,36.65,43.583,-16.532,8.064,22.162,21.786,-31.074,-3.25,8.651
9.71202,45.699,-11.827,-3.717,15.88,24.908,13.331,-43.84,-0.316,2.788,18.294,-14.271,-3.287
10.39098,42.578,-47.259,-6.973,-42.205,21.43,46.436,5.471,-0.433,1.38,35.724,-10.844,-6.963
10.57642,45.168,33.048,-20.234,-46.196,-10.471,-2.24,-20.153,-14.922,4.485,-15.6,-4.531,3.809
10.95424,44.387,-7.365,-46.632,32.097,22.623,0.674,-25.836,17.2,2.834,31.517,-67.427,17.604
11.3078,43.841,-8.624,-34.826,-35.449,21.078,4.713,16.11,-57.061,-2.861,37.527,12.454,-0.502
11.61932,42.864,-57.998,-34.745,-9.784,26.248,-18.509,-17.89,30.421,9.657,-12.076,-39.602,4.535
11.84898,42.932,-22.69,16.758,-133.149,13.965,4.393,19.693,-4.274,9.226,13.798,-12.394,-3.241
12.24222,45.744,-38.856,36.052,-20.929,27.926,-28.319,-17.838,-2.955,32.718,1.373,-6.279,-2.463
12.40009,45.612,-32.958,8.168,-27.725,26.359,-17.64,-30.162,-38.719,-9.436,23.073,-15.285,-13.761
12.74249,45.465,-65.521,-32.165,-15.334,38.357,-27.792,-22.743,-25.997,13.785,-18.673,1.127,-34.679
13.11896,44.697,-67.0,-38.397,-3.567,85.847,-41.95,-30.09,-39.178,6.291,7.806,1.358,-17.597
13.48444,44.344,-72.448,-57.102,-18.453,71.474,-49.374,-19.857,-34.218,15.361,13.674,9.705,-21.261
13.86331,43.389,-71.896,-54.428,-2.997,76.745,-72.465,-36.082,-34.088,17.694,24.609,-7.954,-8.335
14.19937,42.525,-92.617,-45.969,-25.234,95.744,-15.864,-26.656,-13.636,27.184,-27.68,-8.658,-10.38
14.59918,41.004,-42.5,-53.776,-7.837,78.871,-78.346,-43.25,-33.846,5.784,32.191,-22.316,-7.209
14.76739,39.451,-119.466,-64.487,-45.493,68.942,-49.267,-5.961,-20.708,11.941,17.39,-7.494,-17.331
14.95891,41.373,-51.067,-69.145,-6.536,71.16,-73.149,-33.863,-28.737,11.43,37.28,-28.862,-9.336
15.30349,40.618,-29.836,-90.793,-30.711,63.261,-4.924,-9.129,-30.969,33.822,-20.689,1.436,-21.531
15.68454,40.749,-22.458,-109.777,8.651,45.364,-56.294,-20.67,-33.041,6.676,17.781,1.481,-20.788
16.05442,40.178,-12.965,-100.182,-0.089,42.341,-61.571,-20.089,-40.06,7.78,27.2,-13.596,-25.119
16.24168,36.459,-65.353,-91.699,-43.514,15.335,-67.602,-19.388,-3.988,-3.261,8.411,-17.96,-27.541
16.41356,38.678,16.993,-94.717,5.132,46.816,-38.878,-30.155,-42.177,-4.869,15.698,11.897,-14.268
16.75814,38.124,-27.859,-97.496,-32.202,34.531,-16.558,-21.191,2.651,8.164,-0.802,3.47,-13.242
16.95687,39.177,-20.465,-114.892,8.186,1.152,-75.753,-31.676,26.489,1.475,-5.534,-16.359,-4.215
17.31211,38.855,27.425,-115.234,-41.616,-11.55,-22.031,-10.379,11.461,-19.232,19.205,1.399,-16.837
17.50435,40.018,79.72,-96.593,11.581,-15.667,-89.554,-17.569,-4.694,-13.319,17.269,-20.97,3.454
17.68834,36.174,36.485,-88.611,-40.577,-27.699,-53.0,-14.082,1.931,-20.08,0.567,-10.21,-6.35
17.86807,47.553,-26.73,-1.505,-12.802,-17.901,-27.664,2.606,22.593,-15.901,-8.543,-14.439,9.501
