start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,21.737,31.446,47.72,-26.007,61.415,-20.013,-45.555,-6.376,-7.489,13.351,14.094,-16.449
0.09215,24.516,8.318,40.219,-31.003,67.384,-31.599,-56.443,7.413,-3.253,13.254,-1.631,-7.963
0.34254,26.255,40.333,27.439,-31.378,53.205,-40.701,-47.542,6.171,5.193,-0.553,5.632,-13.807
0.56299,27.848,54.97,25.346,-27.631,56.961,-38.909,-47.315,1.931,6.335,3.76,1.019,-7.281
0.71397,28.784,61.242,13.554,-26.104,39.399,-38.692,-31.914,5.157,1.848,4.446,-6.755,-5.084
0.8595,29.72,60.705,14.695,-44.279,32.78,-20.385,-45.633,1.135,-9.177,9.603,-7.942,-10.856
1.05048,31.545,70.204,43.888,-54.082,40.037,-23.139,-10.398,-15.349,-15.996,16.075,-7.483,5.887
1.2137,35.342,77.738,39.458,-8.421,41.494,-9.244,2.294,16.213,1.554,0.702,-15.261,20.787
1.65406,36.387,34.593,29.632,-11.594,61.555,-21.421,-11.38,10.422,12.449,23.397,-14.731,7.916
1.79946,37.836,60.069,25.913,-27.061,28.19,-3.257,-51.947,16.951,-16.056,-5.302,-16.935,-20.095
1.99664,40.074,86.584,59.693,-74.846,52.897,2.112,7.801,-4.253,-20.798,27.528,-12.56,2.81
2.14776,43.229,100.283,64.46,19.499,51.011,-1.934,6.445,16.785,-3.15,-2.278,-30.321,22.881
2.58907,42.53,26.941,42.646,-3.725,66.992,-20.361,-15.679,19.13,9.91,30.866,-7.466,9.992
2.73923,44.015,57.606,35.096,-16.632,40.604,-0.065,-69.362,23.931,-8.278,-12.829,-20.643,-17.626
2.93197,45.527,91.382,57.568,-82.197,50.076,6.276,3.274,-15.117,-27.1,33.108,-14.484,1.332
3.08839,49.879,112.676,98.367,-2.978,48.542,-21.443,36.468,10.535,2.993,-5.239,5.133,17.003
3.19297,49.097,98.284,41.453,68.336,41.73,-23.784,-6.383,9.853,-2.228,1.753,-44.324,27.955
3.5307,46.713,17.636,41.323,7.491,65.745,-30.383,-12.101,27.528,22.408,24.527,-13.276,3.499
3.67447,48.133,48.988,43.425,-20.085,40.21,-1.836,-67.316,25.998,-6.229,-15.494,-19.04,-18.302
3.86612,49.204,88.579,68.647,-78.872,57.459,4.585,-2.369,-13.917,-29.13,21.614,-7.674,4.696
4.02295,52.303,107.833,90.02,28.0,68.26,-5.679,1.963,8.032,-4.051,-4.493,-28.981,29.538
4.40753,48.039,63.367,51.14,-49.963,39.348,-11.605,4.197,-32.228,-2.592,33.512,-27.07,10.427
4.60295,50.359,46.527,29.997,-22.103,37.184,0.113,-62.284,35.333,-11.732,-3.618,-19.756,-17.063
4.83556,54.322,79.13,72.246,-21.807,67.337,15.096,-2.464,11.341,-9.887,2.91,-0.889,-0.471
4.95125,54.669,99.009,74.421,26.106,59.055,-6.45,3.008,19.764,-1.924,-4.608,-36.304,25.012
5.36349,54.816,81.815,-11.032,9.389,44.364,-5.475,-3.402,12.391,5.479,32.947,-0.179,-0.264
5.53819,50.994,44.774,58.888,3.646,66.354,11.948,-91.475,34.374,-11.271,-28.707,-28.285,-12.273
5.75859,55.439,63.884,69.38,-26.763,74.073,26.899,-14.106,-0.648,-23.7,11.05,-5.64,13.488
5.91102,56.687,83.675,31.536,28.349,26.917,-19.654,27.471,11.816,7.286,-5.185,-47.753,22.645
6.29887,52.095,111.833,-48.231,39.133,4.859,-26.191,-8.423,40.006,4.578,-0.907,3.666,14.087
6.53633,48.014,67.964,-74.994,41.179,42.981,-24.251,13.967,27.89,-9.822,50.679,-14.314,16.773
6.73347,43.213,70.309,-80.332,24.857,24.162,17.475,-1.717,16.57,-1.316,13.508,-39.239,2.945
7.19243,41.366,127.799,95.338,-164.88,35.756,83.125,31.24,21.943,-24.725,7.712,-53.125,21.592
7.47692,54.107,65.697,58.962,28.976,36.964,-4.262,-2.482,4.014,-17.175,22.827,0.279,26.255
7.86952,54.223,107.562,1.455,-36.654,32.018,3.071,-55.736,-32.581,30.905,13.821,-25.265,-9.925
8.06839,53.923,105.658,-34.839,7.168,18.373,-0.736,-41.307,18.924,3.954,-7.299,-27.538,-4.706
8.42091,51.364,-26.047,0.977,14.053,17.772,-72.342,8.451,-7.32,-30.164,22.257,-0.171,0.15
8.49397,52.577,3.455,-10.299,-36.53,65.306,-24.691,-8.302,-2.231,49.443,4.933,-13.3,-10.888
8.73333,50.047,-44.105,-13.352,-44.046,90.847,-38.839,1.831,-6.251,14.019,-7.548,-6.498,-14.217
8.84127,50.72,-34.291,4.705,-27.858,102.852,-48.425,-14.072,21.542,16.752,-4.84,-13.091,-4.908
