start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,11.866,15.703,-3.959,-222.374,59.107,31.506,47.757,-123.248,-49.187,67.949,-45.241,14.549
0.22503,31.007,46.213,-118.167,48.087,65.505,-104.089,-48.658,0.241,-12.463,10.502,-20.812,3.624
0.40109,34.672,122.91,-48.873,-24.196,101.488,-47.587,-62.756,-14.053,-7.933,17.126,-1.753,-17.769
0.56912,33.755,102.984,-99.26,-43.504,49.699,-46.085,-47.45,-16.056,-24.008,27.052,-2.826,-9.946
0.7429,31.386,94.317,-56.351,29.171,61.969,-96.741,-62.607,38.699,-12.006,-12.633,-9.747,2.259
1.06816,32.365,155.846,-61.84,-57.877,60.268,15.664,-17.804,-3.57,-8.839,4.535,13.853,-6.961
1.25964,33.245,109.701,-32.757,36.132,68.804,-72.813,-59.579,-10.198,-0.812,-12.187,-9.163,7.026
1.60812,33.413,36.872,-94.821,8.337,33.156,-89.983,-53.15,-13.769,-11.151,22.534,-6.227,9.72
1.77633,34.648,128.41,-33.958,-15.948,82.262,-35.372,-58.677,-16.168,-10.731,8.888,0.579,-18.796
2.12463,34.116,35.981,-87.931,-1.031,41.889,-78.523,-44.416,15.654,-11.07,7.574,-18.068,-0.739
2.46159,32.632,169.455,-29.825,-28.143,53.425,-33.706,-10.745,-21.904,-24.324,-12.964,7.638,-12.697
2.64104,33.798,104.463,-7.211,30.207,46.221,-78.39,-34.917,5.532,-38.64,-11.048,-5.358,-6.526
2.82145,31.58,-7.312,-85.603,-40.756,29.998,-48.36,-27.065,4.418,-19.545,15.969,3.574,13.725
2.98431,32.476,52.281,-69.884,37.786,52.182,-88.1,-36.494,-11.787,-18.865,11.598,-12.469,-13.073
3.15787,34.01,140.585,-26.647,-18.954,93.324,-36.272,-59.507,-15.122,-28.271,11.875,1.03,-24.743
3.32617,34.344,77.204,-65.373,-15.126,27.366,-30.81,-32.86,-18.36,-42.929,32.73,-4.636,-13.429
3.50041,32.274,77.754,-50.887,36.013,51.109,-89.081,-50.072,24.687,-20.784,-15.818,-4.304,-2.48
3.84281,35.218,108.805,-90.532,-52.727,53.451,-9.537,-23.882,-19.139,-31.488,38.268,6.905,-11.808
4.0171,33.427,83.672,-36.688,40.514,57.367,-72.43,-50.118,-12.34,-27.504,-5.732,-10.655,-10.414
4.36018,33.748,21.434,-98.669,11.975,45.974,-58.812,-34.177,-27.879,-29.005,30.26,4.345,4.088
4.53429,33.701,125.883,-46.686,-13.08,84.015,-32.747,-51.004,-15.099,-24.655,1.485,-4.588,-17.946
4.88218,33.343,44.422,-87.754,10.44,45.876,-75.246,-50.132,22.078,-18.88,6.357,-14.29,7.586
5.22467,35.591,90.567,-89.651,-36.598,60.106,-10.622,-31.874,-17.956,-32.48,37.21,-4.719,-10.818
5.58417,31.322,-15.73,-103.007,-58.598,35.908,-42.568,-32.839,-2.162,-8.669,25.157,2.936,7.241
5.73914,33.45,28.341,-105.171,23.01,38.961,-87.479,-22.395,-15.155,-14.908,11.162,-3.839,1.401
5.91247,35.114,110.335,-52.601,-30.244,91.593,-40.88,-48.431,-19.388,-16.575,11.962,-0.178,-21.831
6.08957,34.475,52.536,-90.424,-31.545,29.675,-50.975,-41.605,-18.665,-28.907,28.75,-10.151,-8.311
6.25764,31.965,77.725,-40.55,26.545,66.386,-83.237,-41.409,14.972,-13.463,-6.03,-8.163,-0.811
6.60027,34.424,118.918,-82.752,-50.995,56.363,-13.342,-25.542,-27.559,-29.484,23.245,5.399,-5.317
6.77429,33.37,77.979,-24.41,37.002,75.961,-71.092,-38.665,-22.42,-16.601,0.935,-7.475,-3.588
7.12286,33.34,23.722,-80.702,9.698,65.235,-75.489,-50.181,-35.955,-29.042,23.607,-17.983,9.718
7.29088,35.174,91.134,-53.599,-24.268,99.195,-29.857,-44.965,-26.866,-11.703,6.725,3.077,-16.436
7.6395,33.888,33.297,-87.341,10.793,50.338,-78.064,-32.062,20.058,-10.468,12.085,-17.228,9.632
7.981,32.851,157.146,-43.172,-25.761,67.937,-42.563,-11.165,-19.95,-19.852,0.8,-0.368,2.657
8.15596,32.894,97.723,-19.312,34.335,80.002,-77.364,-48.719,0.978,-22.339,-4.845,-2.165,5.368
8.342,32.151,-27.536,-93.362,-59.645,39.085,-49.499,-31.166,-7.773,-5.723,17.083,-0.707,-3.914
8.50399,32.646,32.056,-67.116,27.954,68.394,-92.629,-45.905,-13.861,-11.921,16.671,-22.397,-2.288
8.67846,35.679,92.668,-41.326,-21.572,120.96,-48.234,-68.747,-17.318,-8.483,15.002,-0.726,-13.809
8.84671,34.763,42.558,-95.761,-23.165,43.293,-52.389,-43.019,-13.806,-19.562,30.023,-2.701,-9.923
9.02095,32.389,77.739,-35.66,7.316,69.737,-93.294,-48.269,23.494,-5.712,-9.928,-12.504,-3.952
9.19506,27.882,101.527,-33.386,8.733,65.623,-64.75,-6.982,-33.451,-22.281,36.28,-6.759,19.255
9.35764,34.53,107.274,-92.691,-44.229,62.982,-10.514,-24.814,-15.425,-19.829,23.378,11.602,-3.275
9.5376,33.457,83.634,-44.861,13.67,56.159,-86.53,-35.417,-14.455,-17.41,-3.753,-6.407,-5.122
9.72363,31.006,-4.673,-16.064,-42.393,94.547,-50.229,-33.227,-16.647,-1.202,10.938,0.804,-4.068
9.88018,34.163,10.002,-78.457,13.63,69.651,-73.788,-38.719,-34.225,-28.282,25.046,-16.781,12.769
10.05465,35.701,79.24,-57.113,-5.826,110.63,-40.954,-65.59,-13.091,-9.279,11.095,-9.62,-8.23
10.40249,33.191,39.78,-83.9,3.844,51.436,-73.748,-45.285,20.541,-15.241,4.29,-22.104,10.494
10.74417,43.872,39.349,34.988,-22.984,77.281,16.655,30.956,-0.688,-40.366,59.694,21.137,-1.25
10.98893,44.822,31.0,92.388,13.615,30.367,-24.778,28.686,17.739,9.851,8.173,-16.124,4.173
11.09338,44.936,50.77,19.525,8.69,62.514,-33.51,40.641,-16.778,-24.289,24.809,-12.763,3.196
11.43587,43.033,82.073,34.761,13.077,116.322,-31.844,3.114,-12.92,-24.233,16.257,-5.103,6.766
11.61034,39.936,51.89,-3.656,23.325,82.837,-54.11,13.695,40.247,-20.409,3.561,-10.643,10.188
12.12671,37.565,133.105,-80.811,-15.338,72.266,-48.843,-13.517,-15.851,-9.214,24.36,-6.907,19.057
12.29492,35.501,128.237,-33.468,-20.878,93.423,-74.778,-43.782,30.475,-23.929,-6.871,-6.036,9.118
12.47488,35.633,131.789,-49.502,-12.374,115.246,-57.938,-40.711,-42.112,-21.243,13.576,-12.666,-1.95
12.64313,34.821,-6.441,-107.326,-3.231,62.636,-80.797,-36.216,-28.11,-17.076,29.748,-17.653,6.498
12.81079,37.879,112.354,-52.498,-9.927,117.96,-40.473,-53.946,-27.984,-4.31,8.432,-4.469,-2.423
13.07252,36.109,129.103,-53.271,-26.742,116.505,-68.006,-33.451,-28.73,-13.348,7.103,-7.822,-5.493
13.15986,37.229,82.383,-118.643,21.944,79.398,-57.416,-28.816,-7.579,-13.964,9.189,-19.462,11.591
13.50259,34.401,197.92,-46.407,0.211,65.997,-45.807,-6.085,-14.937,-20.222,2.404,-12.521,21.577
13.67651,35.402,133.456,-33.382,-35.156,90.933,-81.638,-41.92,28.374,-18.194,-5.169,-1.607,11.72
13.85066,36.966,104.728,-102.0,-20.0,87.207,-35.753,-31.693,-26.104,-23.187,36.164,-6.776,2.069
14.01968,32.768,38.541,-66.466,25.441,78.599,-87.243,-46.407,-23.121,-18.766,6.914,-11.096,5.453
14.19374,36.844,133.357,-50.483,-9.603,124.606,-38.107,-71.809,-29.224,-6.95,20.514,0.52,-4.699
14.36762,35.309,91.815,-84.338,-9.68,78.294,-45.98,-45.535,30.982,-11.797,12.199,-9.962,4.763
