start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,2.362,119.098,-50.214,-49.68,34.246,-48.455,4.402,8.571,-28.534,3.932,-5.434,-4.466
0.24295,3.893,84.519,-50.471,-71.243,53.389,-46.32,-1.664,-18.229,-19.812,13.876,-7.882,-17.297
0.56902,7.202,16.87,-59.947,-65.406,86.663,-54.482,-3.267,-6.873,9.777,17.632,-14.012,-27.56
0.77678,9.797,-28.396,-42.09,-68.432,113.112,-53.825,15.647,-11.949,14.867,21.371,-13.598,-24.099
0.98744,12.462,-71.66,-36.285,-52.665,124.078,-61.828,24.261,2.075,11.929,13.404,-12.173,-22.838
1.1195,14.323,-90.701,-5.205,-44.592,129.514,-53.353,27.335,2.874,-5.58,8.784,-12.138,-30.305
1.27746,16.105,-105.826,4.998,-58.854,115.068,-55.704,26.398,2.162,-9.454,8.8,0.494,-32.063
1.49714,20.863,-113.0,45.435,-37.59,67.198,-41.832,9.16,5.141,-17.688,7.338,-5.767,-32.124
1.62558,24.816,-108.938,51.29,-35.155,27.994,-29.709,8.352,-14.377,-22.424,8.316,-3.91,-7.177
1.79329,27.447,-102.806,27.282,-14.431,11.189,-33.787,-2.703,1.671,-10.283,-13.376,15.765,1.565
1.86925,31.478,-107.126,49.144,-54.815,14.732,-31.857,0.263,13.416,-8.308,11.915,6.205,-1.043
2.11274,35.605,-106.683,34.386,-18.22,7.554,-22.227,4.354,8.731,-5.822,-3.067,0.719,-12.932
2.30966,37.081,-98.58,17.935,-20.5,-5.105,-38.205,-3.375,-20.281,-15.129,10.858,2.958,-5.245
2.42585,38.108,-119.747,25.49,-26.484,-2.227,-22.687,-0.551,16.774,-8.597,-26.536,-7.28,1.021
2.60032,37.813,-109.563,15.566,-16.319,-1.379,-31.628,-1.144,-7.205,-0.154,-19.839,6.201,-12.901
2.798,37.939,-105.361,25.796,3.07,6.632,-41.439,-1.993,-3.818,-8.974,-17.042,11.438,12.122
3.04803,36.007,-94.809,40.658,-3.459,16.532,-29.03,6.712,1.433,-4.959,-5.013,1.149,15.462
3.2444,36.678,-117.75,16.278,4.579,5.358,-29.781,22.935,-31.664,-10.261,-4.972,6.874,41.073
3.361,36.37,-156.766,34.159,-12.98,21.693,-34.046,20.929,20.399,12.103,-19.038,6.398,1.389
3.74209,35.321,-161.792,11.475,-29.462,5.71,-39.454,13.139,5.977,2.764,-3.073,-4.388,-3.255
4.15506,34.68,-204.584,0.056,-28.561,13.437,-43.948,11.449,15.029,1.544,4.422,-5.534,-3.582
4.4093,35.127,-215.908,-0.682,-16.335,-0.902,-43.298,21.903,6.664,-4.685,2.028,5.73,-0.721
5.01492,33.059,-193.988,-10.3,-38.431,-13.698,-35.372,22.062,18.029,-4.757,-13.332,-10.703,8.19
5.1985,33.845,-220.958,-12.925,-36.198,-7.113,-40.745,17.177,6.661,-1.993,-7.948,8.26,-13.301
5.62045,34.034,-225.525,-16.207,-43.409,-10.624,-43.489,20.789,6.996,-5.968,-2.799,4.829,-2.522
5.87596,35.226,-206.134,-3.589,-22.533,-19.341,-30.952,36.554,0.182,-21.763,-17.098,7.69,18.234
6.15506,35.449,-220.036,-10.303,7.898,-0.686,-40.903,23.414,2.097,-12.628,-15.213,0.441,6.858
6.61837,32.904,-221.734,-7.392,-19.291,-5.146,-34.687,33.574,13.128,-12.329,-14.527,-10.677,11.005
7.58639,32.245,-252.65,-33.76,-30.887,5.869,-56.143,28.771,-0.324,-6.104,3.554,-2.571,-11.314
