start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.857,155.327,13.219,-50.265,60.606,-53.331,14.935,-20.56,-31.274,-1.274,0.771,-3.832
0.25488,44.226,38.11,99.922,-93.428,47.27,143.706,-5.811,55.445,-23.478,-7.111,78.517,-16.101
0.74281,46.19,99.945,143.804,142.704,33.622,-10.997,1.92,10.152,-19.365,-17.39,-70.971,2.288
1.13769,43.337,81.929,98.845,-7.755,34.976,156.305,-3.693,28.377,-42.475,4.872,19.474,-14.748
1.45683,42.101,-14.706,43.127,-22.76,-13.556,-10.977,-41.934,-8.126,-55.227,-9.034,1.794,13.712
1.55619,51.294,99.929,6.415,99.195,-1.68,-21.411,6.289,41.434,-39.802,5.39,-40.774,9.327
1.95039,41.995,157.616,0.304,-10.33,47.795,100.074,34.803,-61.175,-37.571,40.927,-123.366,41.859
2.42082,50.691,87.203,0.918,125.372,28.579,1.725,-18.429,10.257,-22.413,-6.916,-60.872,12.621
2.85011,53.347,112.524,20.812,31.657,4.242,-0.556,10.653,-4.3,-34.838,5.168,-1.675,-13.587
3.15764,46.434,46.144,46.762,21.659,-9.507,-23.646,-33.758,-9.851,-19.853,-5.067,7.641,36.038
3.24952,50.493,84.54,21.879,53.695,19.028,29.174,2.06,-26.287,-16.386,18.859,-20.594,6.626
3.70331,50.351,120.842,17.507,15.002,32.028,23.84,17.452,-10.365,-22.241,-1.706,-26.793,21.381
3.95351,49.635,92.803,118.088,-12.496,48.411,-17.406,-10.023,14.286,-6.48,2.225,7.423,10.192
4.12726,52.671,83.843,34.371,75.633,58.488,-21.889,-9.228,-8.415,-3.283,1.711,2.767,3.556
4.49297,47.534,60.303,109.641,-24.06,82.098,-3.992,8.569,40.503,-7.105,10.114,-41.97,-1.61
4.98649,50.868,105.126,4.877,95.397,8.776,-9.757,11.403,42.946,-40.715,22.205,-33.698,-0.636
5.38113,42.345,156.102,-0.323,-3.203,45.911,101.291,33.459,-55.294,-37.501,43.097,-120.209,39.158
5.85134,50.854,84.84,2.993,125.944,26.757,-6.155,-18.838,8.459,-21.92,-11.956,-67.606,11.811
6.28073,53.7,113.863,21.895,31.735,1.236,-14.174,9.296,-0.982,-30.952,0.115,-8.766,-14.471
6.57764,46.534,49.107,51.556,10.629,-7.052,-11.176,-33.278,-2.411,-16.557,-12.787,6.61,35.084
6.68145,50.722,84.977,22.419,55.984,19.062,21.717,2.894,-25.364,-20.286,23.638,-21.436,5.46
7.14014,51.297,124.902,23.528,14.276,28.859,6.287,17.114,-9.222,-29.779,7.003,-24.614,22.566
7.36104,49.281,82.663,110.164,-23.794,38.996,-35.5,-4.417,6.933,-5.168,5.092,1.705,1.169
7.5522,52.285,76.783,36.127,80.165,61.373,-14.597,-5.688,-14.431,-0.13,-3.277,-0.644,5.719
7.94127,50.221,104.203,105.346,24.324,67.055,14.392,4.196,19.902,-5.33,0.291,-41.125,6.051
8.37079,46.786,136.086,47.669,8.292,67.237,28.722,13.006,4.618,-34.523,17.536,-74.032,4.373
8.81202,44.152,156.433,17.594,-32.027,48.337,103.858,42.336,-57.611,-38.697,49.009,-100.46,36.599
9.21125,36.934,54.856,81.858,-149.611,-0.996,50.716,23.88,7.208,-4.283,2.751,-63.317,20.086
9.70576,52.921,109.609,19.045,35.717,7.246,10.257,11.639,-5.734,-33.755,10.627,4.581,-12.874
10.03098,45.81,39.992,39.171,14.795,-12.502,-51.555,-43.307,-9.022,-18.19,0.176,-1.939,39.221
10.10667,50.303,84.397,21.358,49.658,20.223,33.43,1.73,-27.203,-14.845,16.948,-20.622,7.624
10.55964,50.115,118.891,16.721,13.847,33.006,26.752,18.524,-12.209,-20.164,-4.471,-26.303,21.134
10.81469,49.877,92.348,120.543,-9.57,46.608,-20.475,-11.835,15.177,-5.689,-3.161,-0.32,11.033
10.98358,52.554,82.944,35.446,76.9,60.979,-17.932,-8.372,-9.402,-3.472,1.537,3.294,3.022
11.36036,47.707,60.58,113.013,-18.576,78.494,-2.037,8.682,42.74,-5.227,5.833,-43.187,-0.947
11.84213,50.725,106.506,3.673,95.525,11.207,-4.845,10.972,43.872,-39.478,25.952,-30.712,-0.732
12.24263,43.083,149.048,-0.427,8.437,45.28,111.094,31.894,-47.894,-38.547,49.207,-114.489,38.197
12.70694,50.751,86.707,1.914,124.99,27.949,-1.48,-18.652,10.307,-21.816,-8.625,-63.328,11.92
13.1371,53.396,110.767,21.166,32.967,3.12,-4.586,9.871,-5.864,-35.092,2.518,-5.607,-12.673
13.4444,46.419,48.175,45.351,20.835,-9.32,-24.242,-35.894,-7.983,-17.902,-4.808,6.825,36.455
13.53791,48.187,105.075,11.702,103.084,-0.859,42.182,-5.416,2.203,-20.249,14.135,-55.454,7.337
13.99578,52.609,108.818,22.677,46.733,15.769,-23.829,10.114,5.836,-24.213,-1.074,-7.037,-12.882
