start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.24,172.872,15.77,-31.788,52.015,-47.025,14.331,4.693,-30.003,0.048,-10.147,-11.331
0.06372,26.593,110.126,6.902,-200.83,90.584,206.767,44.345,0.672,-25.951,43.32,-43.922,8.525
0.21478,38.48,128.661,54.465,-68.767,14.673,-16.739,-12.348,-1.248,-12.649,0.916,19.375,-10.885
0.42943,44.119,85.07,-8.735,-19.62,-10.395,-30.82,-35.298,-3.488,-15.939,11.81,7.614,8.467
0.63288,42.865,79.302,-14.143,-19.937,-13.821,-33.64,-44.247,5.089,-10.057,4.234,2.166,7.231
0.75478,42.267,76.196,6.879,-20.631,20.265,-17.325,-60.157,-18.173,-8.038,29.942,-4.921,-4.503
0.96952,40.202,89.181,20.425,-0.754,17.035,-45.205,-74.163,-2.054,-2.555,-7.591,-2.357,-0.462
1.08571,39.524,70.097,-14.366,-34.891,-13.198,-23.743,-56.611,-25.715,-16.011,25.907,-7.595,6.754
1.47447,39.44,81.716,-54.738,-13.542,46.418,-51.638,-53.534,-31.496,-8.461,19.304,-15.646,-2.896
1.61973,36.379,36.858,-24.612,-32.152,39.66,-24.061,-63.179,2.497,6.526,26.278,-10.412,-1.456
1.81692,36.83,-18.401,-91.237,-30.619,29.817,-50.399,-57.042,-20.95,4.334,21.02,-7.558,0.648
2.14118,32.558,-41.444,-77.407,-17.725,29.529,-36.172,-31.019,18.841,23.86,26.587,-2.725,-5.337
2.33406,29.983,-61.057,-44.281,-30.003,45.255,-35.317,-19.984,-0.774,20.443,6.477,-21.824,9.56
2.48522,29.805,-142.267,-84.658,-39.667,42.002,-27.776,-24.729,10.722,2.78,30.52,-1.552,18.622
2.66413,28.581,-172.385,-70.449,-40.95,34.013,-34.08,-14.63,4.296,12.43,9.442,-10.55,18.456
2.83143,34.955,52.633,-151.839,-2.313,110.693,-65.141,-29.598,-22.218,0.359,29.903,-30.857,28.343
2.98172,29.179,-14.609,-127.015,-60.597,118.911,-54.404,-17.147,12.599,-8.876,8.318,-8.96,16.218
3.159,31.46,-26.723,-145.072,-46.762,115.908,-9.277,-9.792,-14.039,-4.202,31.901,1.981,20.818
3.35424,30.816,-114.248,-126.539,-63.057,108.583,-48.254,-5.553,18.612,-25.073,-0.358,-6.386,15.317
3.50154,33.919,-122.782,-61.155,10.308,81.77,-22.521,-21.413,9.904,2.157,-9.609,-6.531,-12.493
3.84422,28.239,-189.99,-71.403,-28.664,70.435,-34.829,-3.036,6.963,-22.715,4.182,-1.896,4.784
4.03492,28.096,-241.362,-59.697,-24.867,56.518,-35.921,6.902,31.697,-16.142,-8.166,-7.234,1.484
4.1898,36.285,34.171,-107.967,24.307,135.085,-41.23,-11.153,-25.545,-3.507,12.834,8.556,23.273
4.3781,31.683,-46.967,-80.877,-43.38,127.459,-62.947,-5.038,17.264,-24.431,-7.7,-13.727,24.272
4.54018,33.135,-52.173,-135.584,-26.808,103.099,-74.354,-29.254,-1.192,-22.402,17.335,-8.266,27.131
4.72068,31.07,-102.031,-105.857,-49.766,82.138,-49.649,-7.782,26.251,-34.321,-10.588,-15.813,1.743
4.85882,30.468,-108.037,-85.711,-31.383,102.477,-12.894,7.951,13.806,-37.448,8.362,-15.185,12.446
5.0439,28.841,-125.574,-33.01,-26.521,96.894,-33.345,2.749,24.281,-44.356,-6.491,2.604,-0.243
5.18998,27.386,-174.942,-51.236,-46.659,82.647,-33.667,16.193,-10.619,-37.23,14.958,-20.332,8.356
5.39968,28.061,-231.569,-65.126,-13.058,41.949,-37.225,-2.018,32.166,-25.818,-10.365,-2.72,3.935
5.56172,36.121,28.655,-101.756,24.318,126.394,-75.973,-9.667,-35.377,-9.603,31.159,-9.923,21.266
5.88054,32.894,-31.886,-95.938,-50.361,114.201,-2.294,7.19,-25.098,-23.218,2.403,-6.297,20.912
6.05383,32.445,-102.267,-62.564,-52.886,94.095,-39.822,26.015,2.021,-41.679,7.556,-8.753,11.231
6.21651,32.619,-117.034,-31.452,-34.494,101.392,-17.129,4.864,3.184,-16.06,-8.277,-13.595,3.418
6.55855,31.69,-190.524,-32.451,-38.897,50.878,-3.932,0.264,0.634,-36.698,14.708,-8.277,-0.601
6.739,29.872,-210.221,-17.699,-47.333,26.803,-11.817,2.765,5.989,-18.146,-4.025,-10.233,3.029
6.92145,37.718,24.993,-88.804,26.427,115.806,-48.511,13.449,-23.371,-15.103,15.077,2.49,20.503
7.10535,34.44,-45.67,-16.986,-6.805,102.539,-42.045,18.174,24.994,-46.068,-3.101,-14.046,-1.233
7.22707,35.942,-62.87,-58.41,-47.877,88.433,-17.709,24.403,-7.152,-35.325,-10.985,-21.961,9.45
7.44603,35.574,-130.562,-50.763,-25.019,74.007,-47.894,8.641,30.223,-32.661,-6.064,-15.286,5.662
7.58141,33.612,-107.067,-15.946,-18.841,75.704,-9.283,14.037,21.799,-37.931,-8.432,-22.308,-1.943
7.78562,32.877,-107.033,23.578,19.361,45.088,-35.886,23.382,21.026,-35.691,-14.537,-17.851,4.571
7.9127,33.157,-166.942,10.003,-21.544,35.024,7.526,17.161,-4.868,-37.317,15.332,-17.197,16.189
8.09274,32.908,-200.351,22.958,-43.021,25.18,4.461,25.109,14.11,-11.96,-2.595,-16.8,14.28
8.25465,36.351,-30.057,-33.602,-51.117,92.383,50.117,29.486,25.147,3.974,-93.907,-6.62,12.599
8.4698,35.886,-45.025,6.807,12.163,84.448,-46.449,17.945,30.605,-30.071,-12.49,-17.351,1.888
8.62535,38.11,-54.626,-38.968,17.839,70.005,-35.683,13.251,1.125,-57.116,10.194,-6.143,9.216
8.81279,36.505,-107.393,-14.095,-15.855,49.338,-31.371,25.217,15.432,-41.406,-9.501,-6.775,7.665
8.95202,37.419,-128.751,2.335,-10.692,65.96,-7.437,6.495,15.997,-19.953,0.877,-9.316,-10.292
9.14776,35.725,-112.494,32.748,27.749,28.761,-50.896,-8.892,17.01,-24.576,-21.884,-2.496,-7.958
9.30005,36.102,-161.012,8.594,-5.507,10.216,4.451,-1.328,5.191,-31.176,-2.44,-4.171,12.948
9.46082,36.63,-148.795,24.729,-17.523,5.203,20.549,13.771,21.874,-8.9,-16.786,-10.986,5.632
9.65274,41.027,33.969,-15.645,34.313,75.692,-53.02,7.694,-23.779,-51.759,12.014,-22.599,3.188
