start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.043,170.079,8.514,-29.789,56.906,-50.091,14.661,4.043,-27.619,0.853,-10.522,-6.292
0.78358,21.594,108.576,76.037,-187.454,20.764,13.831,13.123,-124.538,-33.847,75.991,40.446,-5.077
1.08005,40.036,-73.322,43.644,28.36,65.638,-1.279,-28.37,-6.911,-11.292,-13.007,-14.246,11.357
1.23651,45.156,-0.92,95.749,40.48,77.492,43.532,-4.082,-29.139,-13.821,-16.09,31.341,0.966
1.92122,41.9,-75.438,100.81,42.055,97.181,-38.142,18.647,-4.455,14.326,9.004,-12.17,17.62
2.2522,38.626,-70.154,50.181,92.267,55.151,-25.466,-19.809,-20.441,-4.001,-16.116,-0.711,2.44
3.47297,27.493,-142.029,-22.309,-24.278,80.676,-24.509,-21.216,2.348,25.101,-21.551,-13.615,-5.082
3.67986,25.714,-164.524,-17.388,-35.415,94.757,-33.789,-20.75,3.039,18.239,-2.905,-12.107,-2.979
3.91261,24.72,-135.37,-30.804,-27.185,94.189,-38.976,-22.076,-4.732,29.371,-14.783,-1.314,-4.122
4.19079,22.687,-154.086,-21.239,-37.729,90.422,-44.914,-26.209,42.687,15.961,-1.378,-0.201,-10.762
4.31401,31.189,-133.743,39.882,8.986,102.441,66.793,9.481,9.83,8.001,7.472,-9.217,7.101
4.4756,31.796,-133.173,16.031,98.883,109.249,8.939,-18.044,16.075,3.342,-19.926,-28.968,21.674
4.91007,24.116,-93.391,-34.714,-11.827,55.639,-1.364,-26.395,-2.115,-8.472,-18.774,5.825,16.752
5.17093,21.972,-139.858,-96.835,15.537,56.878,-22.234,-47.095,12.522,1.78,-8.274,-14.395,9.692
6.01837,14.488,-72.693,-133.571,-52.823,59.729,-48.863,-47.642,2.426,26.461,-0.734,0.388,14.669
6.31025,13.356,-30.069,-125.129,-17.439,31.555,-56.839,-54.34,-2.423,8.368,-0.086,-10.104,10.107
7.05719,15.998,88.265,-79.305,-54.373,3.763,-36.112,-54.229,-13.735,-8.018,10.139,15.559,-0.126
7.15769,27.288,-10.888,20.115,-201.423,33.058,11.779,-8.853,-39.151,-30.363,54.25,24.305,2.839
7.36635,39.471,-79.938,42.5,33.38,70.236,-11.71,-26.054,-7.268,-19.037,-4.164,-29.831,12.915
7.5459,43.766,-28.652,85.819,21.296,52.574,0.038,1.604,-17.624,-19.981,-14.519,7.351,5.85
8.0468,34.877,-118.557,13.994,-8.727,60.069,-25.186,-22.314,7.767,3.785,-12.809,-11.836,18.932
8.20358,32.58,-95.476,-56.882,56.547,30.569,-38.809,-44.685,-28.091,0.799,-6.126,-29.27,11.313
8.34272,33.824,-60.504,59.911,-130.241,67.821,56.799,18.085,5.959,7.502,-4.601,-31.671,9.657
9.1137,30.811,-113.183,-12.359,-2.945,70.917,-35.4,-13.856,-13.836,7.214,-8.562,-11.12,-6.81
9.32789,28.612,-167.195,18.62,-43.761,68.983,-40.262,-18.62,21.995,9.362,-5.436,4.19,-16.241
9.462,31.987,-130.689,17.193,62.754,83.561,7.821,2.933,52.878,17.489,-11.497,-41.548,11.885
9.67179,27.301,-141.042,3.822,-23.768,95.283,37.73,-8.094,38.748,3.601,19.961,-36.974,18.632
10.01469,26.54,-165.947,30.526,-1.046,97.947,26.624,7.965,1.561,-22.976,36.813,-27.584,18.763
11.37429,19.867,-133.949,-91.226,-57.325,34.149,-28.379,-20.821,-6.59,-5.549,-5.7,0.912,-4.872
11.60893,21.173,-128.624,-66.779,-48.385,10.683,-32.211,-32.595,15.88,-11.563,-13.593,2.479,-9.228
11.71959,24.238,-122.427,-31.842,-87.105,43.234,-18.056,-20.276,24.791,-9.205,-6.949,10.085,7.84
