start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
0.28163,3.141,102.735,-76.307,-78.611,12.435,-43.638,21.67,-14.967,-33.589,15.296,-13.101,3.293
0.45583,8.057,13.247,-80.831,-97.547,36.202,-49.446,14.376,-19.142,-23.562,10.209,5.34,2.317
0.64676,16.491,-55.994,-0.489,-99.186,23.635,-33.851,31.345,-23.625,-31.562,5.792,15.568,10.951
0.91134,23.57,-80.87,40.433,-43.023,15.531,-25.113,-10.023,11.421,-23.16,-11.771,10.868,12.823
1.12535,24.655,-60.855,70.253,3.539,26.23,-32.778,-12.753,4.284,-20.837,-16.558,8.718,22.436
1.29311,25.138,-50.551,61.875,-9.421,35.036,-42.08,-24.059,6.235,-9.698,-14.664,8.978,27.784
1.47383,23.648,-28.292,55.004,28.076,36.539,-42.798,-22.362,1.598,-16.038,6.657,7.241,18.175
1.78249,21.665,-35.307,84.453,31.548,73.985,-6.425,-42.017,22.453,-5.746,6.725,-30.263,-16.315
2.53651,16.744,-56.089,7.425,-41.33,24.66,-39.733,29.818,3.024,-26.748,10.24,0.108,-11.556
2.64608,20.758,-72.212,30.254,-57.863,5.954,-32.21,27.872,-3.329,-18.341,5.547,1.394,-1.232
2.92009,24.507,-86.277,41.386,-36.555,7.94,-44.075,9.349,17.681,-16.041,-1.929,13.036,6.274
3.21646,25.897,-22.629,52.877,11.93,42.521,-27.118,-30.759,10.803,-5.207,-21.219,-0.637,20.845
3.58141,21.642,-15.386,85.194,38.021,59.675,-7.798,-9.129,33.966,-2.993,-4.113,-30.577,1.182
4.30871,16.52,-64.964,45.546,-117.464,62.705,-45.345,16.498,-78.532,-35.164,12.491,29.44,-30.858
4.5166,28.79,-185.19,90.309,-20.234,87.914,-20.647,-39.946,-7.571,-24.887,-13.809,9.12,-13.124
4.74889,30.863,-184.36,86.444,-18.49,68.287,-32.123,-37.639,-4.434,-21.189,-12.825,12.694,-12.942
4.8927,33.234,-167.56,102.945,-21.245,71.385,-27.084,-42.939,-2.576,-22.961,-15.343,10.186,-9.761
